id	style	word	pronunciation
PLX:1PL.pro		êm	em
PLX:1SG.pro		ez	ɛz
PLX:2PL.pro		hûn	hun
PLX:2SG.pro		tu	tʊ
PLX:3PL.pro		we	wɛ
PLX:3SG M.pro		wî	wi
PLX:and.cnj		û	u
PLX:because of.pp		ji ber	ʒə bɛr
PLX:because of.pp		ji bo	ʒə bo
PLX:behind.pp		li pişt	lə pəʃt
PLX:beside.pp		li ba	lə ba
PLX:can.v		karin	karən
PLX:die (from accident).V		mirin	mərən
PLX:everywhere.pro		li her derê	lə hɛr dɛre
PLX:from here.adv		ji vir	ʒə vər
PLX:get sick.V		nexweş kêt	nɛχwɛʃ ket
PLX:how many.pro		çend	t͡ʃɛnd
PLX:how.pro		çawa	t͡ʃawa
PLX:in front of.pp		li ber	lə bɛr
PLX:or.cnj		an	an
PLX:or.cnj		yan	jan
PLX:that.pro		ev	ɛv
PLX:this.pro		ev	ɛv
PLX:under.pp		li bin	lə bən
PLX:what.pro		çi	t͡ʃə
PLX:where.pro		li ku dere	lə kʊ dɛrɛ
PLX:where_to.pro		li ku dere	lə kʊ dɛrɛ
PLX:who.pro		ki	kə
PLX:why.pro		çima	t͡ʃəma
PWN:abandon.v.02		bêkes	bekɛs
PWN:abandon.v.02		tanê hişt	tane həʃt
PWN:abdomen.n.01		zik	zək
PWN:abdomen.n.01		ûr	ur
PWN:above.r.02		banî	bani
PWN:act.v.02		kirin	kərən
PWN:add.v.01		dan ser	dan sɛr
PWN:add.v.01		li tiştekî zêde kirin	lə təʃtɛki zedɛ kərən
PWN:address.n.03		axavtin	aχavtən
PWN:address.n.03		gotar	ɡotar
PWN:affect.v.05		hêjan	heʒan
PWN:again.r.01		dîsa	disa
PWN:again.r.01		jar din	ʒar dən
PWN:age.n.01		temen	tɛmɛn
PWN:ahead.r.03		ber bi pêş	bɛr bə peʃ
PWN:aid.n.02		alîkarî	alikari
PWN:air.n.01		ba	ba
PWN:alive.a.01		bisaxî	bəsaχi
PWN:all.a.01		hemû	hɛmu
PWN:allege.v.01		gotin	ɡotən
PWN:allege.v.01		peyivîn	pɛjəvin
PWN:alone.r.02		tenê	tɛne
PWN:already.r.01		hew	hɛw
PWN:always.r.01		daîm	daim
PWN:anger.v.01		xeyirandin	χɛjərandən
PWN:anger.v.02		enirîn	ɛnərin
PWN:animal.n.01		heywan	hɛjwan
PWN:animation.n.01		jiyan	ʒəjan
PWN:ant.n.01		gêrîk	ɡerik
PWN:ant.n.01		mîro	miro
PWN:apparel.n.01		çil	t͡ʃəl
PWN:apple.n.01		sêv	sev
PWN:april.n.01		nîsan	nisan
PWN:apt.s.03		baqil	baqəl
PWN:area.n.01		dever	dɛvɛr
PWN:arise.v.03		rabûn	rabun
PWN:arm.n.01		çepil	t͡ʃɛpəl
PWN:arrive.v.01		gihan	ɡəhan
PWN:arrive.v.01		gihîştin	ɡəhiʃtən
PWN:arrive.v.01		hatin	hatən
PWN:arrow.n.02		çîrik	t͡ʃirək
PWN:ascend.v.01		hildan	həldan
PWN:ash.n.01		xweli	χwɛlə
PWN:ask.v.02		tika kirin	təka kərən
PWN:ask.v.05		pirs kirin	pərs kərən
PWN:ask.v.05		pirsîn	pərsin
PWN:august.n.01		tebax	tɛbaχ
PWN:aunt.n.01		metik	mɛtək
PWN:aunt.n.01		xaltîk	χaltik
PWN:awaken.v.01		bixwe hesandin	bəχwɛ hɛsandən
PWN:back.n.01		pişt	pəʃt
PWN:back.r.01		paşdo	paʃdo
PWN:back.r.01		paşvê	paʃve
PWN:back.r.02		paşpê	paʃpe
PWN:bad.a.01		xerab	χɛrab
PWN:bag.n.01		bêrîk	berik
PWN:bake.v.02		pijandin	pəʒandən
PWN:bare.s.01		rût	rut
PWN:bare.s.01		tazî	tazi
PWN:bark.n.01		qaqil	qaqəl
PWN:bark.v.04		kewtîn	kɛwtin
PWN:bathe.v.01		serîşûştin	sɛriʃuʃtən
PWN:battle.n.01		şer	ʃɛr
PWN:bay.n.01		derav	dɛrav
PWN:be_born.v.01		bûn	bun
