id	style	word	transcription	etymology
PLX:1PL EXCL.pro		yàndí		
PLX:1PL.pro		àndí		
PLX:1SG.pro		wú		
PLX:2PL.pro		nàndí		
PLX:2SG.pro		nyí		
PLX:3PL.pro		tàndí		
PLX:3SG F.pro		shí		
PLX:3SG M.pro		shí		
PLX:3SG.pro		tí		
PLX:and.cnj		-a		
PLX:and.cnj		yé		
PLX:behind.adp		ngáwò.... bèn		
PLX:how.pro		àbígǎìnyìn		
PLX:if.cnj		yà		
PLX:in front of.adp		fúgə̀		
PLX:or.cnj		lâ		arb:la
PLX:or.cnj		âu		arb:au
PLX:that.pro		túdù		
PLX:this.pro		ádə̀		
PLX:under.adp		cídíyà		
PLX:what.pro		àbí		
PLX:where.pro		ndárân		
PLX:who.pro		ndú		
PLX:why.pro		àbírò		
PLX:yes.ptcl		nà'ám		arb:nà'ám
PLX:yes.ptcl		àâ		
PWN:abdomen.n.01		tìmbí		hau:tùmbíi
PWN:above.r.02		dátə̀à		
PWN:accuse.v.01		sə̀rìwùtə̀		
PWN:acquit.v.01		kwàltə́		
PWN:act.v.02		dìò		
PWN:address.n.03		kàwúlì		arb:kawúl ?
PWN:address.n.06		àdréshì		hau:àdìréeshìi
PWN:admit.v.01		kàsàttə́		arb:kasat ?
PWN:admit.v.01		àrdìtə́		arb:yard̝ā
PWN:adobe.n.02		dìrìngêl		
PWN:adobe.n.02		jélàp		
PWN:adornment.n.01		záyèràm		
PWN:adultery.n.01		kə́nzə́nà		arb:zinā
PWN:afternoon.n.01		kàjílí		arb:kajir ?
PWN:afternoon.n.01		ásàr		arb:ʔaz.haar
PWN:again.r.01		kòró		
PWN:age.n.01		kàwú		
PWN:age.n.01		sàgá		
PWN:air.n.01		kàsâm		
PWN:airplane.n.01		mààrá sámíbè		
PWN:all.a.01		ngâsô		
PWN:all.a.01		sámmá		
PWN:allege.v.01		gùltə́		arb:qul
PWN:allege.v.01		nə̀		
PWN:alligator.n.02		kárám		:*kdm
PWN:alone.r.02		tílònzə́		
PWN:always.r.01		kúllúm		arb:kull yawm
PWN:always.r.01		sàbísó		
PWN:amazed.s.01		ájàp		arb:ajap
PWN:ambush.n.01		mbə́lántə́		
PWN:ancestor.n.01		yèìyàrí		
PWN:anger.n.02		gə́rgátə́		
PWN:animal.n.01		dábbà		arb:dābba
PWN:animal.n.01		lə̀mân		arb:al-mann
PWN:animation.n.01		kə̀ndégà		
PWN:animation.n.01		rô		arb:ruuh
PWN:ankle.n.01		shîm shîbè		
PWN:announce.v.01		wòrmàtə́		
PWN:answer.v.01		jààptà		arb:jawāb
PWN:answer.v.01		jàáwù		arb:jawāb
PWN:answer.v.01		mògò		
PWN:ant.n.01		cìdàcídà		
PWN:anvil.n.01		kágə́l		
PWN:anxiety.n.02		kàrúrútì		
PWN:anxiety.n.02		rìndò		
PWN:apparel.n.01		kàzə́mù		
PWN:approach.v.01		kàrə̀ntə́		
PWN:apt.s.03		ángàllà		arb:ʕaql
PWN:arch.n.04		kábbì		:kubba
PWN:arm.n.01		múskò		
PWN:armor.n.01		súlwé		arb:silah (h.)
PWN:armpit.n.01		tə́lwù		
PWN:army.n.01		sójì		eng:soldier
PWN:army.n.01		áskə̀r		arb:caskari:
PWN:arrive.v.01		kə̀nshê		
PWN:arrive.v.01		ísò		
PWN:arrow.n.02		kə̀nígə́		
PWN:artery.n.01		zâr bûbè		
PWN:ascend.v.01		bà		
PWN:ascend.v.01		tǎttə́		
PWN:ash.n.01		búgə́		
PWN:ask.v.02		kòrò		
PWN:ask.v.05		kòrò		
PWN:attack.n.05		bàlímìtə́		
PWN:attack.n.05		kə̀ntá		
PWN:aunt.n.01		yînná		
PWN:avaricious.s.01		sùròkùrá		
PWN:avaricious.s.01		yámgà		
PWN:awl.n.01		màsíllá		arb:masilla
PWN:ax.n.01		béwó		
PWN:baby.n.01		tíwàl		arb:tfill
PWN:back.n.01		ngáwò		
PWN:bad.a.01		kúttù		
PWN:bake.v.02		wártə́		
PWN:bald.s.02		sə̀lé		
PWN:ball.n.03		bôl		eng:ball
PWN:bamboo.n.01		górà		hau:góoràa
PWN:banana.n.02		àyàwà		nup:(-)yaba
PWN:bare.s.01		də̀mbə́r déà		
PWN:bark.n.01		kàskàshí		
