id	style	word	pronunciation
Action:can.V		할주릴다	hald͡ʑuɾilda
Agriculture:herd (something).V		망보다	maŋboda
Agriculture:irrigate.V		물을대다	mulɯldɛda
Agriculture:pick.V		꿔다	kk͈͈wʌda
Agriculture:shovel.N		삽	sʰap̚
Animal:Anatidae.N		오리	oɾi
Animal:Annelida.N		벌레	pʌlɾe
Animal:Araneae.N		거미	kʌmi
Animal:Aves.N		새	sʰɛ
Animal:Canis lupus familiaris.N		개	kɛ
Animal:Canis lupus.N		늑대	nɯkt͈͈ɛ
Animal:Corvus.N		까마귀	kk͈͈amaɡwi
Animal:Culicidae.N		모기	moɡi
Animal:Diptera.N		날기	nalɡi
Animal:Equus ferus caballus.N		말	mal
Animal:Felis catus.N		고양이	kojaŋi
Animal:Formicidae.N		개미	kɛmi
Animal:Gallus gallus domesticus.N		암탉	amdʰalɡ
Animal:Homo sapiens.N		사람	sʰaɾam
Animal:Ovis aries.N		양	jaŋ
Animal:Rhopalocera.N		나비	nabi
Animal:Sciuridae.N		다람쥐	taɾamd͡ʑwi
Animal:Serpentes.N		뱀	pɛm
Animal:Sus scrofa domestica.N		돼지	twɛd͡ʑi
Animal:Ursidae.N		콤	kʰom
Animal:Vulpes.N		여우	jʌu
Animal:animal.N		짐승	t͡ɕimsʰɯŋ
Animal:fish.N		물고기	mulɡoɡi
Animal:mouse.N		쥐	t͡ɕwi
Animal:wool.N		양털	jaŋdʰʌl
Atmosphere:cloud.N		구름	kuɾɯm
Atmosphere:cold.A		서늘한	sʰʌnɯlɦan
Atmosphere:fog.N		안개	aŋɛ
Atmosphere:rain.N		비	pi
Atmosphere:rain.V		비가오다	piɡaoda
Atmosphere:rainbow.N		무지개	mud͡ʑiɡɛ
Atmosphere:sky.N		하늘	hanɯl
Atmosphere:thunder.N		뇌명	nwemjʌŋ
Atmosphere:thunder.V		천둥치다	cʌnduŋcida
Atmosphere:weather.N		기상	kisʰaŋ
Atmosphere:wind.N		바람	paɾam
Belief:deity.N		하느님	hanɯnim
Belief:idol.N		몸메	momme
Belief:spirit.N		할기	halɡi
Body:arm.N		팔	pʰal
Body:back.N		든	tɯn
Body:beard.N		수엄	sʰuʌm
Body:belly.N		배	pɛ
Body:blood.N		피	pʰi
Body:blow.V		불다	pulda
Body:body.N		구간	kuɡan
Body:bone.N		뼈	pp͈͈jʌ
Body:brain.N		뇌	nwe
Body:brain.N		뇌수	nwesʰu
Body:breast.N		가슴속	kasʰɯmsʰok̚
Body:breath.N		기식	kiɕʰik̚
Body:breath.V		숨쉬다	sʰumsʰwida
Body:cheek.N		뺨	pp͈͈jam
Body:chest.N		가슴	kasʰɯm
Body:chin.N		아래턱	aɾɛtʰʌk̚
Body:ear.N		귀	kwi
Body:elbow.N		팔쿰치	pʰalɡʰumci
Body:eye.N		눈	nun
Body:face.N		얼굴	ʌlɡul
Body:fat.N		기름	kiɾɯm
Body:feather.N		깃털	kitt͈ʰʌl
Body:finger.N		속가락	sʰokk͈͈aɾak̚
Body:fingernail.N		손톱	sʰondʰop̚
Body:foot.N		발	pal
Body:footprint.N		발지국	pald͡ʑiɡuk̚
Body:forehead.N		이마	ima
Body:fur.N		피혁모피	pʰiʝjʌŋmopʰi
Body:hair.N		털	tʰʌl
Body:hand.N		손	sʰon
Body:head.N		머리	mʌɾi
Body:heart.N		염통	jʌmdʰoŋ
Body:heel.N		발꿈치	palɡkumci
Body:horn.N		뿔	pp͈͈ul
Body:jaw.N		턱	tʰʌk̚
Body:knee.N		무릎	muɾɯp̚
Body:leg.N		다리	taɾi
Body:lip.N		입술	ipsʰul
Body:liver.N		간	kan
Body:moustache.N		윗수몀	wis͈umjʌm
Body:moustache.N		코밑수염	kʰomitʰsʰːːujʌm
Body:mouth.N		입	ip̚
Body:nail.N		손톱	sʰondʰop̚
Body:nape.N		먹덜이	mʌkt͈͈ʌli
Body:navel.N		배꼽	pɛkk͈͈op̚
Body:neck.N		목	mok̚
Body:nose.N		코	kʰo
Body:obese.A		실찐	ɕʰild͡ʑ͈in
Body:palm.N		손바닥	sʰonbadak̚
Body:shoulder.N		어깨	ʌkk͈͈ɛ
Body:skin.N		살갗	sʰalɡacc
Body:stomach.N		위	wi
Body:tail.N		꼬리	kk͈͈oɾi
Body:tear.N		눈물	nunmul
Body:tendon.N		현	çjʌn
Body:throat.N		인후	inɦu
Body:toe.N		발가락	palɡaɾak̚
Body:tongue.N		혀	çjʌ
Body:tooth.N		이	i
Body:upper leg.N		허벅다리	hʌbʌkt͈͈aɾi
Body:vein.N		정맥	t͡ɕʌŋmɛk̚
Body:wing.N		날개	nalɡɛ
Body:wound.N		상처	sʰaŋcʌ
Building:board.N		마루널	maɾunʌl
Building:build.V		짓다	t͡ɕitt͈a
Building:door.N		문	mun
Building:floor.N		마루	maɾu
Building:gate.N		대문	tɛmun
Building:house.N		집	t͡ɕip̚
Building:post.N		장대	t͡ɕaŋdɛ
Building:roof.N		지붕	t͡ɕibuŋ
Building:window.N		눔	num
Cleaning:broom.N		비	pi
Cleaning:clean (sth).V		청소하다	cʌŋsʰoɦada
Cleaning:clean.A		깨끗한	kk͈͈ɛkk͈͈ɯsʰhan
Cleaning:dirt.N		때	tt͈͈ɛ
Cleaning:dirty.A		더러운	tʌɾʌun
