id	style	word	pronunciation
Action:can.V		кужны	kuʒnɨ
Agriculture:herd (something).V		видзны	vid͡znɨ
Agriculture:herd (something).V		йирӧдны	jirədnɨ
Agriculture:irrigate.V		киськавны	kiɕkɑvnɨ
Agriculture:pick.V		вотны	votnɨ
Agriculture:pick.V		ӧктыны	əktɨnɨ
Agriculture:shovel.N		тэльӧб	teʎəb
Animal:Anatidae.N		утка	utkɑ
Animal:Annelida.N		номыр	nomɨr
Animal:Araneae.N		черань	t͡ɕerɑɲ
Animal:Aves.N		кай	kɑj
Animal:Aves.N		лэбач	ɫebɑt͡ɕ
Animal:Canis lupus familiaris.N		пон	pon
Animal:Canis lupus.N		кӧин	kəjin
Animal:Corvus.N		рака	rɑkɑ
Animal:Culicidae.N		ном	nom
Animal:Diptera.N		гут	ɡut
Animal:Equus ferus caballus.N		вӧв	vəv
Animal:Felis catus.N		кань	kɑɲ
Animal:Formicidae.N		кодзувкот	kod͡zuvkot
Animal:Gallus gallus domesticus.N		курӧг	kurəɡ
Animal:Homo sapiens.N		морт	mort
Animal:Ovis aries.N		ыж	ɨʒ
Animal:Rhopalocera.N		бобув	bobuv
Animal:Sciuridae.N		ур	ur
Animal:Serpentes.N		кый	kɨj
Animal:Sus scrofa domestica.N		порсь	porɕ
Animal:Ursidae.N		ош	oʃ
Animal:Vulpes.N		руч	rut͡ɕ
Animal:animal.N		пемӧс	peməs
Animal:fish.N		чери	t͡ɕeri
Animal:mouse.N		шыр	ʃɨr
Animal:wool.N		вурун	vurun
Atmosphere:cloud.N		кымӧр	kɨmər
Atmosphere:cold.A		ыркыд	ɨrkɨd
Atmosphere:cold.A		юзыд	juzɨd
Atmosphere:fog.N		онь	oɲ
Atmosphere:fog.N		ру	ru
Atmosphere:rain.N		зэр	zer
Atmosphere:rain.V		зэрны	zernɨ
Atmosphere:rainbow.N		ӧшкамӧшка	əʃkɑməʃkɑ
Atmosphere:sky.N		енэж	jeneʒ
Atmosphere:thunder.N		гым	ɡɨm
Atmosphere:thunder.V		гымавны	ɡɨmɑvnɨ
Atmosphere:weather.N		поводдя	povoɟːɑ
Atmosphere:wind.N		тӧв	təv
Belief:deity.N		ен	jen
Belief:idol.N		вежньӧг	veʒɲəɡ
Belief:idol.N		пертас	pertɑs
Belief:spirit.N		лов	ɫov
Body:arm.N		ки	ki
Body:back.N		мыш	mɨʃ
Body:beard.N		тош	toʃ
Body:belly.N		рушку	ruʃku
Body:blood.N		вир	vir
Body:blow.V		пӧльтны	pəʎtnɨ
Body:body.N		вывтыр	vɨvtɨr
Body:body.N		туша	tuʃɑ
Body:bone.N		лы	ɫɨ
Body:brain.N		вем	vem
Body:breast.N		морӧс	morəs
Body:breath.N		лов	ɫov
Body:breath.V		кашкыны	kɑʃkɨnɨ
Body:breath.V		пошиктыны	poʃiktɨnɨ
Body:cheek.N		бан	bɑn
Body:chest.N		морӧс	morəs
Body:chin.N		тшӧка	t͡ʃəkɑ
Body:ear.N		пель	peʎ
Body:elbow.N		гырддза	ɡɨrdːzɑ
Body:eye.N		син	ɕin
Body:face.N		чужӧм	t͡ɕuʒəm
Body:fat.N		гос	ɡos
Body:fat.N		тшог	t͡ʃoɡ
