id	style	word	pronunciation
PLX:1PL.pro		myö	myœ
PLX:1SG.pro		mie	miɛ
PLX:2PL.pro		työ	tyœ
PLX:2SG.pro		sie	siɛ
PLX:3PL.pro		hyö	hyœ
PLX:3SG M.pro		hiän	hiæn
PLX:and.cnj		ta	tɑ
PLX:because of.pp		takie	tɑkiɛ
PLX:behind.pp		takana	tɑkɑnɑ
PLX:beside.pp		lässä	læsːæ
PLX:beside.pp		vieressä	viɛrɛsːæ
PLX:can.v		voija	vɔijɑ
PLX:die (from accident).V		kuolla	kʊɔlːɑ
PLX:everywhere.pro		joka paikassa	jɔkɑ pɑikɑsːɑ
PLX:everywhere.pro		kaikkiella	kɑikːiɛlːɑ
PLX:from here.adv		tiältä	tiæltæ
PLX:from here.adv		täkäli	tækæli
PLX:get sick.V		läsiytyö	læsiytyœ
PLX:get sick.V		suaha tauvin	sʊɑhɑ tɑʊvin
PLX:how many.pro		montako	mɔntɑkɔ
PLX:how many.pro		äijänkö	æijæŋkœ
PLX:how.pro		mitein	mitɛin
PLX:in front of.pp		iessä	iɛsːæ
PLX:or.cnj		tahi	tɑhi
PLX:or.cnj		tahikka	tɑhikːɑ
PLX:that.pro		se	sɛ
PLX:this.pro		tämä	tæmæ
PLX:under.pp		alla	ɑlːɑ
PLX:what.pro		mi	mi
PLX:where.pro		kussa	kʊsːɑ
PLX:where.pro		missä	misːæ
PLX:where_to.pro		kunne	kʊnːɛ
PLX:where_to.pro		minne	minːɛ
PLX:who.pro		ken	kɛn
PLX:why.pro		mintäh	mintæh
PLX:why.pro		mitä	mitæ
PWN:abandon.v.02		hylätä	hylætæ
PWN:abandon.v.02		jättyä	jætːyæ
PWN:abdomen.n.01		maha	mɑhɑ
PWN:above.r.02		ylähänä	ylæhænæ
PWN:act.v.02		ruatua	rʊɑtʊɑ
PWN:add.v.01		lisätä	lisætæ
PWN:address.n.03		pakina	pɑkinɑ
PWN:affect.v.05		liikuttua	liːkʊtːʊɑ
PWN:again.r.01		tuas	tʊɑs
