id	style	word	pronunciation
PLX:1PL.pro		nos	noːs
PLX:1SG.pro		ego	ɛɡoː
PLX:2PL.pro		vos	woːs
PLX:2SG.pro		tu	tuː
PLX:3PL.pro		ii	ɪjː
PLX:3PL.pro		illi	ɪlːiː
PLX:3SG M.pro		ille	ɪlːɛ
PLX:3SG M.pro		is	ɪs
PLX:and.cnj		-que	-kʷɛ
PLX:and.cnj		et	ɛt
PLX:because of.pp		propter	prɔptɛr
PLX:behind.pp		post	pɔst
PLX:beside.pp		iuxta	ɪʊkstaː
PLX:can.v		posse	pɔsːɛ
PLX:die (from accident).V		perire	pɛriːrɛ
PLX:everywhere.pro		ubique	ʊbiːkʷɛ
PLX:from here.adv		hinc	hɪŋk
PLX:get sick.V		aegrescere	aɛ̯ɡreːskɛrɛ
PLX:how many.pro		quantum	kʷantʊ̃
PLX:how.pro		quomodo	kʷoːmɔdɔ
PLX:in front of.pp		ante	antɛ
PLX:or.cnj		vel	wɛɫ
PLX:that.pro		id	ɪd
PLX:this.pro		hoc	hɔk
PLX:under.pp		sub	sʊb
PLX:what.pro		quid	kʷɪd
PLX:where.pro		ubi	ʊbɪ
PLX:where_to.pro		quo	kʷoː
PLX:who.pro		quis	kʷɪs
PLX:why.pro		cur	kuːr
PWN:abandon.v.02		deserere	deːsɛrɛrɛ
PWN:abandon.v.02		relinquere	rɛɫɪŋkʷɛrɛ
PWN:abdomen.n.01		venter	wɛntɛr
PWN:above.r.02		supra	sʊpraː
PWN:act.v.02		facere	fakɛrɛ
PWN:add.v.01		addere	adːɛrɛ
PWN:address.n.03		oratio	oːraːtɪoː
PWN:affect.v.05		commovere	kɔmːɔweːrɛ
PWN:again.r.01		rursus	ruːrsʊs
PWN:age.n.01		aetas	aɛ̯taːs
PWN:ahead.r.03		porro	pɔrːoː
PWN:aid.n.02		auxilium	aʊ̯ksɪɫɪʊ̃
PWN:aid.n.02		subsidium	sʊbsɪdɪʊ̃
PWN:air.n.01		aer	aːeːr
PWN:alive.a.01		vivus	wiːwʊs
PWN:all.a.01		omnia	ɔmnɪa
PWN:allege.v.01		dicere	diːkɛrɛ
PWN:alone.r.02		solum	soːɫʊ̃
PWN:already.r.01		iam	ɪã
PWN:always.r.01		semper	sɛmpɛr
PWN:anger.v.01		irritare	ɪrːɪtaːrɛ
PWN:anger.v.02		indignari	ɪndɪŋnaːriː
PWN:animal.n.01		bestia	beːstɪa
PWN:animation.n.01		vita	wiːta
PWN:ant.n.01		formica	fɔrmiːka
PWN:apparel.n.01		vestimenta	wɛstiːmɛnta
PWN:apple.n.01		malum	maːɫʊ̃
PWN:april.n.01		Aprilis	apriːɫɪs
PWN:apt.s.03		prudens	pruːdẽːs
PWN:area.n.01		loca	ɫoːka
PWN:area.n.01		regio	rɛɡɪoː
PWN:arise.v.03		surgere	sʊrɡɛrɛ
PWN:arm.n.01		bracchium	brakːhɪʊ̃
PWN:arrive.v.01		advenire	adwɛniːrɛ
PWN:arrive.v.01		venire	wɛniːrɛ
PWN:arrow.n.02		sagitta	saɡɪtːa
PWN:ascend.v.01		augescere	aʊ̯ɡeːskɛrɛ
PWN:ash.n.01		cinis	kɪnɪs
PWN:ask.v.02		orare	oːraːrɛ
PWN:ask.v.02		rogare	rɔɡaːrɛ
PWN:ask.v.05		quaerere	kʷaɛ̯rɛrɛ
PWN:ask.v.05		rogare	rɔɡaːrɛ
PWN:august.n.01		Augustus	aʊ̯ɡʷstʊs
PWN:aunt.n.01		amita	amɪta
PWN:awaken.v.01		excitare	ɛkskɪtaːrɛ
PWN:back.n.01		tergum	tɛrɡʷ̃
PWN:back.r.01		retro	rɛtroː
PWN:back.r.02		retro	rɛtroː
PWN:bad.a.01		malus	maɫʊs
PWN:bag.n.01		sacculus	sakːʊɫʊs
PWN:bake.v.02		coquere	kɔkʷɛrɛ
PWN:bare.s.01		nudus	nuːdʊs
PWN:bark.n.01		cortex	kɔrtɛks
PWN:bark.v.04		latrare	ɫatraːrɛ
PWN:bathe.v.01		lavari	ɫawaːriː
PWN:battle.n.01		pugna	puːŋna
PWN:bay.n.01		sinus	sɪnʊs
PWN:be_born.v.01		nasci	naːskiː
PWN:bear.n.01		ursus	ʊrsʊs
PWN:beard.n.01		barba	barba
PWN:beautiful.a.01		formosus	foːrmoːsʊs
PWN:beautiful.a.01		pulcher	pʊɫkhɛr
PWN:become.v.01		fieri	fɪɛriː
PWN:bed.n.01		lectus	ɫɛktʊs
PWN:begin.v.03		incipere	ɪŋkɪpɛrɛ
PWN:believe.v.01		credere	kreːdɛrɛ
PWN:beloved.s.01		carus	kaːrʊs
PWN:belt.n.02		cingulum	kɪŋɡʷɫʊ̃
PWN:bend.v.01		curvare	kʊrwaːrɛ
PWN:benefit.n.02		utilitas	uːtɪɫɪtaːs
PWN:berry.n.01		baca	baːka
PWN:better.v.02		emendare	eːmɛndaːrɛ
