id	style	word	pronunciation
PLX:1PL.pro		mēs	meːs
PLX:1SG.pro		es	ɛs
PLX:2PL.pro		jūs	juːs
PLX:2SG.pro		tu	tu
PLX:3PL.pro		viņas	viɲɑs
PLX:3PL.pro		viņi	viɲi
PLX:3SG M.pro		viņš	viɲʃ
PLX:and.cnj		un	un
PLX:because of.pp		pēc	peːt͡s
PLX:behind.pp		aiz	ai̯z
PLX:beside.pp		līdzās	liːd͡zɑːs
PLX:can.v		prast	brɑst
PLX:die (from accident).V		aiziet bojā	ai̯ziɛ̯t buɔ̯jɑː
PLX:die (from accident).V		apsprāgt	ɑpsbrɑːkt
PLX:everywhere.pro		visur	visːur
PLX:from here.adv		no šejienes	nuɔ̯ ʃɛjiɛ̯nɛs
PLX:get sick.V		sasirgt	sɑsːirkt
PLX:how many.pro		cik	t͡sik
PLX:how.pro		kā	kɑː
PLX:in front of.pp		priekš	briɛ̯kʃ
PLX:or.cnj		jeb	jɛb
PLX:that.pro		tas	tɑs
PLX:this.pro		šis	ʃis
PLX:under.pp		zem	zɛm
PLX:what.pro		kas	kɑs
PLX:where.pro		kur	kur
PLX:where_to.pro		kurp	kurp
PLX:where_to.pro		uz kurieni	uz kuriɛ̯ni
PLX:who.pro		kas	kɑs
PLX:why.pro		kāpēc	kɑːpeːt͡s
PWN:abandon.v.02		atstāt	ɑtstɑːt
PWN:abdomen.n.01		vēders	væːdærs
PWN:above.r.02		virsū	virsuː
PWN:act.v.02		darīt	dɑriːt
PWN:add.v.01		pievienot	piɛ̯viɛ̯nuɔ̯t
PWN:address.n.03		runa	runɑ
PWN:affect.v.05		aizgrābt	ai̯zɡrɑːpt
PWN:again.r.01		atkal	ɑtkɑl
PWN:age.n.01		vecums	væt͡sums
PWN:ahead.r.03		uz priekšu	uz briɛ̯kʃu
PWN:aid.n.02		palīdzība	pɑliːd͡ziːbɑ
PWN:air.n.01		gaiss	ɡai̯sː
PWN:alive.a.01		dzīvs	d͡ziːfs
PWN:all.a.01		viss	visː
PWN:allege.v.01		teikt	tɛi̯kt
PWN:alone.r.02		viens pats	viɛ̯ns pɑts
PWN:already.r.01		jau	jau̯
PWN:always.r.01		allaž	ɑlːɑʒ
PWN:always.r.01		vien'mēr	viɛ̯nˈmæːr
PWN:anger.v.01		sadusmot	sɑduzmuɔ̯t
PWN:anger.v.02		dusmoties	duzmuɔ̯tiɛ̯s
PWN:anger.v.02		pukoties	pukuɔ̯tiɛ̯s
PWN:anger.v.02		īgt	iːkt
PWN:animal.n.01		dzīvnieks	d͡ziːvniɛ̯ks
PWN:animation.n.01		dzīve	d͡ziːvɛ
PWN:ant.n.01		skudra	skudrɑ
PWN:apparel.n.01		drēbes	dreːbɛs
PWN:apparel.n.01		tērps	tæːrps
PWN:apple.n.01		ābols	ɑːbuɔ̯ls
PWN:april.n.01		aprīlis	ɑbriːlis
PWN:apt.s.03		gudrs	ɡudrs
PWN:area.n.01		apgabals	ɑbɡɑbɑls
PWN:area.n.01		apvidus	ɑbvidus
PWN:arise.v.03		piecelties	piɛ̯t͡sɛltiɛ̯s
PWN:arm.n.01		delms	dælms
PWN:arm.n.01		roka	ruɔ̯kɑ
PWN:arrive.v.01		ierasties	iɛ̯rɑstiɛ̯s
PWN:arrive.v.01		nonākt	nuɔ̯nɑːkt
PWN:arrive.v.01		nākt	nɑːkt
PWN:arrow.n.02		bulta	bultɑ
PWN:ascend.v.01		kāpt	kɑːpt
PWN:ash.n.01		pelni	pælni
PWN:ask.v.02		lūgt	luːkt
PWN:ask.v.02		prasīt	brɑsiːt
PWN:ask.v.05		jautāt	jau̯tɑːt
PWN:august.n.01		augusts	au̯ɡusts
PWN:aunt.n.01		tante	tɑntɛ
PWN:awaken.v.01		modināt	muɔ̯dinɑːt
PWN:back.n.01		mugura	muɡurɑ
PWN:back.r.01		atpakāļ	ɑtpɑkɑːʎ
PWN:back.r.02		atmuguriski	ɑdmuɡuriski
PWN:bad.a.01		slikts	zlikts
PWN:bag.n.01		soma	suɔ̯mɑ
PWN:bake.v.02		cept	t͡sɛpt
PWN:bare.s.01		pliks	bliks
PWN:bark.n.01		miza	mizɑ
PWN:bark.v.04		riet	riɛ̯t
PWN:bathe.v.01		peldēties	pɛldeːtiɛ̯s
PWN:battle.n.01		cīņa	t͡siːɲɑ
PWN:bay.n.01		līcis	liːt͡sis
PWN:be_born.v.01		dzimt	d͡zimt
PWN:bear.n.01		lācis	lɑːt͡sis
PWN:beard.n.01		bārda	bɑːrdɑ
PWN:beautiful.a.01		daiļš	dai̯ʎʃ
PWN:beautiful.a.01		skaists	skai̯sts
PWN:become.v.01		tapt	tɑpt
PWN:bed.n.01		gulta	ɡultɑ
PWN:begin.v.03		iesākt	iɛ̯sɑːkt
PWN:begin.v.03		sākt	sɑːkt
PWN:believe.v.01		ticēt	tit͡seːt
PWN:beloved.s.01		mīļš	miːʎʃ
PWN:belt.n.02		josta	juɔ̯stɑ
PWN:bend.v.01		liekt	liɛ̯kt
PWN:benefit.n.02		labums	lɑbums
PWN:berry.n.01		oga	uɔ̯ɡɑ
PWN:better.v.02		izlabot	izlɑbuɔ̯t
PWN:better.v.02		labot	lɑbuɔ̯t
PWN:between.r.02		starp	stɑrp
PWN:birch.n.02		bērzs	beːrsː
PWN:bird.n.01		putns	pudns
PWN:bite.v.01		kost	kuɔ̯st
PWN:bitter.s.06		rūgts	ruːkts
PWN:bitter.s.06		sūrs	suːrs
PWN:black.a.01		melns	mælns
