id	style	word	pronunciation
PLX:1PL.pro		чун	t͡ʃun
PLX:1SG.pro		за	za
PLX:1SG.pro		зун	zun
PLX:2PL.pro		куьн	kyn
PLX:2SG.pro		вун	wun
PLX:3PL.pro		абур	abur
PLX:3SG M.pro		ам	am
PLX:3SG M.pro		гьа	ha
PLX:and.cnj		ва	wa
PLX:because of.pp		гъиляй	ʁilæj
PLX:behind.pp		кьулухъ	qʼuluqʰ
PLX:beside.pp		мукьув	muqʼuw
PLX:beside.pp		патав	pataw
PLX:can.v		акъакьун	aqaqʼun
PLX:can.v		хьун	xun
PLX:die (from accident).V		терг хьун	terɡ xun
PLX:everywhere.pro		вирина	wirina
PLX:from here.adv		инай	inaj
PLX:get sick.V		кефсуз хьун	kefsuz xun
PLX:how many.pro		шумуд	ʃumud
PLX:how.pro		гьикӏ	hikʼ
PLX:in front of.pp		вилик	wilik
PLX:or.cnj		я	æ
PLX:that.pro		а	a
PLX:that.pro		ам	am
PLX:this.pro		и	i
PLX:this.pro		им	im
PLX:under.pp		кӏаник	kʼanik
PLX:what.pro		вуч	wut͡ʃ
PLX:where.pro		гьина	hina
PLX:where_to.pro		гьиниз	hiniz
PLX:who.pro		вуж	wuʒ
PLX:why.pro		вучиз	wut͡ʃiz
PWN:abandon.v.02		гъил къачун	ʁil qat͡ʃun
PWN:abdomen.n.01		руфун	rufun
PWN:above.r.02		винел	winel
PWN:act.v.02		авун	awun
PWN:add.v.01		алава авун	alawa awun
PWN:address.n.03		рахун	raχun
PWN:age.n.01		яш	æʃ
PWN:ahead.r.03		вилик	wilik
PWN:ahead.r.03		виликди	wilikdi
PWN:aid.n.02		куьмек	kymek
PWN:air.n.01		гьава	hawa
PWN:alive.a.01		ччан алай	t͡ʃt͡ʃan alaj
PWN:all.a.01		вири	wiri
PWN:all.a.01		михьиз	mixiz
PWN:allege.v.01		лугьун	luhun
PWN:alone.r.02		кьилди	qʼildi
PWN:already.r.01		мадни гуьтӏуь я	madni ɡytʼy æ
PWN:already.r.01		мадни гуьтӏуьз	madni ɡytʼyz
PWN:already.r.01		мадни дардиз	madni dardiz
PWN:already.r.01		хъувуна	qʰuwuna
PWN:always.r.01		гьамиша	hamiʃa
PWN:anger.v.01		хъел гъун	qʰel ʁun
PWN:anger.v.01		хъел кутун	qʰel kutun
PWN:anger.v.02		хъел акатун	qʰel akatun
PWN:animal.n.01		гьайван	haja̹n
PWN:animation.n.01		уьмуьр	ymyr
PWN:ant.n.01		цегв	t͡seɡʷ
PWN:apparel.n.01		партал	partal
PWN:apple.n.01		ич	it͡ʃ
PWN:april.n.01		апрель	aprel
PWN:apt.s.03		акьуллу	aqʼullu
PWN:area.n.01		чка	t͡ʃka
PWN:arise.v.03		къарагъун	qaraʁun
PWN:arm.n.01		гъил	ʁil
PWN:arrive.v.01		атун	atun
PWN:arrow.n.02		хьел	xel
PWN:ascend.v.01		хкаж хьун	χkaʒ xun
PWN:ash.n.01		руьхъ	ryqʰ
PWN:ask.v.02		тӏалабун	tʼalabun
PWN:ask.v.05		жузун	ʒuzun
PWN:august.n.01		август	awɡust
PWN:aunt.n.01		хала	χala
PWN:aunt.n.01		эме	eme
PWN:awaken.v.01		ахварай авудун	aχa̹raj awudun
PWN:back.n.01		далу	dalu
PWN:back.r.02		кьулухъ	qʼuluqʰ
PWN:bad.a.01		пис	pis
PWN:bag.n.01		чанта	t͡ʃanta
PWN:bake.v.02		чурун	t͡ʃurun
PWN:bare.s.01		кьецӏил	qʼet͡sʼil
PWN:bark.n.01		чкал	t͡ʃkal
PWN:bark.v.04		элуькьун	elyqʼun
PWN:bathe.v.01		эхъуьн	eqʰyn
PWN:battle.n.01		женг	ʒenɡ
PWN:bay.n.01		бухта	buχta
PWN:be_born.v.01		хьун	xun
PWN:bear.n.01		сев	sew
PWN:beard.n.01		ччуру	t͡ʃt͡ʃuru
PWN:beautiful.a.01		иер	ier
PWN:become.v.01		хьун	xun
PWN:bed.n.01		тахт	taχt
PWN:begin.v.03		башламишун	baʃlamiʃun
PWN:believe.v.01		агъун	aʁun
PWN:beloved.s.01		играми	iɡrami
PWN:belt.n.02		чӏул	t͡ʃʼul
PWN:bend.v.01		патахъарун	pataqʰarun
PWN:benefit.n.02		менфят	menfæt
PWN:benefit.n.02		хийир	χijir
PWN:berry.n.01		куьлуь емиш	kyly emiʃ
PWN:better.v.02		хъсанрун	qʰsanrun
PWN:between.r.02		ара	ara
PWN:between.r.02		арада	arada
PWN:birch.n.02		верх	werχ
PWN:bird.n.01		луван ничхир	luwan nit͡ʃχir
PWN:bite.v.01		кӏасун	kʼasun
PWN:bitter.s.06		туькьуьл	tyqʼyl
PWN:black.a.01		чӏулав	t͡ʃʼulaw
PWN:blanket.n.01		яргъан	ærʁan
PWN:blast.v.07		акъатун	aqatun
PWN:blind.a.01		буьркьуь	byrqʼy
PWN:blood.n.01		иви	iwi
PWN:blow.v.01		уф гун	uf ɡun
PWN:blue.s.01		вили	wili
PWN:blunt.s.02		къуьруь	qyry
PWN:board.n.02		кьул	qʼul
PWN:board.n.02		тахта	taχta
PWN:boast.v.01		яцӏу гафар авун	æt͡sʼu ɡafar awun
PWN:boat.n.01		луьткве	lytkʷe
PWN:body.n.01		беден	beden
PWN:boil.v.01		ругун	ruɡun
PWN:boil.v.03		ругун	ruɡun
PWN:bone.n.01		кӏараб	kʼarab
PWN:book.n.01		улуб	ulub
PWN:boot.n.01		чекме	t͡ʃekme
PWN:botch.v.01		чӏурун	t͡ʃʼurun
PWN:boundary_line.n.01		сергьят	serhæt
PWN:bow.n.04		чӏемерук	t͡ʃʼemeruk
