id	style	word
Action:can.V		mog
Agriculture:farm.N		ferma
Animal:Acridomorpha.N		saltijuk
Animal:Annelida.N		wurma
Animal:Anthophila.N		mifen
Animal:Anura.N		bakak
Animal:Araneae.N		spaida
Animal:Aves.N		faula
Animal:Blattodea.N		kukaracha
Animal:Bos taurus.N		gova
Animal:Canis lupus familiaris.N		doga
Animal:Canis lupus.N		wulfa
Animal:Capra hircus.N		bakra
Animal:Cervidae.N		hiran
Animal:Cetacea.N		balena
Animal:Culicidae.N		moskita
Animal:Diptera.N		moska
Animal:Equus asinus.N		asla
Animal:Equus ferus caballus.N		kaval
Animal:Felis catus.N		kota
Animal:Felis leo.N		leon
Animal:Felis tigris.N		tigra
Animal:Formicidae.N		furmi
Animal:Gallus gallus domesticus.N		koko, kokina, kokkin
Animal:Homo sapiens.N		jen
Animal:Insecta.N		insekta
Animal:Lacertidae.N		lizarda
Animal:Leporidae.N		kunila
Animal:Mantodea.N		preijuk
Animal:Meleagris gallopavo.N		kalkun
Animal:Nephropidae.N		langusta
Animal:Ovis aries.N		yan
Animal:Rhopalocera.N		parpar
Animal:Sciuridae.N		belka
Animal:Serpentes.N		serpenta
Animal:Simiiformes.N		maimun
Animal:Sus scrofa domestica.N		swina
Animal:Testudines.N		tortuga
Animal:Ursidae.N		ber
Animal:Vulpes.N		foxa
Animal:animal.N		animal
Animal:dragon.N		dragon, lung (Chinese)
Animal:fish.N		fish
Animal:mouse.N		maus
Animal:wool.N		mao
Atmosphere:cloud.N		badal
Atmosphere:fog.N		tuman
Atmosphere:hail.N		aispluva
Atmosphere:rain.N		pluva
Atmosphere:rainbow.N		raduga
Atmosphere:sky.N		skay
Atmosphere:storm.N		storma
Atmosphere:thunder.N		guruha
Atmosphere:weather.N		meteo
Atmosphere:wind.N		feng
Belief:angel.N		anjel
Belief:bless.V		blesi
Belief:curse.V		damni
Belief:deity.N		boh
Belief:ghost.N		fantom
Belief:hell.N		inferna
Belief:holiday.N		festa, bugundey
Belief:holy.A		sante
Belief:magic.N		magia
Belief:priest.N		pop
Belief:religion.N		religion
Belief:rite.N		ritual
Belief:soul.N		atma
Body:anus.N		anus
Body:arm.N		braka
Body:back.N		bey
Body:beard.N		barba
Body:blood.N		hema
Body:body hair.N		mao
Body:body.N		korpa
Body:bone.N		osta
Body:brain.N		brein
Body:breast.N		mam
Body:breath.V		spiri
Body:buttock.N		popa
Body:cheek.N		wanga
Body:chest.N		sina
Body:chin.N		chibuk
Body:ear.N		aur
Body:egg.N		ovo
Body:eye.N		oko
Body:face.N		fas
Body:feather.N		pluma
Body:feces.N		fek
Body:finger.N		finga
Body:fist.N		kulak
Body:flesh.N		masu
Body:foot.N		peda
Body:forehead.N		frenta
Body:hand.N		handa
Body:head hair.N		har
Body:head.N		kapa
Body:heart.N		kordia
Body:heel.N		topuk
Body:hip.N		 
Body:horn.N		korna
Body:intestines.N		antra, antratot
Body:kidney.N		nefra
Body:knee.N		genu
Body:leg.N		gamba
Body:lip.N		laba
Body:liver.N		hepata
Body:lung.N		pulmon
Body:mouth.N		muh
Body:muscle.N		muskula
Body:nail.N		naka
Body:navel.N		nabla
Body:neck.N		galsa
Body:nerve.N		nerva
Body:nose.N		nos
Body:obese.A		grose
Body:organ.N		organ
Body:palm.N		pama
Body:penis.N		penis
Body:piss.N		urina
Body:shell.N		shel
Body:shoulder.N		plecha
Body:skeleton.N		skelet
Body:skin.N		derma
Body:sneeze.V		chihi
Body:spine.N		spina
Body:spit.V		spuki
Body:stomach.N		stomak
Body:sweat.N		sudor
Body:tail.N		kauda
Body:tear.N		larma
Body:testicle.N		testikla
Body:throat.N		gorla
Body:thumb.N		granfinga
Body:toe.N		pedafinga
Body:tongue.N		lisan
Body:tooth.N		denta
Body:vagina.N		vagina
Body:vein.N		vena
Body:waist.N		talia
Body:wing.N		ala
Body:wound.N		wunda
Body:wrist.N		polsa
Building:board.N		planka, tabula
Building:brick.N		brik
Building:build.V		bildi
Building:building.N		bildura
Building:camp.N		kampa
Building:ceiling.N		tavan
Building:cellar.N		kela
Building:chimney.N		fumtuba
Building:door.N		dwar
Building:fireplace.N		kamin
Building:floor.N		poda
Building:frame.N		frama
Building:house.N		dom
Building:pyramid.N		piramida
Building:roof.N		ruf
Building:room.N		shamba
Building:stairs.N		sulam
Building:tower.N		tawa
Building:wall.N		mur
Building:window.N		winda
Cleaning:dirty.A		gande
Clothing:apron.N		avantuh
Clothing:belt.N		belta
Clothing:cloth.N		kapra
Clothing:coat.N		palto, mantela
Clothing:collar.N		kolar
Clothing:dress.N		roba
Clothing:garment.N		klaida
Clothing:glove.N		ganta
Clothing:harness.N		jota
Clothing:hat.N		shapa
Clothing:jacket.N		jaka
Clothing:leather.N		piga
Clothing:naked.A		nude
Clothing:necktie.N		tay
Clothing:needle.N		igla
Clothing:pocket.N		posh
Clothing:sew.V		suti
Clothing:shirt.N		kamisa
Clothing:shoe.N		shu
Clothing:shorts.N		shorta
Clothing:silk.N		silka
Clothing:skirt.N		jupa
Clothing:sock.N		sok
Clothing:thread.N		filu
Clothing:towel.N		tualya
Clothing:trousers.N		panta
Clothing:uniform.N		uniforma
Clothing:veil.N		vual
Clothing:weave.V		texi
Combat:fight.V		batali, luchi
Combat:helmet.N		helma
Combat:wrestle.V		luchi
Communication:accept		aksepti
Communication:answer.V		jawabi
Communication:call.V		voki
Communication:deny.V		negi
Communication:gesture.V		jesti
Communication:letter.N		leta
Communication:offer.V		proposi
Communication:praise.V		laudi
Communication:telephone.N		telefon
Communication:television set.N		TV
Communication:thank.V		danki
Cosmos:Sun.N		surya
Cosmos:moon.N		luna
Cosmos:planet.N		planeta
Cosmos:star.N		stara
Cosmos:universe.N		universa, kosmo
Element:Ag.N		argenta
Element:Au.N		golda
Element:C.N		karbon
Element:Cu.N		kuprum
Element:Fe.N		fer
Element:K.N		kalium
Element:N.N		nitrogen
Element:Na.N		natrium
Element:Ne.N		neon
Element:O.N		oxigen
Element:Pb.N		plumbum
Element:S.N		sulfa
Element:Sn.N		tin
Emotion:feel.V		senti
Family:brother.N		brata
Family:daughter.N		docha
Family:family.N		familia
Family:father.N		patra (papa)
Family:grandfather.N		opa
Family:grandmother.N		oma
Family:husband.N		gamiman
Family:marriage.N		gama
Family:mother.N		mata (mama)
Family:sister.N		sista
Family:son.N		son
Family:wife.N		gamigina
Food:bake.V		peki
Food:drink.V		pi
Food:flour.N		farina
Food:salad.N		salata
Food:sandwich.N		sandwich
Food:sausage.N		sosis, sosiskin
Grooming:brush.N		brash
Handiwork:patch.N		 
Health:disease.N		morba
Health:fever.N		febra
Health:healthy.A		sane
Health:hospital.N		hospital
House:bed.N		kama
House:blanket.N		manta
House:curtain.N		kurtena
House:pillow.N		kushen
House:rug.N		tapis
Hunting:hunt.V		shikari, goni
Language:book.N		kitaba
Literature:alphabet.N		alfabet
Material:brass.N		latun
Matter:rust.N		ruja
Mind:dream.N		sonja (al nocha), drima (al dey)
Motion:bring.V		bringi
Motion:carry.V		porti
Motion:catch.V		kapti
Motion:come back.V		returni, lai bak
Motion:come.V		lai, arivi
Motion:enter.V		zin
Motion:fly.V		flai
Motion:go.V		go
Motion:leave.V		departi
Motion:ride.V		raki
Motion:roll.V		roli
Motion:turn (sth).V		turni
Motion:turn.V		roti
Music:sing.V		gani
Nature:river.N		riva
Nature:sea.N		mar, osean
People:baby.N		bebi
People:boy.N		boy
People:child.N		kinda
People:female.A		femina-ney
People:girl.N		gela
People:male.A		maskul-ney
People:man.N		man
People:woman.N		gina
Perception:feel.V		sensi
Perception:touch.V		tachi
Plant:Citrus sinensis.N		oranja
Plant:Ficus carica.N		figa
Plant:Gossypium.N		koton
Plant:bud.N		yema
Plant:plant.N		planta
Possession:receive.V		resivi
Quantity:0.NUM		nol
Quantity:1.NUM		un
Quantity:10.NUM		shi
Quantity:100.NUM		sto
Quantity:1000.NUM		mil
Quantity:10^6.NUM		milion
Quantity:2.NUM		dwa
Quantity:3.NUM		tri
Quantity:4.NUM		char
Quantity:5.NUM		pet
Quantity:6.NUM		sit
Quantity:7.NUM		sem
Quantity:8.NUM		ot
Quantity:9.NUM		nin
Society:help.V		helpi
Space:apart.ADV		separem
Space:back.ADV		bak
Storage:barrel.N		barela
Storage:basket.N		basketa
Storage:bottle.N		botela
Storage:box.N		boxa
Storage:bucket.N		dalwa
Storage:package.N		paketa
Storage:tin (can).N		tin-ken
Time:autumn.N		oton
Time:final.A		laste
Time:hour.N		ora
Time:late.ADV		tarde
Time:long ago.ADV		longtaim bak, davem
Time:month.N		mes
Time:never.ADV		neva
Time:new.A		nove
Time:night.N		nocha
Time:now.ADV		nau
