id	style	word	pronunciation
Action:can.V		galėti	ɡɐɫêːtʲɪ
Action:can.V		pajėgti	pɐjêːɡtʲɪ
Agriculture:herd (something).V		ganyti	ɡɐnîːtʲɪ
Agriculture:irrigate.V		laistyti	ɫâˑʲɪ̯stʲiːtʲɪ
Agriculture:irrigate.V		lieti	ɫîətʲɪ
Agriculture:pick.V		raškyti	rɐʃkîːtʲɪ
Agriculture:pick.V		skinti	skʲɪ̂ntʲɪ
Agriculture:shovel.N		semtuvas	sɛmtʊ̂ʋɐs
Animal:Anatidae.N		antis	âˑntʲɪs
Animal:Annelida.N		kirmėlė	kʲɪrmeːɫěː
Animal:Araneae.N		voras	ʋôːrɐs
Animal:Aves.N		paukštis	pɒʊ̯ˑkʃtʲɪs
Animal:Canis lupus familiaris.N		šuo	ʃuə
Animal:Canis lupus.N		vilkas	ʋʲɪ̂ɫˑkɐs
Animal:Corvus.N		varna	ʋâˑrnɐ
Animal:Culicidae.N		uodas	ûədɐs
Animal:Diptera.N		musė	mʊ̂seː
Animal:Equus ferus caballus.N		arklys	ɐrkɫǐːs
Animal:Felis catus.N		katė	kɐtěː
Animal:Formicidae.N		skruzdė	skrʊzděː
Animal:Gallus gallus domesticus.N		višta	ʋʲɪʃtɑ̂
Animal:Homo sapiens.N		žmogus	ʒmoɡʊ̂s
Animal:Ovis aries.N		avis	ɐʋʲɪ̂s
Animal:Rhopalocera.N		drugys	drʊɡǐːs
Animal:Rhopalocera.N		peteliškė	pɛtɛlʲɪ̂ʃkeː
Animal:Sciuridae.N		voveraitė	ʋoʋɛrâˑʲɪ̯teː
Animal:Serpentes.N		gyvatė	ɡʲiːʋǎteː
Animal:Sus scrofa domestica.N		kiaulė	kʲɛʊ̯ˑɫeː
Animal:Ursidae.N		lokys	ɫokǐːs
Animal:Vulpes.N		lapė	ɫǎpeː
Animal:animal.N		gyvūnas	ɡʲiːʋǔːnɐs
Animal:fish.N		žuvis	ʒʊʋʲɪ̂s
Animal:mouse.N		pelė	pɛɫěː
Animal:wool.N		vilna	ʋʲɪ̂ɫnɐ
Atmosphere:cloud.N		debesis	dɛbɛsʲɪ̂s
Atmosphere:cold.A		bejausmis	bɛjɒʊ̯ˑsmʲɪs
Atmosphere:cold.A		vėsus	ʋeːsʊ̂s
Atmosphere:fog.N		migla	mʲɪɡɫɑ̂
Atmosphere:fog.N		rūkas	rûːkɐs
Atmosphere:rain.N		lietus	ɫiətʊ̂s
Atmosphere:rain.V		lyti	ɫîːtʲɪ
Atmosphere:rainbow.N		vaivorykštė	ʋɐʲɪ̯ˑʋôːrʲiːkʃteː
Atmosphere:sky.N		dangus	dɐnɡʊ̂s
Atmosphere:thunder.N		griaustinis	ɡrʲɛʊ̯ˑstʲɪ̂nʲɪs
Atmosphere:thunder.N		perkūnas	pɛrkûːnɐs
Atmosphere:thunder.V		griaudėti	ɡrʲɪâˑʊ̯deːtʲɪ
Atmosphere:thunder.V		griausti	ɡrʲɪâˑʊ̯stʲɪ
Atmosphere:weather.N		oras	ôːrɐs
Atmosphere:wind.N		vėjas	ʋêːjɐs
Belief:deity.N		dievas	diəʋɐs
Belief:idol.N		figūra	fʲɪɡuːrɑ̂
Belief:spirit.N		dvasia	dʋɐsʲɛ̂
Body:arm.N		ranka	rɐnkɑ̂
Body:back.N		nugara	nʊ̂ɡɐrɐ
Body:beard.N		barzda	bɐrzdɑ̂
Body:belly.N		pilvas	pʲɪ̂ɫˑʋɐs
Body:blood.N		kraujas	krɒʊ̯ˑjɐs
Body:blow.V		pūsti	pǔːstʲɪ
Body:body.N		kūnas	kûːnɐs
Body:bone.N		kaulas	kâˑʊ̯ɫɐs
Body:brain.N		smegenys	smɛ̌ɡɛnʲiːs
Body:breast.N		krūtinė	kruːtʲɪ̂neː
Body:breath.N		kvapas	kʋǎpɐs
Body:breath.V		alsuoti	ɐɫsûətʲɪ
Body:breath.V		kvėpuoti	kʋeːpûətʲɪ
Body:cheek.N		skruostas	skrûəstɐs
Body:cheek.N		žandas	ʒâˑndɐs
Body:chest.N		krūtis	krǔːtʲɪ̂s
Body:chin.N		smakras	smǎkrɐs
Body:ear.N		ausis	ɒʊ̯ˑsʲɪ̂s
Body:elbow.N		alkūnė	ɐɫkûːneː
Body:eye.N		akis	ɐkʲɪ̂s
Body:face.N		veidas	ʋæ̂ˑʲɪ̯dɐs
Body:fat.N		riebalai	riəbɐɫɐʲɪ̯ˑ
Body:fat.N		taukai	tɒʊ̯ˑkɐʲɪ̯ˑ
Body:feather.N		plunksna	pɫʊ̂nksnɐ
Body:finger.N		pirštas	pʲɪ̂rˑʃtɐs
Body:fingernail.N		nagas	nǎɡɐs
Body:foot.N		pėda	peːdɑ̂
Body:footprint.N		pėdos	pêːdos
Body:footprint.N		pėdsakas	pêːdsɐkɐs
Body:footprint.N		vėžė	ʋeːʒěː
Body:forehead.N		kakta	kɐktɑ̂
Body:fur.N		kailis	kâˑʲɪ̯lʲɪs
Body:hair.N		plaukai	pɫɒʊ̯ˑkɐʲɪ̯ˑ
Body:hand.N		plaštaka	pɫǎʃtɐkɐ
Body:hand.N		ranka	rɐnkɑ̂
Body:head.N		galva	ɡɐɫʋɑ̂
Body:heart.N		širdis	ʃʲɪrdʲɪ̂s
Body:heel.N		kulnas	kʊ̂ɫˑnɐs
Body:horn.N		ragas	rǎɡɐs
Body:jaw.N		žandikaulis	ʒɐndʲɪ̂kɒʊ̯ˑlʲɪs
Body:knee.N		kelis	kɛ̌lʲɪs
Body:leg.N		koja	kôːjɐ
Body:lip.N		lūpa	ɫûːpɐ
Body:liver.N		kepenys	kɛ̌pɛnʲiːs
Body:moustache.N		ūsai	ǔːsɐʲɪ̯ˑ
Body:mouth.N		burna	bʊrnɑ̂
Body:nail.N		nagas	nǎɡɐs
Body:nape.N		sprandas	sprâˑndɐs
Body:navel.N		bamba	bâˑmbɐ
Body:neck.N		kaklas	kǎkɫɐs
Body:nose.N		nosis	nôːsʲɪs
Body:obese.A		riebus	riəbʊ̂s
Body:palm.N		delnas	dêˑɫnɐs
Body:palm.N		plaštaka	pɫǎʃtɐkɐ
Body:shoulder.N		petys	pɛtǐːs
Body:skin.N		oda	ôːdɐ
Body:stomach.N		skrandis	skrɐ̂nˑdʲɪs
Body:tail.N		uodega	uədɛɡɑ̂
Body:tear.N		ašara	ǎʃɐrɐ
Body:tendon.N		sausgyslė	sɒʊ̯ˑsɡʲiːsɫeː
Body:throat.N		gerklė	ɡɛrkɫeː
Body:toe.N		pirštas	pʲɪ̂rˑʃtɐs
Body:tongue.N		liežuvis	ɫiəʒʊ̂ʋʲɪs
Body:tooth.N		dantis	dɐntʲɪ̂s
Body:upper leg.N		kulšis	kʊ̂ɫʃʲɪs
Body:upper leg.N		šlaunis	ʃɫɒʊ̯ˑnʲɪ̂s
Body:vein.N		kraujagyslė	krɒʊ̯ˑjǎɡʲiːsɫeː
Body:wing.N		sparnas	spɐ̂rˑnɐs
Body:wound.N		žaizda	ʒɐʲɪ̯ˑzdɑ̂
Building:board.N		lenta	ɫɛntɑ̂
Building:build.V		pastatyti	pɐstɐtîːtʲɪ
Building:build.V		statyti	stɐtîːtʲɪ
Building:door.N		durys	dʊ̂rʲiːs
Building:floor.N		grindys	ɡrʲɪ̂nˑdʲiːs
Building:gate.N		vartai	ʋɐ̂rˑtɐʲɪ̯ˑ
Building:house.N		namas	nǎmɐs
Building:post.N		kartis	kâˑrtʲɪs
Building:post.N		lazda	ɫɐzdɑ̂
Building:roof.N		stogas	stôːɡɐs
Building:window.N		langas	ɫâˑnɡɐs
Cleaning:broom.N		šluota	ʃɫûətɐ
Cleaning:clean (sth).V		valyti	ʋɐɫîːtʲɪ
Cleaning:clean (sth).V		švarinti	ʃʋǎrʲɪntʲɪ
Cleaning:clean.A		švarus	ʃʋɐrʊ̂s
Cleaning:dirt.N		purvas	pʊ̂rˑʋɐs
Cleaning:dirty.A		nešvarus	nɛʃʋɐrʊ̂s
Cleaning:dirty.A		purvinas	pʊ̂rˑʋʲɪnɐs
Cleaning:sweep.V		šluoti	ʃɫûətʲɪ
Cleaning:wash (oneself).V		praustis	prɒʊ̯ˑstʲɪs
Cleaning:wash.V		mazgoti	mɐzɡôːtʲɪ
Cleaning:wash.V		plauti	pɫâˑʊ̯tʲɪ
Cleaning:wash.V		skalbti	skɐ̂ɫˑbtʲɪ
Cleaning:wipe.V		nušluostyti	nʊʃɫûəstʲiːtʲɪ
Clothing:belt.N		diržas	dʲɪ̂rˑʒɐs
Clothing:belt.N		juosta	jûəstɐ
Clothing:boot.N		auliniai batai	ɒʊ̯ˑlʲɪ̂nʲɛʲɪ̯ˑ bǎtɐʲɪ̯ˑ
Clothing:button.N		saga	sɐɡɑ̂
Clothing:cap.N		kepurė	kɛpʊ̂reː
Clothing:cloth.N		audeklas	âˑʊ̯dɛkɫɐs
Clothing:clothes.N		drabužiai	drɐbʊ̂ʒʲɛʲɪ̯ˑ
Clothing:clothes.N		rūbai	rǔːbɐʲɪ̯ˑ
Clothing:collar.N		apykaklė	ɐpîːkɐkɫeː
Clothing:dress up.V		apsirengti	ɐpsʲɪrɛ̂nˑɡtʲɪ
Clothing:dress up.V		rengtis	rɛ̂nˑɡtʲɪs
Clothing:dye.V		dažyti	dɐʒîːtʲɪ
Clothing:dye.V		nudažyti	nʊdɐʒîːtʲɪ
Clothing:knit.V		megzti	mɛ̂ɡztʲɪ
Clothing:leather.N		oda	ôːdɐ
Clothing:naked.A		nuogas	nûəɡɐs
Clothing:needle.N		adata	ǎdɐtɐ
Clothing:put on.V		apsivilkti	ɐpsʲɪʋʲɪ̂ɫˑktʲɪ
Clothing:put on.V		mauti	mâˑʊ̯tʲɪ
Clothing:scarf or turban.N		skarelė	skɐrɛ̌ɫeː
Clothing:sew.V		siūti	sʲɪûːtʲɪ
Clothing:shirt.N		marškiniai	mɐrʃkʲɪnʲɛʲɪ̯ˑ
Clothing:shoe.N		batas	bǎtɐs
Clothing:sleeve.N		rankovė	rɐnkôːʋeː
Clothing:thread.N		gija	ɡʲɪjɑ̂
Clothing:thread.N		siūlas	sʲɪûːɫɐs
Clothing:towel.N		rankšluostis	rɐ̂nˑkʃɫuəstʲɪs
Clothing:trousers.N		kelnės	kêˑɫneːs
Clothing:undress.V		numauti	nʊmâˑʊ̯tʲɪ
