id	style	word	pronunciation
PLX:1PL.pro		mēg	mɛːɡ
PLX:1SG.pro		minā	minɑː
PLX:2PL.pro		tēg	tɛːɡ
PLX:2SG.pro		sinā	sinɑː
PLX:3PL.pro		ne	nɛ
PLX:3SG M.pro		tämā	tæmɑː
PLX:and.cnj		un	un
PLX:because of.adp		pierāst	piɛrɑːst
PLX:behind.adp		tagān	tɑɡɑːn
PLX:beside.adp		kilgsõ	kilɡsə
PLX:beside.adp		kūoral	kuːorɑl
PLX:can.v		võidõ	vɨidə
PLX:die (from accident).V		kūolõ	kuːolə
PLX:everywhere.pro		a’mši	ɑˀmʃi
PLX:from here.adv		sī’ḑšt	siːˀɟʃt
PLX:from here.adv		tästā	tæstɑː
PLX:get sick.V		rujāks sǭdõ	rujɑːks sɔːdə
PLX:how many.pro		mits	mits
PLX:how.pro		kui	kui
PLX:in front of.adp		je’dsõ	jɛˀdsə
PLX:or.cnj		agā	ɑɡɑː
PLX:that.pro		se	sɛ
PLX:this.pro		ta	tɑ
PLX:under.adp		allõ	ɑlːə
PLX:what.pro		mis	mis
PLX:where.pro		kus	kus
PLX:where_to.pro		kunā	kunɑː
PLX:who.pro		kis	kis
PLX:why.pro		mikš	mikʃ
PWN:abandon.v.02		jettõ	jɛtːə
PWN:abdomen.n.01		vatsā	vɑtsɑː
PWN:above.r.02		i'llõ	iˈlːə
PWN:act.v.02		tī’edõ	tiːˀɛdə
PWN:add.v.01		jū’rõ pānda	juːˀrɨ pɑːndɑ
PWN:address.n.03		rõk	rɨk
PWN:affect.v.05		liktõ	liktə
PWN:affect.v.05		vǭŗštõ	vɔːrʲʃtə
PWN:again.r.01		tegīž	tɛɡiːʒ
PWN:age.n.01		igā	iɡɑː
PWN:ahead.r.03		je’ddõ	jɛˀdːə
PWN:ahead.r.03		je’ddõpē’ḑõn	jɛˀdːɨpɛːˀɟɨn
PWN:aid.n.02		a’b	ɑˀb
PWN:air.n.01		ȭ’g	ɨːˀɡ
PWN:alive.a.01		jelāb	jɛlɑːb
PWN:alive.a.01		je’ldzi	jɛˀldzi
PWN:all.a.01		tikkiž	tikːiʒ
PWN:allege.v.01		kītõ	kiːtə
PWN:alone.r.02		ikši’ggiņ	ikʃiˀɡːiɲ
