id	style	word	pronunciation
PWN:airplane.n.01		Fliger	
PWN:alligator.n.02		Krokodil	
PWN:ananas.n.01		Ananas	
PWN:ant.n.01		Seechomes	
PWN:apple.n.01		Apel	
PWN:ax.n.01		Aaxt	
PWN:ball.n.03		Ball	
PWN:banana.n.02		Banann	
PWN:bark.v.04		billen	
PWN:barrel.n.02		Faass	
PWN:basket.n.01		Kuerf	
PWN:bathe.v.01		bueden	
PWN:battery.n.02		Batterie	
PWN:bear.n.01		Bier	
PWN:beckon.v.01		wénken	
PWN:bed.n.01		Bett	
PWN:belt.n.02		Rimm	
PWN:bicycle.n.01		Vëlo	
PWN:bird.n.01		Vull	
PWN:bite.v.01		bäissen	
PWN:blow.v.01		blosen	
PWN:bone.n.01		Schank	
PWN:boot.n.01		Stiwwel	
PWN:bore.v.02		bueren	
PWN:bottle.n.01		Fläsch	
PWN:brawl.v.01		streiden	
PWN:broom.n.01		Biesem	
PWN:brush.n.02		Biischt	
PWN:burn.v.07		brennen	
PWN:bus.n.01		Bus	
PWN:butterfly.n.01		Päiperlek	
PWN:button.n.01		Knapp	
PWN:candle.n.01		Käerz	
PWN:cap.n.01		Mutz	
PWN:car.n.01		Auto	
PWN:carrot.n.01		Muert	
PWN:carve.v.01		schnëtzelen	
PWN:cat.n.01		Kaz	
PWN:chain.n.03		Ketten	
PWN:chair.n.01		Stull	
PWN:cheese.n.01		Kéis	
PWN:clean.v.01		botzen	
PWN:climb.v.01		klammen	
PWN:clock.n.01		Auer	
PWN:cloud.n.02		Wollek	
PWN:comb.n.01		Kamp	
PWN:comb.v.01		kämmen	
PWN:construct.v.01		bauen	
PWN:cook.v.02		kachen	
PWN:cow.n.01		Kou	
PWN:crawl.v.01		krabbelen	
PWN:cry.v.02		kräischen	
PWN:cucumber.n.02		Kornischong	
PWN:cut.v.01		schneiden	
PWN:dance.v.02		danzen	
PWN:dig.v.01		gruewen	
PWN:dive.v.03		tauchen	
PWN:dog.n.01		Hond	
PWN:doll.n.01		Popp	
PWN:drag.v.01		schleefen	
PWN:dress.n.01		Rack	
PWN:drink.v.01		drénken	
PWN:drip.v.01		drëpsen	
PWN:drive.v.01		fueren	
PWN:drown.v.03		erdrénken	
PWN:drum.n.01		Trommel	
PWN:dry.v.01		fönen 	
PWN:duck.n.01		Int	
PWN:ear.n.01		Ouer	
PWN:eat.v.01		iessen	
PWN:elephant.n.01		Elefant	
PWN:embrace.v.02		ëmäermelen	
PWN:eye.n.01		An	
PWN:fall.v.01		falen	
PWN:fall.v.23		ausrutschen	
PWN:feather.n.01		Fieder	
PWN:feed.v.01		fidderen	
PWN:fish.n.01		Fësch	
PWN:fish.v.02		fëschen	
PWN:flag.n.01		Fändel	
PWN:flip.v.06		geheien	
PWN:flower.n.02		Blumm	
PWN:fly.n.01		Méck	
PWN:fly.v.01		fléien	
PWN:fork.n.01		Forschette	
PWN:frog.n.01		Fräsch	
PWN:fry.v.02		broden	
PWN:gate.n.01		Dier	
PWN:gateway.n.01		Paart	
PWN:glass.n.01		Glas	
PWN:glue.n.01		pechen	
PWN:goat.n.01		Gees	
PWN:guitar.n.01		Gittar	
PWN:gun.n.01		Revolver	
PWN:hat.n.01		Hutt	
PWN:heart.n.02		Häerz	
PWN:hen.n.01		Hong	
PWN:horse.n.01		Päerd	
PWN:house.n.01		Haus	
PWN:hunt.v.01		op d'Juegd goen	
PWN:ignite.v.01		ufänken	
PWN:igniter.n.01		Briquet	
PWN:jump.v.01		sprangen	
PWN:kangaroo.n.01		Känguruh	
PWN:key.n.01		Schlëssel	
PWN:kick.v.03		schéissen	
PWN:knife.n.01		Messer	
PWN:knit.v.01		strécken	
PWN:knock.v.02		klappen	
PWN:ladder.n.01		Leeder	
PWN:laugh.v.01		laachen	
PWN:leaf.n.01		Blat	
PWN:leg.n.02		Been	
PWN:lick.v.02		lecken	
PWN:lion.n.01		Léiw	
PWN:listen.v.01		lauschteren	
PWN:mail.v.01		verschécken	
PWN:mailman.n.01		Bréifdréier	
PWN:make.v.49		pissen	
PWN:marry.v.01		bestueden	
PWN:massage.v.01		masséieren	
PWN:match.n.01		Fixfeier	
PWN:measure.v.01		moossen	
PWN:melt.v.01		schmëlzen	
PWN:milk.v.01		sträichen	
PWN:mix.v.04		mixen	
PWN:monkey.n.01		Af	
PWN:moon.n.01		Mound	
PWN:motorcycle.n.01		Moto	
PWN:mouse.n.01		Maus	
PWN:mushroom.n.02		Champignon	
PWN:necktie.n.01		Krawatt	
PWN:needle.n.03		Nol	
PWN:nest.n.01		Nascht	
PWN:newspaper.n.01		Zeitung	
PWN:nose.n.01		Nues	
PWN:onion.n.02		Ënn	
PWN:open.v.01		opmaachen	
PWN:owl.n.01		Eil	
PWN:paint.v.02		molen	
PWN:paint.v.02		molen	
PWN:paintbrush.n.01		Pinsel	
PWN:pan.n.01		Pan	
PWN:pear.n.01		Bir	
PWN:pen.n.01		Bic	
PWN:pencil.n.01		Bläistëft	
PWN:penguin.n.01		Pinguin	
PWN:photograph.v.01		fotographéieren	
PWN:pick.v.02		plécken	
PWN:pinch.v.01		pëtzen	
PWN:plant.n.02		planzen	
PWN:play.v.01		Golf spillen	
PWN:play.v.03		[Piano] spillen 	
PWN:plow.v.01		plouen	
PWN:pour.v.01		schëdden	
PWN:pull.v.01		zéien	
PWN:push.v.01		drécken	
PWN:rabbit.n.01		Kanéngchen	
PWN:rainbow.n.01		Reebou	
PWN:rake.v.01		reechen	
PWN:read.v.01		liesen	
PWN:ride.v.01		[Päerd] reiden	
PWN:ring.v.01		schellen	
PWN:roof.n.01		Dach	
PWN:row.v.01		rudderen	
PWN:rule.n.12		Lineal	
PWN:run.v.01		lafen	
PWN:sail.v.03		seegelen	
PWN:saw.n.02		See	
PWN:saw.n.02		seeën	
PWN:search.v.01		sichen	
PWN:sew.v.01		bitzen	
PWN:sharpen.v.01		schläifen	
PWN:shave.v.01		raséieren	
PWN:shears.n.01		Schéier	
PWN:shirt.n.01		Hiem	
PWN:shoe.n.01		Schong	
PWN:sing.v.02		sangen	
PWN:sink.v.01		ënnergoen	
PWN:sit_down.v.01		sëtzen	
PWN:skate.v.01		[Rollschong] fueren	
PWN:ski.n.01		[Schi] fueren	
PWN:skin.v.04		schielen	
PWN:sleep.v.01		schlofen	
PWN:smell.v.01		richen	
PWN:smoke.v.01		fëmmen	
PWN:snail.n.01		Schleek	
PWN:snake.n.01		Schlaang	
PWN:snog.v.01		këssen	
PWN:snowman.n.01		Schnéimännchen	
PWN:snuff_out.v.02		läschen	
PWN:sock.n.01		Strëmp	
PWN:sofa.n.01		Canapé	
PWN:spectacles.n.01		Brëll 	
PWN:spill.v.01		sabbelen 	
PWN:spin.v.06		spannen	
PWN:spoon.n.01		Läffel	
PWN:squeeze.v.02		auspressen	
PWN:squirrel.n.01		Kaweechelchen	
PWN:stairs.n.01		Trap	
PWN:star.n.03		Stär	
PWN:steal.v.01		klauen	
PWN:sting.v.02		picken	
PWN:stir.v.01		réieren	
PWN:sun.n.01		Sonn	
PWN:sweep.v.06		kieren	
PWN:swim.v.01		schwammen	
PWN:swing.v.01		klunschen	
PWN:table.n.02		Schreifdësch	
PWN:tail.n.01		Schwanz	
PWN:tank.n.01		Panzer	
PWN:tear.v.01		zerrappen	
PWN:telephone.n.01		Telefon	
PWN:television_receiver.n.01		Fernseh	
PWN:thermometer.n.01		Thermometer	
PWN:tie.v.01		strécken	
PWN:tiger.n.02		Tiger	
PWN:tomato.n.01		Tomat	
PWN:transport.v.02		droen	
PWN:tree.n.01		Bam	
PWN:trouser.n.01		Box	
PWN:turtle.n.02		Schildkröt	
PWN:umbrella.n.01		Prabbeli	
PWN:wake_up.v.02		erwächen	
PWN:walk.v.01		goen	
PWN:wash.v.03		[Kleeder] wäschen	
PWN:watch.v.01		Auer	
PWN:water.v.01		nätzen	
PWN:watermelon.n.02		Waassermeloun	
PWN:wave.n.01		Well	
PWN:weigh.v.01		weien	
PWN:whisper.v.01		pësperen	
PWN:whistle.v.03		päifen	
PWN:wipe_up.v.01		wëschen	
PWN:write.v.02		schreiwen	
PWN:zebra.n.01		Zebra	
