id	style	word	pronunciation
PLX:1PL.pro		минь	mʲiɲ
PLX:1SG.pro		мон	mon
PLX:2PL.pro		тинь	tʲiɲ
PLX:2SG.pro		тон	ton
PLX:3PL.pro		синь	sʲiɲ
PLX:3SG M.pro		сон	son
PLX:and.cnj		дъ	də
PLX:and.cnj		и	ji
PLX:because of.pp		сюнеда	sʲuɲeda
PLX:behind.pp		мельге	mʲelʲɡe
PLX:behind.pp		фтала	ftala
PLX:beside.pp		ваксса	vakssa
PLX:can.v		маштомс	maʃtoms
PLX:die (from accident).V		юма́мс	jumaˑms
PLX:everywhere.pro		се́мбе ва́стова	sʲeˑmbʲe vaˑstova
PLX:from here.adv		тя́ста	tʲaˑsta
PLX:get sick.V		сярядькстомс	sʲarʲadʲkstoms
PLX:how many.pro		мзя́ра	mzʲaˑra
PLX:how.pro		ко́да	koˑda
PLX:in front of.pp		инголе	jinɡolʲe
PLX:or.cnj		али	alʲi
PLX:or.cnj		или	jilʲi
PLX:that.pro		ся	sʲa
PLX:that.pro		тона	tona
PLX:this.pro		тя	tʲa
PLX:under.pp		ала	ala
PLX:what.pro		мезе	mʲezʲe
PLX:where.pro		коса	kosa
PLX:where_to.pro		ков	kov
PLX:where_to.pro		коза	koza
PLX:who.pro		кие	kije
PLX:why.pro		мес	mʲes
PWN:abandon.v.02		кадондомс	kadondoms
PWN:abdomen.n.01		пеке	peke
PWN:above.r.02		вяре	vʲarʲe
PWN:act.v.02		тиемс	tʲijems
PWN:add.v.01		ма́ксомс та́га	maˑksoms taˑɡa
PWN:add.v.01		пу́томс та́га	puˑtoms taˑɡa
PWN:address.n.03		вал	val
PWN:address.n.03		корхтама	korxtama
PWN:affect.v.05		токамс седи	tokams sʲedʲi
PWN:again.r.01		та́га	taˑɡa
PWN:age.n.01		эряф кизот	erʲaf kizot
PWN:age.n.01		эряфонь пинге	erʲafoɲ pinɡe
PWN:ahead.r.03		и́нголи	jiˑnɡolʲi
PWN:aid.n.02		лездома	lʲezdoma
PWN:air.n.01		кожф	koʒf
PWN:alive.a.01		эряй	erʲaj
PWN:all.a.01		сембе	sʲembʲe
PWN:allege.v.01		азомс	azoms
PWN:allege.v.01		мярьгомс	mʲarʲɡoms
PWN:alone.r.02		ськамонза	sʲkamonza
PWN:already.r.01		ни	ɲi
PWN:always.r.01		най	naj
PWN:always.r.01		фалу	falu
PWN:anger.v.01		кяжияфтомс	kaʒijaftoms
PWN:anger.v.02		кяжиямс	kaʒijams
PWN:animal.n.01		жува́та	ʒuvaˑta
PWN:animation.n.01		эряма	erʲama
PWN:animation.n.01		эряф	erʲaf
PWN:ant.n.01		панжам	panʒam
PWN:apparel.n.01		щам	ɕt͡ɕam
PWN:apple.n.01		марь	marʲ
PWN:april.n.01		шудиков	ʃudʲikov
PWN:apt.s.03		пря́ви	prʲaˑvʲi
PWN:apt.s.03		ёню	joɲu
PWN:area.n.01		ва́ста	vaˑsta
PWN:area.n.01		перьфпя́ль	perʲfpaˑlʲ
PWN:arise.v.03		стямс	stʲams
PWN:arm.n.01		кядь	kadʲ
PWN:arrive.v.01		пачкодемс	pat͡ɕkodʲems
PWN:arrive.v.01		самс	sams
PWN:arrive.v.01		самс	sams
PWN:arrow.n.02		нал	nal
PWN:ascend.v.01		кеподемс	kepodʲems
PWN:ash.n.01		кулу	kulu
PWN:ask.v.02		а́намс	aˑnams
PWN:ask.v.02		ве́шемс	vʲeˑʃems
PWN:ask.v.05		ки́зефтемс	kiˑzʲeftʲems
PWN:august.n.01		сёроньков	sʲoroɲkov
PWN:aunt.n.01		ака	aka
PWN:aunt.n.01		щака	ɕt͡ɕaka
PWN:awaken.v.01		стя́фтомс	stʲaˑftoms
PWN:awaken.v.01		съ́ргозьфтемс	səˑrɡozʲftʲems
PWN:back.n.01		копорь	koporʲ
PWN:back.r.01		ме́ки	mʲeˑki
PWN:back.r.02		ме́ки	mʲeˑki
PWN:bad.a.01		кальдяв	kalʲdʲav
PWN:bag.n.01		кошяльня	koʃalʲɲa
PWN:bake.v.02		пидемс	pidʲems
PWN:bare.s.01		кърхтапа	kərxtapa
PWN:bare.s.01		штада	ʃtada
PWN:bark.n.01		кер	ker
PWN:bark.v.04		ува́мс	uvaˑms
PWN:bathe.v.01		э́шелямс	eˑʃelʲams
PWN:battle.n.01		тюрема́	tʲurʲemaˑ
PWN:bay.n.01		ведьуське	vʲedʲusʲke
PWN:be_born.v.01		шачемс	ʃat͡ɕʲems
PWN:bear.n.01		офта	ofta
PWN:beard.n.01		сакал	sakal
PWN:beautiful.a.01		мазы	mazɨ
PWN:become.v.01		арамс	arams
PWN:become.v.01		тиевомс	tʲijevoms
PWN:bed.n.01		ацам	at͡sam
PWN:begin.v.03		ушедомс	uʃedoms
PWN:believe.v.01		кемамс	kemams
PWN:beloved.s.01		цебярь	t͡sʲebʲarʲ
PWN:belt.n.02		каркс	karks
PWN:bend.v.01		комафтомс	komaftoms
PWN:benefit.n.02		лезкс	lʲezks
PWN:benefit.n.02		пара	para
PWN:berry.n.01		и́мож	jiˑmoʒ
PWN:better.v.02		цебярьгофтомс	t͡sʲebʲarʲɡoftoms
PWN:between.r.02		ёткса	jotksa
PWN:birch.n.02		ке́лу	keˑlu
PWN:bird.n.01		нармонь	narmoɲ
PWN:bite.v.01		сускомс	suskoms
PWN:bitter.s.06		сяпи	sʲapi
PWN:black.a.01		равжа	ravʒa
PWN:blanket.n.01		вельхкс	vʲelʲxks
PWN:blast.v.07		ляцемс	lʲat͡sʲems
PWN:blind.a.01		сокор	sokor
PWN:blood.n.01		вер	vʲer
PWN:blow.v.01		уфа́мс	ufaˑms
PWN:blow.v.02		уфа́мс	ufaˑms
PWN:blue.s.01		сенем	sʲeɲem
PWN:blunt.s.02		ношка	noʃka
PWN:board.n.02		лавця	lavt͡sʲa
PWN:boast.v.01		шна́фтомс пря́	ʃnaˑftoms prʲaˑ
PWN:boat.n.01		венеж	vʲeɲeʒ
PWN:body.n.01		по́нда	poˑnda
PWN:body.n.01		ро́нга	roˑnɡa
PWN:boil.v.01		лакамс	lakams
PWN:boil.v.03		пидемс	pidʲems
PWN:bone.n.01		пакарь	pakarʲ
PWN:book.n.01		книга	kɲiɡa
PWN:boot.n.01		кя́ме	kaˑmʲe
PWN:botch.v.01		гастямс	ɡastʲams
PWN:botch.v.01		коламс	kolams
PWN:boundary_line.n.01		ёткаян	jotkajan
PWN:bow.n.04		нал	nal
PWN:box.n.01		парга	parɡa
PWN:brain.n.01		уй	uj
PWN:branch.n.02		морга	morɡa
PWN:branchlet.n.01		тарад	tarad
PWN:brawl.v.01		тюремс	tʲurʲems
PWN:bread.n.01		кши	kʃi
PWN:break.v.05		ка́лафтомс	kaˑlaftoms
PWN:break.v.05		си́ннемс	sʲiˑnɲems
PWN:breast.n.02		потя	potʲa
PWN:breath.n.02		ваймонь тарксема	vajmoɲ tarksʲema
PWN:breath.n.02		лекома	lʲekoma
PWN:breathe.v.01		ажнамс	aʒnams
PWN:bridge.n.01		седь	sʲedʲ
PWN:bright.a.01		валда	valda
PWN:bring.v.01		кандомс	kandoms
PWN:bring.v.01		пачфтемс	pat͡ɕftʲems
PWN:brook.n.01		шудерькс	ʃudʲerʲks
PWN:broom.n.01		тяльме	tʲalʲmʲe
PWN:brother.n.01		дуган	duɡan
PWN:brother.n.01		пяльне	palʲɲe
PWN:brow.n.01		коня	koɲa
PWN:bucket.n.01		ве́дарка	vʲeˑdarka
PWN:bull.n.01		бука	buka
PWN:bundle.n.02		кярьме	karʲmʲe
PWN:burn.v.03		паломс	paloms
PWN:burn.v.07		пълхта́мс	pəlxtaˑms
PWN:business.n.01		ладяф тев	ladʲaf tʲev
PWN:business.n.01		ладяфкс	ladʲafks
PWN:butter.n.01		вай	vaj
PWN:butterfly.n.01		ме́лав	mʲeˑlav
PWN:button.n.01		пуня	puɲa
PWN:buy.v.01		рамамс	ramams
PWN:calculate.v.01		лувомс	luvoms
PWN:calendar_month.n.01		ков	kov
PWN:call.v.05		серьгядемс	sʲerʲɡadʲems
PWN:campfire.n.01		то́лмар	toˑlmar
PWN:cap.n.01		вазь	vazʲ
PWN:cat.n.01		аваката	avakata
PWN:cat.n.01		катоня	katoɲa
PWN:catch.v.04		кунда́мс	kundaˑms
PWN:cause.n.01		туфта́л	tuftaˑl
PWN:cave.n.01		у́нда	uˑnda
PWN:cavil.v.01		сюцемс	sʲut͡sʲems
PWN:center.n.01		кучка́	kut͡ɕkaˑ
PWN:chair.n.01		стул	stul
PWN:change.v.01		полафтомс	polaftoms
PWN:character.n.08		бу́ква	buˑkva
PWN:cheap.a.01		аф пи́тни	af piˑtɲi
PWN:cheap.a.01		у́цез	uˑt͡sʲez
PWN:cheek.n.01		щёка	ɕt͡ɕʲoka
PWN:cherished.s.01		питни	pitɲi
PWN:chicken.n.02		сараз	saraz
PWN:child.n.01		идь	jidʲ
PWN:child.n.01		шаба	ʃaba
PWN:chin.n.01		ула	ula
PWN:choose.v.01		ко́чкамс	koˑt͡ɕkams
PWN:chop.v.01		лазондомс	lazondoms
PWN:church.n.02		це́рькав	t͡sʲeˑrʲkav
PWN:circle.n.03		шаркс	ʃarks
PWN:citizenry.n.01		наро́д	naroˑd
PWN:claw.n.01		кенже	kenʒe
PWN:clay.n.01		сёвонь	sʲovoɲ
PWN:clean.a.01		ару	aru
PWN:clean.v.01		а́роптомс	aˑroptoms
PWN:clean.v.01		ва́ткамс	vaˑtkams
PWN:climb.v.01		ку́цемс	kuˑt͡sʲems
PWN:close.v.01		сёлгомс	sʲolɡoms
PWN:cloud.n.02		ковол	kovol
PWN:coal.n.01		седь	sʲedʲ
PWN:coal.n.01		седьвальмя	sʲedʲvalʲmʲa
PWN:cock.n.04		а́тякш	aˑtʲakʃ
PWN:cold.a.01		кельме	kelʲmʲe
PWN:cold.a.01		эше	eʃe
PWN:coldness.n.03		якшама	jakʃama
PWN:collar.n.01		сиве	sʲivʲe
PWN:colorful.a.01		сёрмав	sʲormav
PWN:comb.n.01		сюрьхцем	sʲurʲxt͡sʲem
PWN:comb.v.01		се́ендемс	sʲeˑjendʲems
PWN:commend.v.01		шна́мс	ʃnaˑms
PWN:companion.n.01		я́лга	jaˑlɡa
PWN:company.n.03		кружок	kruʒok
PWN:complete.v.01		аде́ламс	adʲeˑlams
PWN:connect.v.01		сотомс	sotoms
PWN:conserve.v.02		ванфтомс	vanftoms
PWN:construct.v.01		путомс	putoms
PWN:conversation.n.01		корхтама	korxtama
PWN:converse.v.01		корхнемс	korxɲems
PWN:convey.v.01		азомс	azoms
PWN:cook.v.02		анокламс	anoklams
PWN:corner.n.03		ужа	uʒa
PWN:corpulent.s.01		куя́	kujaˑ
PWN:correctly.r.01		виде	vʲidʲe
PWN:cough.v.01		козомс	kozoms
PWN:count.n.01		лувкс	luvks
PWN:count.v.01		а́рьсемс	aˑrʲsʲems
PWN:count.v.01		лу́вомс	luˑvoms
PWN:country.n.02		мастор	mastor
