id	style	word	pronunciation
Action:can.V		мошта́ш	moʃtɑˑʃ
Agriculture:herd (something).V		кӱта́ш	kytɑˑʃ
Agriculture:irrigate.V		шава́ш	ʃɑvɑˑʃ
Agriculture:pick.V		кӱра́ш	kyrɑˑʃ
Agriculture:shovel.N		сово́к	sovoˑk
Agriculture:shovel.N		су́ско	suˑsko
Animal:Anatidae.N		лу́до	luˑdo
Animal:Annelida.N		шукш	ʃukʃ
Animal:Araneae.N		эҥыре́мыш	eŋɤreˑmɤʃ
Animal:Aves.N		ка́йык	kɑˑjɤk
Animal:Canis lupus familiaris.N		пий	pij
Animal:Canis lupus.N		пи́ре	piˑre
Animal:Corvus.N		кора́к	korɑˑk
Animal:Culicidae.N		шыҥа́	ʃɤŋɑˑ
Animal:Diptera.N		ка́рме	kɑˑrme
Animal:Equus ferus caballus.N		и́мне	jiˑmnʲe
Animal:Felis catus.N		пы́рыс	pɤˑrɤs
Animal:Formicidae.N		ку́тко	kuˑtko
Animal:Gallus gallus domesticus.N		чы́ве	t͡ʃɤˑve
Animal:Homo sapiens.N		айде́ме	ɑjdeˑme
Animal:Homo sapiens.N		еҥ	jeŋ
Animal:Ovis aries.N		шо́рык	ʃoˑrɤk
Animal:Rhopalocera.N		лы́ве	lɤˑve
Animal:Sciuridae.N		ур	ur
Animal:Serpentes.N		ки́шке	kiˑʃke
Animal:Sus scrofa domestica.N		сӧсна́	søsnɑˑ
Animal:Ursidae.N		маска́	mɑskɑˑ
Animal:Vulpes.N		ры́выж	rɤˑvɤʒ
Animal:animal.N		живо́тный	ʒivoˑtnɤj
Animal:animal.N		я́нлык	jɑˑnlɤk
Animal:fish.N		кол	kol
Animal:mouse.N		коля́	koʎɑˑ
Animal:wool.N		пун	pun
Atmosphere:cloud.N		пыл	pɤl
Atmosphere:cold.A		юа́лге	juɑˑlɡe
Atmosphere:cold.A		южгата́	juʒɡɑtɑˑ
Atmosphere:fog.N		тӱтыра́	tytɤrɑˑ
Atmosphere:rain.N		йӱр	jyr
Atmosphere:rain.V		йӱра́ш	jyrɑˑʃ
Atmosphere:rainbow.N		шонанпы́л	ʃonɑnpɤˑl
Atmosphere:sky.N		кава́	kɑvɑˑ
Atmosphere:thunder.N		кӱ́дырчӧ	kyˑdɤrt͡ʃø
Atmosphere:thunder.V		кӱдырта́ш	kydɤrtɑˑʃ
Atmosphere:thunder.V		сургалта́ш	surɡɑltɑˑʃ
Atmosphere:weather.N		иге́че	jiɡeˑt͡ʃe
Atmosphere:wind.N		марде́ж	mɑrdeˑʒ
Belief:deity.N		ю́мо	juˑmo
Belief:idol.N		фигу́р	fiɡuˑr
Belief:spirit.N		чон	t͡ʃon
Belief:spirit.N		ӧрт	ørt
Body:arm.N		кид	kid
Body:back.N		туп	tup
Body:beard.N		понда́ш	pondɑˑʃ
Body:belly.N		мӱ́шкыр	myˑʃkɤr
Body:blood.N		вӱр	vyr
Body:blow.V		пуала́ш	puɑlɑˑʃ
Body:body.N		кап	kɑp
Body:bone.N		лу	lu
Body:brain.N		вем	vem
Body:brain.N		вуйве́м	vujveˑm
Body:breast.N		чы́зе	t͡ʃɤˑze
Body:breath.N		шӱ́лыш	ʃyˑlɤʃ
Body:breath.V		шӱла́ш	ʃylɑˑʃ
Body:cheek.N		шӱ́ргӧ	ʃyˑrɡø
Body:chest.N		оҥ	oŋ
Body:chin.N		оҥыла́ш	oŋɤlɑˑʃ
Body:ear.N		пы́лыш	pɤˑlɤʃ
Body:elbow.N		кынерву́й	kɤnʲervuˑj
Body:eye.N		шинча́	ʃint͡ʃɑˑ
Body:face.N		чури́й	t͡ʃuriˑj
Body:fat.N		коя́	kojɑˑ
Body:feather.N		пы́стыл	pɤˑstɤl
Body:finger.N		парня́	pɑrnʲɑˑ
Body:fingernail.N		кидкӱ́ч	kidkyˑt͡ʃ
Body:fingernail.N		парнягӱ́ч	pɑrnʲɑɡyˑt͡ʃ
Body:foot.N		йол	jol
Body:foot.N		йолкопа́	jolkopɑˑ
Body:footprint.N		кыша́	kɤʃɑˑ
Body:forehead.N		саҥга́	sɑŋɡɑˑ
Body:fur.N		кова́ште	kovɑˑʃtʲe
Body:hair.N		ӱп	yp
Body:hand.N		кид	kid
Body:hand.N		копа́	kopɑˑ
Body:head.N		вуй	vuj
Body:heart.N		шӱм	ʃym
Body:heel.N		тага́н	tɑɡɑˑn
Body:horn.N		шур	ʃur
