id	style	word	pronunciation
PWN:airplane.n.01		ajruplan	
PWN:alligator.n.02		kukkudrill	
PWN:ananas.n.01		pineapple	
PWN:ant.n.01		nemla	
PWN:apple.n.01		tuffieħa	
PWN:ax.n.01		mannara	
PWN:ball.n.03		ballun	
PWN:banana.n.02		banana	
PWN:bark.v.04		tinbaħ	
PWN:barrel.n.02		bettija	
PWN:basket.n.01		qoffa	
PWN:bathe.v.01		tinħasel	
PWN:battery.n.02		batterija	
PWN:bear.n.01		ors	
PWN:beckon.v.01		ixxejjer	
PWN:bed.n.01		sodda	
PWN:belt.n.02		ċintorin	
PWN:bicycle.n.01		rota	
PWN:bird.n.01		għasfur	
PWN:bite.v.01		tigdem	
PWN:blow.v.01		tonfoħ	
PWN:bone.n.01		għadma	
PWN:boot.n.01		buza	
PWN:bore.v.02		ittaqqab	
PWN:bottle.n.01		flixkun	
PWN:brawl.v.01		tiġġieled	
PWN:broom.n.01		xkupa	
PWN:brush.n.02		brush	
PWN:burn.v.07		taqbad	
PWN:bus.n.01		karozza tal-linja	
PWN:butterfly.n.01		farfett	
PWN:button.n.01		buttuna	
PWN:candle.n.01		xemgħa	
PWN:cap.n.01		beritta	
PWN:car.n.01		karozza	
PWN:carrot.n.01		karrotta	
PWN:carve.v.01		tnaqqax	
PWN:cat.n.01		qattus	
PWN:chain.n.03		katina	
PWN:chair.n.01		siġġu	
PWN:cheese.n.01		ġobon	
PWN:clean.v.01		tnaddaf	
PWN:climb.v.01		titla'	
PWN:clock.n.01		arloġġ	
PWN:cloud.n.02		sħaba	
PWN:comb.n.01		pettne	
PWN:comb.v.01		tippettna	
PWN:construct.v.01		tibni	
PWN:cook.v.02		issajjar	
PWN:cow.n.01		baqra	
PWN:crawl.v.01		timxi mbè	
PWN:cry.v.02		tibki	
PWN:cucumber.n.02		ħjara	
PWN:cut.v.01		taqta'	
PWN:dance.v.02		tiżfen	
PWN:dig.v.01		tħaffer	
PWN:dive.v.03		taqbeż għal rasek	
PWN:dog.n.01		kelb	
PWN:doll.n.01		pupa	
PWN:drag.v.01		tkaxkar	
PWN:dress.n.01		libsa	
PWN:drink.v.01		tixrob	
PWN:drip.v.01		tqattar	
PWN:drive.v.01		issuq	
PWN:drown.v.03		tegħreq	
PWN:drum.n.01		tanbur	
PWN:dry.v.01		tnixxef	
PWN:duck.n.01		papra	
PWN:ear.n.01		widna	
PWN:eat.v.01		tiekol	
PWN:elephant.n.01		iljunfant	
PWN:embrace.v.02		tgħannaq	
PWN:eye.n.01		għajn	
PWN:fall.v.01		taqa'	
PWN:fall.v.23		tiżloq	
PWN:feather.n.01		rixa	
PWN:feed.v.01		titma'	
PWN:fish.n.01		ħuta	
PWN:fish.v.02		tistad	
PWN:flag.n.01		bandiera	
PWN:flip.v.06		tarmi	
PWN:flower.n.02		fjura	
PWN:fly.n.01		dubbiena	
PWN:fly.v.01		ittir	
PWN:fork.n.01		furketta	
PWN:frog.n.01		żrinġ	
PWN:fry.v.02		taqli	
PWN:gate.n.01		bieb	
PWN:gateway.n.01		kanċell	
PWN:glass.n.01		tazza	
PWN:glue.n.01		twaħħal	
