id	style	word	pronunciation
Action:can.V		mutembi	mutʰɤmpi
Agriculture:herd (something).V		adulambi	atulampi
Agriculture:irrigate.V		hungkerembi	xuŋkʰɤrɤmpi
Agriculture:irrigate.V		suitambi	suitʰampi
Agriculture:pick.V		fithembi	fitʰxɤmpi
Animal:Anatidae.N		niyehe	nijɤxɤ
Animal:Annelida.N		umiyaha	umijaxa
Animal:Araneae.N		helmehen	xɤlmɤxɤn
Animal:Araneae.N		helmeku	xɤlmɤkʰu
Animal:Aves.N		cecike	t͡ʃɤt͡ʃikʰɤ
Animal:Canis lupus familiaris.N		indahūn	intaxʊn
Animal:Canis lupus.N		niohe	ɲɔxɤ
Animal:Corvus.N		karaki	kʰarakʰi
Animal:Culicidae.N		oyo	ɔjɔ
Animal:Diptera.N		derhuwe	tɤrxuwɤ
Animal:Equus ferus caballus.N		morin	mɔrin
Animal:Felis catus.N		ujirhi	ud͡ʒirxi
Animal:Formicidae.N		yeruhuwe	jɤruxuwɤ
Animal:Gallus gallus domesticus.N		coko	t͡ʃɔkʰɔ
Animal:Homo sapiens.N		niyalma	nijalma
Animal:Ovis aries.N		honin	xɔnin
Animal:Rhopalocera.N		dondon	tɔntɔn
Animal:Sciuridae.N		soison	sɔisɔn
Animal:Serpentes.N		meihe	mɤixɤ
Animal:Sus scrofa domestica.N		ulgiyan	ulkijan
Animal:Ursidae.N		lefu	lɤfu
Animal:Vulpes.N		dobi	tɔpi
Animal:animal.N		ulha	ulxa
Animal:fish.N		nimaha	nimaxa
Animal:mouse.N		singgeri	siŋkɤri
Animal:wool.N		jafu	d͡ʒafu
Atmosphere:cloud.N		tugi	tʰuki
Atmosphere:cold.A		serguwen	sɤrkuwɤn
Atmosphere:cold.A		seruken	sɤrukʰɤn
Atmosphere:fog.N		talman	tʰalman
Atmosphere:rain.N		aga	aka
Atmosphere:rain.V		aga dambi	aka tampi
Atmosphere:rain.V		agambi	akampi
Atmosphere:rainbow.N		nioron	ɲɔrɔn
Atmosphere:sky.N		abka	apkʰa
Atmosphere:thunder.N		akjan	akʰd͡ʒan
Atmosphere:thunder.V		akjambi	akʰd͡ʒampi
Atmosphere:weather.N		abka	apkʰa
Atmosphere:weather.N		abkai sukdun	apkʰai sukʰtun
Atmosphere:wind.N		edun	ɤtun
Belief:deity.N		di	ti
Belief:deity.N		enduri	ɤnturi
Belief:idol.N		ūren	ʊrɤn
Belief:spirit.N		oori simen	ɔɔri simɤn
Body:arm.N		gala	kala
Body:arm.N		mayan	majan
Body:back.N		fisa	fisa
Body:back.N		seire	sɤirɤ
Body:beard.N		hūse	xʊsɤ
Body:belly.N		hefeli	xɤfɤli
Body:blood.N		senggi	sɤŋki
Body:blow.V		dambi	tampi
Body:body.N		beye	pɤjɤ
