id	style	word	pronunciation
PLX:1PL.pro		ман	man
PLX:1SG.pro		ам	am
PLX:2PL.pro		на̄н	naːn
PLX:2SG.pro		наӈ	naŋ
PLX:3PL.pro		та̄н	taːn
PLX:3SG M.pro		тав	taw
PLX:and.cnj		-г	-ɣ
PLX:and.cnj		ос	os
PLX:because of.pp		ма̄гыс	maːɣɪs
PLX:behind.pp		юи-палт	jui-palt
PLX:beside.pp		онтсыл	ontsɪl
PLX:beside.pp		по̄хат	poːχat
PLX:can.v		вермуӈкве	wʲermuŋkʷʲe
PLX:die (from accident).V		порсуӈкве	porsuŋkʷʲe
PLX:everywhere.pro		хо̄т акваг	χoːt akʷaɣ
PLX:from here.adv		тыгыл	tɪɣɪl
PLX:get sick.V		а̄гмыл ё̄мтуӈкве	aːɣmɪl joːmtuŋkʷʲe
PLX:how many.pro		манах	manaχ
PLX:how.pro		хумус	χumus
PLX:in front of.pp		э̄лы-па̄лт	ɤːlɪ-paːlt
PLX:or.cnj		ман	man
PLX:that.pro		та	ta
PLX:this.pro		ты	tɪ
PLX:under.pp		ёль-па̄лт	joʎ-paːlt
PLX:what.pro		маныр	manɪr
PLX:where.pro		хо̄т	χoːt
PLX:where_to.pro		хоталь	χotaʎ
PLX:who.pro		хотъют	χotjut
PLX:who.pro		хоӈха	χoŋχa
PLX:why.pro		манрыг	manrɪɣ
PWN:abandon.v.02		хулигла̄луӈкве	χuliɣlaːluŋkʷʲe
PWN:abdomen.n.01		пуки	puki
PWN:above.r.02		нумын	numɪn
PWN:act.v.02		ва̄руӈкве	waːruŋkʷʲe
PWN:add.v.01		нё̄туӈкве	ɲoːtuŋkʷʲe
PWN:address.n.03		сӯп-нэ̄лум	suːp-nɤːlum
PWN:affect.v.05		нёвумтаптуӈкве	ɲowumtaptuŋkʷʲe
PWN:again.r.01		о̄с	oːs
PWN:again.r.01		оста	osta
PWN:age.n.01		та̄л янытэ	taːl janɪtə
PWN:ahead.r.03		э̄лаль	ɤːlaʎ
PWN:aid.n.02		нё̄тмил	ɲoːtmil
PWN:air.n.01		лылыйэ̄п	lɪlɪjɤːp
PWN:alive.a.01		лылыӈ	lɪlɪŋ
PWN:all.a.01		пуссын	pusːɪn
PWN:allege.v.01		ла̄вуӈкве	laːwuŋkʷʲe
PWN:alone.r.02		такте̄т	taktʲeːt
PWN:already.r.01		та	ta
PWN:always.r.01		акваг	akʷaɣ
PWN:anger.v.01		кантмалтаӈкве	kantmaltaŋkʷʲe
PWN:anger.v.02		кантлуӈкве	kantluŋkʷʲe
PWN:animal.n.01		ӯйхул	uːjχul
PWN:animation.n.01		нот	not
PWN:animation.n.01		о̄лупса	oːlupsa
PWN:ant.n.01		хо̄свой	χoːswoj
PWN:apparel.n.01		маснут	masnut
PWN:apple.n.01		я̄блока	jaːbloka
PWN:april.n.01		апре̄ль	apreːʎ
PWN:april.n.01		яныгполь	janɪɣpoʎ
PWN:apt.s.03		номтыӈ	nomtɪŋ
PWN:area.n.01		ма̄	maː
PWN:arise.v.03		но̄х-лю̄люӈкве	noːχ-ʎuːʎuŋkʷʲe
PWN:arm.n.01		ка̄т	kaːt
PWN:arrive.v.01		ёхтуӈкве	joχtuŋkʷʲe
PWN:arrow.n.02		ня̄л	ɲaːl
PWN:ascend.v.01		но̄х-ха̄ӈхуӈкве	noːχ-χaːŋχuŋkʷʲe
PWN:ash.n.01		хӯлюм	χuːʎum
PWN:ask.v.02		во̄вуӈкве	woːwuŋkʷʲe
PWN:ask.v.05		китапа̄луӈкве	kitapaːluŋkʷʲe
PWN:ask.v.05		китыглаӈкве	kitɪɣlaŋkʷʲe
PWN:august.n.01		а̄вгуст	aːwɣust
PWN:august.n.01		во̄ртус э̄тпос	woːrtus ɤːtpos
PWN:aunt.n.01		а̄кв	aːkʷ
PWN:awaken.v.01		но̄х-са̄йкатаӈкве	noːχ-saːjkataŋkʷʲe
PWN:back.n.01		сыс	sɪs
PWN:back.r.01		юв-	juw-
PWN:back.r.01		ювле	juwʎe
PWN:back.r.02		ювле	juwʎe
PWN:bad.a.01		лю̄ль	ʎuːʎ
PWN:bag.n.01		сумка	sumka
PWN:bake.v.02		ва̄руӈкве	waːruŋkʷʲe
PWN:bare.s.01		ня̄р	ɲaːr
PWN:bare.s.01		ня̄р-ло̄мтыӈ	ɲaːr-loːmtɪŋ
PWN:bark.n.01		сӯл	suːl
PWN:bark.v.04		хортуӈкве	χortuŋkʷʲe
PWN:bathe.v.01		пувлуӈкве	puwluŋkʷʲe
PWN:battle.n.01		воритотнэ ва̄рмаль	woritotnə waːrmaʎ
PWN:bay.n.01		ло̄х	loːχ
PWN:be_born.v.01		самн патуӈкве	samn patuŋkʷʲe
PWN:bear.n.01		во̄рто̄лнут	woːrtoːlnut
PWN:bear.n.01		пупакве	pupakʷʲe
PWN:beard.n.01		тус	tus
PWN:beautiful.a.01		хуриӈ	χuriŋ
PWN:become.v.01		е̄мтуӈкве	jeːmtuŋkʷʲe
PWN:bed.n.01		хуйнэма	χujnəma
PWN:begin.v.03		о̄вылтаӈкве	oːwɪltaŋkʷʲe
PWN:believe.v.01		агтуӈкве	aɣtuŋkʷʲe
PWN:beloved.s.01		тюпыӈ	tʲupɪŋ
PWN:belt.n.02		энтап	əntap
PWN:bend.v.01		хӯтылтаӈкве	χuːtɪltaŋkʷʲe
PWN:benefit.n.02		па̄рыс	paːrɪs
PWN:benefit.n.02		по̄льса	poːʎsa
PWN:berry.n.01		пил	pil
PWN:better.v.02		ёмасыг ва̄руӈкве	jomasɪɣ waːruŋkʷʲe
PWN:between.r.02		хал	χal
PWN:birch.n.02		ха̄ль	χaːʎ
PWN:bird.n.01		товлыӈ ӯй	towlɪŋ uːj
PWN:bite.v.01		пуруӈкве	puruŋkʷʲe
PWN:bitter.s.06		восьрамыӈ	wosʲramɪŋ
PWN:black.a.01		сэ̄мыл	sɤːmɪl
PWN:blanket.n.01		лэ̄пта	lɤːpta
PWN:blast.v.07		па̄тлуптаӈкве	paːtluptaŋkʷʲe
PWN:blind.a.01		сампыльта̄л	sampɪʎtaːl
PWN:blood.n.01		ке̄луп	keːlup
PWN:blow.v.01		лылыэп пувлуӈкве	lɪlɪəp puwluŋkʷʲe
PWN:blow.v.02		во̄туӈкве	woːtuŋkʷʲe
PWN:blue.s.01		атырхари	atɪrχari
PWN:blunt.s.02		няс	ɲas
PWN:board.n.02		па̄рт	paːrt
PWN:board.n.02		сэ̄мыл па̄рт	sɤːmɪl paːrt
PWN:boast.v.01		э̄ссыгхатуӈкве	ɤːsːɪɣχatuŋkʷʲe
PWN:boat.n.01		ха̄п	χaːp
PWN:body.n.01		алпи	alpi
PWN:boil.v.01		па̄йтахтуӈкве	paːjtaχtuŋkʷʲe
PWN:boil.v.03		па̄йтуӈкве	paːjtuŋkʷʲe
PWN:bone.n.01		лув	luw
PWN:book.n.01		кнӣга	kniːɣa
PWN:book.n.01		нэпак	nəpak
PWN:boot.n.01		со̄пак	soːpak
PWN:botch.v.01		сакылтаӈкве	sakɪltaŋkʷʲe
PWN:boundary_line.n.01		граница	ɣranit͡sa
PWN:bow.n.04		ё̄вт	joːwt
PWN:box.n.01		то̄тап	toːtap
PWN:brain.n.01		валм	walm
PWN:branch.n.02		таг	taɣ
PWN:branchlet.n.01		тов	tow
PWN:brawl.v.01		алхатуӈкве	alχatuŋkʷʲe
PWN:bread.n.01		нянь	ɲaɲ
PWN:break.v.05		сакватаӈкве	sakʷataŋkʷʲe
PWN:breast.n.02		ма̄гыл	maːɣɪl
PWN:breath.n.02		лилтуп	liltup
PWN:breath.n.02		лылтыл	lɪltɪl
PWN:breathe.v.01		лылтуӈкве	lɪltuŋkʷʲe
PWN:bridge.n.01		унсах	unsaχ
PWN:bright.a.01		посыӈ	posɪŋ
PWN:bring.v.01		тотуӈкве	totuŋkʷʲe
PWN:brook.n.01		со̄юм	soːjum
PWN:broom.n.01		хоссуп	χosːup
PWN:brother.n.01		а̄пси	aːpsi
PWN:brother.n.01		ка̄ӈк	kaːŋk
PWN:brow.n.01		вӣльтъят	wiːʎtjat
PWN:bucket.n.01		ве̄тра	wʲeːtra
PWN:bull.n.01		ха̄рмис	χaːrmis
PWN:bundle.n.02		сяхыл	sʲaχɪl
PWN:burn.v.03		постуӈкве	postuŋkʷʲe
PWN:burn.v.07		тыттуӈкве	tɪttuŋkʷʲe
PWN:business.n.01		тыналап	tɪnalap
PWN:butter.n.01		во̄й	woːj
PWN:butterfly.n.01		ла̄панты	laːpantɪ
PWN:button.n.01		по̄хлап	poːχlap
PWN:buy.v.01		вёвтуӈкве	wʲowtuŋkʷʲe
PWN:calculate.v.01		ловиньтаӈкве	lowiɲtaŋkʷʲe
PWN:calendar_month.n.01		э̄тпос	ɤːtpos
PWN:call.v.05		во̄вуӈкве	woːwuŋkʷʲe
PWN:campfire.n.01		а̄рась	aːrasʲ
PWN:campfire.n.01		на̄й	naːj
PWN:cap.n.01		ке̄нт	keːnt
PWN:cat.n.01		кати	kati
PWN:catch.v.04		пувуӈкве	puwuŋkʷʲe
PWN:cause.n.01		нак	nak
PWN:cause.n.01		нар	nar
PWN:cave.n.01		ма̄ кӣвыр курсеп	maː kiːwɪr kursʲep
PWN:cavil.v.01		ля̄втуӈкве	ʎaːwtuŋkʷʲe
PWN:center.n.01		котиль	kotiʎ
PWN:center.n.01		сым	sɪm
PWN:chair.n.01		улас	ulas
PWN:change.v.01		пентуӈкве	pentuŋkʷʲe
PWN:character.n.08		буква	bukʷa
PWN:cheap.a.01		тынта̄л	tɪntaːl
PWN:cheek.n.01		па̄йт	paːjt
PWN:cherished.s.01		тиныӈ	tinɪŋ
PWN:chicken.n.02		нэ̄-сиськурек	nɤː-sisʲkurek
PWN:child.n.01		ня̄вра̄м	ɲaːwraːm
PWN:chin.n.01		э̄ӈын	ɤːŋɪn
PWN:choose.v.01		пе̄рияӈкве	peːrijaŋkʷʲe
PWN:chop.v.01		са̄груӈкве	saːɣruŋkʷʲe
PWN:church.n.02		ялпыӈ кол	jalpɪŋ kol
PWN:circle.n.03		ла̄кв	laːkʷ
PWN:circle.n.03		ла̄квап	laːkʷap
PWN:citizenry.n.01		ма̄хум	maːχum
PWN:claw.n.01		кос	kos
PWN:clay.n.01		ра̄кт	raːkt
PWN:clean.a.01		сыстам	sɪstam
PWN:clean.v.01		хот-сыстамтаӈкве	χot-sɪstamtaŋkʷʲe
PWN:climb.v.01		ла̄пыгла̄луӈкве	laːpɪɣlaːluŋkʷʲe
PWN:close.v.01		лап-пантуӈкве	lap-pantuŋkʷʲe
PWN:close.v.01		лап-то̄вартаӈкве	lap-toːwartaŋkʷʲe
PWN:cloud.n.02		тул	tul
PWN:coal.n.01		лотых	lotɪχ
PWN:cock.n.04		сиськурек	sisʲkurek
PWN:cold.a.01		асирмаӈ	asirmaŋ
PWN:cold.a.01		сэ̄кв	sɤːkʷ
PWN:coldness.n.03		асирма	asirma
PWN:collar.n.01		сыплув то̄р	sɪpluw toːr
PWN:collar.n.01		тулх	tulχ
PWN:colorful.a.01		хансаӈ	χansaŋ
PWN:comb.n.01		консуп	konsup
PWN:comb.v.01		консуӈкве	konsuŋkʷʲe
PWN:commend.v.01		э̄сгуӈкве	ɤːsɣuŋkʷʲe
PWN:companion.n.01		рума	ruma
PWN:companion.n.01		юрт	jurt
PWN:company.n.03		мир	mir
PWN:complete.v.01		а̄стлаӈкве	aːstlaŋkʷʲe
PWN:complete.v.01		холтуӈкве	χoltuŋkʷʲe
PWN:connect.v.01		акван-нэ̄гыгла̄луӈкве	akʷan-nɤːɣɪɣlaːluŋkʷʲe
PWN:connect.v.01		о̄лтуӈкве	oːltuŋkʷʲe
PWN:conserve.v.02		ӯргалым о̄ньсюӈкве	uːrɣalɪm oːɲsʲuŋkʷʲe
PWN:construct.v.01		ва̄руӈкве	waːruŋkʷʲe
PWN:construct.v.01		ӯнттуӈкве	uːnttuŋkʷʲe
PWN:conversation.n.01		ля̄ххал	ʎaːχχal
PWN:converse.v.01		халанылт потрамаӈкве	χalanɪlt potramaŋkʷʲe
PWN:convey.v.01		хӯлтмалтаӈкве	χuːltmaltaŋkʷʲe
PWN:cook.v.02		сё̄питаӈкве	sʲoːpitaŋkʷʲe
PWN:corner.n.03		са̄м	saːm
PWN:corpulent.s.01		во̄иӈ	woːiŋ
PWN:correctly.r.01		ве̄ськат	wʲeːsʲkat
PWN:correctly.r.01		ма̄к	maːk
PWN:cough.v.01		ка̄квасьлаӈкве	kaːkʷasʲlaŋkʷʲe
PWN:count.n.01		са̄вит	saːwit
PWN:count.v.01		ловиньтаӈкве	lowiɲtaŋkʷʲe
PWN:country.n.02		ма̄	maː
PWN:cover.v.01		пантыгла̄луӈкве	pantɪɣlaːluŋkʷʲe
PWN:cow.n.01		мис	mis
PWN:cradle.n.01		а̄па	aːpa
PWN:crane.n.05		та̄рыг	taːrɪɣ
PWN:crawl.v.01		ва̄ӈксаӈкве	waːŋksaŋkʷʲe
PWN:crisscross.n.01		перна	perna
PWN:crow.n.01		ӯринэ̄ква	uːrinɤːkʷa
PWN:cry.n.01		во̄вил	woːwil
PWN:cry.v.02		лю̄ньсюӈкве	ʎuːɲsʲuŋkʷʲe
PWN:cuckoo.n.02		куккук	kukkuk
PWN:cup.n.01		а̄ни	aːni
PWN:current.n.02		ов	ow
PWN:cut.v.01		яктуӈкве	jaktuŋkʷʲe
PWN:damage.n.01		яныг лю̄ль	janɪɣ ʎuːʎ
PWN:damage.v.01		хот-сакватаӈкве	χot-sakʷataŋkʷʲe
PWN:damp.s.01		витхарыӈ	witχarɪŋ
PWN:dance.v.02		йӣквуӈкве	jiːkʷuŋkʷʲe
PWN:dark.a.01		сатум	satum
PWN:dark.a.01		турман	turman
PWN:daughter.n.01		а̄ги	aːɣi
PWN:day.n.01		хо̄тал	χoːtal
PWN:deaf.a.01		пальта̄л	paʎtaːl
PWN:death.n.01		сорум	sorum
PWN:deceive.v.01		ла̄плаӈкве	laːplaŋkʷʲe
PWN:december.n.01		ва̄ти хо̄тал э̄тпос	waːti χoːtal ɤːtpos
PWN:december.n.01		дека̄брь	dʲekaːbr
PWN:decompose.v.03		хот-саянтаӈкве	χot-sajantaŋkʷʲe
PWN:decorate.v.01		хорамтаӈкве	χoramtaŋkʷʲe
PWN:decrease.v.01		ма̄ньмуӈкве	maːɲmuŋkʷʲe
PWN:defend.v.03		воянтаӈкве	wojantaŋkʷʲe
PWN:deft.s.01		а̄прыӈ	aːprɪŋ
PWN:deity.n.01		то̄рум	toːrum
PWN:depart.v.03		лаквсантаӈкве	lakʷsantaŋkʷʲe
PWN:descend.v.01		ёл-минанта̄таӈкве	jol-minantaːtaŋkʷʲe
PWN:desire.n.01		сыме тахнэ ва̄рмаль	sɪme taχnə waːrmaʎ
PWN:desire.v.01		таӈхуӈкве	taŋχuŋkʷʲe
PWN:destroy.v.02		хот-сакватаӈкве	χot-sakʷataŋkʷʲe
PWN:detect.v.01		ка̄салаӈкве	kaːsalaŋkʷʲe
PWN:die.v.01		сорумн патуӈкве	sorumn patuŋkʷʲe
PWN:different.a.01		са̄в хурпи	saːw χurpi
PWN:different.a.01		са̄всир	saːwsir
PWN:dig.v.01		хилуӈкве	χiluŋkʷʲe
PWN:digest.v.03		ве̄ритаӈкве	wʲeːritaŋkʷʲe
PWN:dirt.n.02		па̄ӈк	paːŋk
PWN:dirty.a.01		па̄ӈкыӈ	paːŋkɪŋ
PWN:disappear.v.01		хотталь со̄ймыгпаӈкве	χottaʎ soːjmɪɣpaŋkʷʲe
PWN:discontinue.v.01		по̄йтуӈкве	poːjtuŋkʷʲe
PWN:disease.n.01		а̄гм	aːɣm
PWN:dish.n.01		а̄ны̄сан	aːnɪːsan
PWN:dissolve.v.09		толуӈкве	toluŋkʷʲe
PWN:distance.n.01		хал	χal
PWN:distance.n.03		палыт	palɪt
PWN:distance.n.03		хал	χal
PWN:dive.v.03		мӯрсаӈкве	muːrsaŋkʷʲe
PWN:divide.v.01		уртуӈкве	urtuŋkʷʲe
PWN:doctor.n.01		ле̄ккар	ʎeːkkar
PWN:dog.n.01		амп	amp
PWN:doll.n.01		а̄кань	aːkaɲ
PWN:down.r.01		ёлаль	jolaʎ
PWN:drag.v.01		харттаӈкве	χarttaŋkʷʲe
PWN:dream.n.01		ӯлум	uːlum
PWN:dress.v.01		масхатуӈкве	masχatuŋkʷʲe
PWN:drink.v.01		аюӈкве	ajuŋkʷʲe
PWN:drive.v.01		минуӈкве	minuŋkʷʲe
PWN:drive.v.15		кон-ня̄влуӈкве	kon-ɲaːwluŋkʷʲe
PWN:drop.n.01		витсам	witsam
PWN:drop.v.01		ёл-паттуӈкве	jol-pattuŋkʷʲe
PWN:drove.n.02		аня	aɲa
PWN:dry.a.01		то̄сам	toːsam
PWN:dry.v.01		тосуӈкве	tosuŋkʷʲe
PWN:duck.n.01		ва̄с	waːs
PWN:dust.n.01		порыс	porɪs
PWN:dye.v.01		ке̄ллаӈкве	keːllaŋkʷʲe
PWN:eagle.n.01		ю̄свой	juːswoj
PWN:ear.n.01		паль	paʎ
PWN:earlier.r.01		са̄ртыннув	saːrtɪnnuw
PWN:east.n.01		хо̄тал нэ̄глын е̄р	χoːtal nɤːɣlɪn jeːr
PWN:eat.v.01		тэ̄ӈкве	tɤːŋkʷʲe
PWN:edge.n.06		е̄р	jeːr
PWN:egg.n.02		мӯӈи	muːŋi
PWN:eight.s.01		нёлолов	ɲololow
PWN:eighty.s.01		нёлса̄т	ɲolsaːt
PWN:elapse.v.01		холуӈкве	χoluŋkʷʲe
PWN:elbow.n.01		конылуво̄выл	konɪluwoːwɪl
PWN:eleven.s.01		аквхойплов	akʷχojplow
PWN:elk.n.01		янгуй	janɣuj
PWN:emerge.v.01		е̄мтуӈкве	jeːmtuŋkʷʲe
PWN:employment.n.02		ва̄рил	waːril
PWN:employment.n.02		рӯпата	ruːpata
PWN:empty.a.01		та̄тыл	taːtɪl
PWN:end.n.03		о̄выл	oːwɪl
PWN:end.n.09		о̄выл	oːwɪl
PWN:end.v.01		а̄стапаӈкве	aːstapaŋkʷʲe
PWN:enter.v.01		ла̄пуӈкве	laːpuŋkʷʲe
PWN:enter.v.01		сялтуӈкве	sʲaltuŋkʷʲe
PWN:entirely.r.02		туп	tup
PWN:erstwhile.s.01		мо̄лал о̄лум	moːlal oːlum
PWN:escape.v.01		хотыл оюӈкве	χotɪl ojuŋkʷʲe
PWN:evening.n.01		ӣтипа̄ла	iːtipaːla
PWN:evening.n.01		э̄типа̄ла	ɤːtipaːla
PWN:evil.a.01		кантыӈ	kantɪŋ
PWN:exchange.v.01		пе̄нтхатуӈкве	peːntχatuŋkʷʲe
PWN:exclaim.v.01		ро̄ӈхуӈкве	roːŋχuŋkʷʲe
PWN:exit.v.01		сысы минуӈкве	sɪsɪ minuŋkʷʲe
PWN:expensive.a.01		тиныӈ	tinɪŋ
PWN:extraneous.s.03		хасьта̄л	χasʲtaːl
PWN:eye.n.01		сам	sam
PWN:fabric.n.01		то̄р	toːr
PWN:face.n.01		вӣльт	wiːʎt
PWN:faineant.s.01		савыӈ	sawɪŋ
PWN:fairytale.n.01		мо̄йт	moːjt
PWN:fall.n.01		таквс	takʷs
PWN:fall.v.01		патуӈкве	patuŋkʷʲe
