id	style	word	transcription	etymology
PLX:1PL EXCL.pro		peb (1)		
PLX:1PL INCL.pro		peb (1)		
PLX:1PL.pro		peb (1)		
PLX:1SG.pro		kuv		
PLX:2PL.pro		nej		
PLX:2SG.pro		koj		
PLX:3PL.pro		lawv		
PLX:3SG F.pro		nws		
PLX:3SG INAN.pro		nws		
PLX:3SG M.pro		nws		
PLX:3SG.pro		nws		
PLX:above.pp		saum		
PLX:after.pp		tom qab		
PLX:and.cnj		thiab		
PLX:at.pp		ntawm		
PLX:at.pp		tom (2)		
PLX:be late.v		lig		
PLX:because.cnj		vim		cmn:wèi (cǐ)
PLX:behind.pp		qab (1)		
PLX:beside.pp		ntawm ib sab		
PLX:carry in hand.v		nqa		
PLX:carry on shoulder.v		kwv (2)		
PLX:daughter-in-law (of man).n		nyab		:*nam
PLX:daughter-in-law (of woman).n		nyab		:*nam
PLX:day after tomorrow.adv		nag kis, naskis		
PLX:day before yesterday.adv		hnub hnub		
PLX:digging stick.n		pas cog nplej		
PLX:fall silent.v		ntsiag to		
PLX:father's brother.n		txiv hlob		
PLX:father's brother.n		txiv ntxawm		
PLX:father's sister.n		phauj		
PLX:father-in-law (of man).n		txiv (1)		
PLX:father-in-law (of man).n		yawg txiv		
PLX:father-in-law (of woman).n		txiv (1)		
PLX:father-in-law (of woman).n		txiv yawg		
PLX:fermented alcohol.n		cawv		ltc:tsjuwX
PLX:fish poison root.n		tshuaj lom		
PLX:fish trap.n		tawb cuab ntses		
PLX:head hair.n		plaub-hau		
PLX:how many pieces.pro		pes tsawg		
PLX:how much.pro		npaum li cas		
PLX:how.pro		ua li cas		
PLX:if.cnj		yog		
PLX:in front of.pp		hauv ntej		
PLX:in.pp		hauv		
PLX:inside.pp		hauv		
PLX:mother's brother.n		dab laug		
PLX:mother's sister.n		niam tais		
PLX:mother-in-law (of man).n		niam		
PLX:mother-in-law (of man).n		niam tais		
PLX:mother-in-law (of woman).n		niam		
PLX:mother-in-law (of woman).n		niam pog		
PLX:or.cnj		los (3)		
PLX:outside.pp		nraum		
PLX:parents-in-law.n		niam txiv		
PLX:son-in-law (of man).n		vauv		:Unidentifiable
PLX:son-in-law (of woman).n		vauv		:Unidentifiable
PLX:stab to death.v		nkaug		
PLX:stab to death.v		nplhos		
PLX:that.pro		ntawd		
PLX:this.pro		no, nov		
PLX:under.pp		hauv qab		
PLX:what.pro		dabtsi		
PLX:when.pro		thaum twg		
PLX:where.pro		qhov twg		
PLX:which Q.pro		twg		
PLX:who.pro		leej twg		
PLX:why.pro		ua li cas		
PLX:why.pro		vim li cas		
PLX:with.pp		nrog (2)		
PLX:yes.ptcl		aws, wm		
PWN:abdomen.n.01		plab		
PWN:above.r.02		siab (2)		
PWN:accuse.v.01		foob		lao:fɔɔŋ
PWN:accuse.v.01		liam		
PWN:acorn.n.01		noob txiv qhib		
PWN:act.v.02		ua		
PWN:address.n.06		chaw nyob		
PWN:admit.v.01		lav paub		
PWN:admit.v.01		lees		
PWN:adobe.n.02		tsev av		
PWN:adultery.n.01		sib-deev		
PWN:adz.n.01		piab		
PWN:afternoon.n.01		tav su		
PWN:again.r.01		dua (2)		
PWN:age.n.01		as nyub		lao:àa-nyu
PWN:age.n.01		hnub nyoog, hnub nyug, hnoob nyoog		
PWN:air.n.01		pa		ltc:pjuwng, pjuwngH
PWN:airplane.n.01		dav hlau		
PWN:all.a.01		huv si		
PWN:all.a.01		tib si		
PWN:allege.v.01		hais		
PWN:alligator.n.02		kheb		lao:khɛɛ
PWN:alone.r.02		ib-leeg		
PWN:altar.n.02		thaj		cmn:tán
PWN:always.r.01		ib txwm		
PWN:amazed.s.01		ras dheev		
PWN:ambush.n.01		tos kev tua		
PWN:ancestor.n.01		pog koob yawg koob		
PWN:anchor.n.01		thauj tog rau nkoj		
PWN:anger.n.02		npau taws		
PWN:animal.n.01		tsiaj, tsiaj txhu		
PWN:animation.n.01		txoj-sia		
PWN:ankle.n.01		dab-taws		
PWN:ankle.n.01		yas taw		
PWN:announce.v.01		ncha moo		
PWN:announce.v.01		tshaj tawm		
PWN:answer.v.01		teb (2)		
PWN:ant.n.01		ntsaum		
PWN:anteater.n.02		kum zaug		
PWN:anvil.n.01		thaiv		
PWN:anxiety.n.02		txhawj siab		
PWN:apparel.n.01		khaub ncaws		
PWN:apparel.n.01		ris tsho		
PWN:approach.v.01		mus kom ze		
PWN:apt.s.03		ntse		
PWN:arch.n.04		koov		
PWN:arm.n.01		caj-npab		
PWN:arm.n.01		tes		
PWN:armpit.n.01		qhov-tsos		
PWN:army.n.01		pawg tub-rog		
PWN:arrive.v.01		los txog		
PWN:arrive.v.01		tuaj		
PWN:arrive.v.01		tuaj txog		
PWN:arrow.n.02		xub (2)		
PWN:artery.n.01		leeg		
PWN:ascend.v.01		nce		
PWN:ash.n.01		tshauv		
PWN:ask.v.02		thov		
PWN:ask.v.05		nug, noog		
PWN:attack.n.05		mus tua		
PWN:avaricious.s.01		siab hlob		
PWN:ax.n.01		taus		
PWN:axle.n.01		qag		
PWN:baby.n.01		mos ab		
PWN:back.n.01		duav (1)		
PWN:back.n.01		nrob qaum		
PWN:bad.a.01		phem		cmn:pǐ
PWN:bait.n.02		kab nuv ntses		
PWN:bake.v.02		ci		ltc:tsyek
PWN:bald.s.02		do hau		
PWN:ball.n.03		npas		lao:bàan
PWN:ball.n.03		pob		cmn:bāo
PWN:bamboo.n.01		xyoob		ltc:swinX
PWN:banana.n.02		txiv tsawb		ltc:tsjew
PWN:banyan.n.01		ntoo faj khaum		
PWN:bare.s.01		liab qab		
PWN:bark.n.01		tawv (1)		
PWN:barter.v.01		pauv		
PWN:basket.n.01		pob-tawb		
PWN:bat.n.01		puav		ltc:pjuwk
PWN:bathe.v.01		da dej		
PWN:battery.n.02		roj teeb		
PWN:battle.n.01		tsov rog		
PWN:be.v.03		nyob		
PWN:be.v.03		yog		
PWN:be.v.11		ciaj-sia		
PWN:be_born.v.01		yug los		
PWN:bead.n.01		hlaws		
PWN:beak.n.02		kaus ncauj		
PWN:beam.n.02		nqaj-tse		
PWN:bean.n.01		taum		ltc:top
PWN:bear.n.01		dais		
PWN:beard.n.01		hwj-txwv		cmn:hú zi
PWN:beautiful.a.01		zoo nkauj		
PWN:bed.n.01		txaj		
PWN:bee.n.01		muv		
PWN:beehive.n.04		xub (1)		
PWN:beer.n.01		npias		fra:bière
PWN:beeswax.n.01		ciab-mu		
PWN:beggar.n.01		neeg thov khawv		
PWN:begin.v.03		chiv		cmn:qǐ
PWN:begin.v.03		pib		
PWN:beginning.n.01		chiv keeb		cmn:qǐ gēng
PWN:believe.v.01		ntseeg		
PWN:belt.n.02		siv		
PWN:beverage.n.01		dej		
PWN:bicycle.n.01		luv thij		lao:lot-thìip
PWN:bicycle.n.01		nees zab		
PWN:big_brother.n.02		tij-laug		
PWN:big_sister.n.01		niam laus		
PWN:bill.n.02		nqi, nqe		:*[k]ˤraʔ-s
PWN:billy.n.02		phaw tshis		
PWN:bird.n.01		noog		
PWN:birth_certificate.n.01		ntawv yug		
PWN:bite.v.01		tom (1)		
PWN:bitter.s.06		iab		
PWN:black.a.01		dub		
PWN:blacksmith.n.01		kws ntaus hlau		
PWN:blanket.n.01		pam		
PWN:blast.v.07		tua		
PWN:bless.v.01		foom koob hmoov		
PWN:blind.a.01		dig muag		
PWN:blink.v.01		ntsais muag		
PWN:blister.n.03		hlwv		
PWN:blood.n.01		ntshav		
PWN:blow.v.02		tshuab (1)		
PWN:blue.s.01		ntsuab		
PWN:blue.s.01		xiav		cmn:zǐ
PWN:blunt.s.02		npub		
PWN:board.n.02		txiag		
PWN:boast.v.01		khav		
PWN:boat.n.01		nkoj		
PWN:body.n.01		cev		
PWN:body_hair.n.01		plaub (1)		
PWN:body_louse.n.01		tuv		
PWN:boil.n.01		rwj		
PWN:boil.v.01		npau		:*-p[u][t]-s
PWN:boisterous.s.03		dej nplawm		
PWN:bolt.n.03		ntsia liaj qhov-rooj		
PWN:bomb.n.01		foob pob, hoob pob		
PWN:bone.n.01		pob-txha		
PWN:book.n.01		ntawv		
