id	style	word	pronunciation
Action:can.V		маштомс	maʃtoms
Agriculture:herd (something).V		ваномс	vanoms
Agriculture:irrigate.V		валомс	valoms
Agriculture:pick.V		ноцковтнемс	not͡skovtɲems
Agriculture:shovel.N		келей койме	kelʲej kojmʲe
Agriculture:shovel.N		кече	ket͡ɕʲe
Animal:Anatidae.N		яксярго	jaksʲarɡo
Animal:Annelida.N		сукс	suks
Animal:Araneae.N		шанжав	ʃanʒav
Animal:Aves.N		нармунь	narmuɲ
Animal:Canis lupus familiaris.N		киска	kiska
Animal:Canis lupus familiaris.N		пине	piɲe
Animal:Canis lupus.N		верьгиз	verʲɡiz
Animal:Corvus.N		варака	varaka
Animal:Culicidae.N		сеське	sʲesʲke
Animal:Diptera.N		карво	karvo
Animal:Equus ferus caballus.N		лишме	lʲiʃmʲe
Animal:Felis catus.N		псака	psaka
Animal:Formicidae.N		коткудав	kotkudav
Animal:Gallus gallus domesticus.N		сараз	saraz
Animal:Homo sapiens.N		ломань	lomaɲ
Animal:Ovis aries.N		реве	rʲeve
Animal:Rhopalocera.N		нимиляв	ɲimʲilʲav
Animal:Sciuridae.N		ур	ur
Animal:Serpentes.N		гуй	ɡuj
Animal:Sus scrofa domestica.N		туво	tuvo
Animal:Ursidae.N		овто	ovto
Animal:Vulpes.N		ривезь	rʲivezʲ
Animal:animal.N		ракша	rakʃa
Animal:fish.N		кал	kal
Animal:mouse.N		чеерь	t͡ɕʲejerʲ
Animal:wool.N		пона	pona
Atmosphere:cloud.N		пель	pelʲ
Atmosphere:cold.A		экше	ekʃe
Atmosphere:fog.N		сув	suv
Atmosphere:rain.N		пиземс	pizʲems
Atmosphere:rain.V		пиземс	pizʲems
Atmosphere:rainbow.N		пурьгинечирьке	purʲɡiɲet͡ɕʲirʲke
Atmosphere:rainbow.N		пурьгинеёнкс	purʲɡiɲejonks
Atmosphere:sky.N		менель	mʲeɲelʲ
Atmosphere:thunder.N		пурьгине	purʲɡiɲe
Atmosphere:thunder.V		галдордомс	ɡaldordoms
Atmosphere:thunder.V		цярномс	t͡sʲarnoms
Atmosphere:weather.N		ушо	uʃo
Atmosphere:wind.N		варма	varma
Belief:deity.N		паз	paz
Belief:idol.N		рунго	runɡo
