id	style	word	transcription	etymology
Agriculture:harvest or harvest season.N		ilanche lakos		
Agriculture:mow.V		yiset		
Agriculture:paddy field.N		alusw’et		
Agriculture:pitchfork.N		afwtsinaj		
Agriculture:plough.V		isajhi		
Agriculture:shovel.N		pala		spa:pala
Agriculture:sickle or scythe.N		matsetaj		spa:machete
Agriculture:sow seeds.V		itsayhat		
Agriculture:sow seeds.V		tetchey		
Agriculture:thresh.V		ilanche lhuy		
Animal:Acridomorpha.N		chulh		
Animal:Anatidae.N		fwu’yaj		
Animal:Annelida.N		fwinayhay		
Animal:Annelida.N		iwus		
Animal:Anthophila.N		akoyek		
Animal:Anthophila.N		kolonp’un		
Animal:Anthophila.N		matsitaj		
Animal:Anthophila.N		nakwu		
Animal:Anthophila.N		nakwutaj		
Animal:Anthophila.N		neslo		
Animal:Anthophila.N		nuwalhek		
Animal:Anthophila.N		pemtsaj		
Animal:Anthophila.N		pini		
Animal:Anthophila.N		simhat		
Animal:Anthophila.N		supfwetaj		
Animal:Anthophila.N		tiklha		
Animal:Anthophila.N		wun’a (2)		
Animal:Anura.N		poy’i		
Animal:Araneae.N		chuhut		
Animal:Aves.N		afwenche		
Animal:Blattodea.N		nafwuluj		
Animal:Canis lupus familiaris.N		asinoj		
Animal:Canis lupus.N		mawutaj		
Animal:Capra hircus.N		kaila		spa:cabra
Animal:Cervidae.N		ch’iwase		
Animal:Corvus.N		tsetwu		
Animal:Culicidae.N		yaphin’a		
Animal:Diptera.N		atak		
Animal:Elephantidae.N		wetaj		
Animal:Equus asinus × caballus.N		mula		spa:mula
Animal:Equus asinus.N		asnu		spa:asno
Animal:Equus ferus caballus.N		yel’ataj		
Animal:Felis catus.N		mitsi		:misi
Animal:Felis leo.N		p’uwalhaj		
Animal:Formicidae.N		siwanhas		
Animal:Gallus gallus domesticus.N		hu’u		
Animal:Insecta.N		makwu		
Animal:Lacertidae.N		chal’a		
Animal:Lampyridae.N		fwitonaj		
Animal:Leporidae.N		note		
Animal:Ovis aries.N		tsun’ataj		
Animal:Rhopalocera.N		chukuk		
Animal:Serpentes.N		afwotsaj		
Animal:Simiiformes.N		hoton’i		
Animal:Sus scrofa domestica.N		kutsi		:khuchi
Animal:Sus scrofa domestica.N		nitsetaj asnak		
Animal:Testudines.N		chitan’i		
Animal:Ursidae.N		selaj		
Animal:Vespinae.N		makwu		
Animal:Vulpes.N		mawu		
Animal:animal.N		tshowet		
Animal:female.A		atsinha		
Animal:fish.N		w’ahat		
Animal:male.A		asnak		
Animal:wool.N		tsun’ataj wule		
Art:statue.N		tolhenek		
Atmosphere:cloud.N		pele		
Atmosphere:fan (action).V		lhayafwtej		
Atmosphere:fan (object).N		tohechefw		
Atmosphere:fog.N		tetsetaj		
Atmosphere:rain.N		iwumcho’		
Atmosphere:rainbow.N		lawu		
Atmosphere:sky.N		pele		
Atmosphere:storm.N		pelhay		
Atmosphere:thunder.N		pelhay y’iplhi		
Atmosphere:weather.N		lawhoy		
Atmosphere:wind.N		ihwok		
Belief:Catholic priest.N		pastul		spa:pastor
Belief:Catholic priest.N		tohesewu		
Belief:altar.N		altal		spa:altar
Belief:bless.V		takopfwaya		
Belief:curse.V		ithate lhomet toj ni’isa		
Belief:deity.N		lius		spa:dios
Belief:holy.A		t’amajchet		
Belief:idol.N		toch’’ayaj		
Belief:magic.N		iwelanhat mayek		
Belief:magician.N		hayawe		
Belief:omen.N		tolhahwu		
Belief:pray.V		iwut’alhyaja		
Belief:sermon.V		iwulhometa		
Belief:soul.N		lahesek		
Belief:temple.N		tohesew’et		
Belief:worship.V		iwutenecha		
Body:ankle.N		tokasup’a		
Body:arm.N		totkwey		
Body:armpit.N		towilisch’u		
Body:back.N		towhu		
Body:bald.A		pole’		
Body:beak.N		toposet		
Body:beard.N		toposey		
Body:belly.N		tots’e		
Body:blink.V		tatets’im		
Body:blister.N		hits’ethen		
Body:blood vessel.N		tow’uyis n’oyij		
Body:blood.N		w’uyis		
Body:body hair.N		topesey		
Body:body.N		tosan		
Body:boil.N		amuku		
Body:bone.N		lhile		
Body:brain.N		tokanhe		
Body:breast.N		tot’ate		
Body:breath.V		t’iyalh		
Body:bruise.N		hits’etajhi		
Body:buttock.N		towejch’alus		
