id	style	word	pronunciation
Action:can.V		деньдиˮси	dʲeɲdʲiʔsʲi
Action:can.V		тукәтәса	tukətəsɐ
Agriculture:herd (something).V		кәтубтугуйся	kətubtuɡujsʲɐ
Agriculture:irrigate.V		бәбтудя	bəbtudʲɐ
Agriculture:shovel.N		кайбу	kɐjbu
Animal:Anatidae.N		ӈаӈуоде	ŋɐŋʷodʲe
Animal:Annelida.N		кәлсюˮо	kəlsʲuʔo
Animal:Araneae.N		имиз̌иай	jimʲiðʲiɐj
Animal:Aves.N		тәибәә	təibəː
Animal:Canis lupus familiaris.N		баӈ	bɐŋ
Animal:Canis lupus.N		ӈулиаз̌ә	ŋuʎiɐðə
Animal:Corvus.N		кулаˮа	kulɐʔɐ
Animal:Culicidae.N		ненәӈкә	ɲenəŋkə
Animal:Diptera.N		кир	kir
Animal:Equus ferus caballus.N		дюндүа	dʲundyɐ
Animal:Homo sapiens.N		ӈанаˮса	ŋɐnɐʔsɐ
Animal:Rhopalocera.N		кәуз̌иай	kəuðʲiɐj
Animal:Sciuridae.N		тәрыˮка	tərɨʔkɐ
Animal:Ursidae.N		ӈарка	ŋɐrkɐ
Animal:Vulpes.N		тунты	tuntɨ
Animal:animal.N		дямәз̌ә	dʲɐməðə
Animal:fish.N		колы	kolɨ
Animal:mouse.N		тоньдюку	toɲdʲuku
Animal:wool.N		нербы	ɲerbɨ
Atmosphere:cloud.N		чиирү	c͡çiːry
Atmosphere:cloud.N		чиәз̌у	c͡çiəðu
Atmosphere:cold.A		денинсыә	dʲeɲinsɨə
Atmosphere:fog.N		кәку	kəku
Atmosphere:rain.N		соруа	sorʷɐ
Atmosphere:rain.V		сорудя	sorudʲɐ
Atmosphere:rainbow.N		ӈуо хонтә	ŋʷo xontə
Atmosphere:sky.N		бәнтуо	bəntʷo
Atmosphere:sky.N		ӈуо	ŋʷo
Atmosphere:thunder.N		кадюа	kɐdʲuɐ
Atmosphere:thunder.V		дюӈкаирся	dʲuŋkɐirsʲɐ
Atmosphere:weather.N		дялы	dʲɐlɨ
Atmosphere:wind.N		биә	bʲiə
Belief:deity.N		ӈуо	ŋʷo
Belief:idol.N		сыз̌әӈкә	sɨðəŋkə
Belief:spirit.N		ӈонда	ŋondɐ
Body:arm.N		дютү	dʲuty
Body:back.N		мәку	məku
Body:beard.N		мүндүˮся	myndyʔsʲɐ
Body:belly.N		минәз̌әә	mʲinəðəː
Body:belly.N		чайбә	c͡çɐjbə
Body:blood.N		демәә	dʲeməː
Body:blood.N		кам	kɐm
Body:body.N		сяхы	sʲɐxɨ
Body:bone.N		латәә	lɐtəː
Body:brain.N		диа	dʲiɐ
Body:breast.N		ними	ɲimʲi
Body:breath.N		бачебса	bɐc͡çebsɐ
Body:breath.N		бачуо	bɐc͡çʷo
Body:breath.V		бачедя	bɐc͡çedʲɐ
Body:cheek.N		хотуа	xotʷɐ
Body:chest.N		синсе	sʲinsʲe
Body:chin.N		мәймәз̌әә	məjməðəː
Body:ear.N		коу	kou
Body:elbow.N		сәлӈыз̌әә	səlŋɨðəː
Body:eye.N		сеймы	sʲejmɨ
Body:face.N		хорә	xorə
Body:fat.N		чуˮ	c͡çuʔ
Body:feather.N		тотә	totə
Body:finger.N		сюсюоз̌ә	sʲusʲuoðə
Body:fingernail.N		кәту	kətu
Body:foot.N		хяӈкә	xɐŋkə
Body:foot.N		ӈой	ŋoj
Body:footprint.N		ӈуодеә	ŋʷodʲeə
Body:forehead.N		хиаз̌әә	xiɐðəː
Body:fur.N		куху	kuxu
Body:fur.N		нербы	ɲerbɨ
Body:hair.N		ӈабтә	ŋɐbtə
Body:hand.N		дютү	dʲuty
Body:hand.N		хяӈ	xɐŋ
Body:head.N		ӈойбуо	ŋojbʷo
Body:heart.N		сәә	səː
Body:heel.N		бятә	bʲɐtə
Body:horn.N		ӈамтә	ŋɐmtə
Body:jaw.N		деӈказ̌әә	dʲeŋkɐðəː
Body:knee.N		хөагай	xʷaɐɡɐj
Body:leg.N		ӈой	ŋoj
Body:lip.N		хебтыˮ	xebtɨʔ
Body:liver.N		митә	mʲitə
Body:moustache.N		мүндүˮся	myndyʔsʲɐ
Body:mouth.N		ӈаӈ	ŋɐŋ
Body:nail.N		кәту	kətu
Body:nape.N		хириˮиа	xirʲiʔiɐ
Body:navel.N		кииӈ	kiːŋ
Body:neck.N		бакәз̌әә	bɐkəðəː
Body:nose.N		ӈүнкә	ŋynkə
Body:obese.A		дербайкуо	dʲerbɐjkʷo
Body:obese.A		дерәгәә	dʲerəɡəː
Body:palm.N		хяӈ	xɐŋ
Body:shoulder.N		мәрсы	mərsɨ
Body:skin.N		кухуо	kuxʷo
Body:stomach.N		лоӈхәры	loŋxərɨ
Body:tail.N		тәйбу	təjbu
Body:tear.N		кәәлы	kəːlɨ
Body:tendon.N		соӈкуо	soŋkʷo
Body:tendon.N		таӈ	tɐŋ
Body:throat.N		дямуо	dʲɐmʷo
Body:toe.N		ториа	torʲiɐ
Body:tongue.N		сиәде	sʲiədʲe
Body:tooth.N		чими	c͡çimʲi
Body:vein.N		соӈкуо	soŋkʷo
Body:wing.N		чуо	c͡çʷo
Body:wound.N		бириә	bʲirʲiə
Building:board.N		лохуа	loxʷɐ
Building:build.V		мелыˮсыйси	mʲelɨʔsɨjsʲi
Building:door.N		ӈуа	ŋʷɐ
Building:floor.N		лочу	loc͡çu
Building:gate.N		хотіˮ	xotiʔ
Building:house.N		коруˮ	koruʔ
Building:post.N		ӈүй	ŋyj
Building:roof.N		коруз̌ә соруаз̌ә	koruðə sorʷɐðə
Building:window.N		сиәз̌ыр	sʲiəðɨr
Cleaning:broom.N		кайбу	kɐjbu
Cleaning:clean.A		нярайкуо	ɲɐrɐjkʷo
Cleaning:dirt.N		кур	kur
Cleaning:dirt.N		негыр	ɲeɡɨr
Cleaning:dirty.A		негыкуо	ɲeɡɨkʷo
Cleaning:sweep.V		кайбидя	kɐjbʲidʲɐ
Cleaning:wash (oneself).V		нөбуса	nʷabusɐ
Cleaning:wash.V		кәләбтугуйся	kələbtuɡujsʲɐ
Cleaning:wash.V		нөбтәдя	nʷabtədʲɐ
Cleaning:wipe.V		някиди	ɲɐkidʲi
Clothing:belt.N		ӈиәде	ŋiədʲe
Clothing:boot.N		чаркии	c͡çɐrkiː
Clothing:button.N		тухы	tuxɨ
Clothing:cap.N		сәму	səmu
Clothing:cloth.N		тугыˮ	tuɡɨʔ
Clothing:clothes.N		деӈхиа	dʲeŋxiɐ
Clothing:collar.N		камтүлюбтүˮ	kɐmtyʎubtyʔ
Clothing:dress up.V		дембиˮси	dʲembʲiʔsʲi
Clothing:dye.V		дюорубтудя	dʲuorubtudʲɐ
Clothing:knit.V		сарәдя	sɐrədʲɐ
Clothing:leather.N		тубаˮкә	tubɐʔkə
Clothing:naked.A		луугиай ичуо	luːɡʲiɐj jic͡çʷo
Clothing:needle.N		неймы	ɲejmɨ
Clothing:put on.V		серәди	sʲerədʲi
Clothing:scarf or turban.N		тугыˮ сәму	tuɡɨʔ səmu
Clothing:sew.V		сочедя	soc͡çedʲɐ
Clothing:sew.V		сочурәса	soc͡çurəsɐ
Clothing:shirt.N		урубаакә	urubɐːkə
Clothing:shoe.N		хуайму	xʷɐjmu
Clothing:sleeve.N		чииде	c͡çiːdʲe
Clothing:thread.N		таӈ	tɐŋ
Clothing:towel.N		хорә нягибся	xorə ɲɐɡʲibsʲɐ
Clothing:trousers.N		хоніˮә	xoniʔə
Clothing:undress.V		неүса	ɲeysɐ
Cognition:familiar.A		ченынтыә	c͡çenɨntɨə
Cognition:true.A		ӈануо	ŋɐnʷo
Cognition:truth.N		ӈәз̌иˮтәкә кәрсу	ŋəðʲiʔtəkə kərsu
Cognition:wake up (tr).V		китіди	kitidʲi
Cognition:wake up.V		күз̌иаса	kyðʲiɐsɐ
Combat:brawl.V		кәмәуˮтәса	kəməuʔtəsɐ
Combat:fight.N		торамубса	torɐmubsɐ
Combat:strike (sb).V		хосюди	xosʲudʲi
Combat:strike (sb).V		хуарәдеса	xʷɐrədʲesɐ
Combat:win.V		ӈәлыди	ŋəlɨdʲi
Communication:boast.V		ӈәнуруса	ŋənurusɐ
Communication:book.N		книга	kɲiɡɐ
Communication:call.V		точебтугуйся	toc͡çebtuɡujsʲɐ
Communication:call.V		хуйси	xujsʲi
Communication:chat.V		дюрымысы	dʲurɨmɨsɨ
Communication:convey (a message).V		басәдя	bɐsədʲɐ
Communication:convey (a message).V		дебтудя	dʲebtudʲɐ
Communication:convey (a message).V		динтіриси	dʲintirʲisʲi
Communication:fairy tale.N		дюрымы	dʲurɨmɨ
Communication:kiss.V		нюоз̌ытәсы	ɲuoðɨtəsɨ
Communication:kiss.V		нюосыйси	ɲuosɨjsʲi
Communication:language.N		сиәде	sʲiədʲe
Communication:letter.N		хоз̌үр	xoðyr
Communication:lie.N		толыз̌ә	tolɨðə
Communication:news.N		дюрымы	dʲurɨmɨ
Communication:talk.V		буодя	bʷodʲɐ
Communication:tell.V		дебтудя	dʲebtudʲɐ
Communication:tell.V		дюрымыˮкәди	dʲurɨmɨʔkədʲi
Communiction:call.N		лаӈү	lɐŋy
Cosmos:Sun.N		коу	kou
Cosmos:moon.N		кичез̌әә	kic͡çeðəː
Cosmos:set.V		кантуодя	kɐntʷodʲɐ
Cosmos:set.V		хосы	xosɨ
Cosmos:set.V		хотыди	xotɨdʲi
Cosmos:star.N		хотәдиә	xotədʲiə
Degree:very.ADV		берәди	bʲerədʲi
Degree:very.ADV		четуа	c͡çetʷɐ
Element:Ag.N		серыбыры	sʲerɨbɨrɨ
Element:Au.N		соләту	solətu
Element:Fe.N		баса	bɐsɐ
Emotion:be angry.V		тудюз̌ирся	tudʲuðʲirsʲɐ
Emotion:cry.V		дөрәдя	dʷarədʲɐ
Emotion:cry.V		кәәлирси	kəːʎirsʲi
Emotion:evil.A		нәӈхуо	nəŋxʷo
Emotion:fear.V		хилиˮси	xiʎiʔsʲi
Emotion:gentle.A		хез̌әлюкү	xeðəʎuky
Emotion:grief.N		тату	tɐtu
Emotion:happiness.N		тала	tɐlɐ
Emotion:like.V		кәрбудя	kərbudʲɐ
Emotion:longing.N		кәрбубса	kərbubsɐ
Emotion:longing.N		кәрбуләму	kərbuləmu
Emotion:love.V		дярсәз̌ысы	dʲɐrsəðɨsɨ
Emotion:love.V		мәнюнся	məɲunsʲɐ
Emotion:merry.A		бәӈкәсәкә	bəŋkəsəkə
Emotion:merry.A		хидикитә	xidʲikitə
Emotion:merry.A		хосутуо	xosutʷo
Emotion:move.V		күбүбталудя	kybybtɐludʲɐ
Emotion:sad.A		нуйбаз̌у	nujbɐðu
Emotion:sad.A		нуйбаз̌әә	nujbɐðəː
Emotion:want.V		кәрбудя	kərbudʲɐ
Emotion:want.V		хуйси	xujsʲi
Family:aunt.N		абаˮа	ɐbɐʔɐ
Family:aunt.N		ӈаху	ŋɐxu
Family:brother.N		нины	ɲinɨ
Family:brother.N		әˮә	əʔə
Family:daughter.N		ны нюо	nɨ ɲuo
Family:family.N		маз̌ә черәˮ	mɐðə c͡çerəʔ
Family:father.N		десы	dʲesɨ
Family:father.N		идяˮа	jidʲɐʔɐ
Family:grandfather.N		ири	jirʲi
Family:grandmother.N		имиди	jimʲidʲi
Family:husband.N		бәйкаˮа	bəjkɐʔɐ
Family:husband.N		бәйкуо	bəjkʷo
Family:mother.N		немы	ɲemɨ
Family:parents.N		десы-немы	dʲesɨ-ɲemɨ
Family:sister.N		ӈаху	ŋɐxu
Family:son.N		нюо	ɲuo
Family:uncle.N		нины	ɲinɨ
Family:uncle.N		тытыдя	tɨtɨdʲɐ
Family:uncle.N		әˮә	əʔə
Family:wife.N		бәбә черә ны	bəbə c͡çerə nɨ
Family:wife.N		немыбтыˮыа	ɲemɨbtɨʔɨɐ
Food:Camellia sinensis.N		чаи	c͡çɐi
Food:NaCl.N		сыр	sɨr
Food:bake.V		хиз̌ибтысы	xiðʲibtɨsɨ
Food:bread.N		кириба	kirʲibɐ
Food:soup.N		быˮә	bɨʔə
Food:spoon.N		күй	kyj
Form:bend (sth).V		манюˮся	mɐɲuʔsʲɐ
Form:bend (sth).V		мүнүдя	mynydʲɐ
Form:bend.V		мүнүдя	mynydʲɐ
Function:1PL.PRO		мыӈ	mɨŋ
Function:1SG.PRO		мәнә	mənə
Function:2PL.PRO		тыӈ	tɨŋ
Function:2SG.PRO		тәнә	tənə
Function:3PL.PRO		сытыӈ	sɨtɨŋ
Function:3SG M.PRO		сыты	sɨtɨ
Function:here.ADV		әмны	əmnɨ
Function:how many.PRO		куо хирә	kʷo xirə
Function:how.PRO		куниˮиа	kuɲiʔiɐ
Function:not.PTCL		нинтуу	ɲintuː
Function:or.CNJ		или	jiʎi
Function:other.PRO		хунсәә	xunsəː
Function:that.PRO		тәә	təː
Function:there.ADV		тамну	tɐmnu
Function:this.PRO		тәтірә	tətirə
Function:this.PRO		әмты	əmtɨ
Function:what.PRO		маа	mɐː
Function:where.PRO		кунині	kuɲini
Function:who.PRO		сылы	sɨlɨ
Function:why.PRO		маадя	mɐːdʲɐ
Grooming:comb.V		чиилесы	c͡çiːʎesɨ
Grooming:decorate.V		хотәдя	xotədʲɐ
Grooming:mirror.N		хорә ӈәтәубса	xorə ŋətəubsɐ
Grooming:ring.N		лаа	lɐː
Handiwork:glue.V		димиди	dʲimʲidʲi
Handiwork:nail.N		чехә	c͡çexə
Handiwork:repair.V		няагимтіди	ɲɐɐɡʲimtidʲi
Handiwork:ware.N		тамтар	tɐmtɐr
Handiwork:worker.N		ӈәйбәутуо	ŋəjbəutʷo
Health:become sick.V		кочез̌укәди	koc͡çeðukədʲi
Health:disease.N		коче	koc͡çe
Health:fever.N		сябыˮ хекуӈыˮ	sʲɐbɨʔ xekuŋɨʔ
Health:healthy.A		хосубса	xosubsɐ
Health:medicine.N		лекаарсә	ʎekɐːrsə
Health:physician.N		лекыр	ʎekɨr
Health:recover.V		няагимси	ɲɐɐɡʲimsʲi
Health:recover.V		няагимтәди	ɲɐɐɡʲimtədʲi
House:bed.N		бәбә	bəbə
House:blanket.N		чуй	c͡çuj
House:cradle.N		лабсә	lɐbsə
House:pillow.N		сәлӈы	səlŋɨ
House:pillow.N		хиӈгаˮа	xiŋɡɐʔɐ
House:table.N		ӈәмурса	ŋəmursɐ
Hunting:bow.N		динтә	dʲintə
Hunting:fishing.V		колыз̌ысы	kolɨðɨsɨ
Hunting:hunt.V		басудя	bɐsudʲɐ
Integrity:part.N		хелы	xelɨ
Integrity:piece.N		дюкә	dʲukə
Integrity:piece.N		ӈуӈкә	ŋuŋkə
Interaction:choose.V		начюдя	nɐc͡çudʲɐ
Interaction:rescue.V		чисюдя	c͡çisʲudʲɐ
Mind:dream.N		дючимыә	dʲuc͡çimɨə
Mind:dream.N		дючиә	dʲuc͡çiə
Motion:arrive.V		чуачеса	c͡çʷɐc͡çesɐ
Motion:arrive.V		чуүдя	c͡çuydʲɐ
Motion:bring.V		тәтудя	tətudʲɐ
Motion:carry.V		мындысы	mɨndɨsɨ
Motion:catch.V		кәмүз̌үся	kəmyðysʲɐ
Motion:catch.V		кәмәдя	kəmədʲɐ
Motion:climb.V		кахирарса	kɐxirɐrsɐ
Motion:climb.V		тамтүˮтәса	tɐmtyʔtəsɐ
Motion:come back.V		хурсәди	xursədʲi
Motion:come.V		туйся	tujsʲɐ
Motion:creep.V		сюүрся	sʲuyrsʲɐ
Motion:drag.V		ӈимиаˮсы	ŋimʲiɐʔsɨ
Motion:drop (something).V		мәнәгәчудя	mənəɡəc͡çudʲɐ
Motion:enter.V		чииди	c͡çiːdʲi
Motion:enter.V		чиитәсы	c͡çiːtəsɨ
Motion:fall.V		сохуаˮтәса	soxʷɐʔtəsɐ
Motion:fly.V		тәирси	təirsʲi
Motion:go.V		мынсы	mɨnsɨ
Motion:go.V		хез̌ытысы	xeðɨtɨsɨ
Motion:leave.V		бүүдя	byːdʲɐ
Motion:lift.V		диләди	dʲilədʲi
Motion:move (oneself).V		мәнсәрырсы	mənsərɨrsɨ
Motion:move (oneself).V		ӈусиирси	ŋusʲiːrsʲi
Motion:raise.V		нәнсубтыгуйси	nənsubtɨɡujsʲi
Motion:step.V		буаˮтырсы	bʷɐʔtɨrsɨ
Motion:swing (sth).V		дяйӈаса	dʲɐjŋɐsɐ
Motion:swing.V		дяйӈаˮса	dʲɐjŋɐʔsɐ
Motion:swing.V		дяйӈәбтуса	dʲɐjŋəbtusɐ
Motion:take a walk.V		дөтүрүбтіаирся	dʷatyrybtiɐirsʲɐ
Motion:turn (sth).V		диәгәлтыди	dʲiəɡəltɨdʲi
Motion:walk.N		мыну	mɨnu
Motion:walk.N		тәндубси	təndubsʲi
Motion:walk.N		хез̌ытыбся	xeðɨtɨbsʲɐ
Music:sing.V		кәйӈиˮся	kəjŋiʔsʲɐ
Music:song.N		бәлы	bəlɨ
Music:tone.N		дели	dʲeʎi
Music:tone.N		саү	sɐy
Nature:river.N		бигай	bʲiɡɐj
Nature:river.N		биказ̌әә	bʲikɐðəː
Nature:sea.N		дям	dʲɐm
Nature:shore of lake.N		бәрә	bərə
Nature:slope.N		тамтүˮ	tɐmtyʔ
Nature:slope.N		хиркү	xirky
People:boy.N		куодюму нюо	kʷodʲumu ɲuo
People:boy.N		тыбыйкиа	tɨbɨjkiɐ
People:child.N		нюо	ɲuo
People:child.N		нюоˮкү	ɲuoʔky
People:girl.N		ны нюо	nɨ ɲuo
People:man.N		куодюму	kʷodʲumu
People:people.N		ӈанаˮсанәˮ	ŋɐnɐʔsɐnəʔ
People:woman.N		ны	nɨ
Perception:feel.V		нәмтірся	nəmtirsʲɐ
Perception:feel.V		нәмтүся	nəmtysʲɐ
Perception:hear or listen.V		диндіси	dʲindisʲi
Perception:hear.V		диндіси	dʲindisʲi
Perception:pain.N		дяри	dʲɐrʲi
Perception:touch.V		ментыди	mʲentɨdʲi
Perception:wet.A		дебтәбуо	dʲebtəbʷo
Perception:wet.A		нетыбыә	ɲetɨbɨə
Perception:yellow.A		тодякуо	todʲɐkʷo
Plant:Betula.N		күо	kyo
Plant:bark.N		касу	kɐsu
Plant:branch.N		муоде	mʷodʲe
Plant:flower.N		лукуз̌иай	lukuðʲiɐj
Plant:leaf.N		хораз̌яй	xorɐðʲɐj
Plant:root.N		бәнту	bəntu
Plant:tree trunk.N		тохи	toxi
Plant:tree.N		муӈку	muŋku
Plant:twig.N		муоде	mʷodʲe
Possession:abandon.V		коиди	koʲidʲi
Possession:gift.N		маз̌айсюо	mɐðɐjsʲuo
Possession:poor.A		мәӈкәә	məŋkəː
Possession:price.N		денси	dʲensʲi
Possession:rich.A		ӈүнүа	ŋynyɐ
Possession:sell.V		тамтуз̌әса	tɐmtuðəsɐ
Possession:sell.V		тамтуруса	tɐmturusɐ
Quantity:1.NUM		ӈуˮоиˮ	ŋuʔoʲiʔ
Quantity:10.NUM		бииˮ	bʲiːʔ
Quantity:100.NUM		дир	dʲir
Quantity:1000.NUM		бииˮ дир	bʲiːʔ dʲir
Quantity:11.NUM		бииˮ ӈуоиˮ	bʲiːʔ ŋʷoʲiʔ
Quantity:12.NUM		бииˮ ситі	bʲiːʔ sʲiti
Quantity:2.NUM		ситі	sʲiti
Quantity:20.NUM		ситібииˮ	sʲitibʲiːʔ
Quantity:3.NUM		нагүр	nɐɡyr
Quantity:30.NUM		нагүрбииˮ	nɐɡyrbʲiːʔ
Quantity:4.NUM		четә	c͡çetə
Quantity:40.NUM		четәбииˮ	c͡çetəbʲiːʔ
Quantity:5.NUM		сәӈхәляӈкә	səŋxəʎɐŋkə
Quantity:50.NUM		сәӈхәбииˮ	səŋxəbʲiːʔ
Quantity:6.NUM		мәтүˮ	mətyʔ
Quantity:60.NUM		мәтүˮбииˮ	mətyʔbʲiːʔ
Quantity:7.NUM		сяйбә	sʲɐjbə
Quantity:70.NUM		сяйбәбииˮ	sʲɐjbəbʲiːʔ
Quantity:8.NUM		ситіз̌әтә	sʲitiðətə
Quantity:80.NUM		ситіз̌әтәбииˮ	sʲitiðətəbʲiːʔ
Quantity:9.NUM		ӈамиайчумә	ŋɐmʲiɐjc͡çumə
Quantity:90.NUM		ӈамиайчумәбииˮ	ŋɐmʲiɐjc͡çuməbʲiːʔ
Quantity:a little.A		нимәкүˮ	ɲiməkyʔ
Quantity:a little.A		әлыгакумәну	əlɨɡɐkumənu
Quantity:add.V		хелыз̌ысы	xelɨðɨsɨ
Quantity:decrease.V		сиәнымтәди	sʲiənɨmtədʲi
Quantity:decrease.V		тануамса	tɐnʷɐmsɐ
Quantity:empty.A		хуньдятыә	xuɲdʲɐtɨə
Quantity:empty.A		черәгиай ичуо	c͡çerəɡʲiɐj jic͡çʷo
Quantity:fill.V		мүнтүбтүся	myntybtysʲɐ
Quantity:full.A		дюлсыә	dʲulsɨə
Quantity:full.A		мүнтүтүо	myntytyo
