id	style	word	pronunciation
Action:can.V		йыймдь	ɪɨɪmɟ
Action:can.V		яймнд	jæɪmnd
Agriculture:irrigate.V		йығдь	ɪɨɣɟ
Agriculture:irrigate.V		мар̌кад	mær̥kæd
Agriculture:irrigate.V		мар̌кть	mær̥kc
Agriculture:shovel.N		ӄ’ар̌	qʰær̥
Animal:Anatidae.N		иу	iu
Animal:Araneae.N		к’ывғыв	kʰɨvɣɨv
Animal:Aves.N		пуйӈа	puɪŋæ
Animal:Canis lupus familiaris.N		ӄан	qæn
Animal:Canis lupus familiaris.N		ӄанӈ	qænŋ
Animal:Canis lupus.N		лиғр̌	liɣr̥
Animal:Canis lupus.N		лиғс	liɣs
Animal:Culicidae.N		неӈӷ	nɪeŋɢ
Animal:Diptera.N		п’еӈр̌	pʰɪeŋr̥
Animal:Diptera.N		чоӈи	cʰoŋi
Animal:Equus ferus caballus.N		мур̌	mur̥
Animal:Gallus gallus domesticus.N		п’еӄ	pʰɪeq
Animal:Homo sapiens.N		нивӈ	nivŋ
Animal:Ovis aries.N		ӽонь	χoɲ
Animal:Rhopalocera.N		тап	tæp
Animal:Sciuridae.N		лаӄр̌	læqr̥
Animal:Serpentes.N		кылаӈа	kɨlæŋæ
Animal:Serpentes.N		кылгерӈ	kɨlɡɪerŋ
Animal:Sus scrofa domestica.N		олоӈ	oloŋ
Animal:Sus scrofa domestica.N		олӻоӈ	olʁoŋ
Animal:Ursidae.N		чхыф	cʰxɨf
Animal:Ursidae.N		ӄ’отр̌	qʰotr̥
Animal:Vulpes.N		к’еӄ	kʰɪeq
Animal:animal.N		ӈа	ŋæ
Animal:fish.N		чо	cʰo
Animal:mouse.N		мухтук	muxtuk
Atmosphere:cloud.N		лах	læx
Atmosphere:cloud.N		чарӈи	cʰærŋi
Atmosphere:cold.A		пур̌пур̌	pur̥pur̥
Atmosphere:fog.N		чылы	cʰɨlɨ
Atmosphere:rain.N		лых	lɨx
Atmosphere:rain.V		кыдь	kɨɟ
Atmosphere:rainbow.N		мем	mɪem
Atmosphere:sky.N		тлы	tlɨ
Atmosphere:thunder.N		лый	lɨɪ
Atmosphere:thunder.V		лыйдь	lɨɪɟ
Atmosphere:thunder.V		тид	tid
Atmosphere:thunder.V		тидь	tiɟ
Atmosphere:weather.N		лых	lɨx
Atmosphere:wind.N		ла	læ
Belief:deity.N		курӈ	kurŋ
Belief:deity.N		тайӻаӈ	tæɪʁæŋ
Belief:spirit.N		ӄ’оӻа	qʰoʁæ
Body:arm.N		тамк	tæmk
Body:back.N		кыдр̌	kɨdr̥
Body:beard.N		аф	æf
Body:blood.N		чоӽ	cʰoχ
Body:blood.N		ӈар̌	ŋær̥
Body:blow.V		фувдь	fuvɟ
Body:body.N		ӿал	hæl
Body:body.N		ӿут	hut
Body:bone.N		ӈыньф	ŋɨɲf
Body:brain.N		ӈаур̌	ŋæur̥
Body:breath.V		т’адь	tʰæɟ
Body:cheek.N		ӈағнь	ŋæɣɲ
Body:chest.N		ӈырғыр̌	ŋɨrɣɨr̥
Body:chin.N		иты	itɨ
Body:ear.N		мла	mlæ
Body:elbow.N		тоӈӄ	toŋq
Body:eye.N		няӽ	njæχ
Body:face.N		ӈыньк	ŋɨɲk
Body:fat.N		т’ом	tʰom
Body:feather.N		тупр̌	tupr̥
Body:finger.N		тунь	tuɲ
Body:fingernail.N		таӄань	tæqæɲ
Body:fingernail.N		тыкнь	tɨkɲ
Body:foot.N		ӈатьх	ŋæcx
Body:forehead.N		т’ых	tʰɨx
Body:fur.N		ӈығр̌	ŋɨɣr̥
Body:hair.N		ӈыӈг	ŋɨŋɡ
Body:hand.N		тамк	tæmk
Body:head.N		тёӈр̌	tjoŋr̥
Body:head.N		тёӈғр̌	tjoŋɣr̥
Body:heart.N		ӈиф	ŋif
Body:heel.N		анғи	ænɣi
Body:horn.N		мур̌ки	mur̥ki
Body:jaw.N		иты	itɨ
Body:knee.N		пих	pix
Body:leg.N		ӈатьх	ŋæcx
Body:lip.N		ывлых	ɨvlɨx
Body:liver.N		тивс	tivs
Body:moustache.N		аф	æf
Body:mouth.N		ави	ævi
Body:nail.N		таӄань	tæqæɲ
Body:nail.N		тыкнь	tɨkɲ
Body:nape.N		ори	ori
Body:nape.N		оғри	oɣri
Body:neck.N		ӄ’ос	qʰos
Body:nose.N		вих	vix
Body:nose.N		ух	ux
Body:obese.A		ӈарла	ŋærlæ
Body:palm.N		чылм	cʰɨlm
Body:shoulder.N		ӈари	ŋæri
Body:shoulder.N		ӈағри	ŋæɣri
Body:skin.N		ӿал	hæl
Body:skin.N		ӿут	hut
Body:stomach.N		ӿиғр̌	hiɣr̥
Body:tail.N		ӈыки	ŋɨki
Body:tear.N		нисаӽ	nisæχ
Body:tear.N		них	nix
Body:tendon.N		т’оӈр̌	tʰoŋr̥
Body:tendon.N		т’оӈс	tʰoŋs
Body:throat.N		ӄор̌ӄр̌	qor̥qr̥
Body:throat.N		ӿесӄр̌	hɪesqr̥
Body:toe.N		тунь	tuɲ
Body:tongue.N		ӿилх	hilx
Body:tooth.N		ӈығс	ŋɨɣs
Body:vein.N		тоӈс	toŋs
Body:wing.N		ӈырғыр̌	ŋɨrɣɨr̥
Building:board.N		калмр̌	kælmr̥
Building:build.V		латнд	lætnd
Building:build.V		лытть	lɨtc
Building:door.N		р̌ы	r̥ɨ
Building:floor.N		п’ал	pʰæl
Building:floor.N		п’алӈ	pʰælŋ
Building:house.N		тыф	tɨf
Building:roof.N		тытӈыс	tɨtŋɨs
Building:roof.N		ылвс	ɨlvs
Building:window.N		п’аӽ	pʰæχ
Cleaning:broom.N		путис	putis
Cleaning:broom.N		пытир̌	pɨtir̥
Cleaning:clean.A		кистылығы	kistɨlɨɣɨ
Cleaning:dirt.N		кис	kis
Cleaning:dirt.N		эӻрӄад	ɤʁrqæd
Cleaning:dirty.A		эӻр̌ӄа	ɤʁr̥qæ
Cleaning:sweep.V		путидь	putiɟ
Cleaning:wash (oneself).V		п’суд	pʰsud
Cleaning:wash (oneself).V		п’судь	pʰsuɟ
Cleaning:wash.V		чӽойтюдь	cʰχoɪtjuɟ
Cleaning:wipe.V		ӈевдь	ŋɪevɟ
Clothing:belt.N		вивус	vivus
Clothing:button.N		уғр̌	uɣr̥
Clothing:button.N		уғс	uɣs
Clothing:cap.N		ӿак	hæk
Clothing:clothes.N		ӿағар̌	hæɣær̥
Clothing:collar.N		ӄ’ос айс	qʰos æɪs
Clothing:knit.V		лудь	luɟ
Clothing:leather.N		ӈағр̌	ŋæɣr̥
Clothing:needle.N		к’еотнух	kʰɪeotnux
Clothing:needle.N		нух	nux
Clothing:put on.V		хедь	xɪeɟ
Clothing:scarf or turban.N		платок	plætok
Clothing:scarf or turban.N		плотк	plotk
Clothing:sew.V		ётть	jotc
Clothing:shirt.N		лар̌ӄ	lær̥q
Clothing:sleeve.N		уйғр̌	uɪɣr̥
Clothing:thread.N		к’ува	kʰuvæ
Clothing:thread.N		к’уваӈ	kʰuvæŋ
