id	style	word	pronunciation	etymology
PLX:1PL EXCL.pro		wij		
PLX:1PL INCL.pro		wij		
PLX:1PL.pro		wij		
PLX:1SG POSS.pro		mijn	
PLX:1SG.pro		ik		
PLX:2PL.pro		jullie		
PLX:2SG POSS.pro		jouw	
PLX:2SG.pro		jij		
PLX:3PL.pro		zij (2)		
PLX:3SG F.pro		zij (1)		
PLX:3SG INAN.pro		het		
PLX:3SG M.pro		hij		
PLX:3SG.pro		het		
PLX:3SG.pro		hij		
PLX:3SG.pro		zij (1)		
PLX:above.pp		boven		
PLX:after.pp		na		
PLX:and.cnj		en		
PLX:at.pp		in		
PLX:at.pp		op		
PLX:at.pp		te		
PLX:be late.v		laat zijn		
PLX:because.cnj		omdat		
PLX:behind.pp		achter		
PLX:beside.pp		naast		
PLX:but.cnj		maar	
PLX:can.v		kunnen	
PLX:carry in hand.v		dragen		
PLX:carry on head.v		dragen		
PLX:carry on shoulder.v		dragen		
PLX:carry under arm.v		dragen		
PLX:child-in-law.n		schoonkind		
PLX:daughter-in-law (of man).n		schoondochter		
PLX:daughter-in-law (of woman).n		schoondochter		
PLX:day after tomorrow.adv		overmorgen		
PLX:day before yesterday.adv		eergisteren		
PLX:digging stick.n		graafstok		
PLX:fall silent.v		zwijgen		
PLX:father's brother.n		oom		
PLX:father's sister.n		tante		fra:tante
PLX:father-in-law (of man).n		schoonvader		
PLX:father-in-law (of woman).n		schoonvader		
PLX:fermented alcohol.n		alcoholische drank		
PLX:fish poison root.n		vissengif		
PLX:fish trap.n		fuik		
PLX:head hair.n		haar		
PLX:how many pieces.pro		hoeveel		
PLX:how much.pro		hoeveel		
PLX:how.pro		hoe		
PLX:if.cnj		als		
PLX:if.cnj		indien		
PLX:in front of.pp		voor		
PLX:in.pp		in		
PLX:initiation ceremony.n		initiatieplechtigheid		
PLX:initiation ceremony.n		inwijdingsplechtigheid		
PLX:inside.pp		binnen		
PLX:inside.pp		in		
PLX:manioc bread.n		maniokbrood		
PLX:men's house.n		mannenhuis		
PLX:mother's brother.n		oom		
PLX:mother's sister.n		tante		fra:tante
PLX:mother-in-law (of man).n		schoonmoeder		
PLX:mother-in-law (of woman).n		schoonmoeder		
PLX:netbag.n		nettas		
PLX:nothing.pro		niets		
PLX:older sibling.n		broer		
PLX:older sibling.n		zus(ter)		
PLX:or.cnj		of		
PLX:outside.pp		buiten		
PLX:parents-in-law.n		schoonouders		
PLX:sibling's child.n		neef		
PLX:sibling's child.n		nicht		
PLX:sibling-in-law.n		schoonbroer		
PLX:sibling-in-law.n		schoonzuster		
PLX:sibling-in-law.n		zwager		
PLX:son-in-law (of man).n		schoonzoon		
PLX:son-in-law (of woman).n		schoonzoon		
PLX:stab to death.v		steken		
PLX:that.pro		die		
PLX:this.pro		deze		
PLX:tumpline.n		draagband		
PLX:under.pp		onder		
PLX:what.pro		wat		
PLX:when.pro		wanneer		
PLX:where.pro		waar (2)		
PLX:which Q.pro		welke		
PLX:who.pro		wie		
PLX:why.pro		waarom		
PLX:with.pp		met		
PLX:without.pp		zonder		
PLX:yes.ptcl		ja		
PLX:younger sibling.n		broer		
PLX:younger sibling.n		zus(ter)		
PWN:abandon.v.01		begeven	
PWN:abandon.v.01		opgeven	
PWN:abandon.v.01		verzaken	
PWN:abandon.v.02		abandonneren	
PWN:abandon.v.02		afzien	
PWN:abandon.v.02		hangen	
PWN:abandon.v.02		loslaten	
PWN:abandon.v.02		opgeven	
PWN:abandon.v.02		prijsgeven	
PWN:abandon.v.02		vaarwelzeggen	
PWN:abandon.v.02		verlaten	
PWN:abandon.v.04		afschaffen	
PWN:abandon.v.04		supprimeren	
PWN:abate.v.02		afnemen	
PWN:abate.v.02		bedaren	
PWN:abate.v.02		humiliëren	
PWN:abate.v.02		luwen	
PWN:abate.v.02		neerslaan	
PWN:abate.v.02		reduceren	
