id	style	word	transcription	etymology
PLX:1PL EXCL.pro		1ŋi		
PLX:1PL INCL.pro		1ŋjaŋ (2tsʰaraŋ)		
PLX:1PL.pro		1ŋjaŋ		
PLX:1SG.pro		1ŋʌ		
PLX:2PL.pro		1kimi		
PLX:2SG.pro		3kjʌ		
PLX:3PL.pro		1kʰimi		
PLX:3SG F.pro		1kʰi (1)		
PLX:3SG INAN.pro		1kʰi (1)		
PLX:3SG M.pro		1kʰi (1)		
PLX:3SG.pro		1kʰi (1)		
PLX:and.cnj		rʌ		nep:ra
PLX:and.cnj		tẽ		
PLX:behind.adp		1litsʌ=ri		
PLX:how.pro		ha coŋpʌ		
PLX:if.cnj		kjʌ nʌ		
PLX:in front of.adp		ŋoŋtsʌ=ri		
PLX:that.pro		1u		
PLX:this.pro		2tsu ~ 2tso=ko		
PLX:under.adp		3naŋ=ri		
PLX:what.pro		2ta (2)		
PLX:where.pro		hani		
PLX:who.pro		2su		
PLX:why.pro		4hatʃi		
PLX:yes.ptcl		1tʌ		
PLX:yes.ptcl		ho		nep:ho
PWN:abdomen.n.01		1pʰo (2)		
PWN:above.r.02		2no		
PWN:act.v.02		1lʌ		
PWN:address.n.03		1kje		
PWN:adornment.n.01		khanʌ		
PWN:afternoon.n.01		1tʰoŋ 4sol		
PWN:again.r.01		1lake		
PWN:age.n.01		2lo		
PWN:air.n.01		lapa		
PWN:airplane.n.01		hawa tʃansa		
PWN:all.a.01		2tʃʰaraŋ		
PWN:allege.v.01		3pi		
PWN:alligator.n.02		1gohi		nep:gohi
PWN:alone.r.02		ʃike		
PWN:altar.n.02		ɫʌkʰaŋ		
PWN:always.r.01		2tʃʰẽ		
PWN:amazed.s.01		1pʰʌ kʰjel		
PWN:ancestor.n.01		2mome		
PWN:anger.n.02		3ʃitaŋ 1kʰʌ-pʌ		
PWN:animal.n.01		ʃita		
PWN:ankle.n.01		3pʌle koto		
PWN:announce.v.01		4kakor 2kʷol		
PWN:answer.v.01		leŋ		
PWN:ant.n.01		1nokro		
PWN:apparel.n.01		3kola		
PWN:apt.s.03		1pjaŋ		
PWN:arm.n.01		1ja		
PWN:armpit.n.01		joŋli		
PWN:army.n.01		4ma		
PWN:arrive.v.01		1kʰʌ		
PWN:arrive.v.01		3to		
PWN:arrow.n.02		1mjetsʰo		
PWN:artery.n.01		3tse		
PWN:ascend.v.01		1ʂe		
PWN:ash.n.01		4mjepʰɾa		
PWN:ask.v.02		1ʂi (2)		
PWN:ask.v.05		2ŋi (2)		
PWN:attack.n.05		2tʃe (2)		
PWN:ax.n.01		kʷopʌ		
PWN:baby.n.01		tsʌ		
PWN:back.n.01		3supʌ 2litse		
PWN:bad.a.01		3a-sʌ		
PWN:bake.v.02		ʂaŋ		
PWN:bald.s.02		ʃilki		
PWN:ball.n.03		koʈʌlo		
PWN:bamboo.n.01		mʌtʰurpʌ		
PWN:banana.n.02		kʌr		nep:kera
PWN:bare.s.01		2kuntʌlu		
PWN:bark.n.01		1pʰjoko		
PWN:barley.n.02		kuɾu		
PWN:barter.v.01		pʷo		
PWN:basket.n.01		1tsʰaŋ		nep:cangeraa
PWN:bat.n.01		pʰopʌŋ 1ŋimʌ		
PWN:bathe.v.01		2ʃu		
PWN:battle.n.01		4ma		
PWN:bay.n.01		kjamtso kʰʌ		
PWN:be.v.03		1mo		
PWN:be.v.11		1aʃi-pʌ		
PWN:be_born.v.01		3nʌ		
PWN:bead.n.01		2piru		
PWN:beam.n.02		2tʰa (1)		
PWN:bean.n.01		simi		nep:simi
PWN:bear.n.01		4tokoŋ, 4toŋe		
PWN:beard.n.01		2kʰe		
PWN:beautiful.a.01		2kje		
PWN:become.v.01		1tʌ		
PWN:bed.n.01		3tsaŋ		
PWN:bee.n.01		4kʷʰe 2napraŋ		
PWN:beehive.n.04		4kʷʰe 2napraŋ 3tsaŋ		
PWN:beer.n.01		1pʰi (1)		
PWN:beeswax.n.01		kjʌlaŋ		
PWN:beggar.n.01		4kʰorpʌ 3mi		
PWN:begin.v.03		tʰan te		
PWN:beginning.n.01		nasjo		
PWN:believe.v.01		pʌte 1kʰʌ		nep:patyaaunu
PWN:belt.n.02		peʈi		nep:peti
PWN:bicycle.n.01		saikʌl		nep:saikul
PWN:big_brother.n.02		1atʌ		
PWN:big_sister.n.01		1anʌ		
PWN:billy.n.02		1ʂʌ 1pʰo		
PWN:bird.n.01		1ŋima (1)		
PWN:bite.v.01		2tʃʰe		
PWN:bitter.s.06		3kjẽ		
PWN:black.a.01		1mleŋkja		
PWN:blanket.n.01		1kʰje		
PWN:blast.v.07		2prĩ		
PWN:bless.v.01		tʃinrap 1lʌ		
PWN:blind.a.01		2mi 4a-mraŋ		
PWN:blink.v.01		tʃipli tʃipli		
PWN:blister.n.03		tsʰerkuŋ 1kʰʌ 1mo		
PWN:blood.n.01		2ka		
PWN:blow.v.02		2pʰjaŋ		
PWN:blue.s.01		1piŋkja		
PWN:blunt.s.02		4a-tʃʰer		
PWN:board.n.02		3taŋ		
PWN:body.n.01		3sup		
PWN:body_hair.n.01		3sup 2mʷi		
PWN:body_louse.n.01		2ʃe		
PWN:boil.n.01		ʂuŋ		
PWN:boil.v.01		2kʰol		
PWN:bolt.n.03		tsokur		
PWN:bone.n.01		2nokrẽ		
PWN:book.n.01		4tʃʰe		
PWN:boot.n.01		4poli 3ruŋ		
PWN:bore.v.02		4kʰuŋ 4tʰuŋ		
PWN:borrow.v.01		2kʰi		
PWN:bottle.n.01		3ʃelpuŋ		
PWN:bottle.n.01		boʈʌl		eng:bottle
PWN:bottom.n.02		3naŋ ʃo		
PWN:boundary.n.02		1sʌtʃi		
PWN:bow.n.04		3tʌlʌŋ		
PWN:bowl.n.01		korʃo		
PWN:bracelet.n.02		3puʈul		
PWN:braid.v.01		mʷi		
PWN:brain.n.01		1ʃakre		nep:shakti
PWN:brainsick.s.01		1mjo		
PWN:brave.a.01		4lo 1tʰjʌ		
PWN:bread.n.01		2kjaŋ		
PWN:break.v.05		2tʰi (1)		
PWN:breakfast.n.01		kotsʌr		
PWN:breast.n.02		3ŋjokɾo		
PWN:breathe.v.01		mʷo		
PWN:bridge.n.01		1tse		
PWN:bright.a.01		4sol		
PWN:bring.v.01		3pu 1kʰʌ		
PWN:bring_around.v.02		3ʈa		
PWN:broken.s.11		1ʃʌ (2)		
PWN:brow.n.01		3ŋokɾoŋ		
PWN:bruise.n.01		piŋkja		
PWN:brush.n.02		1krʌ 4ʂi-pʌ 3taŋ		
PWN:bull.n.01		4mjekje		
PWN:bunch.n.01		pitʌ		
PWN:burn.v.03		2mɾẽ		
PWN:burn.v.07		1mje pʰu		
PWN:bury.v.02		3pju (1)		
PWN:bus.n.01		bʌs		eng:bus
PWN:butter.n.01		3mʌr		
PWN:butterfly.n.01		1pʰjaŋ puli		
PWN:buttocks.n.01		1tsak		nep:caak
PWN:button.n.01		1koʈe		
PWN:buy.v.01		3kju		
PWN:cadaver.n.01		4ʂo (1)		
PWN:calendar_month.n.01		tawa		
PWN:calf.n.01		4mje 1tsʌtsʌ		
PWN:call.v.05		oi		
PWN:call_on_the_carpet.v.01		3ʃetaŋ 1lʌ		
PWN:cap.n.01		1pulu		
PWN:car.n.01		moʈʌr dʒip		eng:motor jeep
PWN:carpenter.n.01		3sʌpẽ		
PWN:carve.v.01		2ʃiŋ ko		
PWN:cat.n.01		1nokʌr		
PWN:catch.v.04		2tʃʰĩ		
PWN:cattle.n.01		kʰeta		
PWN:cave.n.01		2u		
PWN:center.n.01		2kuŋ=ri		
PWN:center.n.01		pʌr		
PWN:cerumen.n.01		niki		
PWN:chain.n.03		2njata		
PWN:chair.n.01		kurʃiŋ		nep:kursi
PWN:change.v.01		3kjur		
PWN:charcoal.n.01		ʃoŋto		
PWN:cheap.a.01		1kʰe		
PWN:cheek.n.01		3krʌmʌ		
PWN:cheese.n.01		tʃuɾpe		
PWN:chew.v.01		1ŋje		
PWN:chicken.n.02		2naka		
PWN:child.n.01		1kola		
PWN:child.n.02		1kola		
PWN:chili.n.02		martsʰʌ		
PWN:chimney.n.01		1mjuku 1jʌ-pʌ 4kʰja		
PWN:chin.n.01		1konta ~ 1kʌnta		
PWN:choose.v.01		2kre 1lʌ		
PWN:chop.v.01		2tʰa		
PWN:cigarette.n.01		1ʃukri		
PWN:circle.n.03		2pʰultʌŋ		
PWN:citizenry.n.01		3mi		
PWN:claw.n.01		1jaʃiŋ luŋ-pʌ		
PWN:clay.n.01		kjʌla		
PWN:clean.a.01		1pʰjaŋ		
PWN:cleave.v.01		tete tete 2tʰa		
PWN:climb.v.01		1ʂe		
PWN:clock.n.01		4tʃʰutse		
PWN:close.v.01		2prĩ		
PWN:cloud.n.02		mukpʌ		
PWN:coat.n.01		kot		eng:coat
PWN:cock.n.04		(2naka) 4pʰale		nep:bhaale
PWN:cockroach.n.01		saŋlo		nep:saanglaa
PWN:coconut.n.02		kʰuku nantʃuŋ		
PWN:coffee.n.01		kophi		nep:kaaphi
PWN:coin.n.01		2pʰi 4mʷi		
PWN:cold.a.01		2kʰʌŋ		
PWN:cold.n.01		tsʰu-pʌ ʃe 1mo		
PWN:color.n.01		2tsʰe 2tsʰo		
PWN:colt.n.01		2tʌ 1tsʌtsʌ		
PWN:comb.n.01		kaŋki		nep:kaaŋiyo
PWN:common_eel.n.01		pum 2tarŋʌ		nep:baam maacho
PWN:complete.v.01		1tʃʰĩ		
PWN:conserve.v.02		tʃʰʌlʌ		
PWN:construct.v.01		3sʌ (2)		
PWN:construct.v.01		4tʰĩ 2prĩ		
PWN:contend.v.06		2tʃʰe		
PWN:cook.v.02		1tsu		
PWN:cooked.a.01		1tsu-pʌ		
PWN:cooked.a.01		4tʰe-pʌ		
PWN:copper.n.01		4kjor		
PWN:corn.n.01		makai		nep:makai
PWN:corner.n.03		kuri		
PWN:correctly.r.01		1tʌ		
PWN:cotton.n.02		1ʂi (1)		
PWN:cough.v.01		4hlo 1kʰʌ		
PWN:count.v.01		2tʃʰa		
PWN:country.n.02		3jul		
PWN:court.n.10		tʌjʌŋ		
PWN:cover.v.01		2u ~ 2ʃu		
PWN:cow.n.01		4mje		
PWN:crisscross.n.01		kuŋ		
PWN:crooked.a.01		2kurkur		
PWN:crow.n.01		1ate proŋko		
PWN:crowd.n.01		3mi tʃotʃe to-pʌ		
PWN:cry.v.02		1kra		
PWN:cultivate.v.02		4kʰe 1lʌ		
PWN:cup.n.01		1koʃo		nep:kaaso
PWN:curse.v.03		1sʌrʌp 1lʌ		nep:sarap
PWN:cut.v.01		2tʰa		
PWN:dance.v.02		2ʃo		
PWN:danger.n.01		2ŋim-pʌ		
PWN:dark.a.01		2mona		
PWN:dark.n.01		2mona 1mo 1mu		
PWN:daughter.n.01		2tsame		
PWN:dawn.n.01		1tiŋi 2pʰja		
PWN:day.n.01		1sa		
PWN:day.n.05		1tiŋi		
