id	style	word	pronunciation
PLX:1PL.pro		vi	viː
PLX:1SG.pro		jeg	jæj
PLX:2PL.pro		dere	ˈdeːrə
PLX:2SG.pro		du	dʉː
PLX:3PL.pro		de	diː
PLX:3SG M.pro		han	hɑn
PLX:and.cnj		og	o
PLX:because of.adp		på grunn av	poː ˈɡrʉn aːv
PLX:behind.adp		bak	baːk
PLX:behind.adp		bakom	ˈbaːkɔm
PLX:beside.adp		ved siden av	veː ˈsiːdən aːv
PLX:can.v		kunne	ˈkʉnə
PLX:die (from accident).V		omkomme	ˈɔmkɔmə
PLX:everywhere.pro		overalt	oːvərˈɑlt
PLX:from here.adv		herfra	ˈhæːrfraː
PLX:get sick.V		bli syk	bliː ˈsyːk
PLX:how many.pro		hvor mye	vur̈myːə
PLX:how.pro		hvordan	ˈvurdɑn
PLX:in front of.adp		foran	ˈfɔraːn
PLX:in front of.adp		utenfor	ˈʉːtənfɔr
PLX:or.cnj		eller	ˈɛlər
PLX:that.pro		det	deː
PLX:this.pro		dette	ˈdɛtə
PLX:under.adp		under	ˈʉnər
PLX:what.pro		hva	vaː
PLX:where.pro		hvor	vur
PLX:where_to.pro		hvor ... hen	vur ...ʰɛn
PLX:who.pro		hvem	vɛm
PLX:why.pro		hvorfor	ˈvurfɔr
PWN:abandon.v.02		forlate	fɔrˈlaːtə
PWN:abdomen.n.01		buk	bʉːk
PWN:abdomen.n.01		mage	ˈmaːɡə
PWN:above.r.02		oppe	ˈɔpə
PWN:above.r.02		ovenpå	ˈoːvənpoː
PWN:act.v.02		gjøre	ˈjøːrə
PWN:add.v.01		tilføye	ˈtɪlfœjə
PWN:address.n.03		tale	ˈtaːlə
PWN:affect.v.05		røre	ˈrøːrə
PWN:again.r.01		igjen	iˈjɛn
PWN:age.n.01		alder	ˈɑldər
PWN:ahead.r.03		fram	frɑm
PWN:ahead.r.03		framover	ˈfrɑmoːvər
PWN:aid.n.02		hjelp	jɛlp
PWN:air.n.01		luft	lʉft
PWN:alive.a.01		levende	ˈleːvɛnə
PWN:all.a.01		alt	ɑlt
PWN:allege.v.01		si	siː
PWN:alone.r.02		alene	aːˈleːnə
PWN:already.r.01		allerede	ɑləˈreːdə
PWN:already.r.01		alt	ɑlt
PWN:always.r.01		alltid	ˈɑltiː
PWN:anger.v.01		ergre	ˈærɡrə
PWN:anger.v.02		ergre seg	ˈærɡrə sæj
PWN:animal.n.01		dyr	dyːr
PWN:animation.n.01		liv	liːv
PWN:ant.n.01		maur	mæʉr
PWN:apparel.n.01		påkledning	ˈpoːkleːdnɪŋ
PWN:apple.n.01		eple	ˈɛplə
PWN:april.n.01		april	ɑpˈriːl
PWN:apt.s.03		klok	kluːk
PWN:area.n.01		strøk	strøːk
PWN:arise.v.03		reise seg	ˈræjsə sæj
PWN:arm.n.01		arm	ɑrm
PWN:arrive.v.01		ankomme	ˈɑnkɔmə
PWN:arrive.v.01		komme	ˈkɔmə
PWN:arrive.v.01		komme til	ˈkɔmə ˈtɪl
PWN:arrow.n.02		pil	piːl
PWN:ascend.v.01		stige	ˈstiːɡə
PWN:ash.n.01		aske	ˈɑskə
PWN:ask.v.02		be	beː
PWN:ask.v.05		spørre	ˈspœrə
PWN:august.n.01		august	æʉˈɡʉst
PWN:aunt.n.01		tante	ˈtɑntə
PWN:awaken.v.01		vekke	ˈvɛkə
PWN:back.n.01		rygg	rʏɡ
PWN:back.r.01		tilbake	tɪlˈbaːkə
PWN:back.r.02		baklengs	ˈbaːklɛŋs
PWN:bad.a.01		dårlig	ˈdoːrlɪ
PWN:bag.n.01		veske	ˈvɛskə
PWN:bake.v.02		bake	ˈbaːkə
PWN:bare.s.01		naken	ˈnaːkən
PWN:bark.n.01		bark	bɑrk
PWN:bark.v.04		bjeffe	ˈbjɛfə
PWN:bark.v.04		gjø	jøː
PWN:bathe.v.01		bade	ˈbaːdə
PWN:battle.n.01		kamp	kɑmp
PWN:bay.n.01		bukt	bukt
PWN:be_born.v.01		fødes	ˈføːdəs
PWN:bear.n.01		bjørn	bjøːrn
PWN:beard.n.01		skjegg	ʃɛɡ
PWN:beautiful.a.01		pen	ˈpeːn
PWN:beautiful.a.01		vakker	ˈvɑkər
PWN:become.v.01		bli	bliː
PWN:bed.n.01		seng	sɛŋ
PWN:begin.v.03		begynne	bəˈjʏnə
PWN:believe.v.01		tro	truː
PWN:beloved.s.01		kjær	çæːr
PWN:beloved.s.01		snill	snɪl
PWN:belt.n.02		belte	ˈbɛltə
PWN:bend.v.01		bøye	ˈbœjə
PWN:benefit.n.02		nytte	ˈnʏtə
PWN:berry.n.01		bær	bæːr
PWN:better.v.02		forbedre	fɔrˈbeːdrə
PWN:better.v.02		rette	ˈrɛtə
PWN:between.r.02		mellom	ˈmɛlum
PWN:birch.n.02		bjørk	bjœrk
PWN:bird.n.01		fugl	fʉːl
PWN:bite.v.01		bite	ˈbiːtə
