id	style	word	pronunciation
PLX:1PL.pro		myö	mʏœ
PLX:1SG.pro		minä	minæ
PLX:2PL.pro		työ	tʏœ
PLX:2SG.pro		sinä	sinæ
PLX:3PL.pro		hyö	hʏœ
PLX:3SG M.pro		häi	hæi
PLX:and.cnj		da	dɑ
PLX:and.cnj		i	i
PLX:because of.pp		periä	pɛriæ
PLX:because of.pp		täh	tæh
PLX:behind.pp		tagan	tɑɡɑn
PLX:beside.pp		korvas	kɔrvɑs
PLX:beside.pp		rinnal	rinːɑl
PLX:beside.pp		vieres	viɛrɛs
PLX:can.v		voija	vɔijɑ
PLX:die (from accident).V		kuaduo	kʊɑdʊɔ
PLX:die (from accident).V		kuolta	kʊɔltɑ
PLX:everywhere.pro		joga sijas	jɔɡɑ sijɑs
PLX:everywhere.pro		kaikkiel	kɑikːiɛl
PLX:from here.adv		täspäi	tæspæi
PLX:get sick.V		läživyö	læʒivʏœ
PLX:get sick.V		voimattuo	vɔimɑtːʊɔ
PLX:how many.pro		äijygo	æijʏɡɔ
PLX:how many.pro		äijängo	æijæŋːɔ
PLX:how.pro		kui	kʊi
PLX:how.pro		kuibo	kʊibɔ
PLX:in front of.pp		ies	iɛs
PLX:or.cnj		libo	libɔ
PLX:that.pro		se	sɛ
PLX:that.pro		tai	tɑi
PLX:this.pro		se	sɛ
PLX:this.pro		tämä	tæmæ
PLX:under.pp		al	ɑl
PLX:what.pro		mi	mi
PLX:where.pro		mis	mis
PLX:where_to.pro		kunne	kʊnːɛ
PLX:who.pro		ken	kɛn
PLX:who.pro		kenbo	kɛnbɔ
PLX:why.pro		miksebo	miksɛbɔ
PLX:why.pro		mindähbo	mindæhbɔ
PWN:abandon.v.02		hyllätä	hʏlːætæ
PWN:abandon.v.02		jättiä	jætːiæ
PWN:abdomen.n.01		vačču	vɑt͡ʃːʊ
PWN:above.r.02		ylähän	ʏlæhæn
PWN:act.v.02		azuo	ɑzʊɔ
PWN:act.v.02		luadie	lʊɑdiɛ
PWN:act.v.02		ruadua	rʊɑdʊɑ
PWN:add.v.01		ližätä	liʒætæ
PWN:address.n.03		sanat	sɑnɑt
PWN:affect.v.05		hellyttiä	hɛlːʏtːiæ
PWN:affect.v.05		liikuttua	liːkʊtːʊɑ
PWN:again.r.01		myös	mʏœs
PWN:again.r.01		uvvessah	ʊvvɛsːɑh
PWN:age.n.01		igä	iɡæ
PWN:ahead.r.03		edeh	ɛdɛh
PWN:ahead.r.03		edehpäi	ɛdɛxpæi
PWN:aid.n.02		abu	ɑbʊ
PWN:air.n.01		ilmu	ilmʊ
PWN:alive.a.01		elävy	ɛlævʏ
PWN:all.a.01		kai	kɑi
PWN:allege.v.01		sanuo	sɑnʊɔ
PWN:alone.r.02		yksin	ʏksin
PWN:alone.r.02		yksinäh	ʏksinæh
PWN:already.r.01		jo	jɔ
PWN:always.r.01		ainos	ɑinɔs
PWN:always.r.01		aiven	ɑivɛn
PWN:anger.v.01		suututtua	suːtʊtːʊɑ
PWN:anger.v.02		tabavuo	tɑbɑvʊɔ
PWN:animal.n.01		elätti	ɛlætːi
PWN:animal.n.01		zvieri	zviɛri
PWN:animal.n.01		žiivattu	ʒiːvɑtːʊ
PWN:animation.n.01		elaigu	ɛlɑiɡʊ
PWN:animation.n.01		elo	ɛlɔ
PWN:ant.n.01		kudžoi	kʊd͡ʒɔi
PWN:apparel.n.01		sovat	sɔvɑt
PWN:apparel.n.01		šuorivo	ʃʊɔrivɔ
