id	style	word	transcription	etymology
PLX:1PL EXCL.pro		mir		
PLX:1PL EXCL.pro		miti		
PLX:1PL INCL.pro		bu:		
PLX:1SG.pro		bi:		
PLX:2PL.pro		ʃu		
PLX:2SG.pro		ʃi:		
PLX:3PL.pro		nɔ:tɪn		
PLX:3SG F.pro		nɔ:nin		
PLX:3SG INAN.pro		tari		
PLX:3SG M.pro		nɔ:nin		
PLX:3SG.pro		nɔ:nɪn		
PLX:3SG.pro		tarɪ		
PLX:above.pp		uyilə:		
PLX:after.pp		amalan		
PLX:be late.v		dɪldatʃa		
PLX:because.cnj		dʒa:lin		
PLX:behind.pp		amalan		
PLX:beside.pp		tɔ:gida:lin		
PLX:carry in hand.v		ŋa:l-		
PLX:carry on shoulder.v		ʊwa-		
PLX:carry under arm.v		kaptʃɪ:-		
PLX:daughter-in-law (of man).n		kukin		
PLX:daughter-in-law (of woman).n		kukin		
PLX:day after tomorrow.adv		tɪma:na tʃawʊdʊ		
PLX:day before yesterday.adv		ti:nəwə tʃawʊdʊ		
PLX:digging stick.n		mukərə		
PLX:fall silent.v		ʃi:p		
PLX:father's brother.n		ama:ka		
PLX:father's sister.n		əɲəkə		
PLX:father-in-law (of man).n		kadʊm amɪn		
PLX:head hair.n		ɲuriktə		
PLX:how many pieces.pro		ɔ:ki		
PLX:how much.pro		ɔ:ki		
PLX:how.pro		ɔ:n		
PLX:in front of.pp		dʒu:llə		
PLX:inside.pp		dɔ:la:		
PLX:mother's brother.n		na:tʃʊ		
PLX:mother's sister.n		əɲəkə		
PLX:mother-in-law (of man).n		kadum ənin		
PLX:mother-in-law (of woman).n		arkɪ		
PLX:netbag.n		kari		
PLX:outside.pp		tullə		
PLX:son-in-law (of man).n		kurə:kə:n		
PLX:son-in-law (of woman).n		kurə:kə:n		
PLX:stab to death.v		gɪdala:-		
PLX:that.pro		tarɪ		
PLX:this.pro		əri		
PLX:under.pp		ərgin		
PLX:what.pro		ikun		
PLX:when.pro		alɪ		
PLX:where.pro		ilə/idu		
PLX:which Q.pro		iri		
PLX:who.pro		ni:		
PLX:why.pro		yɛ:da		
PLX:yes.ptcl		mətər		
PWN:abdomen.n.01		gudə:		
PWN:above.r.02		gʊgda		
PWN:acorn.n.01		ʊʃɪkta		
PWN:act.v.02		ɔ:-		
PWN:address.n.03		ulgur		
PWN:adz.n.01		sukətʃɛn		khk:sux
PWN:afternoon.n.01		inəŋ dulin nuktʃitʃə		
PWN:again.r.01		dakin		
PWN:age.n.01		naʃʊ		
PWN:airplane.n.01		ɸəytin		cmn:fēi tǐng (飛艇)
PWN:all.a.01		banbʊr		
PWN:all.a.01		ɔ:rin		
PWN:allege.v.01		gun-		
PWN:allege.v.01		un-		
PWN:alone.r.02		əmukən		
PWN:always.r.01		umun durum		
PWN:amazed.s.01		alawʊkɛ		
PWN:animal.n.01		bəyiŋə		
PWN:animation.n.01		bardilga		
PWN:ankle.n.01		ayu:kan		
PWN:announce.v.01		ʃa:wukanan		
PWN:answer.v.01		dʒarɪwla-		
PWN:answer.v.01		karɪwla:-		
PWN:ant.n.01		iriktə		
PWN:apparel.n.01		təti		
PWN:apt.s.03		ʃɪrkan		
PWN:arm.n.01		ŋa:la		
PWN:armpit.n.01		ɔ:nɪ		
PWN:army.n.01		alban		khk:*alba-n
PWN:arrive.v.01		əmə-		
PWN:arrive.v.01		ɪʃɪna:-		
PWN:arrow.n.02		luki		
PWN:artery.n.01		ʊŋɪkta		
PWN:ascend.v.01		tukti-		
PWN:ash.n.01		uləptən		
PWN:ask.v.02		gələ:-		
PWN:ask.v.05		aŋŋʊ-		
PWN:ask.v.05		ulgumə-		
PWN:awl.n.01		ʃɪlgʊn		
PWN:ax.n.01		sukə		khk:sux
PWN:axle.n.01		təŋgəl		dta:təŋgəl
PWN:baby.n.01		nɔnɔ		
PWN:back.n.01		ʃɔgdɔnɔ		
PWN:bad.a.01		əru		
PWN:bait.n.02		dʒəbtulukɛ		
PWN:bake.v.02		ka:-		
PWN:bald.s.02		taraka		khk:taraɣai
PWN:ball.n.03		tɛnbukən		
PWN:ball.n.03		tʃul		cmn:qiú (球 )
PWN:bamboo.n.01		ʃuʃə		cmn:zúzi (竹子)
PWN:bare.s.01		dʒulakɪn		
PWN:bark.n.01		kə:rə		
PWN:bark.n.01		talu		
PWN:barter.v.01		dʒɔ:t-		
PWN:basket.n.01		kwaŋ		cmn:kuāng (筐)
PWN:bat.n.01		nəməkəldun		
PWN:bathe.v.01		olbot-		
PWN:bathe.v.01		ulbuʃt-		
PWN:bathe.v.01		əlbət-		
PWN:battle.n.01		wa:ldɪn		
PWN:bay.n.01		dalay kɔ:tʃɔ		
PWN:be.v.03		bi-		
PWN:be.v.11		i:nikin		
PWN:be_born.v.01		baka-		
PWN:bead.n.01		tʃɪktɪ		
PWN:beam.n.02		nɪrʊ		
PWN:bean.n.01		bɔrtʃɔ		
PWN:bear.n.01		ətirkə:n		
PWN:beard.n.01		gʊrgakta		
PWN:beautiful.a.01		ayamakan		
PWN:bed.n.01		ɔrɔ		
PWN:bed.n.01		ʃi:rə		
PWN:bee.n.01		dʒu:gdu		
PWN:beehive.n.04		dʒu:gduŋi dʒu:n		
PWN:beggar.n.01		gɪyatʊ		
PWN:begin.v.03		əkəl-		
PWN:beginning.n.01		təlindun		
PWN:believe.v.01		itəkə-		
PWN:belt.n.02		tələ:		
PWN:belt.n.02		umu:l		
PWN:bicycle.n.01		tərgəkən		
PWN:big_brother.n.02		akɪn		
PWN:big_sister.n.01		əkin		
PWN:billy.n.02		adirga ima:n		dta:ima:
PWN:birch.n.02		tʃa:lban		
PWN:bird.n.01		tʃinəkə		
PWN:bite.v.01		kɪk-		
PWN:bitter.s.06		gʊtɪ		
PWN:black.a.01		kɔŋnɔrɪn		
PWN:blacksmith.n.01		mudʒan		cmn:mùjiang ( 木匠)
PWN:blanket.n.01		ʊla		
PWN:blast.v.07		ɔ:də:-		
PWN:blind.a.01		balɪ		
PWN:blink.v.01		balɪ-		
PWN:blister.n.03		tʃənburdə		
PWN:blood.n.01		ʃə:kʃə		
PWN:blow.v.02		u:-		
PWN:blue.s.01		tʃaŋgɛ:n		
PWN:blue.s.01		ʃɪ:la		
PWN:blunt.s.02		mampa		
PWN:board.n.02		kaptaʃʊn		
PWN:boast.v.01		dəyər-		
PWN:boat.n.01		mɔrətʃin		
PWN:boat.n.01		mɔŋgɔ		
PWN:body.n.01		bəyə		
PWN:body_hair.n.01		iŋakta		
PWN:body_louse.n.01		kuŋkə:		
PWN:boil.n.01		ukʃin		
PWN:boil.v.01		uyi-		
PWN:bolt.n.03		gʊldʒiŋki		
PWN:bone.n.01		gɪramna		
PWN:book.n.01		bitəgə (phonetically bitəɣə)		
PWN:boot.n.01		əmtʃurə		
PWN:bore.v.02		ʃɪlgʊ-		
PWN:borrow.v.01		akʃʊma-		
PWN:borrow.v.01		ɪlduma-		
PWN:bottle.n.01		butyɛrkə		rus:butylka (бутылка)
PWN:bottle.n.01		gu:		dta:gu:
PWN:bottom.n.02		ərgilə:		
PWN:bow.n.04		bər		
PWN:bowl.n.01		tangʊra		
PWN:bowl.n.01		tʃadʒʊŋkʊ		dta:tʃa:dʒʊkw
PWN:bracelet.n.02		gilə:ptun		
PWN:braid.n.01		ɪltʃaptʊn		
PWN:braid.v.01		nəkə-		
PWN:braid.v.01		ɪltʃa-		
PWN:brain.n.01		irgə		
PWN:brainsick.s.01		bəltʃə		
PWN:branch.n.03		gara		
