id	style	word	transcription	etymology
PLX:1PL EXCL.pro		geje		
PLX:1PL EXCL.pro		gek'be		
PLX:1PL EXCL.pro		geka̲'be		
PLX:1PL EXCL.pro		geka̲he		
PLX:1PL EXCL.pro		geku̲'be		
PLX:1PL EXCL.pro		nuga'be		
PLX:1PL EXCL.pro		nuga̲'be		
PLX:1PL EXCL.pro		nuga̲he		
PLX:1PL EXCL.pro		nughe		
PLX:1PL EXCL.pro		nugu̲he		
PLX:1PL INCL.pro		geka̲wi		
PLX:1PL INCL.pro		geku̲wi		
PLX:1PL INCL.pro		gekwi		
PLX:1PL INCL.pro		nugawi		
PLX:1PL INCL.pro		nuga̲hu̲		
PLX:1PL INCL.pro		nughu̲		
PLX:1PL INCL.pro		nugu̲hu̲		
PLX:1PL INCL.pro		nugwi		
PLX:1PL.pro		nugahu		
PLX:1SG.pro		geka̲		
PLX:1SG.pro		geki		
PLX:1SG.pro		geku̲ga̲		
PLX:1SG.pro		nuga̲		
PLX:1SG.pro		nugu̲ga̲		
PLX:1SG.pro		nugu̲gi		
PLX:2PL.pro		ge'ahu̲		
PLX:2PL.pro		ge'awi		
PLX:2PL.pro		ge'ehu̲		
PLX:2PL.pro		ge'ewi		
PLX:2PL.pro		nu'ahu̲		
PLX:2PL.pro		nu'iwi		
PLX:2PL.pro		nu'u̲hu̲		
PLX:2PL.pro		nu'u̲wi		
PLX:2SG.pro		ge'e		
PLX:2SG.pro		ge'i		
PLX:2SG.pro		ge'ñe		
PLX:2SG.pro		nu'i		
PLX:2SG.pro		nu'ä'i		
PLX:3PL.pro		ge'u̲		
PLX:3PL.pro		gehya		
PLX:3PL.pro		gehyu̲		
PLX:3PL.pro		nu'u̲		
PLX:3PL.pro		nuyu̲		
PLX:3PL.pro		nu’u		
PLX:3SG F.pro		nu'ä		
PLX:3SG F.pro		nä'ä		
PLX:3SG INAN.pro		nu'ä		
PLX:3SG INAN.pro		nä'ä		
PLX:3SG M.pro		nu'ä		
PLX:3SG M.pro		nä'ä		
PLX:3SG.pro		ge'ä		
PLX:3SG.pro		gehna		
PLX:3SG.pro		gehnu̲		
PLX:3SG.pro		nu'ä		
PLX:3SG.pro		nuna		
PLX:and.cnj		ne (3)		
PLX:behind.adp		ir mo̲te		
PLX:behind.adp		jar xu̲tha		
PLX:how.pro		hanja('ä)?		
PLX:how.pro		honja('ä)?		
PLX:how.pro		temu?		
PLX:how.pro		yogo('ä)?		
PLX:if.cnj		ha		
PLX:if.cnj		nu'bu̲		
PLX:if.cnj		nu'mu̲		
PLX:in front of.adp		'be̲t'o		
PLX:in front of.adp		'be̲t'o nu		
PLX:in front of.adp		ir mo̲te nu		
PLX:or.cnj		o (2)		spa:o
PLX:or.cnj		wa (2)		
PLX:or.cnj		wage		
PLX:that.pro		ge'ä		
PLX:that.pro		nu'ä		
PLX:this.pro		gehna		
PLX:this.pro		nuna		
PLX:under.adp		madu̲i		
PLX:under.adp		madu̲i ja		
PLX:under.adp		mbo ja		
PLX:under.adp		nga̲t'i		
PLX:what.pro		te?		
PLX:what.pro		tem?		
PLX:what.pro		temu?		
PLX:where.pro		ho'bu̲?		
PLX:where.pro		hogem'bu̲?		
PLX:who.pro		togo'ä?		
PLX:who.pro		togo?		
PLX:why.pro		yogo'ä?		
PLX:why.pro		yogo?		
PLX:yes.ptcl		hä (2)		
PWN:abdomen.n.01		mu̲i (2)		
PWN:abdomen.n.01		xefo		
PWN:above.r.02		xi hñets'i		
PWN:accuse.v.01		ka̲ts'i		
PWN:accuse.v.01		mämbi		
PWN:acerate_leaf.n.01		‘yofni		
PWN:acorn.n.01		ro		
PWN:acquit.v.01		puni		
PWN:act.v.02		o̲t'e		
PWN:address.n.03		hmä		
