id	style	word	morphology	etymology
PLX:1PL EXCL.pro		demi	de·mi	
PLX:1PL INCL.pro		yumi	yu·mi	
PLX:1PL POSS.pro		vi's	vi's	
PLX:1PL.pro		vi	vi	
PLX:1SG POSS.pro		mi's	mi's	
PLX:1SG.pro		mi	mi	eng:fra:por:me, spa:mi; me, fas: من‎ (man), hin:मैं (mẽ), ben:আমি (ami), ful:mi, swa:mimi
PLX:2PL POSS.pro		yu's	yu's	
PLX:2PL.pro		yu	yu	
PLX:2SG POSS.pro		tu's	tu's	
PLX:2SG.pro		tu	tu	deu:du, fra:por:tu, spa:tú, rus:ты (ty), fas: تو‎ (to), hin:तू (tū), ben:তুই (tui)
PLX:2SG.pro	form.	yu	yu	
PLX:3PL POSS.pro		de's	de's	
PLX:3PL.pro		de	de	
PLX:3SG POSS.pro		hi’s	hi’s	
PLX:3SG.pro		hi	hi	eng:he; her, ara: هُوَ (huwa); هِيَ (hiya), heb: הו (hū); הי (hī)
PLX:Asian dragon.n		lung	lung	zho:龙 (lóng), yue:龍 (lung4), vie:rồng,long, kor:용 (yong), 룡 (ryong), jpn:竜 (ryū), khm:រោង (roong), tha:มะโรง (má-roong)
PLX:COND.v		vud	vud	eng:would
PLX:about.pp 		teman	tema·n	
PLX:after.pp		pos	pos	eng:fra:post-, spa:pos, por:pós-, rus:после- (posle-) + fas: پس (pas)
PLX:and.cnj		e	e	eng:and, fra:et, por:e, spa:y; e, zho:和 (hé), ful:e
PLX:antifascism.n		antifashisme	anti.fash·ism'e	
PLX:anyone.pro		eni von	eni von	
PLX:anything.pro		eni ting	eni ting	
PLX:at.pp		a	a	fra:à, spa:por:a, eng:at; a-, rus:а- (a-), hau:a, ful:haa
PLX:because.cnj		a sabab of	a sabab of	
PLX:before.pp		pre	pre	eng:fra:spa:por:pre-, hin:प्र- (pra-), ben:প্র- (prô-), may:pra-
PLX:beside.pp		para	para	eng:fra:spa:por:para-, fas: پیرا‎ (pīrā-)
PLX:between.pp		a mid of	a mid of	
PLX:bon voyage.int		sal safar	sal safar	
PLX:by means of.pp		be	be	eng:by, fas: به (be), ara: بِـ (bi-)
PLX:can.v		kan	kan	eng:can, deu:können, zho:可 (kě), jpn:可 (ka), kor:가 (ga), vie:khả
PLX:during.pp		dura·n	duran	
PLX:everyone.pro		evri von	evri von	
PLX:everything.pro		evri ting	evri ting	
PLX:from.pp		of	of	eng:of
PLX:genderology.n		jenerolojia	jen·er·o·loj·ia	
PLX:haha.int		haha	haha	eng:fra:por:tur:haha, spa:jaja, rus:ха-ха (ha-ha), zho:哈哈 (hāhā), jpn:わはは (wa-ha-ha), ara:(hahah)
PLX:hello.int		halo	halo	eng:hello,  zho:哈喽 (hālóu), hin:हेलो (helo), ben:হ্যালো  (hyalo), may:halo + fra:allô, spa:aló, por:alô, rus:алло (allo), ara: آلُو‎ (ʾālū), tur:alo
PLX:hello.int  		sal	sal	ara:fas: سلام‎ (salâm), hin:सलाम (salām), ben: সালাম (salam), may:selamat, swa:salamu, ful:salaam, hau:salam, tur:selam + eng:salute, fra:salut, spa:salude, por:saúde + kor:잘 (jal)
PLX:heuristics.n		heuristia	heur·istia	
