id	style	word	morphology	etymology
PLX:1PL POSS.pro		mesi	mes’i	
PLX:1PL.pro		mes	mes	
PLX:1SG POSS.pro		mi	m’i	
PLX:1SG.pro		me	m’e	eng:fra:por:me, spa:mi; me, fas: من‎ (man), hin:मैं (mẽ), ben:আমি (ami), ful:mi, swa:mimi
PLX:2PL POSS.pro		tesi	tes’i	
PLX:2PL.pro		tes	tes	
PLX:2SG POSS.pro		ti	t’i	
PLX:2SG.pro		te	t’e	deu:du, fra:por:tu, spa:tú, rus:ты (ty), fas: تو‎ (to), hin:तू (tū), ben:তুই (tui)
PLX:3PL POSS.pro		lesi	les’i	
PLX:3PL.pro		les	les	
PLX:3SG POSS.pro		li	l’i	
PLX:3SG.pro		le	l’e	eng:he; her, ara: هُوَ (huwa); هِيَ (hiya), heb: הו (hū); הי (hī)
PLX:Pan-African.a		panafriki	pan.afrik’i	
PLX:Pan-American.a		panameriki	pan.amerik’i	
PLX:Pan-Asian.a		panasia’i	pan.as·ia’i	
PLX:Pan-European.a		paneuropi	pan.europ’i	
PLX:and.cnj		e	e	eng:and, fra:et, por:e, spa:y; e, zho:和 (hé), ful:e
PLX:antifascism.n		antifashisme	anti.fash·ism'e	
PLX:because.cnj		sababu	sabab’u	
PLX:genderology.n		jenerolojia	jen·er·o·loj·ia	
PLX:haha.int		haha	haha’	eng:fra:por:tur:haha, spa:jaja, rus:ха-ха (ha-ha), zho:哈哈 (hāhā), jpn:わはは (wa-ha-ha), ara:(hahah)
PLX:hello.int		halo	halo’	eng:hello,  zho:哈喽 (hālóu), hin:हेलो (helo), ben:হ্যালো  (hyalo), may:halo + fra:allô, spa:aló, por:alô, rus:алло (allo), ara: آلُو‎ (ʾālū), tur:alo
PLX:hello.int		sal	sal	ara:fas: سلام‎ (salâm), hin:सलाम (salām), ben: সালাম (salam), may:selamat, swa:salamu, ful:salaam, hau:salam, tur:selam + eng:salute, fra:salut, spa:salude, por:saúde + kor:잘 (jal)
PLX:heuristics.n		heuristia	heur·istia	
PLX:hey.int		hei	hei	eng:hey, fra:hé, spa:hey, por:ei, rus:эй (ey), zho:喂 (wèi), vie:ê; ơi, fas: هی‎ (hey), ful:héé
PLX:oganesson.n		oganeson	oganeson	eng:fra:por:may:oganesson, spa:oganesón, rus:оганесон, jpn:オガネソン, kor:우누녹튬
PLX:okay.n.01		okei	okei	
PLX:or.cnj		o	o	eng:or, spa:tgl:o, fra:por:ou, zho:或 (huò), ara:(ʾaw)
PLX:prepend.v		prepozita	pre.pozit’a	
PWN:age.n.01		umre	umr'e	ara: عُمُر‎ (ʿumur), fas: عمر (omr), hin:उमर (umar), ben:ওমর (omôr), swa:umri, may:umur, tur:ömür
PWN:aim.v.01		dika	dik’a	
PWN:air.n.01		aer	aer	eng:fra:spa:air, por:ar, rus:аэро- (aero-)
PWN:airport.n.01		aeroporte	aer·o·port'e	
PWN:alcohol.n.01		alkol	alk·ol	ara: كُحُول‎ (kuḥūl), eng:spa:alcohol, fra:alcool, por:álcool,  rus:алкоголь (alkohol), jpn:アルコール (arukōru), kor:알콜 (alkol), hin:ऐल्कोहॉल (ailkohŏl), ben:এলকোহল (elkohôl), ind:alkohol, tur:ful:alkol
PWN:alcoholic.a.01		alkoli	alk·ol·i	
PWN:alcoholic.n.01		alkoliste	alk·ol·ist'e	
PWN:alcoholism.n.01		alkolisme	alk·ol·ism'e	
PWN:alga.n.01		alga	alga	eng:spa:por:pol:may:alga, fra:algue, deu:Alge, tur:alg, fas:(âlg)
PWN:algometry.n.01		algometria	alg·o·metr·ia	
PWN:alike.a.01		idi	id’i	lat:idem, eng:identical, deu:identisch, fra:identique, spa:idéntico, por:idêntico, rus:идентичный (identičnyi), may:tur:identik
PWN:alkene.n.01		alken	alk·en	
PWN:alkyl.n.01		alkil	alk·il	
