id	style	word	pronunciation
PLX:1PL.pro		مونږ	munʐ
PLX:1SG.pro		زه	ze
PLX:2PL.pro		تاسې	ˈt̪ɑˈsi
PLX:2SG.pro		ته	t̪ə
PLX:3PL.pro		هغوی	haˈɣoj
PLX:3SG M.pro		دی	d̪ai
PLX:and.cnj		او	au
PLX:because of.adp		د ... له لاسه	d̪ə ... lə ˈlɑsa
PLX:behind.adp		شاته	ˈʃɑt̪a
PLX:beside.adp		نژدې	nəʒˈd̪e
PLX:can.v		د لاسه کېدل	d̪ə ˈlɑsa keˈd̪əl
PLX:can.v		کولای شول	kawəˈlɑj ʃwəl
PLX:die (from accident).V		تلفېدل	t̪alafeˈd̪əl
PLX:everywhere.pro		هره خوا	ˈhara xwɑ
PLX:from here.adv		د دې ځای نه	d̪ə d̪e d͡zai na
PLX:get sick.V		رنځورېدل	rand͡zuriˈd̪əl
PLX:how many.pro		څو	t͡so
PLX:how many.pro		څومره	ˈt͡somra
PLX:how.pro		څنګه	ˈt͡senɡa
PLX:in front of.adp		دمخه	d̪əˈməxa
PLX:or.cnj		ېا	ja
PLX:that.pro		دا	d̪ɑ
PLX:this.pro		دا	d̪ɑ
PLX:under.adp		لاندي	ˈlɑnd̪i
PLX:what.pro		څهٔ	t͡sə
PLX:where.pro		چيری	ˈt͡ʃiri
PLX:where.pro		چېرته	ˈt͡ʃert̪a
PLX:where_to.pro		چېرته	ˈt͡ʃert̪a
PLX:who.pro		څوک	t͡sok
PLX:who.pro		چا	t͡ʃa
PLX:why.pro		ولې	ˈwali
PWN:abandon.v.02		ترک کول	t̪ark kaˈwəl
PWN:abdomen.n.01		نس	nas
PWN:abdomen.n.01		ګېډه	ˈɡəɖa
PWN:above.r.02		پورته	ˈport̪a
PWN:act.v.02		کول	kaˈwəl
PWN:add.v.01		زیاتول	zjɑt̪aˈwəl
PWN:address.n.03		وینا	waiˈnɑ
PWN:affect.v.05		اغېزه کول	aɣeˈza kaˈwəl
PWN:again.r.01		بیا	bjɑ
PWN:age.n.01		منګ	manɡ
PWN:ahead.r.03		مخ پهٔ وړاندې	məx ˈpe waɺɑnˈd̪e
PWN:aid.n.02		مرسته	mˈrast̪a
PWN:aid.n.02		کومک	koˈmak
PWN:air.n.01		هوا	haˈwɑ
PWN:alive.a.01		ژوندی	ʒwanˈd̪aj
PWN:all.a.01		هرڅهٔ	harˈt͡se
PWN:allege.v.01		وېل	wəiˈəl
PWN:alone.r.02		یوازې	jaˈwɑzi
PWN:already.r.01		دمخه	d̪əˈməxa
PWN:always.r.01		تل	t̪el
PWN:always.r.01		همېشه	hameˈʃa
PWN:anger.v.01		خپه کول	ˈxepa kaˈwəl
PWN:anger.v.02		قهر راتلل	qahr rɑt̪ˈləl
PWN:animal.n.01		حیوان	haiˈwɑn
PWN:animal.n.01		ژوی	ˈʒəwai
PWN:animation.n.01		ژوند	ʒwand̪
PWN:ant.n.01		مېږی	meˈʐaj
PWN:apparel.n.01		کالي	kɑˈlaj
PWN:apple.n.01		مڼه	maˈɳa
PWN:april.n.01		اپریل	apˈril
PWN:apt.s.03		عاقل	ɑˈqil
PWN:apt.s.03		هوښیار	hoʂˈjɑr
PWN:area.n.01		سیمه	ˈsima
PWN:area.n.01		منطقه	mant̪aˈqa
PWN:arise.v.03		درېدل	d̪areˈd̪əl
PWN:arm.n.01		لاس	lɑs
PWN:arrive.v.01		راتلل	rɑt̪ˈləl
PWN:arrive.v.01		رسېدل	raseˈd̪əl
PWN:arrow.n.02		غشی	ɣeˈʃaj
PWN:ascend.v.01		جګېدل	d͡ʒeɡeˈd̪əl
PWN:ascend.v.01		پورته کېدل	ˈport̪a keˈd̪əl
PWN:ash.n.01		آس	ɑs
PWN:ash.n.01		ایره	iˈra
PWN:ask.v.02		غوښتل	ɣuʂˈt̪əl
PWN:ask.v.05		پوښتنه کول	puʂˈt̪əna kaˈwəl
PWN:august.n.01		اګست	áɡəst̪
PWN:aunt.n.01		خاله	xɑˈla
PWN:awaken.v.01		ويښول	wihaˈwəl
PWN:back.n.01		شا	ʃa
PWN:back.r.01		بېرته	ˈbert̪a
PWN:back.r.02		بېرته	ˈbert̪a
PWN:bad.a.01		بد	bad̪
PWN:bad.a.01		خراب	xaˈrɑb
PWN:bag.n.01		بکس	baks
PWN:bag.n.01		توبره	t̪obˈra
PWN:bake.v.02		پخول	paxaˈwəl
PWN:bare.s.01		لوڅ	lut͡s
PWN:bark.n.01		پوستکی	posˈt̪əkai
PWN:bark.v.04		غپېدل	ɣapeˈd̪əl
PWN:bathe.v.01		لمبېدل	lambeˈd̪əl
PWN:battle.n.01		جنګ	d͡ʒanɡ
PWN:battle.n.01		مبارزه	mubɑraˈza
PWN:bay.n.01		کارۍ	kɑˈrəj
PWN:be_born.v.01		زېږېدل	zeʐeˈd̪əl
PWN:bear.n.01		خرس	xirs
PWN:beard.n.01		ږیره	ˈʐira
PWN:beautiful.a.01		ښکلی	ʂˈkulai
PWN:become.v.01		کېدل	keˈd̪əl
PWN:bed.n.01		چپرکټ	t͡ʃaparˈkaʈ
PWN:bed.n.01		کټ	kaʈ
PWN:begin.v.03		شروع کول	ʃuˈruʔ kaˈwəl
PWN:believe.v.01		باور کول	bɑˈwar kaˈwəl
PWN:beloved.s.01		عزیز	aˈziz
PWN:beloved.s.01		محبوب	mahˈbub
PWN:belt.n.02		کمربند	kamarˈband̪
PWN:bend.v.01		کږول	kaʐaˈwəl
PWN:benefit.n.02		ګټه	ˈɡaʈa
PWN:berry.n.01		مېوۍ	meˈwəj
PWN:better.v.02		اصلاح کول	isˈlɑh kaˈwəl
PWN:between.r.02		ترمینځ	t̪ermˈjand͡z
PWN:birch.n.02		توس	t̪us
PWN:bird.n.01		مرغه	murˈɣə
PWN:bite.v.01		چیچل	t͡ʃiˈt͡ʃəl
PWN:bitter.s.06		تریخ	t̪rix
PWN:black.a.01		تور	t̪or
PWN:blanket.n.01		بړستن	bɺasˈt̪ən
PWN:blast.v.07		ویشتل	wiʃˈt̪əl
PWN:blind.a.01		ړوند	ɺund̪
PWN:blood.n.01		وینه	ˈwina
PWN:blow.v.01		پو کول	pukaˈwəl
PWN:blow.v.02		چلېدل	t͡ʃaleˈd̪əl
PWN:blue.s.01		اسماني رنګه	asmɑniˈranɡa
PWN:blue.s.01		شین	ʃin
PWN:blunt.s.02		پڅ	pət͡s
PWN:board.n.02		تخته	t̪axˈt̪a
PWN:boast.v.01		لاپې وهل	ˈlɑpi waˈhəl
PWN:boat.n.01		قايق	qɑˈjiq
PWN:body.n.01		ځان	d͡zɑn
PWN:boil.v.01		اېشېدل	iʃeˈd̪əl
PWN:boil.v.03		پخول	paxaˈwəl
PWN:bone.n.01		هډوکی	haˈɖukai
PWN:book.n.01		کتاب	kit̪ɑb
PWN:boot.n.01		موزه	moˈza
PWN:botch.v.01		خرابېدل	xarɑbeˈd̪əl
PWN:boundary_line.n.01		حد	had̪
PWN:boundary_line.n.01		سرحد	sarhad̪
PWN:bow.n.04		لیندۍ	linˈd̪əj
PWN:box.n.01		صندوق	sunˈd̪uq
PWN:brain.n.01		ماغزه	mɑɣˈzə
PWN:branch.n.02		ښاخ	ʂɑx
PWN:branchlet.n.01		څانګه	ˈt͡sɑnɡa
PWN:brawl.v.01		جنګېدل	d͡ʒanɡeˈd̪əl
PWN:bread.n.01		ډوډۍ	ɖoɖəi
PWN:break.v.05		ماتول	mat̪aˈwəl
PWN:breast.n.02		تی	t̪ai
PWN:breath.n.02		نفس	nafas
PWN:breathe.v.01		تنفس کول	t̪anafˈfus kaˈwəl
PWN:breathe.v.01		ساه کښل	sɑ kˈʂəl
PWN:bridge.n.01		پول	pul
PWN:bright.a.01		روښان	roˈʂɑn
PWN:bright.a.01		روڼ	ruɳ
PWN:bring.v.01		راوړل	rɑwˈɺəl
PWN:brook.n.01		واله	wɑˈla
PWN:broom.n.01		جارو	d͡ʒɑˈru
PWN:brother.n.01		ورور	wror
PWN:brow.n.01		تندی	t̪anˈd̪aj
PWN:brow.n.01		وچولی	wut͡ʃˈwulai
PWN:bucket.n.01		سطل	sat̪l
PWN:bull.n.01		غوئی	ɣwaiˈaj
PWN:bundle.n.02		دسته	d̪asˈt̪anf
PWN:burn.v.03		سوځېدل	swad͡zeˈd̪əl
PWN:burn.v.07		سوځول	swad͡zaˈwəl
PWN:business.n.01		سوداګري	sawd̪ɑɡaˈri
PWN:butter.n.01		کوچ	kut͡ʃ
PWN:butterfly.n.01		پتنګ	paˈt̪anɡ
PWN:button.n.01		تکمه	t̪ukˈma
PWN:button.n.01		تڼۍ	t̪aˈɳəj
PWN:buy.v.01		رانیول	rɑniˈwəl
PWN:calculate.v.01		حسابول	hisɑbaˈwəl
PWN:calendar_month.n.01		مياشت	mjɑʃt̪
PWN:call.v.05		بلل	baˈləl
PWN:campfire.n.01		اور	or
PWN:cap.n.01		خولۍ	xwaˈləj
PWN:cat.n.01		پشه	piˈʃaj
PWN:catch.v.04		نیول	niˈwəl
PWN:catch.v.04		ګیرول	ɡiraˈwəl
PWN:cause.n.01		اساس	aˈsɑs
PWN:cause.n.01		علت	ilˈlat̪
PWN:cave.n.01		کاز	kɑz
PWN:cavil.v.01		ښکنځا کول	ʂkanˈd͡za kaˈwəl
PWN:center.n.01		مینځ	mjand͡z
PWN:center.n.01		وسط	waˈsat̪
PWN:chair.n.01		چوکۍ	t͡ʃawˈkəj
PWN:change.v.01		تغیر ورکول	t̪aɣaiˈjur warkaˈwəl
PWN:change.v.03		تغییر موندل	t̪aɣˈjir munˈd̪əl
PWN:character.n.08		توری	ˈt̪orai
PWN:character.n.08		حرف	harf
PWN:cheap.a.01		ارزان	arˈzɑn
PWN:cheek.n.01		باړخو	bɑɹˈxu
PWN:cherished.s.01		قیمتي	qimaˈt̪i
PWN:chicken.n.02		چرګه	ˈt͡ʃərɡa
PWN:child.n.01		بچی	bat͡ʃai
PWN:child.n.01		ماشوم	mɑˈʃum
PWN:chin.n.01		زنه	ˈzəna
PWN:choose.v.01		خوښول	xwaʂeˈwəl
PWN:chop.v.01		پی کول	pai kaˈwəl
PWN:church.n.02		کلیسا	kiliˈsɑ
PWN:circle.n.03		دایره	d̪ɑiˈra
PWN:citizenry.n.01		ولس	wuˈləs
PWN:claw.n.01		منګول	manˈɡul
PWN:claw.n.01		پنجه	panˈd͡ʒa
PWN:clay.n.01		خټه	ˈxaʈa
PWN:clean.a.01		پاک	pɑk
PWN:clean.v.01		صافول	sɑfaˈwəl
PWN:climb.v.01		ختل	xaˈt̪əl
PWN:close.v.01		تړل	t̪aˈɺəl
PWN:cloud.n.02		ورېځ	wred͡z
PWN:coal.n.01		سکاره	skɑˈrə
PWN:coal.n.01		سکور	skor
PWN:cock.n.04		چرګ	t͡ʃərɡ
PWN:cold.a.01		سوړ	soɹ
PWN:cold.a.01		سوړ	soɹ
PWN:cold.a.01		ېخ	jax
PWN:cold.a.01		ېخ	jax
PWN:coldness.n.03		ساړه	sɑɹə́
PWN:collar.n.01		غاړه	ˈɣɑɺa
PWN:colorful.a.01		رنګارنګ	ranɡɑˈranɡ
PWN:comb.n.01		ګمنځ	ɡmənd͡z
PWN:comb.v.01		ګمنځول	ɡmənd͡zaˈwəl
PWN:commend.v.01		تمجید کول	t̪amˈd͡ʒid̪ kaˈwəl
PWN:commend.v.01		ستایل	st̪ɑˈjəl
PWN:companion.n.01		انډيوال	anɖiˈwɑl
PWN:company.n.03		ډله	ˈɖala
PWN:complete.v.01		ختمول	xat̪maˈwəl
PWN:complete.v.01		پای ته رسول	pɑj t̪e raseˈwəl
PWN:connect.v.01		تړل	t̪aˈɺəl
PWN:conserve.v.02		ساتل	sɑˈt̪əl
PWN:construct.v.01		جوړول	d͡ʒoɹaˈwəl
PWN:conversation.n.01		خبرې اترې	xaˈbəri aˈt̪əri
PWN:conversation.n.01		مرکه	maraˈka
PWN:converse.v.01		خبری کول	xaˈbəri kaˈwəl
PWN:convey.v.01		خبر ورکول	xaˈbar warkaˈwəl
PWN:convey.v.01		خبرول	xabaraˈwəl
PWN:cook.v.02		تیارول	t̪aiɑraˈwəl
PWN:corner.n.03		ګوټ	ɡwəʈ
PWN:corpulent.s.01		چاغ	t͡ʃɑɣ
PWN:correctly.r.01		سم	sam
PWN:correctly.r.01		صحیح	saˈhi
PWN:cough.v.01		ټوخېدل	ʈuxiˈd̪əl
PWN:count.n.01		تعداد	t̪aʔˈd̪ɑd̪
PWN:count.n.01		شمېر	ʃmer
PWN:count.v.01		شمارل	ʃmɑˈrəl
PWN:country.n.02		هېواد	hiˈwɑd̪
PWN:cover.v.01		پوښول	poʂaˈwəl
PWN:cow.n.01		غوا	ɣwɑ
PWN:cradle.n.01		زانګو	zɑnˈɡo
PWN:crane.n.05		کلنګ	kuˈlanɡ
PWN:crawl.v.01		خاپوړی وهل	xɑˈpoɺi waˈhəl
PWN:crisscross.n.01		صلیب	saˈlib
PWN:crow.n.01		کارغه	kɑrˈɣə
PWN:cry.n.01		بلنه	baˈləna
PWN:cry.n.01		ږغ	ʐaɣ
PWN:cry.v.02		ژړل	ʒaˈɺəl
PWN:cuckoo.n.02		فاخته	fɑxˈt̪a
PWN:cup.n.01		پیاله	pijɑˈla
PWN:current.n.02		بهېدنه	baeˈd̪əna
PWN:cut.v.01		غوڅول	ɣwət͡saˈwəl
PWN:cut.v.01		پرېکول	prekaˈwəl
PWN:damage.n.01		تاوان	t̪ɑˈwɑn
PWN:damage.n.01		زیان	ziˈjɑn
PWN:damage.v.01		ورانول	wrɑnaˈwəl
PWN:damp.s.01		مرطوب	marˈt̪ub
PWN:dance.v.02		ګډېدل	ɡaɖeˈd̪əl
PWN:dark.a.01		تیاره	t̪iɑˈra
PWN:daughter.n.01		لور	lur
PWN:day.n.01		ورځ	wrad͡z
PWN:deaf.a.01		کوڼ	koɳ
PWN:death.n.01		مرګ	marɡ
