id	style	word	transcription	etymology
PLX:1PL EXCL.pro		izahày		
PLX:1PL INCL.pro		isìka		
PLX:1SG.pro		izàho		
PLX:1SG.pro		àho		
PLX:2PL.pro		ianarèo		
PLX:2SG.pro		ialàhy		
PLX:2SG.pro		ianào		
PLX:2SG.pro		itèna		
PLX:3PL.pro		ìzy		
PLX:3PL.pro		ìzy irèo		
PLX:3SG F.pro		ìzy		
PLX:3SG INAN.pro		ìzy		
PLX:3SG M.pro		ìzy		
PLX:3SG.pro		ìzy		
PLX:above.pp		ambòny		
PLX:after.pp		aorìana		
PLX:and.cnj		dìa		
PLX:and.cnj		sy		
PLX:and.cnj		àry (2)		
PLX:at.pp		aN-		
PLX:be late.v		manèla		
PLX:because.cnj		satrìa		san:sādhya-
PLX:behind.pp		ivòho		:boko’
PLX:beside.pp		anìlany		
PLX:carry in hand.v		mivìmbina		
PLX:carry on head.v		milolòha		
PLX:carry on shoulder.v		milànja		zsm:belanja
PLX:carry under arm.v		misakèlika		
PLX:child-in-law.n		vinànto		
PLX:daughter-in-law (of man).n		vinànto vàvy		
PLX:daughter-in-law (of woman).n		vinànto vàvy		
PLX:day after tomorrow.adv		rahafakampìtso		
PLX:day before yesterday.adv		afakomàly		
PLX:fall silent.v		man(gina-)gìna		
PLX:father's brother.n		rahalahindrày		
PLX:father's sister.n		anabavindrày		
PLX:father-in-law (of man).n		rafozandàhy		
PLX:father-in-law (of woman).n		rafozandàhy		
PLX:fermented alcohol.n		tòaka		zsm:tuak
PLX:fish trap.n		vòvo		
PLX:head hair.n		vòlo (1)		
PLX:how many pieces.pro		firy		
PLX:how much.pro		fìry		
PLX:how much.pro		hoatrìnona		
PLX:how.pro		ahòana		
PLX:how.pro		akòry		
PLX:if.cnj		ràha		
PLX:in front of.pp		anatrèhana		
PLX:in.pp		anàty		
PLX:inside.pp		anàty		
PLX:mother's brother.n		anadahindrèny		
PLX:mother's sister.n		rahavavindrèny		
PLX:mother-in-law (of man).n		rafozambàvy		
PLX:mother-in-law (of woman).n		rafozambàvy		
PLX:nothing.pro		tsinontsìnona		
PLX:older sibling.n		zòky		
PLX:or.cnj		na		
PLX:or.cnj		sa		
PLX:outside.pp		ivèlany		
PLX:parents-in-law.n		rafòzana		
PLX:sibling's child.n		zanadrahalàhy		
PLX:sibling's child.n		zanadrahavàvy		
PLX:sibling's child.n		zanak’anabàvy		
PLX:sibling's child.n		zanak’anadàhy		
PLX:sibling-in-law.n		ranàotra		
PLX:sibling-in-law.n		zàotra		
PLX:son-in-law (of man).n		vinànto làhy		
PLX:son-in-law (of woman).n		vinànto làhy		
PLX:that.pro		irèo		
PLX:that.pro		irètsy		
PLX:that.pro		its`y		
PLX:that.pro		izats`y		
PLX:that.pro		izào		
PLX:that.pro		ìo		
PLX:this.pro		izat`y		
PLX:under.pp		ambàny		
PLX:what.pro		ìnona		
PLX:when.pro		ovìana		
PLX:where.pro		àiza		
PLX:which Q.pro		ìzay		
PLX:who.pro		ìza		
PLX:why.pro		nahòana		
PLX:with.pp		mìsy		
PLX:with.pp		àman’...		
PLX:with.pp		àmin’...		
PLX:without.pp		tsy mìsy		
PLX:yes.ptcl		èny		
PLX:younger sibling.n		zàndry		
PWN:abdomen.n.01		kìbo		
PWN:above.r.02		ambòny		
PWN:accuse.v.01		miampànga		
PWN:acerate_leaf.n.01		tsìlo		
PWN:acquit.v.01		mamèla hèloka		
PWN:acquit.v.01		mamòtsotra		
PWN:acquit.v.01		manàfaka		
PWN:act.v.02		manào		
PWN:address.n.03		kabàry		arb:khabar
PWN:address.n.03		lahatèny		
PWN:address.n.06		adirèsy		fra:adresse
PWN:admit.v.01		miàiky		
PWN:adornment.n.01		hàingo		
PWN:adultery.n.01		fijangajangàna		
PWN:adz.n.01		eriminèty		fra:herminette
PWN:afternoon.n.01		antoàndro		
PWN:again.r.01		indrày		
PWN:again.r.01		mbòla		
PWN:age.n.01		tàona		
PWN:air.n.01		rìvotra		zsm:ribut
PWN:airplane.n.01		fiaramanìdina		
PWN:all.a.01		rèhetra		
PWN:allege.v.01		milàza		
PWN:alligator.n.02		màmba		:mamba
PWN:alligator.n.02		voày		
PWN:alone.r.02		tòkana		
PWN:altar.n.02		aotèly		fra:autel
PWN:altar.n.02		àlitara		eng:altar
PWN:always.r.01		mandrakarìva		
PWN:amazed.s.01		gàga		
PWN:amazed.s.01		talànjona		
PWN:amazed.s.01		tàitra		
PWN:ambush.n.01		òtrika		
PWN:ancestor.n.01		ràzana		
PWN:anchor.n.01		vatofàntsika		
PWN:anger.n.02		fahatezèrana		
PWN:anger.n.02		fahavinìrana		
PWN:animal.n.01		bìby		
PWN:animation.n.01		fiaìnana		
PWN:ankle.n.01		kìtro kèly		
PWN:announce.v.01		manambàra		
PWN:answer.v.01		mamàly		
PWN:ant.n.01		vìtsika		
PWN:anvil.n.01		landàizana		zsm:landasan
PWN:anvil.n.01		riandrìana		
PWN:anxiety.n.02		ahiàhy		
PWN:anxiety.n.02		fahamanìnana		
PWN:apparel.n.01		akànjo		swb:nkandzu
PWN:approach.v.01		manakàiky		
PWN:apt.s.03		mahày		
PWN:arch.n.04		andohalàmbo		
PWN:arm.n.01		sàndry		san:sandhi-
PWN:armpit.n.01		hèlika		
PWN:army.n.01		tàfika		zsm:tapik
PWN:arrive.v.01		avy		
PWN:arrive.v.01		tònga		
PWN:arrive.v.01		tònga		
PWN:arrive.v.01		àvy		
PWN:arrow.n.02		zana-tsipìka		
PWN:arson.n.01		fandoròana		
PWN:artery.n.01		lalandrà		
PWN:ascend.v.01		miàkatra		
PWN:ash.n.01		lavènona		
PWN:ask.v.02		mangàtaka		
PWN:ask.v.05		manontàny		
PWN:attack.n.05		famelèzana		
PWN:aunt.n.01		rèny		
PWN:avaricious.s.01		lìana		
PWN:awl.n.01		hàolo		eng:awl
PWN:ax.n.01		famàky		
