id	style	word	pronunciation
PLX:1PL.pro		nós	nɔʃ
PLX:1SG.pro		eu	ew
PLX:2PL.pro		vocês	vɔˈseʃ
PLX:2PL.pro		vós	vɔʃ
PLX:2SG.pro		tu	tu
PLX:3PL.pro		eles	ˈeləʃ
PLX:3SG M.pro		ele	ˈelə
PLX:and.cnj		e	i
PLX:because of.adp		por	pur
PLX:because of.adp		por causa de	pur ˈkawzɐ də
PLX:behind.adp		atrás de	ɐˈtraʃ də
PLX:beside.adp		ao lado de	ɐw ˈlaðu də
PLX:beside.adp		junto de	ʒũtoðe
PLX:can.v		saber	sɐˈβer
PLX:die (from accident).V		perecer	pereser
PLX:everywhere.pro		em toda parte	ẽ ˈtoðɐ ˈpartə
PLX:from here.adv		daqui	daki
PLX:get sick.V		adoecer	ɐðwəˈser
PLX:get sick.V		ficar doente	fikarðwənte
PLX:how many.pro		quanto	ˈkwɐ̃tu
PLX:how.pro		como	ˈkomu
PLX:in front of.adp		diante de	djanteðe
PLX:or.cnj		ou	o
PLX:that.pro		aquilo	ɐˈkilu
PLX:that.pro		isso	ˈisu
PLX:this.pro		isto	ˈiʃtu
PLX:under.adp		debaixo de	dəˈβajʃu də
PLX:under.adp		sob	sob
PLX:what.pro		quê	kə
PLX:where.pro		onde	ˈõdə
PLX:where_to.pro		aonde	awnde
PLX:where_to.pro		para onde	ˈpɐrɐ ˈõdə
PLX:who.pro		quem	kẽj
PLX:why.pro		por que	porke
PLX:why.pro		porquê	purˈke
PWN:abandon.v.02		abandonar	ɐβɐ̃duˈnar
PWN:abandon.v.02		deixar	dejˈʃar
PWN:abdomen.n.01		barriga	bɐˈʀiɣɐ
PWN:abdomen.n.01		ventre	ˈvẽtrə
PWN:above.r.02		em cima	ẽ ˈsimɐ
PWN:act.v.02		fazer	fɐˈzer
PWN:add.v.01		acrescentar	ɐkrəʃsẽˈtar
PWN:address.n.03		discurso	diʃˈkursu
PWN:address.n.03		oração	urɐˈsɐ̃w
PWN:affect.v.05		comover	komover
PWN:again.r.01		outra vez	ˈotrɐ ˈveʃ
PWN:age.n.01		idade	ɪˈðaðə
PWN:ahead.r.03		avante	ɐˈvɐ̃tə
PWN:aid.n.02		ajuda	ɐˈʒuðɐ
PWN:aid.n.02		socorro	suˈkoʀu
PWN:air.n.01		ar	ar
PWN:alive.a.01		vivo	ˈvivu
PWN:all.a.01		todo	ˈtoðu
PWN:allege.v.01		dizer	diˈzer
PWN:alone.r.02		só	sɔ
PWN:already.r.01		já	ʒa
PWN:always.r.01		sempre	ˈsẽprə
PWN:anger.v.01		aborrecer	ɐβuʀəˈser
PWN:anger.v.01		irritar	iʀiˈtar
PWN:anger.v.02		zangar-se	zɐ̃ˈɡarsə
PWN:animal.n.01		animal	ɐniˈmaɫ
PWN:animation.n.01		vida	ˈviðɐ
PWN:ant.n.01		formiga	formiɣa
PWN:apparel.n.01		roupa	ˈʀopɐ
PWN:apparel.n.01		vestuário	veʃtuarju
PWN:apple.n.01		maçã	mɐˈsɐ̃
PWN:april.n.01		Abril	ɐˈβriɫ
PWN:apt.s.03		inteligente	ĩtəliˈʒẽtə
PWN:apt.s.03		prudente	pruðẽte
PWN:area.n.01		região	ʀəˈʒjɐ̃w
PWN:area.n.01		área	arja
PWN:arise.v.03		levantar-se	ləvɐ̃ˈtarsə
PWN:arm.n.01		braço	ˈbrasu
PWN:arrive.v.01		chegar	ʃəˈɣar
PWN:arrive.v.01		vir	vir
PWN:arrow.n.02		flecha	fleʃa
PWN:arrow.n.02		seta	ʃeta
PWN:ascend.v.01		subir	suˈβir
PWN:ash.n.01		cinza	ˈsĩza
PWN:ask.v.02		pedir	pəˈðir
PWN:ask.v.05		perguntar	pərɣũˈtar
PWN:august.n.01		Agosto	ɐˈɣɔʃtu
PWN:aunt.n.01		tia	ˈtiɐ
PWN:awaken.v.01		acordar	ɐkurˈðar
PWN:awaken.v.01		despertar	dəʃpərˈtar
PWN:back.n.01		costas	ˈkɔʃtɐʃ
PWN:back.n.01		dorso	dorʃu
PWN:back.r.01		atrás	ɐˈtraʃ
PWN:back.r.02		para trás	ˈpɐrɐ traʃ
PWN:bad.a.01		mau	maw
PWN:bad.a.01		ruim	ʀwĩ
PWN:bag.n.01		bolso	ˈbɔɫsu
PWN:bag.n.01		saco	ˈsaku
PWN:bake.v.02		cozer	kuˈzer
PWN:bare.s.01		despido	deʃpiðu
PWN:bare.s.01		nu	nu
PWN:bark.n.01		casca	kaʃka
PWN:bark.v.04		ladrar	laðrar
PWN:bathe.v.01		banhar	baɲar
PWN:bathe.v.01		tomar banho	tuˈmar ˈbɐɲu
PWN:battle.n.01		combate	kõbate
PWN:battle.n.01		luta	ˈlutɐ
PWN:bay.n.01		baía	baia
PWN:be_born.v.01		nascer	nɐʃˈser
PWN:bear.n.01		urso	urʃu
PWN:beard.n.01		barba	ˈbarbɐ
PWN:beautiful.a.01		belo	belu
PWN:beautiful.a.01		bonito	buˈnitu
PWN:become.v.01		tornar-se	turˈnarsə
PWN:bed.n.01		cama	ˈkɐmɐ
PWN:begin.v.03		iniciar	iniˈsjar
PWN:believe.v.01		crer	krer
PWN:beloved.s.01		caro	ˈkaru
PWN:beloved.s.01		querido	kəˈriðu
PWN:belt.n.02		cinto	ˈsĩtu
PWN:bend.v.01		vergar	verɣar
PWN:benefit.n.02		proveito	provejtu
PWN:berry.n.01		bago	baɣu
PWN:better.v.02		melhorar	miʎuˈrar
PWN:between.r.02		entre	ˈẽtrə
PWN:birch.n.02		bétula	betula
PWN:bird.n.01		ave	ˈavə
PWN:bird.n.01		pássaro	ˈpasɐru
PWN:bite.v.01		morder	murˈðer
PWN:bitter.s.06		amargo	ɐˈmarɣu
PWN:black.a.01		preto	ˈpretu
PWN:blade.n.01		folha	ˈfoʎɐ
PWN:blanket.n.01		cobertor	kuβərˈtor
PWN:blind.a.01		cego	ˈsɛɣu
PWN:blood.n.01		sangue	ˈsɐ̃ɡə
PWN:blow.v.01		soprar	ʃoprar
PWN:blow.v.02		soprar	ʃoprar
PWN:blue.s.01		azul	ɐˈzuɫ
PWN:blunt.s.02		rombo	rõbu
PWN:board.n.02		prancha	prãʃa
PWN:board.n.02		tábua	taβwa
PWN:boast.v.01		gabar-se	ɣaβarʃe
PWN:boast.v.01		vangloriar-se	vãɡlorjarʃe
PWN:boat.n.01		barco	ˈbarku
PWN:body.n.01		corpo	ˈkorpu
PWN:boil.v.01		ferver	fərˈver
PWN:boil.v.03		cozer	kuˈzer
PWN:bone.n.01		osso	ˈosu
PWN:book.n.01		livro	ˈlivru
PWN:boot.n.01		bota	ˈbɔtɐ
PWN:botch.v.01		corromper	koʀõper
PWN:botch.v.01		estragar	iʃtraɣar
PWN:boundary_line.n.01		fronteira	frõˈtejrɐ
PWN:bow.n.04		arco	arku
PWN:box.n.01		caixa	ˈkajʃə
PWN:brain.n.01		cérebro	ˈsɛrəβru
PWN:branch.n.02		ramo	ˈʀɐmu
PWN:branchlet.n.01		galho	ɣaʎu
PWN:brawl.v.01		bater-se	baterʃe
PWN:brawl.v.01		brigar	briˈɣar
PWN:bread.n.01		pão	pɐ̃w
PWN:break.v.05		quebrar	keˈbrar
PWN:break.v.05		romper	rõper
PWN:breast.n.02		seio	ʃeju
PWN:breath.n.02		fôlego	foleɣu
PWN:breathe.v.01		respirar	ʀəʃpiˈrar
PWN:bridge.n.01		ponte	ˈpõtə
PWN:bright.a.01		claro	ˈklaru
PWN:bring.v.01		trazer	trɐˈzer
PWN:brook.n.01		regato	reɣatu
PWN:brook.n.01		ribeiro	riβejru
PWN:broom.n.01		vassoura	vɐˈsorɐ
PWN:brother.n.01		irmão	irˈmɐ̃w
PWN:brow.n.01		testa	ˈtɛʃtɐ
PWN:bucket.n.01		balde	ˈbaɫdə
PWN:bull.n.01		touro	ˈtoru
PWN:bundle.n.02		fardo	farðu
PWN:burn.v.03		arder	arðer
PWN:burn.v.07		queimar	kejˈmar
PWN:business.n.01		negócio	nəˈɣosju
PWN:butter.n.01		manteiga	mɐ̃ˈtejɣɐ
PWN:butterfly.n.01		borboleta	burβuˈletɐ
PWN:button.n.01		botão	buˈtɐ̃w
PWN:buy.v.01		comprar	kõˈprar
PWN:calculate.v.01		calcular	kaɫkuˈlar
PWN:calendar_month.n.01		mês	meʃ
PWN:call.v.05		chamar	ʃɐˈmar
PWN:campfire.n.01		fogueira	foɣejra
PWN:cap.n.01		barrete	baʀete
PWN:cap.n.01		boné	buˈnɛ
PWN:cat.n.01		gata	ˈɡatɐ
PWN:catch.v.04		apanhar	ɐpɐˈɲar
PWN:cause.n.01		causa	ˈkawzɐ
PWN:cause.n.01		motivo	muˈtivu
PWN:cave.n.01		caverna	kaverna
PWN:cavil.v.01		ralhar	raʎar
PWN:center.n.01		meio	ˈmeju
PWN:chair.n.01		cadeira	kɐˈðejrɐ
PWN:change.v.01		alterar	aɫterar
PWN:change.v.01		mudar	muˈðar
PWN:change.v.03		alternar	aɫternar
PWN:change.v.03		variar	varjar
PWN:character.n.08		letra	ˈlɛtrɐ
PWN:cheap.a.01		barato	bɐˈratu
PWN:cheek.n.01		face	ˈfasə
PWN:cherished.s.01		precioso	presjuzu
PWN:cherished.s.01		valioso	vɐˈljozu
PWN:chicken.n.02		galinha	ɡɐˈliɲɐ
PWN:child.n.01		criança	ˈkrjɐ̃sɐ
PWN:child.n.01		filho	ˈfiʎu
PWN:chin.n.01		queixo	ˈkejʃu
PWN:choose.v.01		eleger	iləˈʒer
PWN:choose.v.01		escolher	iʃkuˈʎer
PWN:chop.v.01		rachar	raʃar
PWN:church.n.02		igreja	iˈɣrɛʒɐ
PWN:circle.n.03		círculo	ˈsirkulu
PWN:citizenry.n.01		nação	nɐˈsɐ̃w
PWN:citizenry.n.01		povo	ˈpovu
PWN:claw.n.01		pata	ˈpatɐ
PWN:clay.n.01		argila	arʒila
PWN:clay.n.01		barro	baʀu
PWN:clean.a.01		limpo	ˈlĩpu
PWN:clean.v.01		limpar	lĩˈpar
PWN:clean.v.01		purificar	purifikar
PWN:climb.v.01		trepar	trepar
PWN:close.v.01		fechar	fəˈʃar
PWN:cloud.n.02		nuvem	ˈnuvẽj
PWN:coal.n.01		carvão	kɐrˈvɐ̃w
PWN:cock.n.04		galo	ˈɡalu
PWN:cold.a.01		fresco	ˈfrɛʃku
PWN:cold.a.01		frio	friw
PWN:coldness.n.03		frio	friw
PWN:collar.n.01		gola	ˈɡɔlɐ
PWN:colorful.a.01		colorido	kuluˈriðu
PWN:comb.n.01		pente	pẽte
PWN:comb.v.01		pentear	pẽˈtjar
PWN:commend.v.01		louvar	lowvar
PWN:companion.n.01		camarada	kamaraða
PWN:company.n.03		companhia	kõpɐˈɲiɐ
PWN:complete.v.01		acabar	ɐkɐˈβar
PWN:complete.v.01		terminar	tərmiˈnar
PWN:connect.v.01		ligar	liˈɣar
PWN:connect.v.01		unir	unir
PWN:conserve.v.02		conservar	kõsərˈvar
PWN:conserve.v.02		guardar	ɡwɐrˈðar
PWN:construct.v.01		construir	kõˈʃtrwir
PWN:construct.v.01		edificar	eðifikar
PWN:conversation.n.01		conversa	kõˈvɛrsɐ
PWN:conversation.n.01		conversação	kõverʃasãw
PWN:converse.v.01		conversar	kõvərˈsar
PWN:convey.v.01		comunicar	kumuniˈkar
PWN:convey.v.01		participar	pɐrtəsiˈpar
PWN:cook.v.02		preparar	prəpɐˈrar
PWN:corner.n.03		esquina	iʃkina
PWN:corpulent.s.01		gordo	ˈɡorðu
PWN:correctly.r.01		correcto	kuˈʀɛtu
PWN:correctly.r.01		justo	ˈʒuʃtu
PWN:cough.v.01		tossir	tuˈsir
PWN:count.n.01		número	ˈnuməru
PWN:count.n.01		quantidade	kwɐ̃tiˈðaðə
PWN:count.v.01		contar	kõˈtar
PWN:country.n.02		país	pɐˈiʃ
PWN:cover.v.01		cobrir	kuˈβrir
PWN:cow.n.01		vaca	ˈvakɐ
PWN:cradle.n.01		berço	bersu
PWN:crane.n.05		grou	ɣrow
PWN:crawl.v.01		arrastar-se	aʀaʃtarʃe
PWN:crawl.v.01		rastejar	raʃteʒar
PWN:crisscross.n.01		cruz	kruʃ
PWN:crow.n.01		gralha	ɣraʎa
PWN:cry.n.01		chamada	ʃɐˈmaðɐ
PWN:cry.n.01		grito	ˈɡritu
PWN:cry.v.02		chorar	ʃuˈrar
PWN:cuckoo.n.02		cuco	kuku
PWN:cup.n.01		chávena	ʃavena
PWN:current.n.02		corrente	kuˈʀẽtə
PWN:cut.v.01		cortar	kurˈtar
PWN:damage.n.01		dano	ˈdɐnu
PWN:damage.n.01		estrago	iʃtraɣu
PWN:damage.v.01		danificar	dɐnəfiˈkar
PWN:damp.s.01		húmido	ˈumiðu
PWN:dance.v.02		bailar	bajlar
PWN:dark.a.01		escuro	iʃˈkuru
PWN:dark.a.01		sombrio	ʃõbrju
PWN:daughter.n.01		filha	ˈfiʎɐ
PWN:day.n.01		dia	ˈdiɐ
PWN:deaf.a.01		surdo	ˈsurðu
PWN:death.n.01		morte	ˈmɔrtə
PWN:deceive.v.01		enganar	ẽɡɐˈnar
PWN:deceive.v.01		iludir	iluðir
PWN:december.n.01		Dezembro	dəˈzẽbru
PWN:decompose.v.03		apodrecer	apoðreser
PWN:decorate.v.01		adornar	aðornar
PWN:decrease.v.01		decrescer	dekreʃser
PWN:decrease.v.01		diminuir	dəmiˈnwir
PWN:defend.v.03		defender	dəfẽˈder
PWN:deft.s.01		hábil	aβiɫ
PWN:deity.n.01		deus	dewʃ
PWN:descend.v.01		descer	dəʃˈser
PWN:desire.n.01		vontade	võˈtaðə
PWN:desire.v.01		querer	kəˈrer
PWN:destroy.v.02		destruir	dəʃˈtrwir
PWN:detect.v.01		notar	nuˈtar
PWN:detect.v.01		observar	ɔbserˈvar
