id	style	word	transcription	etymology
PLX:1PL.pro		ñukanchik
PLX:1SG.pro		ñuka
PLX:2PL.pro		kankuna
PLX:2SG.pro		kan
PLX:3PL.pro		paykuna
PLX:3SG F.pro		pay
PLX:3SG INAN.pro		pay
PLX:3SG M.pro		pay
PLX:3SG.pro		pay
PLX:Micromeria nubigena.n		zunfu		:zunfu
PLX:Solanum oblongifolium.n		pigala		:pigala
PLX:Vaccinium mortinia.n		chugunda		:chugunda
PLX:above.pp		jawa (1)
PLX:after.pp		jipa
PLX:and.cnj		-pash
PLX:at.pp		-pi
PLX:be late.v		unayana
PLX:because.cnj		-manta
PLX:behind.pp		washa (2)
PLX:beside.pp		manya (1)
PLX:carry in hand.v		apana (1)
PLX:carry on head.v		umapi apana
PLX:carry on shoulder.v		umbrospi markana
PLX:carry under arm.v		subakupi apana
PLX:daughter-in-law (of man).n		jachun (1)
PLX:daughter-in-law (of woman).n		jachun (2)
PLX:day after tomorrow.adv		mincha
PLX:day before yesterday.adv		kayna chay shuk puncha
PLX:digging stick.n		allana kaspi
PLX:fall silent.v		upallayana
PLX:father's brother.n		tiyu (2)		spa:tío
PLX:father's sister.n		tiya		spa:tía
PLX:father-in-law (of man).n		swidru (1)		spa:suegro
PLX:father-in-law (of woman).n		swidru (2)		spa:suegro
PLX:fermented alcohol.n		asua
PLX:head hair.n		akcha
PLX:how many pieces.pro		mashna (1)
PLX:how much.pro		mashna (2)
PLX:how.pro		imashina
PLX:if.cnj		-kpi
PLX:in front of.pp		ñaupak
PLX:in.pp		-pi
PLX:inside.pp		uku (1)
PLX:mother's brother.n		tiyu (2)		spa:tío
PLX:mother's sister.n		tiya		spa:tía
PLX:mother-in-law (of man).n		swidra (1)		spa:suegra
PLX:mother-in-law (of woman).n		swidra (2)		spa:suegra
PLX:netbag.n		shigra		:shicra
PLX:nothing.pro		nanaima
PLX:or.cnj		o		spa:o
PLX:outside.pp		kanlla
PLX:parents-in-law.n		swidrus		spa:suegros
PLX:sibling's child.n		subrinu		spa:sobrino
PLX:son-in-law (of man).n		yirnu (1)		spa:yerno
PLX:son-in-law (of woman).n		yirnu (2)		spa:yerno
PLX:stab to death.v		kuchilluna
PLX:that.pro		chay
PLX:this.pro		kay
PLX:tumpline.n		chumbi
PLX:under.pp		uray (2)
PLX:what.pro		ima
PLX:when.pro		ima pacha
PLX:where.pro		may
PLX:which Q.pro		mayjan
PLX:who.pro		pi
PLX:why.pro		ima nishpa
PLX:with.pp		-ta (1)
PLX:without.pp		illak (2)
PLX:yes.ptcl		ari
PWN:abdomen.n.01		wiksa
PWN:above.r.02		jatun
PWN:accuse.v.01		juchachina (1)
PWN:acquit.v.01		kishpichina
PWN:act.v.02		rurana
PWN:address.n.03		rimana (2)
PWN:admit.v.01		ari nina
