id	style	word	transcription	etymology
PLX:1PL.pro		nəššin		
PLX:1SG.pro		nəšš		
PLX:2PL.pro		kənnint		
PLX:2PL.pro		kənniw		
PLX:2SG.pro		šəkk		
PLX:2SG.pro		šəmm (1)		
PLX:3PL.pro		nihni		
PLX:3PL.pro		nihənti		
PLX:3SG F.pro		nəttaŧ		
PLX:3SG M.pro		nətta		
PLX:above.pp		s nnəž (i)		
PLX:after.pp		awān (i)		
PLX:and.cnj		u		:wa
PLX:and.cnj		đ		
PLX:at.pp		ɣā (1)		
PLX:be late.v		ʕət’t’ā		ary:ʕət’t’əl
PLX:because.cnj		l’axat’ā		:ʕalā + xāt’ir
PLX:because.cnj		puř’ki		spa:porque
PLX:because.cnj		s minzi		
PLX:behind.pp		awān (i)		
PLX:beside.pp		t’t’āf (i)		ary:t’ərf
PLX:daughter-in-law (of man).n		ŧasřiŧ		
PLX:daughter-in-law (of woman).n		ŧasřiŧ		
PLX:day after tomorrow.adv		fāwišša		
PLX:day before yesterday.adv		fāyiđ’ənnađ’		
PLX:fall silent.v		ssqā		
PLX:father's brother.n		ʕzizi		ary:ʕziz-i
PLX:father's sister.n		ʕənti		ary:ʕəmmt-i
PLX:father-in-law (of man).n		ađ’əggwař		
PLX:father-in-law (of woman).n		amɣā		
PLX:fermented alcohol.n		ššr’aƀ		:šarāb
PLX:head hair.n		ašəwwaf		
PLX:head hair.n		z’ət’t’u		
PLX:how many pieces.pro		məšħař		:ʔayy + šayʔ + ħāl
PLX:how much.pro		məšħař		:ʔayy + šayʔ + ħāl
PLX:how.pro		maməš		
PLX:if.cnj		mařa		
PLX:in front of.pp		zzaŧ (i)		
PLX:in.pp		đi		
PLX:inside.pp		đi		
PLX:mother's brother.n		xaři		:xāl
PLX:mother's sister.n		xači		:xāla
PLX:mother-in-law (of man).n		ŧađ’əggwač		
PLX:mother-in-law (of woman).n		lalla		:lalla
PLX:nothing.pro		walu		ary:walu
PLX:or.cnj		niɣ		
PLX:outside.pp		ƀarra		:barran
PLX:parents-in-law.n		iđ’əwřan		
PLX:sibling-in-law.n		asřif		ary:slif
PLX:sibling-in-law.n		ađ’əggwař		
PLX:sibling-in-law.n		ařwəs		
PLX:sibling-in-law.n		ŧanut’		
PLX:sibling-in-law.n		ŧasřifŧ		:silfa
PLX:sibling-in-law.n		ŧađ’əggwač		
PLX:sibling-in-law.n		ŧařwəsŧ		
PLX:son-in-law (of man).n		ađ’əggwař		
PLX:son-in-law (of woman).n		ađ’əggwař		
PLX:stab to death.v		pikā		spa:picar
PLX:stab to death.v		qqəs		
PLX:stab to death.v		wwəŧ s řmus		
PLX:that.pro		=in		
PLX:that.pro		=ənni		
PLX:this.pro		=a		
PLX:under.pp		adu		
PLX:what.pro		min		
PLX:when.pro		məřmi		
PLX:where.pro		mani		
PLX:which Q.pro		man		
PLX:who.pro		wi		
PLX:why.pro		mayəmmi		
PLX:why.pro		maɣā		
PLX:with.pp		akəđ		
PLX:without.pp		ƀřa		:bi + lā
PLX:yes.ptcl		wah		ary:wah
PWN:abdomen.n.01		aʕəddis		
PWN:above.r.02		aʕřa		ary:ʕla
PWN:accuse.v.01		gg imi đi ...		
PWN:acerate_leaf.n.01		asənnan		
PWN:acorn.n.01		řƀəǧǧuđ’		:ballūt’
PWN:acquit.v.01		ā’xu		:raxuwa
PWN:acquit.v.01		đ’řəq		:t’alaqa
PWN:act.v.02		gg		
PWN:address.n.03		lxut’ƀa		:xut’ba
PWN:address.n.06		landris		fra:adresse
PWN:admit.v.01		nʕəm		ary:nʕəm
PWN:adobe.n.02		šař		
PWN:adornment.n.01		āqqəm		ary:r’qəm
PWN:adultery.n.01		zzina		arb:zināʔ
