id	style	word	pronunciation	etymology
PLX:1PL EXCL.pro		noi		
PLX:1PL INCL.pro		noi		
PLX:1PL.pro		noi		
PLX:1SG.pro		eu		
PLX:2PL.pro		voi		
PLX:2SG.pro		tu		
PLX:3PL.pro		ei/ele		
PLX:3SG F.pro		ea		
PLX:3SG INAN.pro		o		
PLX:3SG M.pro		el		
PLX:3SG.pro		el/ea		
PLX:above.pp		(de)asupra		
PLX:above.pp		peste		
PLX:after.pp		după		
PLX:and.cnj		şi		
PLX:at.pp		la		
PLX:be late.v		a întârzia		
PLX:because.cnj		fiindcă		
PLX:because.cnj		pentru că		
PLX:behind.pp		în spate		
PLX:behind.pp		în urmă		
PLX:behind.pp		înapoi(a)		
PLX:behind.pp		îndărăt		
PLX:beside.pp		alături		
PLX:beside.pp		lângă		
PLX:carry in hand.v		a purta		
PLX:carry on head.v		a purta pe cap		
PLX:carry on shoulder.v		a purta pe umeri		
PLX:carry under arm.v		a purta sub braţ		
PLX:daughter-in-law (of man).n		noră		
PLX:daughter-in-law (of woman).n		noră		
PLX:day after tomorrow.adv		poimâine		
PLX:day before yesterday.adv		alaltăieri		
PLX:digging stick.n		baston de săpat		
PLX:fall silent.v		a tăcea		
PLX:father's brother.n		unchi		
PLX:father's sister.n		mătuşă		
PLX:father's sister.n		tanti		fra:tante
PLX:father's sister.n		ţaţă		ell:tsatsa
PLX:father-in-law (of man).n		socru		
PLX:father-in-law (of woman).n		socru		
PLX:fermented alcohol.n		bragă		rus:braga
PLX:fish poison root.n		otravă pentru pescuit		
PLX:fish trap.n		vârşă		srp:vrša
PLX:head hair.n		păr		
PLX:how many pieces.pro		câţi		
PLX:how much.pro		cât		
PLX:how.pro		cum		
PLX:if.cnj		dacă		
PLX:in front of.pp		în faţă		
PLX:in.pp		în		
PLX:initiation ceremony.n		rit de iniţiere		
PLX:inside.pp		înăuntru		
PLX:manioc bread.n		pâine de manioc		
PLX:mother's brother.n		unchi		
PLX:mother's sister.n		mătuşă		
PLX:mother's sister.n		tanti		fra:tante
PLX:mother's sister.n		ţaţă		ell:tsatsa
PLX:mother-in-law (of man).n		soacră		
PLX:mother-in-law (of woman).n		soacră		
PLX:netbag.n		plasă		:plasa
PLX:nothing.pro		nimic		
PLX:or.cnj		sau		
PLX:outside.pp		afară		
PLX:parents-in-law.n		socri		
PLX:sibling's child.n		nepot		
PLX:son-in-law (of man).n		ginere		
PLX:son-in-law (of woman).n		ginere		
PLX:stab to death.v		a (stră/îm)punge		
PLX:stab to death.v		a (în)junghia		
PLX:that.pro		acel		
PLX:this.pro		acest		
PLX:tumpline.n		curea de purtat		
PLX:under.pp		dedesubt		
PLX:under.pp		sub		
PLX:under.pp		în jos		
PLX:what.pro		ce		
PLX:when.pro		când		
PLX:where.pro		unde		
PLX:which Q.pro		care		
PLX:who.pro		cine		
PLX:why.pro		de ce		
PLX:with.pp		cu		
PLX:without.pp		fără		
PLX:yes.ptcl		da		srp:da
PWN:a_bit.r.01		puțin	
PWN:a_bit.r.01		unpic	
PWN:abandon.v.01		abandona	
PWN:abandon.v.01		lepăda	
PWN:abandon.v.01		părăsi	
PWN:abandon.v.02		lăsapemâna	
