id	style	word
Agriculture:cultivate.V		возделывать землю
Agriculture:farmer.N		фермер
Agriculture:harvest or harvest season.N		урожай
Agriculture:mow.V		косить
Agriculture:pitchfork.N		вилка, вилы
Agriculture:plough.V		пахать
Agriculture:rake.N		грабли
Agriculture:shovel.N		лопата, совок
Agriculture:sickle or scythe.N		серп, коса
Agriculture:sow seeds.V		сеять, засевать
Agriculture:thresh.V		молотить
Agriculture:threshing-floor.N		ток
Animal:Acridomorpha.N		кузнечик
Animal:Anatidae.N		утка
Animal:Annelida.N		червяк, червь
Animal:Anthophila.N		пчела
Animal:Anura.N		лягушка
Animal:Araneae.N		паук
Animal:Aves.N		птица
Animal:Blattodea.N		таракан
Animal:Bos taurus.N		крупный рогатый скот
Animal:Canis lupus familiaris.N		собака, пес
Animal:Canis lupus.N		волк
Animal:Capra hircus.N		коза
Animal:Cervidae.N		олень, лань
Animal:Cetacea.N		кит
Animal:Corvus.N		ворона
Animal:Culicidae.N		комар
Animal:Diptera.N		муха
Animal:Elephantidae.N		слон
Animal:Equus asinus.N		осел
Animal:Equus ferus caballus.N		лошадь, конь
Animal:Felis catus.N		кот
Animal:Felis leo.N		лев
Animal:Formicidae.N		муравей
Animal:Gallus gallus domesticus.N		цыпленок
Animal:Homo sapiens.N		человек, личность
Animal:Insecta.N		насекомое
Animal:Lacertidae.N		ящерица
Animal:Lampyridae.N		светляк, светлячок
Animal:Leporidae.N		заяц (+ кролик)
Animal:Ovis aries.N		овца, баран
Animal:Rhopalocera.N		бабочка
Animal:Serpentes.N		змея
Animal:Simiiformes.N		обезъяна
Animal:Sus scrofa domestica.N		свинья
Animal:Testudines.N		черепаха
Animal:Ursidae.N		медведь
Animal:Vespinae.N		оса
Animal:Vulpes.N		лиса, лисица
Animal:animal.N		животное
Animal:female.A		самка
Animal:fish.N		рыба
Animal:male.A		самец
Animal:wool.N		шерсть (шерстяная ткань)
Art:sculptor.N		скульптор
Art:statue.N		статуя
Atmosphere:cloud.N		облако, туча
Atmosphere:fan (action).V		освежать, обмахивать (веером)
Atmosphere:fan (object).N		веер, вентилятор
Atmosphere:fog.N		туман
Atmosphere:rain.N		дождь
Atmosphere:rainbow.N		радуга
Atmosphere:sky.N		небо
Atmosphere:storm.N		буря, шторм
Atmosphere:thunder.N		гром
Atmosphere:weather.N		погода
Atmosphere:wind.N		ветер
Belief:Catholic priest.N		священник
Belief:altar.N		алтарь
Belief:bless.V		благословлять
Belief:curse.V		проклинать
Belief:deity.N		Бог
Belief:demon.N		демон, злой дух
Belief:ghost.N		призрак
Belief:heaven.N		небеса, рай
Belief:hell.N		ад
Belief:holy.A		священный
Belief:idol.N		идол
Belief:magic.N		волшебство, колдовство
Belief:magician.N		колдун, ведьма
Belief:omen.N		предзнаменование
Belief:pray.V		молить(ся)
Belief:religion.N		религия
Belief:sermon.V		проповедовать
Belief:soul.N		душа, дух
Belief:temple.N		храм
Belief:worship.V		поклоняться
Body:ankle.N		лодыжка
Body:arm.N		рука
Body:armpit.N		подмышка
Body:back.N		спина
Body:bald.A		лысый
Body:beak.N		клюв
Body:beard.N		борода
Body:blink.V		мигать
Body:blister.N		волдырь, водяной пузырь
Body:blood vessel.N		вена, артерия
Body:blood.N		кровь
Body:body hair.N		волос (на теле)
Body:body.N		тело
Body:boil.N		нарыв, фурункул
Body:bone.N		кость
Body:brain.N		мозг(и)
Body:breast.N		грудь (женская)
Body:breath.V		дыхание
Body:bruise.N		ушиб
Body:buttock.N		ягодицы
Body:calf of leg.N		икра ноги
Body:cheek.N		щека
Body:chest.N		грудная клетка
Body:chin.N		подбородок
Body:collarbone.N		ключица
Body:corpse.N		труп
Body:dribble.V		пускать слюну
Body:ear.N		ухо
Body:earlobe.N		мочка уха
Body:earwax.N		ушная сера
Body:elbow.N		локоть
Body:eye.N		глаз
Body:eyebrow.N		бровь
Body:eyelash.N		ресница
Body:eyelid.N		веко
Body:face.N		лицо
Body:fart.V		освободиться от газов
Body:fat.N		жир, сало
Body:feather.N		перо
Body:feces.V		испражняться
Body:finger.N		палец (рука)
Body:fingernail.N		ноготь
Body:flesh.N		тело, плоть
Body:foot.N		ступня
Body:footprint.N		след (ноги)
Body:forehead.N		лоб
Body:fur.N		мех
Body:goiter.N		зоб
Body:gum.N		десны
Body:hand.N		кисть
Body:head hair.N		волос (на голове)
Body:head.N		голова
Body:heart.N		сердце
Body:heel.N		пятка
Body:hip.N		бедро, ляжка
Body:horn.N		рог
Body:intestines.N		кишечник
Body:jaw.N		челюсть
Body:kidney.N		почка
Body:knee.N		колено
Body:leg.N		нога
Body:lip.N		губа
Body:liver.N		печень
Body:lung.N		легкое
Body:molar tooth.N		коренной зуб
Body:mouth.N		рот
Body:nape.N		затылок
Body:navel.N		пуп
Body:neck.N		шея
Body:nipple.N		сосок
Body:nose.N		нос
Body:nostril.N		ноздря
Body:palm.N		ладонь
Body:penis.N		пенис
Body:piss.V		мочиться
Body:pubic hair.N		волос (лобковый)
Body:rib.N		ребро
Body:scar.N		шрам, рубец
Body:shell.N		ракушка
Body:shoulder.N		плечо
Body:shoulderblade.N		лопатка
Body:skin.N		кожа, шкура
Body:skull.N		череп
Body:sneeze.V		чихать
Body:spine.N		спинной хребет, позвоночник
Body:spit.V		плевать(ся), плевок
Body:spleen.N		селезенка
Body:stomach.N		желудок
Body:sweat.V		потеть
Body:swell.N		опухоль
Body:tail.N		хвост
Body:tear.N		слеза
Body:temple.N		висок
Body:testicle.N		тестикул
Body:throat.N		горло, глотка
Body:thumb.N		большой палец
Body:toe.N		палец (ноги)
Body:tongue.N		язык
Body:tooth.N		зуб
Body:udder.N		вымя
Body:upper leg.N		бедро
Body:waist.N		талия
Body:wing.N		крыло
Body:womb.N		матка, лоно
Body:wound.N		рана, язва
Body:wrist.N		запястье
Body:yawn.V		зевать
Building:adobe.N		глинобитная постройка
Building:arch.N		арка
Building:beam.N		балка, перекладина
Building:board.N		доска
Building:brick.N		кирпич
Building:build.V		строить
Building:chimney.N		дымоход
Building:cookhouse.N		кухня (помещение)
Building:door.N		дверь, ворота
Building:doorpost.N		дверной косяк
Building:fireplace.N		камин
Building:floor.N		пол
Building:garden-house.N		дачный домик
Building:house.N		дом
Building:hut.N		хижина
Building:mason.N		каменщик
Building:mortar binder.N		известковый раствор
Building:post.N		столб
Building:rafter.N		стропило, балка
Building:ridgepole.N		распорка
Building:roof.N		крыша
Building:room.N		комната
Building:tent.N		палатка
Building:thatch.N		соломенная крыша
Building:tower.N		башня
Building:wall.N		стена
Building:window.N		окно
Building:yard.N		двор
Cleaning:broom.N		метла, веник
Cleaning:clean.A		чистый
Cleaning:dirty.A		грязный
Cleaning:sweep.V		мести
Cleaning:wash.V		мыть
Cleaning:wipe.V		стереть
Clothing:Gossypium.N		хлопок (хлопчатобумажная ткань)
Clothing:awl.N		шило
Clothing:bead.N		бусина
Clothing:belt.N		ремень
Clothing:boot.N		сапог
Clothing:braid.N		коса
Clothing:button.N		пуговица
Clothing:cloak.N		плащ
Clothing:cloth.N		ткань, сукно
Clothing:clothes.N		одежда
Clothing:coat.N		пальто + шуба
Clothing:collar.N		воротник
Clothing:dress.N		женское платье
Clothing:dye.V		красить (vb, not n)
Clothing:felt.N		фетр, войлок
Clothing:glove.N		перчатка
Clothing:grass-skirt.N		юбка из листьев
Clothing:headband or headdress.N		повязка на голову, головной убор
Clothing:headgear.N		шляпа
Clothing:leather.N		кожа
Clothing:linen.N		лен (льняная ткань)
Clothing:loom.N		ткацкий станок
Clothing:naked.A		голый, обнаженный
Clothing:needle.N		игла
Clothing:pin.N		булавка
Clothing:pocket.N		карман
Clothing:poncho.N		пончо
Clothing:put on.V		одевать
Clothing:rag.N		носовой платок
Clothing:sew.V		шить
Clothing:shirt.N		рубашка
Clothing:shoe.N		туфель,  ботинок
Clothing:shoemaker.N		сапожник
Clothing:silk.N		шелк
Clothing:skirt.N		юбка
Clothing:spin.V		прясть
Clothing:spindle.N		веретено
Clothing:stocking.N		чулок, носок
Clothing:tailor.N		портной
Clothing:thread.N		нитка
Clothing:towel.N		полотенце
Clothing:trousers.N		штаны, брюки
Clothing:veil.N		вуаль
Clothing:weave.V		плести, ткать
Cognition:study.V		учить, изучать
Combat:fight.V		драться, сражаться
Combat:helmet.N		шлем
Communication:answer.V		отвечать
Communication:boast.V		хвастаться
Communication:call.V		вызывать,  звать
Communication:deny.V		отрицать
Communication:forbid.V		запрещать
Communication:language.N		язык
Communication:refuse.V		отказывать
Communication:tell.V		рассказывать
Cosmos:Sun.N		солнце
Cosmos:moon.N		луна
