id	style	word	transcription	etymology
PLX:1PL INCL.pro		en bihikki		
PLX:1PL.pro		bihigi		
PLX:1SG.pro		min		
PLX:2PL.pro		ehigi		
PLX:2SG.pro		en		
PLX:3PL.pro		kiniler		
PLX:3SG F.pro		kini		
PLX:3SG INAN.pro		kini		
PLX:3SG M.pro		kini		
PLX:3SG.pro		kini		
PLX:and.cnj		uonna		
PLX:behind.adp		kenniger		
PLX:how.pro		χaydaχ		
PLX:if.cnj		buollar		
PLX:in front of.adp		inniger		
PLX:or.cnj		duː... duː		
PLX:or.cnj		ebeter		
PLX:that.pro		ol		
PLX:this.pro		bu		
PLX:this.pro		iti		
PLX:under.adp		annɨgar		
PLX:what.pro		tuoχ		
PLX:where.pro		χanna		
PLX:who.pro		kim		
PLX:why.pro		toɣo		
PWN:abdomen.n.01		is (1)		
PWN:above.r.02		ürdük		
PWN:accuse.v.01		buruydaː		
PWN:acerate_leaf.n.01		mutukča, mučukta		evn:mučukte
PWN:acquit.v.01		bɨːhaː		
PWN:act.v.02		gɨn		
PWN:address.n.03		tɨl et		
PWN:address.n.06		aːdɨrɨs		rus:ádres
PWN:admit.v.01		bilin		
PWN:adornment.n.01		kiergel		
PWN:adornment.n.01		simeχ		
PWN:adultery.n.01		körsüː		
PWN:afternoon.n.01		ebiet kennitten		
PWN:again.r.01		emie		
PWN:age.n.01		saːs		
PWN:air.n.01		salgɨn		:salki(n) (Literary Mongolian)
PWN:airplane.n.01		sömölüöt		rus:samolét
PWN:airplane.n.01		ʤarapɨlaːn		rus:aeroplan
PWN:all.a.01		barɨ		
PWN:allege.v.01		die		
PWN:allege.v.01		et (2)		
PWN:alone.r.02		soɣotoχ		
PWN:always.r.01		kuruːk		rus:krug
PWN:always.r.01		melʤi		sel:melty
PWN:always.r.01		naːr		:nair (Literary Mongolian)
PWN:amazed.s.01		sohuybut		:čoči, soči (Literary Mongolian)
PWN:ambush.n.01		tohuːr		
PWN:ancestor.n.01		törüt		
PWN:ancestor.n.01		öbügeler		:ebüge (Literary Mongolian)
PWN:anchor.n.01		ʤaːkɨr		rus:jákor’
PWN:anger.n.02		uor (1)		:aɣur (Literary Mongolian), uːr (Buryat, Khalkha)
PWN:animal.n.01		kɨːl		
PWN:animation.n.01		oloχ		
PWN:ankle.n.01		berbeːkey		:belberkey (Literary Mongolian), berbegey (Buryat)
PWN:announce.v.01		biller		
PWN:answer.v.01		eppietteː		
PWN:answer.v.01		χoruydaː		
PWN:ant.n.01		kɨmɨrdaɣas		
PWN:anvil.n.01		kɨstɨk		
PWN:anxiety.n.02		süpsülgen		
PWN:anxiety.n.02		türülüön		
PWN:apparel.n.01		taŋas		
PWN:approach.v.01		čugahaː		
PWN:apt.s.03		öydöːχ		
PWN:arm.n.01		iliː		
PWN:armor.n.01		kuỹaχ		
PWN:armpit.n.01		χonnoχ		
PWN:army.n.01		seriː		san:ksatrika
PWN:arrive.v.01		kel		
PWN:arrive.v.01		kel		
PWN:arrow.n.02		oχ		
PWN:arson.n.01		uottaːhɨn		
PWN:artery.n.01		tɨmɨr		
PWN:ascend.v.01		dabay		:daba (Literary Mongolian)
PWN:ascend.v.01		taɣɨs		
PWN:ash.n.01		kül (1)		
PWN:ask.v.02		kördöː		
PWN:ask.v.05		ɨyɨt		
PWN:attack.n.05		ataːka		rus:ataka
PWN:aunt.n.01		eʤiːy		:eʤi (Literary Mongolian), ežɨ (Buryat)
PWN:aurora_borealis.n.01		ʤükeːbil uota		
PWN:avaricious.s.01		iŋseleːχ		
PWN:avaricious.s.01		keččegey		:kerčegey (Literary Mongolian)
PWN:avaricious.s.01		ɨmsɨː		
PWN:awl.n.01		bürges		
PWN:ax.n.01		süge		:süke (Literary Mongolian)
