id	style	word
PLX:about.pp		de
PLX:above.pp		super
PLX:after.pp		pos
PLX:and.cnj		ed
PLX:around.pp		(per)ambh
PLX:at.pp		ad, bi
PLX:because of.pp		ob
PLX:before.pp		pre
PLX:behind.pp		apter
PLX:but.cnj		bet
PLX:by means of.pp		med
PLX:can.v		ghehd
PLX:during.pp		unte
PLX:except for.pp		except, ploisko
PLX:for the purpose of.pp		pro
PLX:head hair.n		kays
PLX:how.pro		kam
PLX:if.cnj		sei
PLX:in exchange for.pp		po
PLX:instead of.pp		vice
PLX:near.pp		nieb ; claus
PLX:on.pp		ep
PLX:or.cnj		au
PLX:outside of.pp		exter
PLX:should.v		dehlgiet, solliet
PLX:that.cnj		od
PLX:that.pro		cid (cio)
PLX:this.pro		tod
PLX:through.pp		per
PLX:to.pp		kye
PLX:under.pp		sub
PLX:when.pro		quan(do)
PLX:where.pro		quer
PLX:which.pro		od
PLX:why.pro		ma
PWN:abdomen.n.01		abdomen
PWN:absent.a.01		absent
PWN:absorb.v.04		absorb
PWN:accept.v.02		accepte
PWN:account.n.07		conte
PWN:acid.s.03		acid
PWN:act.n.02		act
PWN:ad.n.01		reclame
PWN:add.v.01		add(eih)
PWN:address.n.06		adresse
PWN:adhere.v.06		adglehmer
PWN:advancement.n.03		progress
PWN:advice.n.01		radh
PWN:afternoon.n.01		posmiddien
PWN:again.r.01		iter
PWN:age.n.01		iete
PWN:agency.n.01		amt, bureau
PWN:agree.v.01		samstehm
PWN:aim.v.01		ziel
PWN:air.n.01		air
PWN:airplane.n.01		plav
PWN:alcohol.n.01		alcohol
PWN:alive.a.01		gwiv
PWN:alkaline.a.01		alkalin
PWN:all.a.01		quant
PWN:alphabet.n.01		alphabet
PWN:already.r.01		ja
PWN:alternate.v.01		alterne
PWN:always.r.01		semper
PWN:ambassador.n.01		ambassador
PWN:amusing.s.02		goil
PWN:angel.n.01		angel
PWN:angle.n.01		angle
PWN:animal.n.01		animal
PWN:announce.v.01		annunce
PWN:answer.v.01		antwehrd
PWN:ant.n.01		murm
PWN:anus.n.01		anus, pehzd
PWN:any.s.01		quodquid
PWN:apart.r.01		seni, apart
PWN:apple.n.01		appel
PWN:approve.v.01		approbe
PWN:apron.n.01		mandile
PWN:arch.n.01		arche
PWN:arm.n.01		brakh
PWN:army.n.01		armee
PWN:arrive.v.01		gwehm, arrive
PWN:arrow.n.02		isu
PWN:article.n.01		article
PWN:artificial.a.01		artificial
PWN:ash.n.01		asch
PWN:ask.v.01		(s)prehg
PWN:at_least.r.02		minst-ye
PWN:atom.n.01		atom
PWN:attack.v.01		attaque
PWN:attention.n.01		attention
PWN:attract.v.01		attrag
PWN:authority.n.01		autoritat, waldh
PWN:automatic.a.01		automatic
PWN:auxiliary.s.01		hehlp-, auxiliar
PWN:avoid.v.01		vergeih
PWN:awake.a.01		sbud(-t/-en)
PWN:away.r.01		wayt
PWN:ax.n.01		secwr
PWN:baby.n.01		baby
PWN:back.n.01		regv
PWN:back.r.01		tsay
PWN:back.r.02		regvworts
PWN:bad.a.01		dus-
PWN:bake.v.02		bauk
PWN:balance.n.01		tula ; equiliber
PWN:ball.n.01		ball
PWN:balloon.n.01		ballon 
PWN:bamboo.n.01		bambu
PWN:banana.n.02		banane
PWN:bare.s.01		nogw
PWN:barrel.n.02		but
PWN:barrier.n.01		obstacle
PWN:barroom.n.01		taverne, crechma, bar
PWN:base.n.14		base, station
PWN:baseball.n.01		baseball
PWN:basement.n.01		kellar
PWN:basket.n.01		kist, corbh
PWN:basketball.n.01		basquetball
PWN:batch.n.03		wakel
PWN:bay.n.01		bukht, bai
PWN:be.v.01		es
PWN:be.v.11		gwiv
PWN:beach.n.01		plaj
PWN:bean.n.01		fassol
PWN:bear.n.01		urx
PWN:beard.n.01		berd
PWN:beat.v.03		bat
PWN:beautiful.a.01		bell
PWN:become.v.01		bih
PWN:bed.n.01		crovat, lict
PWN:bee.n.01		bey
PWN:beer.n.01		bir(a)
PWN:behavior.n.01		sulouk
PWN:believe.v.01		credeih
PWN:bell.n.01		clock
PWN:belt.n.02		yeusmen; belt
PWN:bended.s.01		kehmb
PWN:berry.n.01		ber
PWN:besides.r.02		yaschi
PWN:bicycle.n.01		cip(ed)
PWN:bill.n.02		facture, quitance
PWN:bird.n.01		av
PWN:birth.n.02		gnahsa
PWN:bite.v.01		dehnk
PWN:bitter.s.06		bitter
PWN:black.a.01		sword
PWN:blade.n.09		miech
PWN:blame.v.01		blame
PWN:blanket.n.01		blanquet
PWN:blemish.n.01		gloi
PWN:bless.v.01		blagh
PWN:block.n.01		block
PWN:blood.n.01		sehrg
PWN:blow.n.01		cutt
PWN:blow.v.01		blah
PWN:blue.s.01		blou
PWN:board.n.02		baurd, tapwl
PWN:boat.n.01		boot
PWN:bobbin.n.01		spula
PWN:body.n.01		corp(o)s
PWN:body_hair.n.01		drigh
PWN:boil.v.01		yehs
PWN:bomb.n.01		bombe
PWN:bone.n.01		ost
PWN:book.n.01		buk
PWN:bookcase.n.01		regal
PWN:bottle.n.01		botel
PWN:bottom.n.01		bund
PWN:bounce.v.01		antskand
PWN:bow.n.04		lonc
PWN:bowl.n.01		bol
PWN:box.n.01		scattule, cutia
PWN:brain.n.01		kers
PWN:brainsick.s.01		foll
PWN:brake.v.02		braik; frain
PWN:bread.n.01		dvan
PWN:breast.n.02		pizd
PWN:breathe.v.01		anem
PWN:brick.n.01		brick
PWN:bridge.n.01		brigv
PWN:bright.a.01		bert, bleigu
PWN:bring.v.01		brinegh
PWN:broom.n.01		firscha
PWN:brother.n.01		brater
PWN:brow.n.01		chol, bruwent
PWN:brown.s.01		brun
PWN:brush.n.02		beurst
PWN:brush.v.04		firsche
PWN:bucket.n.01		amfer
PWN:bud.n.01		spreug
PWN:building.n.01		bina
PWN:bullet.n.01		glonce
PWN:bus.n.01		bus
PWN:business.n.01		verslyn, commerce
PWN:bustle.n.01		acitivitat
PWN:butterfly.n.01		pelpel
PWN:buttocks.n.01		cloins
PWN:button.n.01		buton, knop
PWN:cabbage.n.01		kaupust
PWN:cable.n.02		dauyn
PWN:cage.n.01		cage
PWN:calculate.v.01		hissab, calcule
PWN:calendar_month.n.01		munt
PWN:call.v.05		kal
PWN:camp.n.03		camp, waun
PWN:can.n.01		conserve
PWN:candle.n.01		kandel
PWN:cannon.n.01		canon
PWN:capitulation.n.03		taslime, jiauschou, capitulation
PWN:caprice.n.01		caprice
PWN:capsicum.n.01		paprika
PWN:car.n.01		auto(mobil), wogh, carr
PWN:carbon.n.01		carbon
PWN:card.n.04		carte
PWN:carrot.n.01		mork
PWN:cat.n.01		cat
PWN:catastrophe.n.02		desaster, catastrophe
PWN:catch.v.04		kap
PWN:cattle.n.01		gwow
PWN:cause.n.01		raison
PWN:cause.v.01		cause
PWN:caution.n.01		caution, prudence
PWN:cave.n.01		balm(a)
PWN:ceiling.n.01		tavan
PWN:century.n.01		secule
PWN:certain.a.04		yakin, wassic
PWN:chain.n.03		chaine
PWN:chair.n.01		stol
PWN:cheek.n.01		gian
PWN:chicken.n.02		gall, hen, kierk
PWN:child.n.01		magv
PWN:chimney.n.01		camin
PWN:chin.n.01		mantu
PWN:choose.v.01		cheus
PWN:clay.n.01		loid
PWN:cliff.n.01		behrg
PWN:climb.v.01		glehm
PWN:clock.n.01		horloge
PWN:cloud.n.02		nebh
PWN:club.n.02		club
PWN:club.n.03		mazuk
PWN:coal.n.01		ghiul
PWN:coat.n.01		mantel, palto
PWN:cockroach.n.01		tarakan
PWN:coffee.n.01		kawa
PWN:coin.n.01		pieng
PWN:cold.a.01		srig
PWN:collaborate.v.01		coopere, collabore
PWN:collar.n.01		kolnier
PWN:color.n.01		color
PWN:comb.n.01		pecten
PWN:commiseration.n.01		compatt
PWN:committee.n.01		comitee
PWN:community.n.01		communitat
PWN:company.n.01		compagnie, firm(a)
PWN:compete.v.01		spehrd; concurrence
PWN:compromise.n.01		compromiss
PWN:computer.n.01		computer
PWN:concede.v.01		confett
PWN:condition.n.01		stand
PWN:conscious.a.02		conscient
PWN:consequence.n.01		resultat, consequence
PWN:construct.v.01		strug
PWN:container.n.01		container
PWN:contend.v.06		combat, katue
PWN:copper.n.01		cuper, glaugh
PWN:cork.n.01		fillon (corc)
PWN:corn.n.01		mays
PWN:corpulent.s.01		piwon
PWN:cotton.n.02		coton
PWN:count.v.01		conte, lehg
PWN:courage.n.01		courage
PWN:court.n.01		tribunal, diksghehrd
PWN:cover.v.01		covehr
PWN:crawl.v.01		remep
PWN:cry.v.02		plang
PWN:cucumber.n.02		gurk
PWN:culture.n.06		culture
PWN:cup.n.01		tasse
PWN:curse.v.03		balstehm, aforise
PWN:curtain.n.01		cortin
PWN:cut.v.01		(s)kehrz
