id	style	word	transcription	etymology
PLX:1PL.pro		мыйй	mɨjj	
PLX:1SG.pro		мунн	munn	
PLX:2PL.pro		тыйй	tɨjj	
PLX:2SG.pro		то̄нн	tōnn	
PLX:3PL.pro		сыйй	sɨjj	
PLX:3SG.pro		со̄нн	sōnn	
PLX:above.pp		альн	al’n	
PLX:after.pp		маӈӈа	maŋŋa	
PLX:and or but.cnj		-шэ	=še	rus:=že
PLX:and or but.cnj		а	a	rus:a
PLX:and.cnj		я	ja	got:-jah
PLX:at.pp		альн	al’n	
PLX:be late.v		маӈӈнэ	maŋŋne	
PLX:because.cnj		гуэйкэ	guejke	
PLX:behind.pp		маӈельт	maŋ’el’t	
PLX:beside.pp		луннҍ	lunn’	
PLX:carry in hand.v		кӯннҍтэ кидэ альн	kūnn’te kide al’n	
PLX:carry on head.v		кӯннҍтэ вуэйв альн	kūnn’te vuejv al’n	
PLX:carry on shoulder.v		кӯннҍтэ вуэлькэ альн	kūnn’te vuel’ke al’n	
PLX:carry under arm.v		кӯннҍтэ карьнэль вульн	kūnn’te kar’nel’ vul’n	
PLX:daughter-in-law (of man).n		кӯим	kūim	
PLX:daughter-in-law (of woman).n		маннь	mannj	
PLX:day after tomorrow.adv		маӈӈа ента	maŋŋa jenta	
PLX:day before yesterday.adv		тунн-пе̄йвэсьт	tunn-piejves’t	
PLX:fall silent.v		оаррэ инха	oarre inxa	
PLX:father's brother.n		е̄гкь	jēgk’	
PLX:father's sister.n		мӯдт	mūdt	
PLX:father-in-law (of man).n		вӯффп	vūffp	
PLX:father-in-law (of woman).n		вӯһп	vūhp	
PLX:fermented alcohol.n		я̄вв	jāvv	:jauhaa (Finnish)
PLX:fish poison root.n		кӯлль-са̄һпь	kūll’-sāhp’	
PLX:fish trap.n		мережь	mier’ež’	
PLX:head hair.n		вӯппт	vūppt	
PLX:how many pieces.pro		мэ̄нн-ве̄рьт	mēnn-vier’t	
PLX:how much.pro		мэ̄нн-ве̄рьт	mēnn-vier’t	
PLX:how.pro		ко̄ххт	kōxxt	
PLX:if.cnj		коалэ	koale	
PLX:in front of.pp		эвтэс	evtes	
PLX:in.pp		сыз	sɨz	:sisä (Finnish)
PLX:inside.pp		сызьн	sɨz’n	:sisä (Finnish)
PLX:mother's sister.n		куэсськ	kuess’k	
PLX:mother-in-law (of man).n		вӯннҍ	vūnn’	
PLX:mother-in-law (of woman).n		вӯннҍ	vūnn’	
PLX:netbag.n		са̄һк	sāhk	:säkki
PLX:nothing.pro		нимэ̄нн	nimēnn	
PLX:or.cnj		вай	vaj	:vai (Finnish)
PLX:or.cnj		элэ	ele	rus:íli
PLX:outside.pp		оаллкэнҍ	oallken’	
PLX:sibling-in-law.n		вуэннь	vuennj	
PLX:son-in-law (of man).n		вывв	vɨvv	
PLX:son-in-law (of man).n		зя̄һтҍ	zeaht’	rus:z’at’
PLX:son-in-law (of woman).n		вывв	vɨvv	
PLX:son-in-law (of woman).n		зя̄һтҍ	zeaht’	rus:z’at’
PLX:stab to death.v		чо̄һкэ	čōhke	
PLX:that.pro		тудт	tudt	
PLX:that.pro		што	što	rus:čto
PLX:this.pro		тадт	tadt	
PLX:under.pp		вульн	vul’n	
PLX:what.pro		мӣ	mī	
PLX:what.pro		мэгк	megk	
PLX:when.pro		куэссь	kuess’	
PLX:where.pro		касьт	kas’t	
PLX:which Q.pro		манҍтэ	man’te	
PLX:which.pro		каторэ	katóre	rus:kotóryj m.sg
PLX:who.pro		ке̄	kē	
PLX:who.pro		кегк	kegk	
PLX:why.pro		мэйт?	mejt	
PLX:with.pp		-энҍ	-еn’	
PLX:with.pp		мӣлльтэ	mīll’te	:myö (Finnish)
PLX:without.pp		-ха	-xa	
PLX:yes.ptcl		ныдтҍ	nɨdt’	
PWN:abdomen.n.01		чуэййв	čuejjv	
PWN:above.r.02		э̄лл	ēll	
PWN:accuse.v.01		ве̄рхэ	vierxe	
PWN:acerate_leaf.n.01		куэһцэмь	kuehcem’	
PWN:act.v.02		лыһкэ	lɨhke	:liikkua (Finnish)
PWN:address.n.03		кӣлл	kīll	
PWN:address.n.06		адрес	adres	rus:ádres
PWN:admit.v.01		вӯйкас са̄ррнэ	vūjkas sārrne	
PWN:adornment.n.01		кыррьй	kɨrrj	krl:kirja
PWN:adz.n.01		веррэ	vierre	
PWN:afternoon.n.01		маӈӈа пе̄ййвкэсск	maŋŋa piejjvkessk	
PWN:again.r.01		аввта	avvta	
PWN:age.n.01		агкь	agk’	
PWN:air.n.01		вӯйнас	vūjnas	
PWN:airplane.n.01		саммлёһт	samml’oht	rus:samolét
PWN:all.a.01		пугк	pugk	
PWN:allege.v.01		це̄ӆӆькэ	ciellh’ke	
PWN:alligator.n.02		крокадил	krokadíl	
PWN:alone.r.02		о̄ххтэ	ōxxte	
PWN:altar.n.02		волтар	voltar	rus:oltar’
PWN:always.r.01		пай	paj	
PWN:amazed.s.01		тыгквэннҍ	tɨgkvenn’	
PWN:ancestor.n.01		ма̄дтэр	mādter	
PWN:anchor.n.01		ёакар	joakar	rus:jákor’
PWN:anger.n.02		се̄ннтмушш	siennte	krl:šeändyö
PWN:animal.n.01		жыва	žɨva	rus:žívo, adj.
PWN:animation.n.01		я̄л	jāl	
PWN:ankle.n.01		куэммерь	kuemmer’	
PWN:announce.v.01		э̄ллхэ	ēllmxe	
PWN:answer.v.01		вуэсстлэ	vuesstle	
PWN:ant.n.01		ко̄ттк	kōttk	
PWN:anteater.n.02		муравьед	murav’éd	
PWN:anvil.n.01		та̄гкэм-са̄йй	tāgkem-sājj	
PWN:anxiety.n.02		пя̄дцэль	peadcel’	
PWN:apparel.n.01		оаз	oaz (2)	:*oažži
PWN:approach.v.01		э̄ллтнэ	ēlltne	
PWN:apt.s.03		мӣллвэсь	mīllves’	krl:mielevä
PWN:apt.s.03		тоӆӆк	tollhk	:tulkr
PWN:arch.n.04		арка	arka	rus:árka
PWN:arm.n.01		кӣдт	kīdt	
PWN:armpit.n.01		кайнал	kajnal	
PWN:army.n.01		туаррэм-вӣг	tuarrem-vīg	
PWN:arrive.v.01		пуэдтӭ	puedt’e	:Unidentifiable
PWN:arrive.v.01		ю̄ввтэ	jūvvte	:cf. joutu-
PWN:arrow.n.02		ню̄лл	njūll	
PWN:arson.n.01		пуэлльтэ	puеll’tе	
PWN:artery.n.01		вэ̄рр-сӯнн	vērr-sūnn	
PWN:artery.n.01		сӯнн	sūnn	:*sHi-nu
PWN:ascend.v.01		э̄ллнэ	ēllne	
PWN:ash.n.01		кунн	kunn	:kónis (Greek)
PWN:ask.v.02		а̄ннэ	ānne	
PWN:ask.v.05		кэ̄дже	kēdče	:quaerere (Latin)
PWN:aunt.n.01		куэсськ	kuess’k	
PWN:aunt.n.01		сӣссь	sīss’	
PWN:aurora_borealis.n.01		воафсхэсс	voafsxess	:aurora (Latin), East (English)
PWN:avaricious.s.01		сыннҍ	sɨnn'	
PWN:awl.n.01		вуэррь	vuerr’	:ārā (Sanskrit)
PWN:ax.n.01		оаккшэ	oakkše	:øx
PWN:baby.n.01		па̄рнэнч	pārnenč	
PWN:back.n.01		се̄лльк	siell’k	:selkä (Finnish)
PWN:bad.a.01		нюэссь	njuess’	
PWN:bait.n.02		се̄ппьт	siepp’t	
