id	style	word	pronunciation
PLX:1PL.pro		my	mi
PLX:1SG.pro		ja	ja
PLX:2PL.pro		vy	vi
PLX:2SG.pro		ty	ti
PLX:3PL.pro		oni	ɔni
PLX:3SG M.pro		on	ɔn
PLX:and.cnj		i	i
PLX:because of.pp		kvôli	ɡvu̯oɫi
PLX:because of.pp		pre	prɛ
PLX:behind.pp		za	za
PLX:beside.pp		pri	pri
PLX:beside.pp		vedľa	vɛdʎa
PLX:can.v		môcť	mu̯ot͡sc
PLX:die (from accident).V		zahynúť	zaɦinuːc
PLX:everywhere.pro		všade	fʃadɛ
PLX:from here.adv		odtiaľto	ɔti̯aʎtɔ
PLX:get sick.V		ochorieť	ɔxɔri̯ec
PLX:how many.pro		koľko	kɔʎkɔ
PLX:how.pro		ako	akɔ
PLX:in front of.pp		pred	prɛt
PLX:or.cnj		alebo	aɫɛbɔ
PLX:that.pro		to	tɔ
PLX:this.pro		to	tɔ
PLX:this.pro		táto	taːtɔ
PLX:under.pp		pod	pɔt
PLX:what.pro		čo	t͡ʃɔ
PLX:where.pro		kde	ɡdɛ
PLX:where_to.pro		kam	kam
PLX:who.pro		kto	ktɔ
PLX:why.pro		prečo	prɛt͡ʃɔ
PWN:abandon.v.02		opustiť	ɔpustic
PWN:abdomen.n.01		brucho	bruxɔ
PWN:above.r.02		hore	ɦɔrɛ
PWN:above.r.02		navrchu	navr̩xu
PWN:act.v.02		robiť	rɔbic
PWN:add.v.01		pripojiť	pripɔjic
PWN:address.n.03		reč	rɛt͡ʃ
PWN:affect.v.05		dojať	dɔjac
PWN:again.r.01		zasa	zasa
PWN:age.n.01		vek	vɛk
PWN:ahead.r.03		napred	naprɛt
PWN:aid.n.02		pomoc	pɔmɔt͡s
PWN:air.n.01		vzduch	vzdux
PWN:airplane.n.01		lietadlo	
PWN:alive.a.01		živý	ʒiviː
PWN:all.a.01		všetko	fʃɛtkɔ
PWN:allege.v.01		povedať	pɔvɛdac
PWN:alligator.n.02		krokodíl	
PWN:alone.r.02		sám	saːm
PWN:already.r.01		už	uʃ
PWN:always.r.01		ustavične	ustavit͡ʃnɛ
PWN:always.r.01		vždy	vʒdi
PWN:ananas.n.01		ananás	
PWN:anger.v.01		hnevať	ɦnɛvac
PWN:anger.v.01		zlostiť	zɫɔstic
PWN:anger.v.02		hnevať sa	ɦnɛvac sa
PWN:anger.v.02		zlostiť sa	zɫɔstic sa
PWN:animal.n.01		zviera	zvi̯era
PWN:animation.n.01		život	ʒivɔt
PWN:ant.n.01		mravec	mravɛt͡s
PWN:apparel.n.01		šatstvo	ʃadzdvɔ
PWN:apparel.n.01		šaty	ʃati
PWN:apple.n.01		jablko	jabɫ̩kɔ
PWN:april.n.01		apríl	apriːɫ
PWN:apt.s.03		bystrý	bistriː
PWN:apt.s.03		múdry	muːdri
PWN:area.n.01		kraj	kraj
PWN:area.n.01		krajina	krajina
PWN:arise.v.03		zdvihnúť sa	zdviɦnuːc sa
PWN:arm.n.01		rameno	ramɛnɔ
PWN:arrive.v.01		doraziť	dɔrazic
PWN:arrive.v.01		prísť	priːsc
PWN:arrow.n.02		strela	strɛɫa
PWN:arrow.n.02		šíp	ʃiːp
PWN:ascend.v.01		stúpať	stuːpac
PWN:ash.n.01		popol	pɔpɔɫ
PWN:ask.v.02		prosiť	prɔsic
PWN:ask.v.05		spýtať sa	spiːtac sa
PWN:august.n.01		august	auɡust
PWN:aunt.n.01		teta	tɛta
PWN:aunt.n.01		tetka	tɛtka
PWN:awaken.v.01		zobudiť	zɔbudic
PWN:ax.n.01		sekera	
PWN:back.n.01		chrbát	xr̩baːt
PWN:back.r.01		naspäť	naspæc
PWN:back.r.01		späť	spæc
PWN:back.r.02		nazad	nazat
PWN:bad.a.01		zlý	zɫiː
PWN:bag.n.01		kabelka	kabɛɫka
PWN:bag.n.01		taška	taʃka
PWN:bake.v.02		piecť	pi̯et͡sc
PWN:bake.v.02		smažiť	smaʒic
PWN:ball.n.03		lopta	
PWN:banana.n.02		banán	
PWN:bare.s.01		nahý	naɦiː
PWN:bark.n.01		kôra	ku̯ora
PWN:bark.v.04		brechať	brɛxac
