id	style	word	pronunciation
Action:can.V		maehtedh	mæːhtɛdh
Action:can.V		ååjmedidh	oːjmɛdidh
Agriculture:herd (something).V		geehtedh	keːhtɛdh
Agriculture:irrigate.V		tjaetsiehtidh	t͡ʃæːt͡siɛhtidh
Agriculture:pick.V		tjåegkedh	t͡ʃoækːɛdh
Agriculture:shovel.N		gåajvoe	koɒjβuʌ
Animal:Anatidae.N		tjååtsele	t͡ʃoːt͡sɛlɛ
Animal:Annelida.N		maarhke	mɑːrhkɛ
Animal:Annelida.N		mietie	miɛtiɛ
Animal:Araneae.N		hievnie	hiɛβniɛ
Animal:Aves.N		ledtie	lɛtːiɛ
Animal:Canis lupus familiaris.N		bïenje	pɨɛɲɛ
Animal:Canis lupus.N		sïejpe	sɨɛjpɛ
Animal:Corvus.N		voerhtje	βuʌrht͡ʃɛ
Animal:Culicidae.N		tjoejhke	t͡ʃuʌjhkɛ
Animal:Diptera.N		boerege	puʌrɛɡɛ
Animal:Diptera.N		tjoere	t͡ʃuʌrɛ
Animal:Equus ferus caballus.N		hierkie	hiɛrkiɛ
Animal:Felis catus.N		gaahtoe	kɑːhtuʌ
Animal:Formicidae.N		garhke	karhkɛ
Animal:Gallus gallus domesticus.N		vöönhtse	βøːnht͡sɛ
Animal:Homo sapiens.N		almetje	almɛt͡ʃɛ
Animal:Ovis aries.N		sïrve	sɨrβɛ
Animal:Rhopalocera.N		biejjielåbloe	piɛjːiɛlɔbluʌ
Animal:Sciuridae.N		åeruve	oærʉβɛ
Animal:Serpentes.N		gïermesje	kɨɛrmɛʃɛ
Animal:Sus scrofa domestica.N		snurke	snʉrkɛ
Animal:Ursidae.N		gumsie	kʉmsiɛ
Animal:Vulpes.N		riepie	riɛpiɛ
Animal:animal.N		juvre	jʉβrɛ
Animal:fish.N		guelie	kʉɛliɛ
Animal:mouse.N		snjeara	sɲeæra
Animal:wool.N		ålloe	ɔlːuʌ
Atmosphere:cloud.N		balve	palβɛ
Atmosphere:cold.A		jueskies	jʉɛskiɛs
Atmosphere:fog.N		mearhka	meærhka
Atmosphere:fog.N		såavla	soɒβla
Atmosphere:rain.N		ebrie	ɛbriɛ
Atmosphere:rain.V		abrodh	abrudh
Atmosphere:rainbow.N		aatjan goengere	ɑːt͡ʃan ɡuʌŋɛrɛ
Atmosphere:rainbow.N		aatjan joekse	ɑːt͡ʃan juʌksɛ
Atmosphere:sky.N		elmie	ɛlmiɛ
Atmosphere:thunder.N		raejrie	ræːjriɛ
Atmosphere:thunder.V		laakedh	lɑːkɛdh
Atmosphere:weather.N		vïerhtse	βɨɛrht͡sɛ
Atmosphere:wind.N		bïegke	pɨɛkːɛ
Belief:deity.N		jupmele	jʉpmɛlɛ
Belief:idol.N		guvvie	kʉβːiɛ
Belief:spirit.N		aajmoe	ɑːjmuʌ
Belief:spirit.N		voejkene	βuʌjkɛnɛ
Body:arm.N		gïete	kɨɛtɛ
Body:back.N		rudtje	rʉt͡ʃːɛ
Body:beard.N		skaavtja	skɑːβt͡ʃa
Body:beard.N		skaavtjoe	skɑːβt͡ʃuʌ
Body:belly.N		tjåejjie	t͡ʃoæjːiɛ
Body:blood.N		maelie	mæːliɛ
Body:blood.N		vïrre	βɨrːɛ
Body:blow.V		båssodh	pɔsːudh
Body:body.N		kråahpe	kʰroɒhpɛ
Body:bone.N		måara	moɒra
Body:bone.N		måaroe	moɒruʌ
Body:brain.N		aajla	ɑːjla
Body:breast.N		boenge	puʌŋɛ
Body:breath.N		voejngehtasse	βuʌjŋɛhtasːɛ
Body:breath.V		voejngehtidh	βuʌjŋɛhtidh
Body:cheek.N		skiehrie	skiɛhriɛ
Body:chest.N		mïelke	mɨɛlkɛ
Body:chin.N		gaejpie	kæːjpiɛ
Body:ear.N		bieljie	piɛljiɛ
Body:elbow.N		gernjere	kɛrɲɛrɛ
Body:eye.N		tjelmie	t͡ʃɛlmiɛ
Body:face.N		ååredæjja	oːrɛdæjːa
Body:fat.N		buejtie	pʉɛjtiɛ
Body:feather.N		badtse	pat͡sːɛ
Body:finger.N		soerme	suʌrmɛ
Body:fingernail.N		gadtse	kat͡sːɛ
Body:fingernail.N		guehpere	kʉɛhpɛrɛ
Body:foot.N		juelkie	jʉɛlkiɛ
Body:footprint.N		gïeje	kɨɛjɛ
Body:forehead.N		gaalloe	kɑːlːuʌ
Body:fur.N		njaltja	ɲalt͡ʃa
Body:hair.N		voepte	βuʌptɛ
Body:hand.N		gïete	kɨɛtɛ
Body:head.N		åejjie	oæjːiɛ
Body:heart.N		vaajmoe	βɑːjmuʌ
Body:heel.N		båetskie	poæt͡skiɛ
Body:horn.N		tjåervie	t͡ʃoærβiɛ
Body:jaw.N		gaejpie	kæːjpiɛ
Body:knee.N		boelve	puʌlβɛ
Body:leg.N		juelkie	jʉɛlkiɛ
Body:lip.N		bangseme	paŋsɛmɛ
Body:liver.N		mueksie	mʉɛksiɛ
Body:moustache.N		bijjie-skaavtjoe	pijːiɛ-skɑːβt͡ʃuʌ
Body:mouth.N		njaelmie	ɲæːlmiɛ
Body:nail.N		gadtse	kat͡sːɛ
Body:nail.N		guehpere	kʉɛhpɛrɛ
Body:nape.N		tjovrese	t͡ʃuβrɛsɛ
Body:navel.N		naepie	næːpiɛ
Body:neck.N		tjeapohke	t͡ʃeæpuhkɛ
Body:nose.N		njuenie	ɲʉɛniɛ
Body:obese.A		buajtehks	pɵajtɛhks
Body:palm.N		gïeten-låapoe	kɨɛtɛn-loɒpuʌ
Body:shoulder.N		åelkie	oælkiɛ
Body:skin.N		njaltja	ɲalt͡ʃa
Body:stomach.N		tjåejjie	t͡ʃoæjːiɛ
Body:tail.N		siejpie	siɛjpiɛ
Body:tear.N		gïknjele	kɨkɲɛlɛ
Body:tendon.N		gåårtenje	koːrtɛɲɛ
Body:tendon.N		soene	suʌnɛ
Body:throat.N		gealoe	keæluʌ
Body:toe.N		tjiehtjere	t͡ʃiɛht͡ʃɛrɛ
