id	style	word	pronunciation
Action:can.V		veadjit	ve̯æcːih
Agriculture:herd (something).V		geahččat	ke̯æht͡ʃːɑh
Agriculture:irrigate.V		njuoskadit	ɲʊ̯ɔskɑðih
Agriculture:irrigate.V		čáhccet	t͡ʃaːht͡sːeh
Agriculture:pick.V		čoaggit	t͡ʃɔ̯ɑɡkih
Agriculture:shovel.N		goaivu	kɔ̯ɑivʊ
Animal:Anatidae.N		čáhceloddi	t͡ʃaːht͡selɔdti
Animal:Annelida.N		máhtu	maːhtʊ
Animal:Araneae.N		heavdni	he̯ævdni
Animal:Aves.N		loddi	lɔdti
Animal:Canis lupus familiaris.N		beana	pe̯ænɑ
Animal:Canis lupus.N		kumpe	kʰʊmpe
Animal:Canis lupus.N		návdi	naːvti
Animal:Corvus.N		vuoražas	vʊ̯ɔrɑd͡ʃɑs
Animal:Corvus.N		vuorččis	vʊ̯ɔrt͡ʃːis
Animal:Culicidae.N		čuoika	t͡ʃʊɛjkɑ
Animal:Diptera.N		čuru	t͡ʃʊrʊ
Animal:Equus ferus caballus.N		heavuš	he̯ævʊʃ
Animal:Felis catus.N		bussá	pʊsːaː
Animal:Formicidae.N		gotka	kɔtkɑ
Animal:Gallus gallus domesticus.N		vuonccis	vʊ̯ɔnt͡sːis
Animal:Homo sapiens.N		olmmoš	ɔlmːɔʃ
Animal:Ovis aries.N		sávza	saːvd͡zɑ
Animal:Rhopalocera.N		beaiveloddi	pæjvelɔdti
Animal:Sciuridae.N		oarri	ɔ̯ɑrːi
Animal:Serpentes.N		gearpmaš	ke̯ærhpmɑʃ
Animal:Sus scrofa domestica.N		spiidni	spijdni
Animal:Ursidae.N		bierdna	piɛrdnɑ
Animal:Ursidae.N		guovža	kʊ̯ɔvd͡ʃɑ
Animal:Vulpes.N		rieban	riɛpɑn
Animal:animal.N		ealli	e̯ælːi
Animal:fish.N		guolli	kʊ̯ɔlːi
Animal:mouse.N		sáhpán	saːhpaːn
Animal:wool.N		ullu	ʊlːʊ
Atmosphere:cloud.N		balva	pɑlɑvɑ
Atmosphere:cold.A		čoaskkis	t͡ʃɔ̯ɑskːis
Atmosphere:fog.N		mierká	miɛrɑhkaː
Atmosphere:rain.N		arvi	ɑrɛvi
Atmosphere:rain.V		arvit	ɑrɛvih
Atmosphere:rainbow.N		arvedávgi	ɑrɛveðaːvɡi
Atmosphere:rainbow.N		bajándávgi	pɑjaːntaːvɡi
Atmosphere:sky.N		albmi	ɑlɛbmi
Atmosphere:thunder.N		baján	pɑjaːn
Atmosphere:thunder.V		čerget	t͡ʃerekeh
Atmosphere:weather.N		dálki	taːlɛhki
Atmosphere:wind.N		biegga	piɛɡkɑ
Belief:deity.N		ipmil	ipmil
Belief:idol.N		figuvra	fikʊβrɑ
Belief:spirit.N		vuoigŋa	vʊɛjɡŋɑ
Body:arm.N		giehta	kiɛhtɑ
Body:back.N		sealgi	se̯ælɛki
Body:beard.N		seamu	se̯æmʊ
Body:belly.N		čoavji	t͡ʃɔ̯ɑvji
Body:blood.N		varra	vɑrːɑ
Body:blow.V		bieggat	piɛɡkɑh
Body:blow.V		bossut	pɔsːʊh
Body:body.N		rumaš	rʊmɑʃ
Body:bone.N		dákti	taːkti
Body:brain.N		vuoigŋašat	vʊɛjɡŋɑʃɑh
Body:breast.N		čižži	t͡ʃid͡ʒːi
Body:breath.N		vuoiŋŋahat	vʊɛjŋːɑhɑh
Body:breath.V		vuoigŋat	vʊɛjɡŋɑh
Body:cheek.N		muohtu	mʊ̯ɔhtʊ
Body:chest.N		raddi	rɑdti
Body:chin.N		gáibi	kaːjpi
Body:ear.N		beallji	pe̯æʎːi
Body:elbow.N		gargŋil	kɑrɛɡŋil
Body:eye.N		čalbmi	t͡ʃɑlɛbmi
Body:face.N		muođut	mʊ̯ɔðʊh
Body:face.N		ámadadju	aːmɑðɑcːʊ
Body:fat.N		buoidi	pʊɛjti
Body:feather.N		bozza	pɔd͡sːɑ
Body:finger.N		suorbma	sʊ̯ɔrɑbmɑ
Body:fingernail.N		gazza	kɑd͡sːɑ
Body:foot.N		juolgi	jʊ̯ɔlɛki
Body:footprint.N		luodda	lʊ̯ɔdtɑ
Body:forehead.N		gállu	kaːlːʊ
Body:fur.N		dorkkas	tɔrkːɑs
Body:fur.N		náhkki	naːhkːi
Body:hair.N		vuokta	vʊ̯ɔktɑ
Body:hand.N		giehta	kiɛhtɑ
Body:head.N		oaivi	ɔ̯ɑivi
Body:heart.N		váibmu	vaːjbmʊ
Body:heel.N		šušmi	ʃʊʃmi
Body:horn.N		čoarvi	t͡ʃɔ̯ɑrɛvi
Body:jaw.N		gáibi	kaːjpi
Body:knee.N		veaŋki	ve̯æŋki
Body:knee.N		čibbi	t͡ʃibpi
Body:leg.N		juolgi	jʊ̯ɔlɛki
Body:lip.N		bavssa	pɑvsːɑ
Body:liver.N		vuoivvas	vʊɛjvːɑs
Body:moustache.N		seamu	se̯æmʊ
Body:mouth.N		njálbmi	ɲaːlɛbmi
Body:nail.N		gazza	kɑd͡sːɑ
Body:nape.N		niehkki	niɛhkːi
Body:nape.N		niski	niski
Body:navel.N		náhpi	naːhpi
Body:neck.N		čeabet	t͡ʃe̯æpeh
Body:nose.N		njunni	ɲʊnːi
Body:obese.A		buoidi	pʊɛjti
Body:palm.N		giehtaloahpu	kiɛhtɑlɔ̯ɑhpʊ
Body:shoulder.N		hárdu	haːrtʊ
Body:skin.N		liiki	lijki
Body:stomach.N		čoavji	t͡ʃɔ̯ɑvji
Body:tail.N		bađuš	pɑðʊʃ
Body:tail.N		seaibi	sæjpi
Body:tear.N		ganjal	kɑɲɑl
Body:tendon.N		suotna	sʊ̯ɔtnɑ
Body:throat.N		čotta	t͡ʃɔtːɑ
Body:toe.N		juolgesuorbma	jʊ̯ɔlɛkesʊ̯ɔrɑbmɑ
Body:tongue.N		njuovčča	ɲʊ̯ɔvt͡ʃːɑ
Body:tooth.N		bátni	paːtni
Body:upper leg.N		badjeváhkáa	pɑcːevaːhkaːɑ
Body:upper leg.N		gassaváhkká	kɑsːɑvaːhkːaː
Body:vein.N		varrasuotna	vɑrːɑsʊ̯ɔtnɑ
Body:wing.N		soadji	sɔ̯ɑcːi
Body:wound.N		hávvi	haːvːi
Building:board.N		lávdi	laːvti
Building:build.V		ráhkadit	raːhkɑðih
Building:door.N		uksa	ʊksɑ
Building:floor.N		láhtti	laːhtːi
Building:gate.N		poarta	pʰɔ̯ɑrɑhtɑ
Building:gate.N		uksa	ʊksɑ
Building:house.N		stohpu	stɔhpʊ
Building:post.N		stággu	staːɡkʊ
Building:post.N		stávrá	staːβraː
Building:roof.N		gáhttu	kaːhtːʊ
Building:window.N		láse	laːse
Cleaning:broom.N		luvdá	lʊvtaː
Cleaning:clean (sth).V		buhtistit	pʊhtistih
Cleaning:clean (sth).V		čorget	t͡ʃɔrəkeh
Cleaning:clean.A		buhtes	pʊhtes
Cleaning:clean.A		ráinnas	raːjnːɑs
Cleaning:dirt.N		duolva	tʊ̯ɔlɑvɑ
Cleaning:dirt.N		durdi	tʊrti
Cleaning:dirty.A		duolvvas	tʊ̯ɔlvːɑs
Cleaning:sweep.V		luvdet	lʊvteh
Cleaning:wash (oneself).V		basadit	pɑsɑðih
Cleaning:wash.V		bassat	pɑsːɑh
Cleaning:wipe.V		sihkkut	sihkːʊh
Clothing:belt.N		boagán	pɔ̯ɑkaːn
Clothing:boot.N		sáhpis	saːhpis
Clothing:boot.N		sáppat	saːpːɑh
Clothing:button.N		boallu	pɔ̯ɑlːʊ
Clothing:cap.N		gahpir	kɑhpir
Clothing:cloth.N		ávnnas	aːvnːɑs
Clothing:clothes.N		bivttas	pivtːɑs
Clothing:collar.N		kráva	kʰraːvɑ
Clothing:collar.N		čeabet	t͡ʃe̯æpeh
Clothing:dress up.V		gárvodit	kaːrɑvɔðih
Clothing:dye.V		báidnit	paːjdnih
Clothing:dye.V		ivdnet	ivdneh
Clothing:knit.V		gođđit	kɔðːih
Clothing:leather.N		leaira	læjrɑ
Clothing:leather.N		náhkki	naːhkːi
Clothing:naked.A		álás	aːlaːs
Clothing:needle.N		nállu	naːlːʊ
Clothing:put on.V		nahkehit	nɑhkehih
Clothing:put on.V		čákŋat	t͡ʃaːkŋɑh
Clothing:scarf or turban.N		liidni	lijdni
Clothing:sew.V		goarrut	kɔ̯ɑrːʊh
Clothing:shirt.N		báidi	paːjti
Clothing:shoe.N		gáma	kaːmɑ
Clothing:sleeve.N		soadji	sɔ̯ɑcːi
Clothing:thread.N		árpu	aːrɑhpʊ
Clothing:towel.N		sihkaldat	sihkɑltɑh
Clothing:trousers.N		buvssat	pʊvsːɑh
Clothing:undress.V		nuollat	nʊ̯ɔlːɑh
Cognition:familiar.A		dieđus	tiɛðʊs
Cognition:true.A		duohta	tʊ̯ɔhtɑ
Cognition:truth.N		duohtavuohta	tʊ̯ɔhtɑvʊ̯ɔhtɑ
Cognition:wake up (tr).V		boktit	pɔktih
Cognition:wake up (tr).V		rávkat	raːvkɑh
Cognition:wake up.V		gohččát	kɔht͡ʃːaːh
Cognition:wake up.V		morránit	mɔrːaːnih
Combat:brawl.V		doarrut	tɔ̯ɑrːʊh
Combat:fight.N		doarru	tɔ̯ɑrːʊ
Combat:fight.N		vuostelasvuohta	vʊ̯ɔstelɑsvʊ̯ɔhtɑ
Combat:strike (sb).V		huškut	hʊʃkʊh
Combat:violence.N		veahkaváldi	ve̯æhkɑvaːlti
Combat:win.V		vuoitit	vʊɛjtih
Communication:boast.V		rábmot	raːbmɔh
Communication:book.N		girji	kirji
Communication:call.V		čuorvut	t͡ʃʊ̯ɔrɑvʊh
Communication:chat.V		jumadit	jʊmɑðih
Communication:chat.V		ságastallat	saːkɑstɑlːɑh
Communication:convey (a message).V		dieđihit	tiɛðihih
Communication:fairy tale.N		cukca	t͡sʊkt͡sɑ
Communication:fairy tale.N		máinnas	maːjnːɑs
Communication:kiss.V		cum'mát	t͡sʊmʲmaːh
Communication:kiss.V		cummistit	t͡sʊmːistih
Communication:language.N		giella	kiɛlːɑ
Communication:letter.N		reive	rejve
Communication:lie.N		gielis	kiɛlis
Communication:news.N		sáhka	saːhkɑ
Communication:newspaper.N		bláđđi	plaːðːi
Communication:talk.V		hupmat	hʊpmɑh
Communication:tell.V		muitalit	mʊjtɑlih
Communication:translate.V		jorgalit	jɔrɔkɑlih
Communiction:call.N		čurvestat	t͡ʃʊrəvestɑh
Cosmos:Sun.N		beaivváš	pæjvːaːʃ
Cosmos:moon.N		mánnu	maːnːʊ
