id	style	word	pronunciation
PLX:1PL.pro		mij	mij
PLX:1SG.pro		mån	mɔn
PLX:1SG.pro		månnå	mɔnːɔ
PLX:2PL.pro		dij	dij
PLX:2SG.pro		dån	dɔn
PLX:3PL.pro		sij	sij
PLX:3SG M.pro		sån	sɔn
PLX:and.cnj		ja	jɑ
PLX:because of.adp		diehti	di͡ɛhti
PLX:behind.adp		duogen	dʊu͡ɔɡɛn
PLX:behind.adp		maŋŋelin	mɑŋːɛlin
PLX:beside.adp		báldan	baldɑn
PLX:can.v		buktet	bʊktɛt
PLX:die (from accident).V		soaggot	su͡ɔɑɡːu͡ɔt
PLX:die (from accident).V		sårmmånit	sɔrmːɔnit
PLX:everywhere.pro		juohkka sajen	jʊu͡ɔhːkɑ sɑjɛn
PLX:from here.adv		dáppelt	dapːɛlt
PLX:from here.adv		dássta	dasːtɑ
PLX:get sick.V		skihppát	skihːpat
PLX:how many.pro		makta	mɑktɑ
PLX:how.pro		gåktu	ɡɔktʊ
PLX:in front of.adp		ålggolin	ɔlɡːu͡ɔlin
PLX:or.cnj		jali	jɑli
PLX:that.pro		dat	dɑt
PLX:this.pro		dát	dat
PLX:under.adp		vuolen	vʊu͡ɔlɛn
PLX:what.pro		mij	mij
PLX:where.pro		gånnå	ɡɔnːɔ
PLX:where_to.pro		gåsi	ɡɔsi
PLX:who.pro		guhti	ɡʊhti
PLX:why.pro		manen	mɑnɛn
PWN:abandon.v.02		guodet	ɡʊu͡ɔdɛt
PWN:abdomen.n.01		tjoajvve	t͡ʃu͡ɔɑjvːɛ
PWN:above.r.02		baddjen	bɑdːjɛn
PWN:act.v.02		barggat	bɑrɡːɑt
PWN:add.v.01		duoddit	dʊu͡ɔdːit
PWN:add.v.01		lasedit	lɑsɛdit
PWN:address.n.03		hålla	hɔlːɑ
PWN:affect.v.05		njuoradit	njʊu͡ɔrɑdit
PWN:again.r.01		vas	vɑs
PWN:again.r.01		ådåsis	ɔdɔsis
PWN:age.n.01		áldar	aldɑr
PWN:ahead.r.03		åvddån	ɔvdːɔn
PWN:aid.n.02		viehkke	vi͡ɛhːkɛ
PWN:air.n.01		ájmmo	ajmːu͡ɔ
PWN:alive.a.01		viesso	vi͡ɛsːu͡ɔ
PWN:all.a.01		gájkka	ɡajkːɑ
PWN:allege.v.01		javllat	jɑvlːɑt
PWN:alone.r.02		aktu	ɑktʊ
PWN:already.r.01		juo	jʊu͡ɔ
PWN:always.r.01		agev	ɑɡɛv
PWN:anger.v.01		suhttadit	sʊhːtɑdit
PWN:anger.v.02		suhttat	sʊhːtɑt
PWN:animal.n.01		divrre	divrːɛ
PWN:animal.n.01		luohtok	lʊu͡ɔhtu͡ɔk
PWN:animal.n.01		udos	ʊdu͡ɔs
PWN:animation.n.01		hægga	hæːɡːɑ
PWN:animation.n.01		iellem	i͡ɛlːɛm
PWN:animation.n.01		viessom	vi͡ɛsːu͡ɔm
PWN:ant.n.01		gårkkå	ɡɔrkːɔ
PWN:apparel.n.01		gárvvo	ɡarvːu͡ɔ
PWN:apple.n.01		ehpal	ɛhpɑl
PWN:april.n.01		vuoratjismánno	vʊu͡ɔrɑt͡ʃismanːu͡ɔ
PWN:apt.s.03		jiermmá	ji͡ɛrmːa
PWN:apt.s.03		vijses	vijsɛs
PWN:area.n.01		bájkke	bajkːɛ
PWN:area.n.01		guovvlo	ɡʊu͡ɔvːlu͡ɔ
PWN:arise.v.03		tjuodtjelit	t͡ʃʊu͡ɔdt͡ʃɛlit
PWN:arm.n.01		giehta	ɡi͡ɛhtɑ
PWN:arrive.v.01		boahtet	bu͡ɔɑhtɛt
PWN:arrive.v.01		jåvsådit	jɔvsɔdit
PWN:arrow.n.02		njuolla	njʊu͡ɔlːɑ
PWN:arrow.n.02		sådde	sɔdːɛ
PWN:ascend.v.01		allánit	ɑlːanit
PWN:ash.n.01		gudna	ɡʊdnɑ
PWN:ask.v.02		gåhttjot	ɡɔhːt͡ʃu͡ɔt
PWN:ask.v.02		ádnot	adnu͡ɔt
PWN:ask.v.05		gahtjat	ɡɑht͡ʃɑt
PWN:ask.v.05		gatjádit	ɡɑt͡ʃadit
PWN:august.n.01		bårggemánno	bɔrɡːɛmanːu͡ɔ
PWN:aunt.n.01		goasske	ɡu͡ɔɑsːkɛ
PWN:aunt.n.01		muohtá	mʊu͡ɔhta
PWN:aunt.n.01		siessá	si͡ɛsːa
PWN:awaken.v.01		båktet	bɔktɛt
PWN:back.n.01		hárddo	hardːu͡ɔ
PWN:back.n.01		tjavelk	t͡ʃɑvɛlk
PWN:back.r.01		maŋus	mɑŋʊs
PWN:back.r.01		ruoptus	rʊu͡ɔptʊs
PWN:back.r.02		ruoptobadáj	rʊu͡ɔptu͡ɔbɑdaj
PWN:bad.a.01		nievrre	ni͡ɛvrːɛ
PWN:bag.n.01		lávkka	lavkːɑ
PWN:bag.n.01		væssko	væːsːku͡ɔ
PWN:bake.v.02		lájbbot	lajbːu͡ɔt
PWN:bare.s.01		rihtso	riht͡su͡ɔ
PWN:bark.n.01		bárkko	barkːu͡ɔ
PWN:bark.v.04		tsiellat	t͡si͡ɛlːɑt
PWN:bathe.v.01		gálatjit	ɡalɑt͡ʃit
PWN:battle.n.01		doarro	du͡ɔɑrːu͡ɔ
PWN:battle.n.01		oajbbom	u͡ɔɑjbːu͡ɔm
PWN:battle.n.01		rahtjamus	rɑht͡ʃɑmʊs
PWN:bay.n.01		luokta	lʊu͡ɔktɑ
PWN:bay.n.01		oagge	u͡ɔɑɡːɛ
PWN:be_born.v.01		riegádit	ri͡ɛɡadit
PWN:bear.n.01		biernna	bi͡ɛrnːɑ
PWN:beard.n.01		skávttjá	skavtːja
PWN:beautiful.a.01		tjábbe	t͡ʃabːɛ
PWN:become.v.01		sjaddat	ʃɑdːɑt
PWN:bed.n.01		sæŋŋga	sæːŋːɡɑ
PWN:begin.v.03		-goahtet	-ɡu͡ɔɑhtɛt
PWN:begin.v.03		álgadit	alɡɑdit
PWN:believe.v.01		jáhkket	jahːkɛt
PWN:beloved.s.01		gieres	ɡi͡ɛrɛs
PWN:beloved.s.01		lådje	lɔd͡ʒɛ
PWN:belt.n.02		avve	ɑvːɛ
PWN:belt.n.02		getsam	ɡɛt͡sɑm
PWN:bend.v.01		niejddet	ni͡ɛjdːɛt
PWN:bend.v.01		såjådit	sɔjɔdit
PWN:benefit.n.02		ávkke	avkːɛ
PWN:berry.n.01		muorjje	mʊu͡ɔrjːɛ
PWN:better.v.02		buoredit	bʊu͡ɔrɛdit
PWN:better.v.02		báredit	barɛdit
PWN:between.r.02		gasska	ɡɑsːkɑ
PWN:birch.n.02		soahke	su͡ɔɑhkɛ
PWN:bird.n.01		lådde	lɔdːɛ
PWN:bite.v.01		gáskestit	ɡaskɛstit
PWN:bite.v.01		gássket	ɡasːkɛt
PWN:bitter.s.06		bitjes	bit͡ʃɛs
PWN:bitter.s.06		tsibtsa	t͡sibt͡sɑ
PWN:black.a.01		tjáhppat	t͡ʃahːpɑt
PWN:blanket.n.01		gåbtjås	ɡɔbt͡ʃɔs
PWN:blanket.n.01		rádno	radnu͡ɔ
PWN:blanket.n.01		tæhppin	tæːhːpin
PWN:blast.v.07		vuohtjet	vʊu͡ɔht͡ʃɛt
PWN:blind.a.01		tjalmedibme	t͡ʃɑlmɛdibmɛ
PWN:blood.n.01		varra	vɑrːɑ
PWN:blow.v.01		båssot	bɔsːu͡ɔt
PWN:blow.v.02		bieggat	bi͡ɛɡːɑt
PWN:blue.s.01		alek	ɑlɛk
PWN:blue.s.01		lahtte	lɑhːtɛ
PWN:blunt.s.02		jåbbe	jɔbːɛ
PWN:board.n.02		fiello	fi͡ɛlːu͡ɔ
PWN:boast.v.01		goarssudit	ɡu͡ɔɑrsːʊdit
PWN:boat.n.01		vanntsa	vɑnːt͡sɑ
PWN:boat.n.01		vanás	vɑnas
PWN:body.n.01		rumáj	rʊmaj
PWN:boil.v.01		duolldat	dʊu͡ɔlːdɑt
PWN:boil.v.03		duolldádit	dʊu͡ɔlːdadit
PWN:boil.v.03		vuossjat	vʊu͡ɔsːjɑt
PWN:bone.n.01		dákte	daktɛ
PWN:book.n.01		girjje	ɡirjːɛ
PWN:boot.n.01		stiebil	sti͡ɛbil
PWN:botch.v.01		spedjat	spɛd͡ʒɑt
PWN:boundary_line.n.01		mierre	mi͡ɛrːɛ
PWN:boundary_line.n.01		rádjá	rad͡ʒa
PWN:bow.n.04		juoksa	jʊu͡ɔksɑ
PWN:box.n.01		kássa	kasːɑ
PWN:brain.n.01		vuojŋam	vʊu͡ɔjŋɑm
PWN:branch.n.02		oakse	u͡ɔɑksɛ
PWN:branchlet.n.01		oakse	u͡ɔɑksɛ
PWN:brawl.v.01		doarrot	du͡ɔɑrːu͡ɔt
PWN:bread.n.01		lájbbe	lajbːɛ
PWN:bread.n.01		stummpa	stʊmːpɑ
PWN:break.v.05		doaddjut	du͡ɔɑdːjʊt
PWN:breast.n.02		bållå	bɔlːɔ
PWN:breath.n.02		båssånis	bɔsːɔnis
PWN:breath.n.02		vuojŋadahka	vʊu͡ɔjŋɑdɑhkɑ
PWN:breathe.v.01		vuojŋŋat	vʊu͡ɔjŋːɑt
PWN:bridge.n.01		råvve	rɔvːɛ
PWN:bright.a.01		tjuovggat	t͡ʃʊu͡ɔvɡːɑt
PWN:bring.v.01		doalvvot	du͡ɔɑlvːu͡ɔt
PWN:brook.n.01		jågåsj	jɔɡɔʃ
PWN:brook.n.01		jåhkå	jɔhkɔ
PWN:broom.n.01		njáman	njamɑn
PWN:brother.n.01		viellja	vi͡ɛlːjɑ
PWN:brow.n.01		gállo	ɡalːu͡ɔ
PWN:bucket.n.01		skiello	ski͡ɛlːu͡ɔ
PWN:bull.n.01		vuoksá	vʊu͡ɔksa
PWN:bundle.n.02		buduk	bʊdʊk
PWN:bundle.n.02		gurppe	ɡʊrpːɛ
PWN:burn.v.03		buollet	bʊu͡ɔlːɛt
PWN:burn.v.07		boalldet	bu͡ɔɑlːdɛt
PWN:business.n.01		oases	u͡ɔɑsɛs
PWN:butter.n.01		vuodja	vʊu͡ɔd͡ʒɑ
PWN:butterfly.n.01		biejvvelådde	bi͡ɛjvːɛlɔdːɛ
PWN:button.n.01		boallo	bu͡ɔɑlːu͡ɔ
PWN:buy.v.01		oasstet	u͡ɔɑsːtɛt
PWN:calculate.v.01		låhkåt	lɔhkɔt
PWN:calculate.v.01		riekknit	ri͡ɛkːnit
PWN:calendar_month.n.01		mánno	manːu͡ɔ
PWN:call.v.05		tjuorvvot	t͡ʃʊu͡ɔrvːu͡ɔt
PWN:campfire.n.01		sajijdållå	sɑjijdɔlːɔ
PWN:cap.n.01		gahper	ɡɑhpɛr
PWN:cat.n.01		gáhtto	ɡahːtu͡ɔ
PWN:catch.v.04		giddit	ɡidːit
PWN:cause.n.01		sivva	sivːɑ
PWN:cave.n.01		rájgge	rajɡːɛ
PWN:cave.n.01		sluoggo	slʊu͡ɔɡːu͡ɔ
PWN:cavil.v.01		bielkket	bi͡ɛlkːɛt
PWN:center.n.01		gasska	ɡɑsːkɑ
PWN:chair.n.01		ståvllå	stɔvlːɔ
PWN:change.v.01		rievddadit	ri͡ɛvdːɑdit
PWN:change.v.03		lånudit	lɔnʊdit
PWN:character.n.08		bokstávva	bu͡ɔkstavːɑ
PWN:cheap.a.01		álbbe	albːɛ
PWN:cheek.n.01		nierra	ni͡ɛrːɑ
PWN:cherished.s.01		árvulasj	arvʊlɑʃ
PWN:chicken.n.02		vuonntsá	vʊu͡ɔnːt͡sa
PWN:child.n.01		mánná	manːa
PWN:chin.n.01		gájbbe	ɡajbːɛ
PWN:choose.v.01		válljit	valːjit
PWN:chop.v.01		tsáhpat	t͡sahpɑt
PWN:chop.v.01		tsållat	t͡sɔlːɑt
PWN:church.n.02		girkko	ɡirkːu͡ɔ
