id	style	word	pronunciation
Action:can.V		vaijeeđ	vɑijeːð
Agriculture:herd (something).V		keččâđ	ket͡ʃːɐð
Agriculture:irrigate.V		njuos'kâdiđ	ɲuoskɐdið
Agriculture:pick.V		čuág'giđ	t͡ʃu̯æɡɡið
Agriculture:shovel.N		kuái'vu	ku̯æivu
Animal:Anatidae.N		vuonjâč	vuoɲɐt͡ʃ
Animal:Annelida.N		máátu	mæːtu
Animal:Araneae.N		evni	evni
Animal:Aves.N		lodde	lodːe
Animal:Canis lupus familiaris.N		peenuv	peːnuv
Animal:Canis lupus.N		kumppi	kumpːi
Animal:Corvus.N		vuorâč	vuorɐt͡ʃ
Animal:Culicidae.N		čuoš'kâ	t͡ʃuoʃkɐ
Animal:Diptera.N		kiärpáš	ki̯ærpæʃ
Animal:Equus ferus caballus.N		hiävuš	hi̯ævuʃ
Animal:Felis catus.N		kissá	kisːæ
Animal:Formicidae.N		kutkâ	kutkɐ
Animal:Gallus gallus domesticus.N		kääṇi	kæːni
Animal:Homo sapiens.N		olmooš	olmoːʃ
Animal:Ovis aries.N		savzâ	sɑvd͡zɐ
Animal:Rhopalocera.N		piäi'vááloddááš	pi̯æivæːlodːæːʃ
Animal:Sciuridae.N		uár'ree	u̯ærreː
Animal:Serpentes.N		kyev'đi	kyevði
Animal:Sus scrofa domestica.N		šahe	ʃɑhe
Animal:Ursidae.N		kuob'žâ	kuobd͡ʒɐ
Animal:Vulpes.N		riemnjis	riemɲis
Animal:animal.N		ellee	elːeː
Animal:fish.N		kyeḷi	kyeli
Animal:mouse.N		säplig	sæpliɡ
Animal:wool.N		ullo	ulːo
Atmosphere:cloud.N		polvâ	polvɐ
Atmosphere:cold.A		čuássid	t͡ʃu̯æsːid
Atmosphere:fog.N		miär'kká	mi̯ærkːæ
Atmosphere:fog.N		oṃo	omo
Atmosphere:rain.N		arve	ɑrve
Atmosphere:rain.V		arved	ɑrved
Atmosphere:rainbow.N		äijihtävgi	æijihtævɡi
Atmosphere:sky.N		alme	ɑlme
Atmosphere:thunder.N		juuṛâ	juːrɐ
Atmosphere:thunder.V		čiär'guđ	t͡ʃi̯ærɡuð
Atmosphere:weather.N		šoŋŋâ	ʃoŋːɐ
Atmosphere:wind.N		pieg'gâ	pieɡɡɐ
Belief:deity.N		immeel	imːeːl
Belief:idol.N		kovos	kovos
Belief:spirit.N		vuoi'ŋâ	vuoiŋɐ
Body:arm.N		kie'tâkaaṿâ	kietɐkɑːvɐ
Body:arm.N		kietâ	kietɐ
Body:back.N		selgi	selɡi
Body:back.N		čielgi	t͡ʃielɡi
Body:beard.N		siämu	si̯æmu
Body:belly.N		čuáv'ji	t͡ʃu̯ævji
Body:blood.N		vorrâ	vorːɐ
Body:blow.V		possoođ	posːoːð
Body:body.N		ruumâš	ruːmɐʃ
Body:bone.N		tähti	tæhti
Body:brain.N		vuo'ivâšneh	vuoivɐʃneh
Body:brain.N		vuoi'ŋâšeh	vuoiŋɐʃeh
Body:breast.N		njamma	ɲɑmːɑ
Body:breast.N		njižže	ɲid͡ʒːe
Body:breath.N		vuo'iŋâstim	vuoiŋɐstim
Body:breath.V		vuoi'ŋâđ	vuoiŋɐð
Body:cheek.N		nieṛâ	nierɐ
Body:chest.N		radde	rɑdːe
Body:chin.N		käibi	kæibi
Body:ear.N		pelji	peʎi
