id	style	word	pronunciation
Action:can.V		mä´tted	matːʲɛd
Action:can.V		vuei´tted	vuɛitːʲɛd
Agriculture:herd (something).V		hoi´ddjed	xoidːʲʝʲɛd
Agriculture:irrigate.V		väällad	vaːlːɒd
Agriculture:pick.V		uussâd	uːsːɐd
Agriculture:shovel.N		kuäivv	kuaivːɐ
Animal:Anatidae.N		vuõnjâč	vuəɲɐt͡ʃ
Animal:Annelida.N		määtt	maːtːɐ
Animal:Araneae.N		eeunaž	eːunɒʒ
Animal:Aves.N		lå´dd	lɔdːʲɘ
Animal:Canis lupus familiaris.N		piânnai	piɐnːɒi
Animal:Canis lupus.N		ku´mpp	kumʲpːʲɘ
Animal:Canis lupus.N		pââ´ldes	pɐːlʲdʲɛs
Animal:Corvus.N		vuõrâč	vuərɐt͡ʃ
Animal:Culicidae.N		čuõškk	t͡ʃuəʃkːɐ
Animal:Diptera.N		čuâr	t͡ʃuɐrɐ
Animal:Diptera.N		čuâras	t͡ʃuɐrɒs
Animal:Equus ferus caballus.N		heävaš	xɛavɒʃ
Animal:Felis catus.N		kaass	kɒːsːɐ
Animal:Formicidae.N		kotkk	kotkːɐ
Animal:Gallus gallus domesticus.N		kää´nn	kaːnːʲɘ
Animal:Homo sapiens.N		ooumâž	oːumɐʒ
Animal:Ovis aries.N		sauʒʒ	sɒudd͡zɐ
Animal:Rhopalocera.N		pei´vvlå´dd	pɛivːʲlʲɔdːʲɘ
Animal:Rhopalocera.N		ä´llbaž	alːʲbʲɒʒ
Animal:Sciuridae.N		vuä´r'rev	vuarːʲɛv
Animal:Serpentes.N		ku´vdd	kuvʲdːʲɘ
Animal:Sus scrofa domestica.N		šââ´ǩǩ	ʃɐːcc͡çʲɘ
Animal:Ursidae.N		kue´bǯǯ	kuɛbʲdd͡ʒʲɘ
Animal:Vulpes.N		rie´mjj	riɛmʲʝːʲɘ
Animal:animal.N		jie´lli	ʝiɛlːʲi
Animal:fish.N		kue´ll	kuɛlːʲɘ
Animal:mouse.N		sä´ppli	sapːʲlʲi
Animal:wool.N		oll	olːɐ
Atmosphere:cloud.N		põlvv	pəlvːɐ
Atmosphere:cold.A		čue´cǩes	t͡ʃuɛt͡sʲc͡çʲɛs
Atmosphere:fog.N		sue´lnn	suɛlʲnːʲɘ
Atmosphere:rain.N		â´brr	ɐbʲrːʲɘ
Atmosphere:rain.V		â´brred	ɐbʲrːʲɛd
Atmosphere:rainbow.N		teârmmazjohss	tɛɐrmːɒzʝoxsː
Atmosphere:sky.N		â´lmm	ɐlʲmːʲɘ
Atmosphere:thunder.N		tie´rmes	tiɛrʲmʲɛs
Atmosphere:thunder.V		čeärgged	t͡ʃɛarɡːɛd
Atmosphere:weather.N		šõŋŋ	ʃəŋːɐ
Atmosphere:wind.N		piõg'g	piəɡɡɐ
Belief:deity.N		e´mmel	ɛmːʲɛl
Belief:idol.N		kuâŋas	kuɐŋɒs
Belief:spirit.N		jiõg'g	ʝiəɡɡɐ
Belief:spirit.N		čuu´ddes	t͡ʃuːdːʲɛs
Body:arm.N		ǩiõtt	c͡çiətːɐ
Body:back.N		seä´lǧǧ	sɛalʲɟɟ͡ʝʲɘ
Body:beard.N		seäm	sɛamɐ
Body:belly.N		čåu´jj	t͡ʃɔuʝːʲɘ
Body:blood.N		võrr	vərːɐ
Body:blow.V		piõg'gâd	piəɡɡɐd
Body:blow.V		pååssad	pɔːsːɒd
Body:body.N		rå´pp	rɔpːʲɘ
Body:bone.N		tä´htt	taxʲtːʲɘ
Body:brain.N		vuõivâšn	vuəivɐʃn
Body:breast.N		nje´ǯǯ	ɲɛdd͡ʒʲɘ
Body:breath.N		jiõg'g	ʝiəɡɡɐ
Body:breath.V		vuõiŋŋâd	vuəiŋːɐd
Body:cheek.N		njiõrr	ɲiərːɐ
Body:chest.N		râ´dd	rɐdːʲɘ
Body:chin.N		käi´bb	kaibːʲɘ
Body:ear.N		pe´llj	pɛʎːʲɘ
Body:elbow.N		kõõnjâr	kəːɲɐr
Body:eye.N		čâ´lmm	t͡ʃɐlʲmːʲɘ
Body:face.N		muâđ	muɐðɐ
Body:fat.N		puõi´dd	puəidːʲɘ
Body:feather.N		poʒʒ	podd͡zɐ
Body:finger.N		suõrmm	suərmːɐ
Body:fingernail.N		kõʒʒ	kədd͡zɐ
Body:foot.N		jue´lǧǧ	ʝuɛlʲɟɟ͡ʝʲɘ
Body:footprint.N		ǩiõjj	c͡çiəʝːɐ
Body:forehead.N		käll	kalːɐ
Body:fur.N		torkk	torkːɐ
Body:fur.N		tue´l'lj	tuɛlʲʎɐ
Body:fur.N		čåu´dd	t͡ʃɔudːʲɘ
Body:hair.N		vuõpt	vuəptɐ
Body:hand.N		ǩiõtt	c͡çiətːɐ
Body:head.N		vuei´vv	vuɛivːʲɘ
Body:heart.N		čââ´đ	t͡ʃɐːðʲɘ
Body:heel.N		jue´lǧǧkädd	ʝuɛlʲɟɟ͡ʝʲkʲadː
Body:horn.N		čuä´rvv	t͡ʃuarʲvːʲɘ
Body:jaw.N		vuâl'lõš	vuɐlləʃ
Body:knee.N		puõlvv	puəlvːɐ
Body:leg.N		jue´lǧǧ	ʝuɛlʲɟɟ͡ʝʲɘ
Body:lip.N		põõus	pəːusɐ
Body:liver.N		vuõivâs	vuəivɐs
Body:moustache.N		ää´bben	aːbːʲɛn
Body:mouth.N		njä´lmm	ɲalʲmːʲɘ
Body:nail.N		kõʒʒ	kədd͡zɐ
Body:nape.N		nji´šǩǩmaadd	ɲiʃʲcc͡çʲmʲɒːdː
Body:navel.N		nää´pp	naːpːʲɘ
Body:neck.N		čeäppat	t͡ʃɛapːɒt
Body:nose.N		njuu´nn	ɲuːnːʲɘ
Body:obese.A		pueidaǥ	puɛidɒɣ
Body:palm.N		kuä´m'mer	kuammʲɛr
Body:palm.N		ǩiõttǩeä´m'men	c͡çiətːc͡çɛammʲɛn
Body:shoulder.N		a´rddi	ɒrʲdːʲi
Body:shoulder.N		vuä´lǧǧ	vualʲɟɟ͡ʝʲɘ
Body:skin.N		le´šǩǩ	lɛʃʲcc͡çʲɘ
Body:stomach.N		čåu´jj	t͡ʃɔuʝːʲɘ
Body:tail.N		piä´cciǩ	piatt͡sʲic͡ç
Body:tail.N		sei´bb	sɛibːʲɘ
Body:tear.N		kõõnjâl	kəːɲɐl
Body:tendon.N		suõnn	suənːɐ
Body:throat.N		čoodd	t͡ʃoːdːɐ
Body:toe.N		jue´lǧǧsuõrmm	ʝuɛlʲɟɟ͡ʝʲsʲuərmː
Body:tongue.N		njuhččâm	ɲuxtt͡ʃɐm
Body:tooth.N		pää´nn	paːnːʲɘ
Body:upper leg.N		če´bb	t͡ʃɛbːʲɘ
Body:vein.N		suõnn	suənːɐ
Body:wing.N		suäjj	suaʝːɐ
Body:wound.N		hää´vv	xaːvːʲɘ
Building:board.N		lu´vdd	luvʲdːʲɘ
Building:build.V		raajjâd	rɒːʝːɐd
Building:door.N		uhss	uxsːɐ
Building:floor.N		šâ´ldd	ʃɐlʲdːʲɘ
Building:gate.N		uustõk	uːstək
Building:gate.N		čuâlluhss	t͡ʃuɐlːuxsː
Building:house.N		tääll	taːlːɐ
Building:post.N		kaŋgg	kɒŋɡːɐ
Building:roof.N		laakk	lɒːkːɐ
Building:window.N		ikkân	ikːɐn
Cleaning:broom.N		västt	vastːɐ
Cleaning:clean (sth).V		puu´ttsted	puːtːʲsʲtʲɛd
Cleaning:clean (sth).V		čiisteed	t͡ʃiːsteːd
Cleaning:clean.A		puu´ttes	puːtːʲɛs
Cleaning:dirt.N		sähss	saxsːɐ
Cleaning:dirty.A		sähssai	saxsːɒi
Cleaning:sweep.V		seekksted	seːkːstɛd
Cleaning:sweep.V		västtad	vastːɒd
Cleaning:wash (oneself).V		põõuuõõttâd	pəːuːəːtːɐd
Cleaning:wash.V		põõssâd	pəːsːɐd
Cleaning:wipe.V		sekkad	sɛkːɒd
Clothing:belt.N		puäǥǥanj	puaɣːɒɲ
Clothing:boot.N		sa´ppi	sɒpːʲi
Clothing:button.N		puäll	pualːɐ
Clothing:cap.N		keä´p'per	kɛapʲpɛr
Clothing:cloth.N		aaunâs	ɒːunɐs
Clothing:clothes.N		piiutâs	piːutɐs
Clothing:collar.N		seäp'plõs	sɛappləs
Clothing:dress up.V		teâvõõttâd	tɛɐvəːtːɐd
Clothing:dye.V		päinnad	painːɒd
Clothing:dye.V		ǩe´rjjeed	c͡çɛrʲʝːʲeːd
Clothing:knit.V		kåå´đđed	kɔːðːʲɛd
Clothing:leather.N		čåu´dd	t͡ʃɔudːʲɘ
Clothing:naked.A		päälljas	paːʎːɒs
Clothing:needle.N		neu´ll	nɛulːʲɘ
Clothing:put on.V		nââ´ǩǩted	nɐːcc͡çʲtʲɛd
Clothing:put on.V		čouggâd	t͡ʃouɡːɐd
Clothing:scarf or turban.N		ree´ppiǩ	reːpːʲic͡ç
Clothing:scarf or turban.N		re´ppiǩ	rɛpːʲic͡ç
Clothing:sew.V		kuärrad	kuarːɒd
Clothing:shirt.N		päidd	paidːɐ
Clothing:shoe.N		kaammi	kɒːmːi
Clothing:sleeve.N		suäjj	suaʝːɐ
Clothing:thread.N		lääi´j	laːiʝʲɘ
Clothing:towel.N		seekkldõs	seːkːldəs
Clothing:towel.N		u´tree´lniǩ	utʲrʲeːlʲnʲic͡ç
Clothing:trousers.N		puus	puːsɐ
Clothing:undress.V		jä´hssed	ʝaxʲsːʲɛd
Clothing:undress.V		nõõllâd	nəːlːɐd
Cognition:familiar.A		toobdâs	toːbdɐs
Cognition:true.A		tuõtt	tuətːɐ
Cognition:truth.N		tuõđâšvuõtt	tuəðɐʃvuətː
Cognition:wake up (tr).V		counnâd	t͡sounːɐd
Cognition:wake up.V		mårrned	mɔrːnɛd
Combat:brawl.V		tuärrad	tuarːɒd
Combat:fight.N		tuärrmõš	tuarːməʃ
Combat:strike (sb).V		čâ´cǩǩed	t͡ʃɐt͡sʲcc͡çʲɛd
Combat:violence.N		pâ´elviõkk	pɐɛlviəkː
Combat:win.V		vuei´tted	vuɛitːʲɛd
Communication:boast.V		kuärggõõttâd	kuarɡːəːtːɐd
Communication:book.N		ǩe´rjj	c͡çɛrʲʝːʲɘ
Communication:call.V		kåččad	kɔtt͡ʃɒd
Communication:call.V		čuârvvad	t͡ʃuɐrvːɒd
Communication:chat.V		maainsted	mɒːinstɛd
Communication:convey (a message).V		tie´đted	tiɛðʲtʲɛd
Communication:fairy tale.N		maainâs	mɒːinɐs
Communication:kiss.V		cu´mmsted	t͡sumːʲsʲtʲɛd
Communication:kiss.V		cu´mmstõõllâd	t͡sumːʲsʲtʲəːlːɐd
Communication:language.N		ǩiõll	c͡çiəlːɐ
Communication:laugh.V		påǥsted	pɔɣstɛd
Communication:laughter.N		smiâhh	smiɐxːɐ
Communication:letter.N		ǩe´rjj	c͡çɛrʲʝːʲɘ
Communication:lie.N		ǩee´lesvuõtt	c͡çeːlʲɛsvuətː
Communication:newspaper.N		ga´zaat	ɡɒzʲɒːt
Communication:newspaper.N		listt	listːɐ
Communication:talk.V		mainsted	mɒinstɛd
Communication:tell.V		maainsted	mɒːinstɛd
Communication:translate.V		jåårǥlâ´tted	ʝɔːrɣlɐtːʲɛd
Communiction:call.N		čuârvvmoš	t͡ʃuɐrvːmoʃ
Cosmos:Sun.N		pei´vv	pɛivːʲɘ
Cosmos:moon.N		mään	maːnɐ
Cosmos:set.V		lue´štted	luɛʃʲtːʲɛd
Cosmos:star.N		tä´snn	tasʲnːʲɘ
Degree:very.ADV		sami	sɒmi
Degree:very.ADV		čuu´t	t͡ʃuːtʲɘ
Element:Ag.N		silbb	silbːɐ
Element:Au.N		kå´ll	kɔlːʲɘ
Element:Fe.N		ru´vdd	ruvʲdːʲɘ
Emotion:be angry.V		suttâd	sutːɐd
Emotion:cry.V		reäkkad	rɛakːɒd
Emotion:evil.A		ilbbâd	ilbːɐd
Emotion:evil.A		paas	pɒːsɐ
Emotion:fear.V		põõllâd	pəːlːɐd
Emotion:gentle.A		heä´nn	xɛanːʲɘ
Emotion:grief.N		pe´ccel	pɛtt͡sʲɛl
Emotion:happiness.N		lekk	lɛkːɐ
Emotion:happiness.N		vuâ´ss	vuɐsːʲɘ
Emotion:like.V		tu´ǩǩeed	tucc͡çʲeːd
Emotion:longing.N		haall	xɒːlːɐ
Emotion:love.V		rä´ǩsted	rac͡çʲsʲtʲɛd
Emotion:merry.A		hää´sǩ	xaːsʲc͡çʲɘ
Emotion:merry.A		viä´s'sel	viasʲsɛl
Emotion:move.V		likktõõllâd	likːtəːlːɐd
Emotion:sad.A		â´ǩǩed	ɐcc͡çʲɛd
Emotion:want.V		tättad	tatːɒd
Family:aunt.N		kuä´sǩǩ	kuasʲcc͡çʲɘ
Family:aunt.N		sie´ss	siɛsːʲɘ
Family:brother.N		vi´llj	viʎːʲɘ
Family:daughter.N		nijdd	niʝdːɐ
Family:family.N		piâr	piɐrɐ
Family:father.N		e´čč	ɛtt͡ʃʲɘ
Family:grandfather.N		ä´jj	aʝːʲɘ
Family:grandmother.N		äkk	akːɐ
Family:grandmother.N		ä´ǩǩ	acc͡çʲɘ
Family:husband.N		kuõjj	kuəʝːɐ
Family:mother.N		jeä´n'n	ʝɛanʲnɐ
Family:parents.N		puär'raz	puarːɒz
Family:sister.N		vuä´b'b	vuabʲbɐ
Family:son.N		pä´rnn	parʲnːʲɘ
Family:son.N		â´lǧǧ	ɐlʲɟɟ͡ʝʲɘ
Family:uncle.N		jään	ʝaːnɐ
Family:uncle.N		čia´cc	t͡ʃiɒtt͡sʲɘ
Family:wife.N		ä´ǩǩ	acc͡çʲɘ
Food:Camellia sinensis.N		čee	t͡ʃeːɐ
Food:NaCl.N		sä´ltt	salʲtːʲɘ
Food:bake.V		vää´l'jed	vaːlʲʝɛd
Food:soup.N		liõmm	liəmːɐ
Form:bend (sth).V		soojted	soːʝtɛd
Form:bend.V		kå´mrded	kɔmʲrʲdʲɛd
Form:bend.V		njikklõõttâd	ɲikːləːtːɐd
Function:1PL.PRO		mij	miʝɐ
Function:1SG.PRO		mon	monɐ
Function:2PL.PRO		tij	tiʝɐ
Function:2SG.PRO		ton	tonɐ
Function:3PL.PRO		sij	siʝɐ
Function:3SG M.PRO		son	sonɐ
Function:and.CNJ		di	diɐ
Function:here.ADV		ta´ltte	tɒlʲtːʲɛ
Function:here.ADV		tää	taːɐ
Function:how many.PRO		kâ´ll	kɐlːʲɘ
Function:how.PRO		mä´htt	maxʲtːʲɘ
Function:not.PTCL		ij	iʝɐ
Function:or.CNJ		avi	ɒvi
Function:or.CNJ		le´be	lɛbʲɛ
Function:other.PRO		jee´res	ʝeːrʲɛs
Function:other.PRO		nu´bb	nubːʲɘ
Function:that.PRO		tõt	tətɐ
Function:there.ADV		to´ben	tobʲɛn
Function:this.PRO		tiett-aa	tiɛtːɒː
Function:this.PRO		tät	tatɐ
Function:what.PRO		mii	miːɐ
Function:where.PRO		ko´st	kosʲtʲɘ
Function:who.PRO		kåå´tt	kɔːtːʲɘ
Function:who.PRO		ǩii	c͡çiːɐ
Function:why.PRO		mää´nn	maːnːʲɘ
Function:why.PRO		mõõzz	məːzːɐ
Grooming:comb.N		čååǥǥam	t͡ʃɔːɣːɒm
Grooming:comb.V		čååkkad	t͡ʃɔːkːɒd
Grooming:decorate.V		heärvted	xɛarvtɛd
Grooming:mirror.N		suei´mkar	suɛimʲkʲɒr
Grooming:ring.N		suõrmâs	suərmɐs
Handiwork:glue.V		li´jmmjed	liʝʲmːʲʝʲɛd
Handiwork:nail.N		näu´ll	naulːʲɘ
Handiwork:repair.V		teevvad	teːvːɒd
Handiwork:ware.N		kälvv	kalvːɐ
Handiwork:ware.N		tä´vver	tavːʲɛr
Handiwork:worker.N		reâugglaž	rɛɐuɡːlɒʒ
Health:become sick.V		puâc'cjed	puɐt͡st͡sʝɛd
Health:disease.N		kõpp	kəpːɐ
Health:disease.N		puõccmoš	puətt͡smoʃ
Health:fever.N		žaar	ʒɒːrɐ
Health:healthy.A		tiõrvâsvuõtt	tiərvɐsvuətː
Health:medicine.N		taalkâs	tɒːlkɐs
Health:physician.N		dåhttar	dɔxtːɒr
Health:recover.V		jäll'jed	ʝalːʝɛd
Health:recover.V		tooidâd	toːidɐd
House:bed.N		sââ´jj	sɐːʝːʲɘ
House:blanket.N		räänn	raːnːɐ
House:cradle.N		vogga	voɡːɒ
House:pillow.N		pee´ren	peːrʲɛn
House:pillow.N		pooddâšǩ	poːdːɐʃc͡ç
Hunting:fishing.V		kue´llšeed	kuɛlːʲʃʲeːd
Hunting:hunt.V		miä´csted	miat͡sʲsʲtʲɛd
Interaction:choose.V		vaalšed	vɒːlʃɛd
Interaction:choose.V		va´lljeed	vɒʎːʲeːd
Interaction:rescue.V		ka´jjeed	kɒʝːʲeːd
Mind:dream.N		nââ´er	nɐːɛrɐ
Motion:arrive.V		pue´tted	puɛtːʲɛd
Motion:bring.V		pu´htted	puxʲtːʲɛd
Motion:carry.V		kue´d'ded	kuɛdʲdɛd
Motion:catch.V		tää´vted	taːvʲtʲɛd
Motion:climb.V		kuärŋŋad	kuarŋːɒd
Motion:come back.V		mä´cced	matt͡sʲɛd
Motion:come.V		pue´tted	puɛtːʲɛd
Motion:creep.V		piä´ǩǩed	piacc͡çʲɛd
Motion:drag.V		nje´ʒʒed	ɲɛdd͡zʲɛd
Motion:drop (something).V		kõõččted	kəːtt͡ʃtɛd
Motion:drop (something).V		rõpsted	rəpstɛd
Motion:enter.V		čaaŋŋâd	t͡ʃɒːŋːɐd
Motion:fall.V		kõččâd	kətt͡ʃɐd
Motion:fall.V		viõr'rled	viərːlɛd
Motion:fly.V		ǩe´rdded	c͡çɛrʲdːʲɛd
Motion:go.V		jåå´tted	ʝɔːtːʲɛd
Motion:go.V		mõõnnâd	məːnːɐd
Motion:leave.V		vue´lǧǧed	vuɛlʲɟɟ͡ʝʲɛd
Motion:leave.V		võiddâd	vəidːɐd
Motion:lift.V		kuåstteed	kuɔstːeːd
Motion:move (oneself).V		liikkeed	liːkːeːd
Motion:move (oneself).V		likkâd	likːɐd
Motion:raise.V		kaggâd	kɒɡːɐd
Motion:raise.V		pââ´jeed	pɐːʝʲeːd
Motion:step.V		lau´ǩǩeed	lɒucc͡çʲeːd
Motion:swing (sth).V		heeilted	xeːiltɛd
Motion:swing.V		heillad	xɛilːɒd
Motion:take a walk.V		vä´ʒʒed	vadd͡zʲɛd
Motion:turn (sth).V		jåårǥlâ´tted	ʝɔːrɣlɐtːʲɛd
Motion:walk.N		jäl'lmõš	ʝallməʃ
Music:sing.V		läullad	laulːɒd
Music:song.N		laaul	lɒːulɐ
Music:tone.N		suõmm	suəmːɐ
Nature:river.N		jeänn	ʝɛanːɐ
Nature:river.N		jokk	ʝokːɐ
Nature:sea.N		miârr	miɐrːɐ
Nature:shore of lake.N		redd	rɛdːɐ
Nature:slope.N		vie´ltt	viɛlʲtːʲɘ
People:boy.N		pä´rnn	parʲnːʲɘ
People:boy.N		â´lǧǧ	ɐlʲɟɟ͡ʝʲɘ
People:child.N		pä´rnn	parʲnːʲɘ
People:child.N		päärnaž	paːrnɒʒ
People:girl.N		nijdd	niʝdːɐ
People:man.N		åålm	ɔːlmɐ
People:people.N		aalmi	ɒːlmi
People:woman.N		neezzan	neːzːɒn
Perception:feel.V		tobddâd	tobdːɐd
Perception:hear or listen.V		kuullâd	kuːlːɐd
Perception:hear.V		kuullâd	kuːlːɐd
Perception:touch.V		kuõskted	kuəsktɛd
Perception:touch.V		njaauksted	ɲɒːukstɛd
Plant:Betula.N		suâ´ǩǩ	suɐcc͡çʲɘ
Plant:branch.N		å´hss	ɔxʲsːʲɘ
Plant:flower.N		heä´rvvrää´ss	xɛarʲvːʲrʲaːsːʲɘ
Plant:leaf.N		lõstt	ləstːɐ
Plant:root.N		vue´ddes	vuɛdːʲɛs
Plant:seed.N		siõm	siəmɐ
Plant:tree trunk.N		stokk	stokːɐ
Plant:tree.N		muõrr	muərːɐ
Plant:twig.N		sue´rr	suɛrːʲɘ
Possession:abandon.V		kue´đđed	kuɛðːʲɛd
Possession:gift.N		sǩiâŋkk	sc͡çiɐŋkːɐ
Possession:poor.A		ǩeeu´h	c͡çeːuxʲɘ
Possession:price.N		hâ´dd	xɐdːʲɘ
Possession:rich.A		ree´ǧǧes	reːɟɟ͡ʝʲɛs
Possession:sell.V		kaaupšed	kɒːupʃɛd
Quantity:1.NUM		õhtt	əxtːɐ
Quantity:10.NUM		lååi	lɔːiɐ
Quantity:100.NUM		čue´tt	t͡ʃuɛtːʲɘ
Quantity:1000.NUM		dohat	doxɒt
Quantity:11.NUM		õhttmlo	əxtːmlo
Quantity:11.NUM		õtmlo	ətmlo
Quantity:12.NUM		kuâhttmlo	kuɐxtːmlo
Quantity:12.NUM		kuâtmlo	kuɐtmlo
Quantity:2.NUM		kuõ´htt	kuəxʲtːʲɘ
Quantity:20.NUM		kuâhttlo	kuɐxtːlo
Quantity:3.NUM		koumm	koumːɐ
Quantity:30.NUM		koummlo	koumːlo
Quantity:4.NUM		nellj	nɛʎːɐ
Quantity:40.NUM		nelljlo	nɛʎːlo
Quantity:5.NUM		vitt	vitːɐ
Quantity:50.NUM		vittlo	vitːlo
Quantity:6.NUM		kutt	kutːɐ
Quantity:60.NUM		kuttlo	kutːlo
Quantity:7.NUM		čiččâm	t͡ʃitt͡ʃɐm
Quantity:70.NUM		čičmlo	t͡ʃit͡ʃmlo
Quantity:8.NUM		kääu´c	kaːut͡sʲɘ
Quantity:80.NUM		kä´hcclo	kaxʲtt͡sʲlʲo
Quantity:9.NUM		å´hcc	ɔxʲtt͡sʲɘ
Quantity:90.NUM		å´hcclo	ɔxʲtt͡sʲlʲo
Quantity:a little.A		occanj	ott͡sɒɲ
Quantity:a little.A		simmna	simːnɒ
Quantity:add.V		lââ´zzted	lɐːzːʲtʲɛd
Quantity:decrease.V		ǩeäp'pned	c͡çɛappnɛd
Quantity:empty.A		kuâras	kuɐrɒs
Quantity:fill.V		tiudded	tiudːɛd
Quantity:full.A		tiiudas	tiːudɒs
Quantity:increase.V		šõkkned	ʃəkːnɛd
Society:help.N		veä´ǩ'ǩ	vɛacc͡çʲɘ
Society:people.N		aalmi	ɒːlmi
Sound:chime.V		čuõjjâd	t͡ʃuəʝːɐd
Sound:howl.V		ålvvad	ɔlvːɒd
Sound:make noise.V		ruõjjâd	ruəʝːɐd
Sound:rustle (of leaves).V		šuumeed	ʃuːmeːd
Sound:shout.V		čuârvvad	t͡ʃuɐrvːɒd
Sound:sound (of instrument or voice).V		koll'jed	kolːʝɛd
Sound:voice.N		jiõnn	ʝiənːɐ
Sound:whistle.V		njorggad	ɲorɡːɒd
