id	style	word
PLX:1PL EXCL.pro		nosotros/nosotras (exclusivo)
PLX:1PL INCL.pro		nosotros/nosotras (inclusivo)
PLX:1PL POSS.pro		nuestro
PLX:1PL.pro		nosotros
PLX:1PL.pro		nosotros/ nosotras
PLX:1SG POSS.pro		mi
PLX:1SG.pro		yo
PLX:2PL POSS.pro		vuestro
PLX:2PL.pro		ustedes
PLX:2SG POSS.pro		tu
PLX:2SG.pro		tú
PLX:2SG.pro		tú, usted
PLX:2SG.pro		usted
PLX:3PL.pro		ellos o ellas
PLX:3PL.pro		ellos, ellas
PLX:3SG.pro		él o ella
PLX:3SG.pro		él/ella/ello
PLX:God willing.phr		ojalá
PLX:God willing.phr		si Dios quiere
PLX:Pan-African.a		panafricano
PLX:Pan-American.a		panamericano
PLX:Pan-Asian.a		panasiano
PLX:Pan-European.a		paneuropeo
PLX:Solanum oblongifolium.n		pigala
PLX:Vaccinium mortinia.n		mortiño
PLX:after.pp		después de
PLX:aha.int		ajá
PLX:and.cnj		y
PLX:antifascism.n		antifascismo
PLX:at.pp		a
PLX:at.pp		a, en
PLX:at.pp		en
PLX:be late.v		demorar
PLX:because.cnj		porque
PLX:before.pp		antes
PLX:behind.pp		atrás, detrás de
PLX:beside.pp		al lado de
PLX:between.pp		entre
PLX:bon voyage.int		adiós
PLX:can.v		saber
PLX:carry in hand.v		llevar en la mano
PLX:carry on head.v		llevar sobre la cabeza
PLX:carry on shoulder.v		llevar a la espalda/ en el hombro
PLX:carry under arm.v		llevar bajo el brazo
PLX:daughter-in-law (of man).n		nuera (de hombre)
PLX:daughter-in-law (of woman).n		nuera (de mujer)
PLX:day after tomorrow.adv		pasado mañana
PLX:day before yesterday.adv		anteayer
PLX:during.pp		durante
PLX:everyone.pro		todas las personas
PLX:everything.pro		todas las cosas
PLX:fall silent.v		callarse
PLX:father's brother.n		hermano (del padre)
PLX:father's sister.n		hermana (del padre)
PLX:father-in-law (of man).n		suegro (de hombre)
PLX:father-in-law (of woman).n		suegro (de mujer)
PLX:fermented alcohol.n		bebida fermentada
PLX:fish poison root.n		veneno (raíz), barbasco
PLX:fish trap.n		nasa
PLX:from.pp		de
PLX:from.pp		desde
PLX:haha.int		jaja
PLX:head hair.n		cabello, pelo
PLX:hello.int		aló
PLX:hello.int 		hola
PLX:hey.int		hey
PLX:hey.int		oye
PLX:how many pieces.pro		¿cuántos?
PLX:how many.pro		cuántos
PLX:how much.pro		¿cuánto?
PLX:how.pro		cómo
PLX:how.pro		¿cómo?
PLX:if.cnj		si
PLX:in front of.pp		delantero, delante de
PLX:in.pp		en
PLX:inside.pp		adentro
PLX:men's house.n		casa de hombres
PLX:mother's brother.n		hermano (de la madre)
PLX:mother's sister.n		hermana (de la madre)
PLX:mother-in-law (of man).n		suegra (de hombre)
PLX:mother-in-law (of woman).n		suegra (de mujer)
PLX:netbag.n		bolsa de malla
PLX:nothing.pro		nada
PLX:oganesson.n		oganesón
PLX:okay.n.01		OK
PLX:okay.n.01		de acuerdo
PLX:okay.n.01		ok
PLX:okay.n.01		okey
PLX:okay.n.01		vale
PLX:or.cnj		o
PLX:other.pro		otro
PLX:outside.pp		afuera, exterior
PLX:ramen.n		ramen
PLX:someone.pro		algién
PLX:son-in-law (of man).n		yerno(de hombre)
PLX:son-in-law (of woman).n		yerno (de mujer)
PLX:stab to death.v		apuñalar
PLX:tennessine.n		teneso
PLX:than.pp		como
PLX:than.pp		en comparación con
PLX:than.pp		que
PLX:thanks.int		gracias
PLX:this.pro		este
PLX:to.pp		a
PLX:to.pp		hacia
PLX:under.pp		debajo
PLX:welcome.int		bienvenido
PLX:what.pro		cuál
PLX:what.pro		cuál cosa
PLX:what.pro		qué
PLX:what.pro		¿qué?
PLX:when.pro		cuándo
PLX:when.pro		¿cuándo?
PLX:where.pro		dónde
PLX:where.pro		¿dónde?
PLX:which Q.pro		¿cuál?
PLX:who.pro		quién
PLX:who.pro		¿quién?
PLX:why.pro		¿por qué?
PLX:with.pp		común
PLX:with.pp		con
PLX:yes.ptcl		sí
PWN:abandon.v.01		abandonar
PWN:abandon.v.02		abandonar
PWN:abandon.v.04		abandonar
PWN:abandon.v.04		renunciar
PWN:abate.v.02		ceder
PWN:abdomen.n.01		barriga
PWN:abdomen.n.01		estómago
PWN:abdomen.n.01		vientre
PWN:ability.n.01		aptitud
PWN:ability.n.02		capacidad
PWN:ability.n.02		ingenio
PWN:ability.n.02		poder
PWN:able.s.02		capaz
PWN:abnormality.n.01		anomalía
PWN:abnormality.n.01		anormalidad
PWN:abort.v.01		interrumpir
PWN:abortion.n.01		aborto
PWN:abortion.n.01		aborto inducido
PWN:about.r.07		aproximadamente
PWN:about.r.07		casi
PWN:about.r.07		cerca
PWN:above.r.02		alto
PWN:abrasion.n.01		roce
PWN:abridge.v.01		contraer
PWN:abridge.v.01		encoger
PWN:abridge.v.01		reducir
PWN:absence.n.02		ausencia
PWN:absent.a.01		ausente
PWN:absorb.v.04		absorber
PWN:absorb.v.09		absorber
PWN:absorb.v.09		atraer
PWN:absorb.v.09		ocupar
PWN:abstain.v.02		abstenerse
PWN:abstain.v.02		dejar
PWN:abstain.v.02		desistir
PWN:abstain.v.02		inhibirse
PWN:abstinence.n.02		abstinencia
PWN:abstractedness.n.01		abstracción
PWN:abstraction.n.01		abstracción
PWN:abstraction.n.06		abstracción
PWN:absurdity.n.02		desatino
PWN:absurdity.n.02		fatuidad
PWN:absurdity.n.02		majadería
PWN:absurdity.n.02		ridiculez
PWN:abuse.n.02		insulto
PWN:academician.n.03		lector
PWN:academician.n.03		profesor
PWN:accelerate.v.01		acelerar
PWN:accelerate.v.01		apresurar
PWN:accept.v.01		aceptar
PWN:accept.v.02		aceptar
PWN:accept.v.02		querer
PWN:accept.v.03		aceptar
PWN:accept.v.04		aceptar
PWN:accept.v.05		aceptar
PWN:accept.v.05		admitir
PWN:accept.v.08		aguantar
PWN:accept.v.08		soportar
PWN:accept.v.08		sostener
PWN:accept.v.09		aceptar
PWN:access.n.03		acceso
PWN:access.n.03		entrada
PWN:access.n.03		paso
PWN:access.v.01		acceder
PWN:accident.n.01		accidente
PWN:accident.n.02		accidente
PWN:accident.n.02		azar
PWN:accident.n.02		casualidad
PWN:accident.n.02		coincidencia
PWN:accompany.v.02		acompañar
PWN:accomplishment.n.01		logro
PWN:accomplishment.n.01		realización
PWN:account.v.02		calcular
PWN:account.v.02		contar
PWN:acculturation.n.02		cultura
PWN:accumulation.n.03		acumulación
PWN:accumulation.n.04		acumulación
PWN:accurate.s.02		exacto
PWN:accurate.s.02		perfecto
PWN:accurate.s.02		preciso
PWN:accuse.v.01		acusar, denunciar
PWN:accustomed.s.02		habitual
PWN:accustomed.s.02		ordinario
PWN:ace.n.03		as
PWN:ace.n.03		crack
PWN:ace.n.03		diestro
PWN:ace.n.03		ducho
PWN:ace.n.03		estrella
PWN:ace.n.03		genio
PWN:ace.n.03		hacha
PWN:ace.n.03		virutoso
PWN:acerate_leaf.n.01		aguja
PWN:acerate_leaf.n.01		hoja aciculada
PWN:acerate_leaf.n.01		hoja acicular
PWN:acetylene.n.01		alquino
PWN:ache.v.02		doler
PWN:achieve.v.01		alcanzar
PWN:achieve.v.01		lograr
PWN:acid.n.01		ácido
PWN:acid.s.03		ácido
PWN:acknowledge.v.02		acusar el recibo
PWN:acknowledge.v.02		acusar la recepción
PWN:acknowledgment.n.03		reconocimiento
PWN:acme.n.01		auge
PWN:acme.n.01		cima
PWN:acme.n.01		pico
PWN:acorn.n.01		bellota
PWN:acquaintance.n.03		amistad
PWN:acquiring.n.01		adquisición
PWN:acquisition.n.02		adquisición
PWN:acquit.v.01		absolver,exculpar
PWN:acquit.v.01		descargar
PWN:act.n.01		acta
PWN:act.n.01		ley
PWN:act.n.02		acción
PWN:act.n.02		acto
PWN:act.n.04		número
PWN:act.v.01		actuar
PWN:act.v.01		hacer
PWN:act.v.02		actuar
PWN:act.v.02		comprtarse
PWN:act.v.02		hacer
PWN:act.v.02		obrar
PWN:act.v.03		representar
PWN:act_of_god.n.01		fuerza mayor
PWN:acting.n.01		actuación
PWN:acting.n.01		dramatización
PWN:acting.n.01		interpretación
PWN:acting.n.01		representación
PWN:actinium.n.01		actinio
PWN:action.n.01		acción
PWN:action.n.01		acto
PWN:action.n.01		hecho
PWN:action.n.02		acción
PWN:action.n.02		actividad
PWN:active.a.06		activo
PWN:active.a.07		activo
PWN:activeness.n.02		actividad
PWN:activity.n.01		actividad
PWN:actor.n.01		actor
PWN:actor.n.01		actor dramático
PWN:actor.n.01		actriz
PWN:actor.n.01		actuación
PWN:actor.n.01		artista
PWN:actor.n.01		comediante
PWN:actor.n.01		ejecutor teatral
PWN:actor.n.01		histrionista
PWN:actor.n.01		histrión
PWN:actor.n.01		intérprete
PWN:actor.n.02		factor
PWN:actuality.n.01		realidad
PWN:acute.s.02		agudo
PWN:acute.s.02		intenso
PWN:acute.s.03		agudo
PWN:acute.s.03		fino
PWN:acute.s.03		penetrante
PWN:ad.n.01		anuncio
PWN:ad.n.01		spot
PWN:adapt.v.01		acomodar
PWN:adapt.v.01		adaptar
PWN:add.v.01		adicionar
PWN:add.v.01		agregar
PWN:add.v.01		añadir
PWN:addition.n.03		aumento
PWN:addition.n.03		incremento
PWN:addle.v.01		confundir
PWN:addle.v.01		desconcertar
PWN:addle.v.01		embarullar
PWN:addle.v.01		embrollar
PWN:addle.v.01		enredar
PWN:addle.v.01		mezclar
PWN:address.n.02		dirección
PWN:address.n.03		dirección
PWN:address.n.03		discurso
PWN:address.n.03		pronunciar un discurso
PWN:address.n.06		destino
PWN:address.n.06		dirección
PWN:address.v.09		llamar
PWN:adhere.v.06		adherir
PWN:adhere.v.06		adherirse
PWN:adhere.v.06		asociarse
PWN:adhere.v.06		atar
PWN:adhere.v.06		incorporarse
PWN:adhere.v.06		liar
PWN:adhere.v.06		ligarse
PWN:adhere.v.06		pegar
PWN:adhere.v.06		pegarse
PWN:adhere.v.06		unirse
PWN:adhere.v.06		vincular
PWN:adjust.v.01		ajustar
PWN:adjust.v.01		colocar
PWN:adjust.v.01		corregir
PWN:administer.v.01		administrar
PWN:administer.v.04		administrar
PWN:administer.v.04		dispensar
PWN:administration.n.01		administración
PWN:administration.n.01		disposición
PWN:administration.n.01		gestión
PWN:administration.n.01		regulación
PWN:administration.n.02		administración
PWN:administration.n.02		gobernanza
PWN:administration.n.02		organización
PWN:administrative_district.n.01		distrito administrativo
PWN:administrative_district.n.01		división administrativa
PWN:administrative_district.n.01		división territorial
PWN:administrative_unit.n.01		cuerpo administrativo
PWN:administrative_unit.n.01		unidad administrativa
PWN:administrator.n.01		administrador
PWN:admire.v.01		admirar
PWN:admire.v.02		admirar
PWN:admit.v.01		admitir
PWN:admit.v.01		admitir, confesar,reconocer
PWN:admit.v.01		reconocer
PWN:admit.v.02		admitir
PWN:admit.v.03		admitir
PWN:admit.v.03		incluir
PWN:admit.v.03		integrar
PWN:adobe.n.02		adobe
PWN:adopt.v.01		adoptar
PWN:adopt.v.01		seguir
PWN:adopt.v.01		tomar
PWN:adornment.n.01		adorno
PWN:adornment.n.01		adorno,ornato
PWN:adult.n.01		adulta
PWN:adult.n.01		adulto
PWN:adult.n.01		mayor
PWN:adult.n.01		persona mayor
PWN:adultery.n.01		adulterio
PWN:adultery.n.01		conversación criminal
PWN:adultery.n.01		fornicación
PWN:advance.n.06		alza
PWN:advance.n.06		subida
PWN:advance.v.02		avanzar
PWN:advance.v.02		exponer
PWN:advance.v.02		proponer
PWN:advance.v.02		propugnar
PWN:advance.v.12		adelantar
PWN:advance.v.12		aumentar
PWN:advancement.n.03		adelanto
PWN:advancement.n.03		progreso
PWN:advantage.n.01		delantera
PWN:advantage.n.01		superioridad
PWN:advantage.n.01		ventaja
PWN:adventure.n.01		aventura
PWN:adventure.n.01		aventura riesgosa
PWN:adventure.n.01		empresa peligrosa
PWN:adventure.n.01		escapada
PWN:advertise.v.01		anunciar
PWN:advertise.v.01		publicitar
PWN:advice.n.01		advertencia
PWN:advice.n.01		advice
PWN:advice.n.01		consejo
PWN:advocate.n.01		defensor
PWN:advocate.n.01		partidario
PWN:adz.n.01		azuela
PWN:aerobic.a.01		aeróbico
PWN:affair.n.02		amor
PWN:affair.n.02		amorío
PWN:affair.n.02		asunto
PWN:affair.n.02		aventura
PWN:affair.n.02		enlace
PWN:affair.n.02		implicación
PWN:affair.n.02		intimidad
PWN:affair.n.03		acontecimiento
PWN:affair.n.03		acto
PWN:affair.n.03		acto social
PWN:affair.n.03		ocasión
PWN:affair.n.03		suceso
PWN:affect.n.01		afecto
PWN:affect.v.01		afectar
PWN:affect.v.01		conmover
PWN:affect.v.02		afectar
PWN:affect.v.05		afectar
PWN:affection.n.01		afección
PWN:affection.n.01		afectividad
PWN:affection.n.01		afecto
PWN:affection.n.01		cariño
PWN:affection.n.01		simpatía
PWN:affection.n.01		ternura
PWN:affinity.n.04		afinidad
PWN:affinity.n.04		relación
PWN:affirm.v.02		afirmar
PWN:affirm.v.03		afirmar
PWN:affliction.n.03		sufrimiento
PWN:affluence.n.01		afluencia
PWN:affluence.n.01		riqueza
PWN:afternoon.n.01		tarde
PWN:again.r.01		de nuevo
PWN:again.r.01		otra vez
PWN:again.r.01		una vez más
PWN:age.n.01		edad
PWN:age.n.03		edad
PWN:agency.n.01		agencia
PWN:agency.n.01		departamento
PWN:agency.n.01		oficina
PWN:agency.n.02		agencia
PWN:agent.n.02		agente
PWN:agent.n.04		agente
PWN:agent.n.05		agente
PWN:agent.n.05		agente federal
PWN:agglomeration.n.01		aglomeración
PWN:aggrandizement.n.01		ascenso
PWN:aggression.n.03		agresión
PWN:agitation.n.05		agitación
PWN:agree.v.01		coincidir
PWN:agreement.n.03		acuerdo
PWN:agreement.n.03		armonía
PWN:agreement.n.04		acuerdo
PWN:agreement.n.06		acuerdo
PWN:agrobiology.n.01		agrobiología
PWN:agronomist.n.01		agrónomo
PWN:agronomy.n.01		agronomía
PWN:aid.n.02		asistencia
PWN:aid.n.02		auxilio
PWN:aid.n.02		ayuda
PWN:aid.n.02		socorro
PWN:aid.n.03		apoyo
PWN:aid.n.03		ayuda
PWN:aid.n.03		ayuda exterior
PWN:aim.n.02		meta
PWN:aim.n.02		objetivo
PWN:aim.v.01		apuntar
PWN:aim.v.01		dirigir
PWN:aim.v.01		indicar
PWN:air.n.01		aire
PWN:air.n.06		aire
PWN:airplane.n.01		aeroplano
PWN:airplane.n.01		avión
PWN:airport.n.01		aeropuerto
PWN:alarm.v.02		alarmar
PWN:alcohol.n.01		alcohol
PWN:alcoholic.a.01		alcohólico
PWN:alcoholic.n.01		alcohólico
PWN:alcoholic.n.01		dipsómano
PWN:alga.n.01		alga
PWN:algometry.n.01		algometría
PWN:alike.a.01		igual
PWN:alike.a.01		parecido
PWN:alike.a.01		semejante
PWN:alike.a.01		similar
PWN:alkaline.a.01		alcalino
PWN:alkene.n.01		alqueno
PWN:alkyl.n.01		alquilo
PWN:all.a.01		todo
PWN:allege.v.01		afirmar
PWN:allege.v.01		alegar
PWN:allege.v.01		decir
PWN:allege.v.01		declarar
PWN:allergy.n.01		alergia
PWN:alliance.n.03		alianza
PWN:alliance.n.03		coalición
PWN:alligator.n.02		alligator
PWN:alligator.n.02		cocodrilo, caimán
PWN:allocate.v.01		distribuir
PWN:allocate.v.01		repartir
PWN:allophone.n.01		alófono
PWN:allotment.n.02		repartimiento
PWN:allow.v.03		asentir
PWN:allow.v.03		conceder
PWN:allow.v.03		permitir
PWN:allow.v.06		incluir
PWN:allow.v.06		prever
PWN:alloy.n.01		aleación
PWN:almond.n.01		almendra
PWN:almond.n.02		almendra
PWN:alms.n.01		limosna
PWN:along.r.01		a lo largo
PWN:along.r.01		hacia adelante
PWN:alphabet.n.01		alfabeto
PWN:altar.n.02		altar
PWN:alteration.n.02		alteración
PWN:alteration.n.02		modificación
PWN:alternate.v.01		alternar
PWN:alternatively.r.01		alternativamente
PWN:alternatively.r.01		o si no
PWN:alternatively.r.01		por contraste
PWN:altruism.n.01		altruismo
PWN:aluminum.n.01		al
PWN:aluminum.n.01		aluminio
PWN:aluminum.n.01		número atómico 13
PWN:always.r.01		siempre
PWN:amateur.n.01		aficionado
PWN:amaze.v.01		asombrar
PWN:amaze.v.01		sorprender
PWN:amazed.s.01		atónito
PWN:amazed.s.01		sorprendido
PWN:amazing.s.02		admirable
PWN:amazing.s.02		asombroso
PWN:amazing.s.02		impresionante
PWN:amazing.s.02		increíble
PWN:amazing.s.02		sorprendente
PWN:amazon.n.03		Amazonas
PWN:ambassador.n.01		embajador
PWN:ambition.n.01		ambición
PWN:ambition.n.01		aspiración
PWN:ambition.n.01		pretensión
PWN:ambition.n.01		sueño
PWN:ambition.n.02		ambición
PWN:ambush.n.01		acechar, emboscar
PWN:american.n.03		americano
PWN:american_football.n.01		fútbol americano
PWN:american_football.n.01		fútbol estadounidense
PWN:americium.n.01		americio
PWN:amide.n.01		amida
PWN:amine.n.01		amina
PWN:amortize.v.01		amortizar
PWN:amount.n.02		cantidad
PWN:amount.n.02		cuantía
PWN:amphibian.n.03		amphibia
PWN:amuse.v.01		divertir
PWN:amuse.v.01		entretener
PWN:amusing.s.02		alegre
PWN:amusing.s.02		divertido
PWN:amusing.s.02		gracioso
PWN:anaerobic.a.01		anaeróbico
PWN:anal.a.01		anal
PWN:analgesia.n.01		anagesia
PWN:analyze.v.01		analizar
PWN:analyze.v.01		estudiar
PWN:anarchist.n.01		anarquista
PWN:anarchist.n.01		nihilista
PWN:anarchist.n.01		sindicalista
PWN:ancestor.n.01		ancestro
PWN:ancestor.n.01		antepasado
PWN:ancestor.n.01		antepasados
PWN:ancestor.n.01		ascendente
PWN:anchor.n.01		ancla
PWN:ancient.s.01		antiguo
PWN:android.n.01		androide
