id	style	word	transcription	etymology
PLX:1PL EXCL.pro		u		
PLX:1PL INCL.pro		u		
PLX:1PL.pro		u		
PLX:1SG.pro		mi		
PLX:2PL.pro		un		ibo:unù
PLX:2SG.pro		i		
PLX:3PL.pro		de		
PLX:3SG F.pro		a		
PLX:3SG F.pro		ë́n		
PLX:3SG INAN.pro		a		
PLX:3SG INAN.pro		ë́n		
PLX:3SG M.pro		a		
PLX:3SG M.pro		ë́n		
PLX:3SG.pro		a		
PLX:3SG.pro		ë́n		
PLX:and.cnj		ku		:com
PLX:behind.adp		báka (1)		
PLX:how.pro		unfá		
PLX:if.cnj		ée		
PLX:in front of.adp		a fési		
PLX:or.cnj		násö		
PLX:that.pro		dí [noun] alá		
PLX:that.pro		dí [noun] dë́		
PLX:this.pro		dí [noun] akí		
PLX:under.adp		básu (2)		:(de)baixo
PLX:what.pro		andí		:aní
PLX:where.pro		na unsë́		
PLX:who.pro		ambë́		:mɛ̌/mɛ̌̃
PLX:why.pro		faándí mbéi		
PLX:yes.ptcl		aái		
PWN:abdomen.n.01		bë́ë		
PWN:above.r.02		héi		
PWN:accuse.v.01		kaági		srn:kragi
PWN:act.v.02		dú		
PWN:address.n.03		fan		
PWN:admit.v.01		kó sí		
PWN:adornment.n.01		bisí		:vestir
PWN:adz.n.01		lukwétu		
PWN:afternoon.n.01		sápate		
PWN:again.r.01		báka (1)		
PWN:air.n.01		vë́ntu		:vento
PWN:airplane.n.01		opaláni		srn:opalángi
PWN:all.a.01		híi		srn:heri
PWN:all.a.01		túu		:tudo
PWN:allege.v.01		táki		
PWN:alligator.n.02		akalé		car:akare
PWN:alligator.n.02		gandí		
PWN:alligator.n.02		káima		:Unidentifiable
PWN:alone.r.02		wánwan		
PWN:altar.n.02		gádútáfa		
PWN:always.r.01		nö́ö́mö		
PWN:ambush.n.01		wátji		
PWN:ancestor.n.01		avóavo		
PWN:anchor.n.01		hánka		
PWN:anger.n.02		hátíbóónu		
PWN:animal.n.01		mbéti		
PWN:animation.n.01		líbi		
PWN:ankle.n.01		agófútúwójo		
PWN:announce.v.01		tjá búka kó		
PWN:answer.v.01		píki		
PWN:ant.n.01		hánsi		
PWN:anteater.n.02		walilí		car:wariri
PWN:anxiety.n.02		boókóhédi		
PWN:apparel.n.01		koósu		
PWN:apt.s.03		kö́ni		
PWN:arm.n.01		máun		:mão
PWN:armpit.n.01		básúmáun		
PWN:arrive.v.01		dóu (1)		
PWN:arrive.v.01		kó		
PWN:arrow.n.02		piiwá		car:pyrywa
PWN:artery.n.01		tatái		
PWN:ascend.v.01		subí		:subir
PWN:ash.n.01		síndja		:cinza
PWN:ask.v.02		pidí		:pedir
PWN:ask.v.05		hákísi		
PWN:aunt.n.01		mamásísa		
PWN:ax.n.01		matjáu		:machado
PWN:axle.n.01		masíníási		
PWN:baby.n.01		miíi		
PWN:back.n.01		báka (1)		
PWN:bad.a.01		hógi		
PWN:bad.a.01		pói		
PWN:bad.a.01		taku		
PWN:bait.n.02		béti		
PWN:bake.v.02		báka (2)		srn:baka
PWN:bake.v.02		jasá		:assar
PWN:bald.s.02		buukáhédi		
PWN:ball.n.03		báli		
PWN:bamboo.n.01		bambúsi		
PWN:banana.n.02		bakúba		:Unidentifiable
PWN:bare.s.01		pë́në́pënë		:phééné
PWN:bark.n.01		kákísa		:casca
PWN:basket.n.01		mánda		nld:mand
PWN:bat.n.01		pukusu		:lu-mpukusu
PWN:bat.n.01		takufóo		
PWN:bathe.v.01		wási		
PWN:battery.n.02		batiléífátu		
PWN:battle.n.01		féti		
PWN:bay.n.01		gódo		
PWN:be.v.03		dë́		
PWN:be.v.03		saí		:sair
PWN:be.v.11		vívo		:vivo
PWN:be_born.v.01		nasí		:nascer
PWN:bead.n.01		peéli		
PWN:beak.n.02		búka		:boca
PWN:beam.n.02		báíki		nld:balk
PWN:beam.n.02		bén		
PWN:bean.n.01		alibí		
PWN:beard.n.01		bía		
PWN:beautiful.a.01		hánse		
PWN:become.v.01		kó		
PWN:bed.n.01		bédi		
PWN:bee.n.01		hö́ni		
PWN:beehive.n.04		hö́níwósu		
PWN:beer.n.01		bíi		
PWN:beeswax.n.01		hö́nikáká		
PWN:beget.v.01		paí		:parir
PWN:beggar.n.01		pootíma		
PWN:begin.v.03		bigí		
PWN:beginning.n.01		bigí		
PWN:believe.v.01		biíbi		
PWN:belt.n.02		bánti		nld:band
PWN:belt.n.02		lelibúba		srn:leribuba
PWN:beverage.n.01		diíngi		
PWN:bicycle.n.01		baisígi		eng:bicycle
PWN:big_sister.n.01		gaínsa		
PWN:billy.n.02		kaabíta		:cabrita
PWN:bird.n.01		fóu		
PWN:bite.v.01		nján (1)		wol:njam
PWN:bitter.s.06		bíta		
PWN:black.a.01		baáka		
PWN:blacksmith.n.01		simítima		nld:smid
PWN:blade.n.01		uwíi		
PWN:blanket.n.01		déígi		nld:deken
PWN:blind.a.01		boókówójo		
PWN:blink.v.01		fón wójo		
PWN:blister.n.03		baási		nld:blaas
PWN:blood.n.01		akóni		
PWN:blood.n.01		buúu		
PWN:blood.n.01		gadjabiá		
PWN:blood.n.01		nöngö́		
PWN:blow.v.02		böö́		
PWN:blue.s.01		baáu		nld:blauw
PWN:board.n.02		paánga		
PWN:boast.v.01		nján búka		
PWN:boat.n.01		bóto		
PWN:body.n.01		sínkíi		
PWN:body_hair.n.01		puúma		:pluma
PWN:body_louse.n.01		lósu		
PWN:boil.n.01		bói (2)		
PWN:boil.v.01		bói (1)		
PWN:boil.v.01		fëëbë́		:ferver
PWN:boisterous.s.03		séki		
PWN:bone.n.01		bónu		
PWN:book.n.01		búku		
PWN:boot.n.01		godión		
PWN:bore.v.02		bólu		
PWN:borrow.v.01		léni		
PWN:bottle.n.01		báta		
PWN:bottom.n.02		básu (2)		:(de)baixo
PWN:boundary.n.02		lántímááka		
PWN:bow.n.04		bö́		
PWN:bowl.n.01		apakí		
