id	style	word	pronunciation	etymology
PLX:1PL EXCL.pro		sisi		
PLX:1PL INCL.pro		sisi		
PLX:1PL.pro		sisi		
PLX:1SG.pro		mimi		
PLX:2PL.pro		nyinyi, ninyi		
PLX:2SG.pro		wewe		
PLX:3PL.pro		wao		
PLX:3SG F.pro		yeye		
PLX:3SG INAN.pro		yeye		
PLX:3SG M.pro		yeye		
PLX:3SG.pro		yeye		
PLX:above.pp		juu		
PLX:after.pp		baada		arb:baˁda
PLX:and.cnj		na		
PLX:at.pp		-ni		
PLX:be late.v		-chelewa		
PLX:because.cnj		(kwa) sababu		
PLX:behind.pp		nyuma		
PLX:beside.pp		kando		
PLX:can.v		kuweza	
PLX:child-in-law.n		mkwe		
PLX:daughter-in-law (of man).n		mkwe		
PLX:daughter-in-law (of woman).n		mkwe		
PLX:day after tomorrow.adv		kesho kutwa		
PLX:day before yesterday.adv		juzi		
PLX:fall silent.v		-nyamaa		
PLX:father's brother.n		ami, amu		arb:ˁamm, ˁammi
PLX:father's brother.n		baba		
PLX:father's sister.n		shangazi		
PLX:father-in-law (of man).n		mkwe		
PLX:father-in-law (of woman).n		mkwe		
PLX:fermented alcohol.n		kileo		
PLX:fish poison root.n		utupa		
PLX:fish trap.n		dema		
PLX:fish trap.n		mgono		
PLX:fish trap.n		uzio		
PLX:head hair.n		nywele		
PLX:hello.int  		jambo	
PLX:hello.int  		salamu	
PLX:how many pieces.pro		-ngapi		
PLX:how much.pro		-ngapi		
PLX:how.pro		-je		
PLX:how.pro		vipi		
PLX:if.cnj		-ki-		
PLX:if.cnj		-nge-, -ngali-		
PLX:if.cnj		ikiwa		
PLX:if.cnj		iwapo		
PLX:if.cnj		kama		arb:kamā
PLX:in front of.pp		mbele		
PLX:in.pp		-ni		
PLX:in.pp		katika		
PLX:initiation ceremony.n		jando		
PLX:initiation ceremony.n		kumbi		
PLX:initiation ceremony.n		unyago		
PLX:inside.pp		ndani		
PLX:mother's brother.n		mjomba		
PLX:mother's sister.n		mama		
PLX:mother-in-law (of man).n		mkwe		
PLX:mother-in-law (of woman).n		mkwe		
PLX:older sibling.n		dada		
PLX:older sibling.n		kaka		
PLX:older sibling.n		mkubwa		
PLX:older sibling.n		ndugu		
PLX:or.cnj		au		arb:ˀau
PLX:outside.pp		nje		
PLX:parents-in-law.n		mkwe		
PLX:sibling's child.n		mpwa		
PLX:sibling's child.n		mwana		
PLX:sibling-in-law.n		shemeji		
PLX:sibling-in-law.n		wifi		
PLX:son-in-law (of man).n		mkwe		
PLX:son-in-law (of woman).n		mkwe		
PLX:stab to death.v		-choma		
PLX:than.pp		kuliko	
PLX:thanks.int		asante	
PLX:thanks.int		shukrani	
PLX:that.pro		yule		
PLX:this.pro		huyu		
PLX:under.pp		chini		
PLX:what.pro		nini		
PLX:when.pro		lini		
PLX:where.pro		wapi		
PLX:which Q.pro		-pi		
PLX:who.pro		nani		
PLX:why.pro		(kwa) sababu gani		
PLX:why.pro		kwa nini		
PLX:with.pp		kwa		
PLX:with.pp		na		
