id	style	word	pronunciation
PLX:1PL.pro		நாங்கள்	n̪ɑːŋɡʌɭ
PLX:1PL.pro		நாம்	n̪ɑːm
PLX:1SG.pro		நான்	n̪ɑːn
PLX:2PL.pro		நீங்கள்	n̪iːŋɡʌɭ
PLX:2SG.pro		நீ	n̪iː
PLX:3PL.pro		அவர்கள்	ʌʋʌɾkʌɭ
PLX:3SG M.pro		அவன்	ʌʋʌn
PLX:and.cnj		மற்றும்	mʌtːum
PLX:because of.pp		ஏனெனில்	eːnenil
PLX:behind.pp		பின்பக்கம்	pinbʌkːʌm
PLX:beside.pp		அடுத்து	ʌɖut̪ːu
PLX:can.v		இயல்வது	ijʌlʋʌðu
PLX:die (from accident).V		நசி	n̪ʌsi
PLX:everywhere.pro		எல்லா இடத்திலும்	elːɑː iɖʌt̪ːilum
PLX:from here.adv		இனி	ini
PLX:get sick.V		விழுதல்	ʋiɻuðʌl
PLX:how many.pro		எவ்வளவு	eʋːʌɭʌʋu
PLX:how.pro		எப்படி	epːʌɖi
PLX:in front of.pp		முன்	mun
PLX:or.cnj		அல்லது	ʌlːʌðu
PLX:that.pro		அது	ʌðu
PLX:this.pro		இது	iðu
PLX:under.pp		கீழே	kiːɻeː
PLX:what.pro		என்ன	enːʌ
PLX:where.pro		எங்கே	eŋɡeː
PLX:where_to.pro		எதற்கு	eðʌrku
PLX:who.pro		யார்	jɑːɾ
PLX:why.pro		ஏன்	eːn
PWN:abandon.v.02		கைவிடு	kʌiʋiɖu
PWN:abdomen.n.01		வயிறு	ʋʌjiru
PWN:above.r.02		மேலே	meːleː
PWN:act.v.02		செய்	t͡ɕej
PWN:add.v.01		சேர்	t͡ɕeːɾ
PWN:address.n.03		பேச்சு	peːt͡ɕːu
PWN:affect.v.05		இதயத்தைத் தொடு	iðʌjʌt̪ːʌit̪ t̪oɖu
PWN:again.r.01		மறுபடியும்	mʌruβʌʈijum
PWN:age.n.01		வயது	ʋʌjʌðu
PWN:ahead.r.03		முன்புறமாக	munburʌmɑːkʌ
PWN:aid.n.02		உதவி	uðʌʋi
PWN:air.n.01		காறறு	kɑːrʌru
PWN:alive.a.01		பிழைப்பு	piɻʌipːu
PWN:all.a.01		ஒவ்வொன்றும்	oʋːonrum
PWN:allege.v.01		சொல்	t͡ɕol
PWN:allergy.n.01		ஒவ்வாமை	
PWN:almond.n.01		வாதுமை	
PWN:alone.r.02		தனியாக	t̪ʌnijɑːkʌ
PWN:already.r.01		ஏற்கனவே	eːrkʌnʌʋeː
PWN:always.r.01		எப்பொழுதும்	epːoɻuðum
PWN:anchor.n.01		நங்கூரம்	
PWN:anger.v.01		எரிச்சலூட்டு	eɾit͡ɕːʌluːʈːu
PWN:anger.v.02		கோப்பபடு	koːpːʌβʌʈu
PWN:animal.n.01		விலங்கு	ʋilʌŋɡu
PWN:animation.n.01		வாழ்க்கை	ʋɑːɻkːʌi
PWN:ant.n.01		எறும்பு	erumbu
PWN:apparel.n.01		ஆடைகள்	ɑːʈʌihʌɭ
PWN:apple.n.01		ஆப்பிள பழம்	ɑːpːiɭʌ pʌɻʌm
PWN:april.n.01		ஏப்ரல் மாதம்	eːpɾʌl mɑːt̪ʌm
PWN:apt.s.03		சாதுரியமான	t͡ɕɑːt̪uɾijʌmɑːnʌ
PWN:area.n.01		வட்டாரம்	ʋʌʈːɑːɾʌm
PWN:arise.v.03		எழுந்து நில்	eɻun̪t̪u n̪il
PWN:arm.n.01		கரம்	kʌɾʌm
PWN:arrive.v.01		வநது சேர்	ʋʌn̪ʌðu t͡ɕeːɾ
PWN:arrive.v.01		வா	ʋɑː
PWN:arrow.n.02		அம்பு	ʌmbu
PWN:ascend.v.01		உயர எழு	ujʌɾʌ eɻu
PWN:ash.n.01		சாம்பல்	t͡ɕɑːmbʌl
PWN:asia.n.01		ஆசியா	
PWN:ask.v.02		வேண்டு	ʋeːɳʈu
PWN:ask.v.05		கேள்	keːɭ
PWN:august.n.01		ஆகஸ்ட் மாதம்	ɑːkʌsʈ mɑːt̪ʌm
PWN:aunt.n.01		அத்தை	ʌt̪ːʌi
PWN:awaken.v.01		எழுப்பு	eɻupːu
PWN:back.n.01		முதுகு	muðuku
PWN:back.r.01		பின்பக்கம்	pinbʌkːʌm
PWN:back.r.02		பின்னோக்கி	pinːoːkːi
PWN:bad.a.01		கெட்ட	keʈːʌ
PWN:bag.n.01		பை	pʌi
PWN:bake.v.02		வெப்பத்தில் வாட்டு	ʋepːʌt̪ːil ʋɑːʈːu
PWN:bare.s.01		ஆடையற்ற	ɑːʈʌijʌtːʌ
PWN:bark.n.01		பட்டை	pʌʈːʌi
PWN:bark.n.01		மரப்பட்டை	mʌɾʌpːʌʈːʌi
PWN:bark.v.04		குரை	kuɾʌi
PWN:bathe.v.01		குளி	kuɭi
PWN:battery.n.02		பத்திரி	
PWN:battle.n.01		போராட்டம்	poːɾɑːʈːʌm
PWN:bay.n.01		சிறுகுடா	t͡ɕiruhuʈɑː
PWN:be.v.01		இரு	
PWN:be_born.v.01		பிற	pirʌ
PWN:bear.n.01		கரடி	kʌɾʌɖi
PWN:beard.n.01		தாடி	t̪ɑːʈi
PWN:beautiful.a.01		அழகான	ʌɻʌkɑːnʌ
PWN:become.v.01		ஆகு	ɑːku
PWN:bed.n.01		படுக்கை	pʌɖukːʌi
PWN:beer.n.01		தோப்பி	
PWN:begin.v.03		தொடங்கு	t̪oɖʌŋɡu
PWN:believe.v.01		நம்பு	n̪ʌmbu
PWN:beloved.s.01		அன்புக்குரிய	ʌnbukːuɾijʌ
PWN:belt.n.02		பெல்ட்	pelʈ
PWN:bend.v.01		வனை	ʋʌnʌi
PWN:benefit.n.02		இலாபம்	ilɑːpʌm
PWN:berry.n.01		சதைப்பழம்	t͡ɕʌðʌipːʌɻʌm
PWN:better.v.02		மேம்படுத்து	meːmbʌɖut̪ːu
