id	style	word	pronunciation
PLX:1PL.pro		без	bez
PLX:1SG.pro		мин	min
PLX:2PL.pro		сез	sez
PLX:2SG.pro		син	sin
PLX:3PL.pro		ул	ul
PLX:3SG M.pro		ул	ul
PLX:and.cnj		вә	wæ
PLX:because of.adp		сәбәпле	sæbæple
PLX:behind.adp		арттан	artːan
PLX:beside.adp		тирәсендә	tiræsendæ
PLX:can.v		алу	alu
PLX:die (from accident).V		үлү	ʉlʉ
PLX:everywhere.pro		hәркайда	hærqɑjda
PLX:from here.adv		моннан	monnan
PLX:get sick.V		чирләү	t͡ɕirlæʉ
PLX:how many.pro		ничә	nit͡ɕæ
PLX:how.pro		ничек	nit͡ɕek
PLX:in front of.adp		алдыннан	aldɤnnan
PLX:or.cnj		яисә	jaisæ
PLX:or.cnj		яки	jaki
PLX:that.pro		ул	ul
PLX:this.pro		бу	bu
PLX:under.adp		астында	astɤnda
PLX:what.pro		ни	ni
PLX:what.pro		нәрсә	nærsæ
PLX:where.pro		кайда	qɑjda
PLX:where_to.pro		кая	qɑja
PLX:who.pro		кем	kem
PLX:why.pro		нигә	niɡæ
PWN:abandon.v.02		калдыру	qɑldɤru
PWN:abandon.v.02		ташлау	taʃlau
PWN:abdomen.n.01		корсак	qorsak
PWN:above.r.02		югарыда	jʊɡarɤda
PWN:above.r.02		өстә	œstæ
PWN:act.v.02		итү	itʉ
PWN:add.v.01		өстәү	œstæʉ
PWN:address.n.03		нотык	notɤk
PWN:affect.v.05		дулкынландыру	dulqɤnlandɤru
PWN:again.r.01		тагын	taɡɤn
PWN:again.r.01		янә	janæ
PWN:age.n.01		яшь	jaʃʔ
PWN:ahead.r.03		алга	alɡa
PWN:aid.n.02		булышлык	bulɤʃlɤk
PWN:aid.n.02		ярдәм	jardæm
PWN:air.n.01		һава	hawa
PWN:alive.a.01		тере	tere
PWN:all.a.01		һәммә	hæmmæ
PWN:allege.v.01		дию	dijʊ
PWN:allege.v.01		әйтү	æjtʉ
PWN:alone.r.02		ялгыз	jalɡɤz
PWN:already.r.01		инде	inde
PWN:always.r.01		һәркайчан	hærqɑjt͡ɕan
PWN:anger.v.01		ачуландыру	at͡ɕulandɤru
PWN:anger.v.02		ачулану	at͡ɕulanu
PWN:animal.n.01		хайван	xajwan
PWN:animation.n.01		гомер	ɡomer
PWN:animation.n.01		тереклек	tereklek
PWN:animation.n.01		тормыш	tormɤʃ
PWN:ant.n.01		кырмыска	qɤrmɤsqɑ
PWN:apparel.n.01		кием	kiem
PWN:apple.n.01		алма	alma
PWN:april.n.01		апрель	aprelʔ
PWN:apt.s.03		акыллы	aqɤllɤ
PWN:area.n.01		урын	urɤn
PWN:arise.v.03		басу	basu
PWN:arm.n.01		кул	qul
PWN:arrive.v.01		бару	baru
PWN:arrive.v.01		килү	kilʉ
PWN:arrow.n.02		ук	uk
PWN:ascend.v.01		үсү	ʉsʉ
PWN:ash.n.01		көл	kœl
PWN:ask.v.02		үтенү	ʉtenʉ
PWN:ask.v.05		сорау	sorau
PWN:ask.v.05		сорашу	soraʃu
PWN:august.n.01		август	awɡust
PWN:aunt.n.01		түти	tʉti
PWN:aunt.n.01		тәтәй	tætæj
PWN:awaken.v.01		уяту	ujatu
PWN:back.n.01		сырт	sɤrt
PWN:back.r.01		кире	kire
PWN:back.r.02		кире	kire
PWN:bad.a.01		начар	nat͡ɕar
PWN:bag.n.01		букча	bukt͡ɕa
PWN:bake.v.02		пешерү	peʃerʉ
PWN:bare.s.01		шәрә	ʃæræ
PWN:bark.n.01		кабык	qɑbɤk
PWN:bark.v.04		өрү	œrʉ
PWN:bathe.v.01		коену	qoenu
PWN:battle.n.01		көрәш	kœræʃ
PWN:bay.n.01		бухта	buxta
PWN:bay.n.01		култык	qultɤk
PWN:be_born.v.01		туу	tuu
PWN:bear.n.01		аю	ajʊ
PWN:beard.n.01		сакал	saqɑl
