id	style	word	transcription	etymology
PLX:1PL EXCL.pro		maŋ		
PLX:1PL INCL.pro		id		
PLX:1SG.pro		ŋai		
PLX:2PL.pro		aŋ		
PLX:2SG.pro		oŋ		
PLX:3PL.pro		iŋ		
PLX:3SG.pro		iŋ		
PLX:above.pp		ffo na		
PLX:after.pp		mar na		
PLX:at.pp		na		
PLX:be late.v		-abi-twani		
PLX:because.cnj		=ta=g		
PLX:behind.pp		patu-n fo		
PLX:beside.pp		srŋe-n na		
PLX:carry in hand.v		-abi		
PLX:carry on head.v		-kdi (2)		
PLX:carry on shoulder.v		-sni		
PLX:carry under arm.v		-pni		
PLX:daughter-in-law (of man).n		irao-		
PLX:daughter-in-law (of woman).n		irao-		
PLX:day after tomorrow.adv		salso=p		
PLX:day before yesterday.adv		wari		
PLX:digging stick.n		ŋei		
PLX:fall silent.v		awa-n i-tawa-n		
PLX:father's brother.n		tama-		
PLX:father's sister.n		nbi		
PLX:father-in-law (of man).n		nteŋ		
PLX:father-in-law (of woman).n		irao-		
PLX:fish poison root.n		sasos		
PLX:fish trap.n		saeŋ		
PLX:head hair.n		grma-rou-k		
PLX:how many pieces.pro		sapita		
PLX:how much.pro		sapita		
PLX:how.pro		dgo		
PLX:if.cnj		=ta=p		
PLX:in front of.pp		nao-n na		
PLX:in.pp		lo		
PLX:initiation ceremony.n		mluŋ		
PLX:inside.pp		ilo-n lo		
PLX:men's house.n		barag ab		mlp:barag
PLX:mother's brother.n		ngai		
PLX:mother's sister.n		tna-		
PLX:mother-in-law (of man).n		irao-		
PLX:mother-in-law (of woman).n		irao-		
PLX:netbag.n		badam		
PLX:netbag.n		ktaok		wsk:kitak
PLX:older sibling.n		tei-		
PLX:or.cnj		o		
PLX:outside.pp		patu-n fo		
PLX:sibling-in-law.n		iwa- (see also 2.456)		
PLX:son-in-law (of man).n		nteŋ		
PLX:son-in-law (of woman).n		irao-		
PLX:stab to death.v		-swe		
PLX:that.pro		a-n		
PLX:this.pro		ye-n		
PLX:under.pp		pae-n na		
PLX:what.pro		ata		
PLX:when.pro		saŋe-p na		
PLX:where.pro		dgo		
PLX:which Q.pro		dgo-mai		
PLX:who.pro		inti		
PLX:why.pro		intaw		
PLX:with.pp		da		
PLX:yes.ptcl		awo		
PLX:younger sibling.n		tei-		
PWN:abdomen.n.01		lwa-		
PWN:above.r.02		lak na		
PWN:accuse.v.01		saspek		eng:suspect
PWN:acquit.v.01		dismis		eng:dismiss
PWN:act.v.02		-gane, -ga		
PWN:address.n.03		boum		
PWN:address.n.06		adres		eng:address
PWN:admit.v.01		kwai te -bol		
PWN:adornment.n.01		damag		
PWN:adultery.n.01		adaltri		eng:adultery
PWN:adz.n.01		noŋ		
PWN:adz.n.01		tir		
PWN:afternoon.n.01		graian		
PWN:again.r.01		fou-n-mi		
PWN:age.n.01		grismas		eng:Christmas
PWN:air.n.01		ur (1)		
PWN:airplane.n.01		balus		:balus
PWN:all.a.01		fdyan		
PWN:allege.v.01		-bol		
PWN:alligator.n.02		fai		
PWN:alone.r.02		se-n kaek		
PWN:altar.n.02		altar		eng:altar
PWN:always.r.01		pempem		
PWN:amazed.s.01		-sror		
PWN:ambush.n.01		-ftani		
PWN:ancestor.n.01		mala-n fflu-n		
PWN:anchor.n.01		aŋgai		tpi:anggai
PWN:anger.n.02		ilo- sae-n		
PWN:animal.n.01		bor-goun		
PWN:animation.n.01		mado-k		
PWN:ankle.n.01		ŋe-n ŋdu-n		
PWN:announce.v.01		-bol -lasa		
PWN:answer.v.01		awa- -abi (2)		
PWN:ant.n.01		kmunan		
PWN:anvil.n.01		anwil		eng:anvil
PWN:anxiety.n.02		ilo-mrwa-n		
PWN:apparel.n.01		biaoŋ		
PWN:approach.v.01		-ni		
PWN:apt.s.03		kawila-		
PWN:arch.n.04		llit		
PWN:arm.n.01		to-		
PWN:armpit.n.01		gbate-		
PWN:army.n.01		ami		eng:army
PWN:arrive.v.01		-la-sa		
PWN:arrive.v.01		-palu		
PWN:arrow.n.02		den		
PWN:arson.n.01		-mari		
PWN:artery.n.01		im		
PWN:ascend.v.01		-sda		
PWN:ash.n.01		yai tae-n		
PWN:ask.v.02		-gdana		
PWN:ask.v.05		-smyani		
PWN:avaricious.s.01		-par-ftani		
PWN:ax.n.01		plagis, plaŋis		:Unidentifiable
PWN:axle.n.01		sap		eng:shaft
PWN:baby.n.01		nanuk swa te		
PWN:back.n.01		patu- (1)		
PWN:bad.a.01		sae-		
PWN:bait.n.02		an-aŋ		
PWN:bake.v.02		-dali		
PWN:bald.s.02		ppae-		
PWN:ball.n.03		bal		deu:Ball
PWN:bamboo.n.01		ggreŋ		
PWN:bamboo.n.01		sduk		
PWN:banana.n.02		fud		
PWN:bandicoot.n.01		madar		:*ma(n)ser
PWN:banyan.n.01		aiyaw		
PWN:bare.s.01		kao-		
PWN:bark.n.01		ai sklo-n		
PWN:barley.n.02		baliwit		eng:barleywheat
PWN:barter.v.01		-dad		
PWN:basket.n.01		basket		eng:basket
PWN:basket.n.01		kram		mlp:kuram
PWN:basket.n.01		sareg		wsk:sarek
PWN:bat.n.01		kdndur		
PWN:bat.n.01		yok (1)		mlp:yok
PWN:bathe.v.01		-sug		
PWN:battery.n.02		batri		tpi:batri
PWN:battle-ax.n.01		gmagim		
