id	style	word	pronunciation
PLX:1PL.pro		మనము	mʌn̪ʌmu
PLX:1SG.pro		నేను	n̪eːn̪u
PLX:2PL.pro		మీరు	miːru
PLX:2SG.pro		నీవు	n̪iːʋu
PLX:3PL.pro		వారు	ʋaːru
PLX:3SG M.pro		అతడు	ʌt̪ʌɖu
PLX:and.cnj		మఱియు	mʌɽiju
PLX:because of.pp		కారణంగా	kaːrʌɳʌ̃ɡaː
PLX:behind.pp		వెనుక	ʋen̪ukʌ
PLX:beside.pp		దగ్గెర	d̪ʌɡːerʌ
PLX:can.v		గల	ɡʌlʌ
PLX:die (from accident).V		నశించు	n̪ʌɕĩt͡ɕu
PLX:everywhere.pro		అంతటా	ʌ̃t̪ʌʈaː
PLX:from here.adv		ఇక్కడనుండి	ikːʌɖʌn̪ũɖi
PLX:get sick.V		జబ్బుపడు	d͡ʑʌbːupʌɖu
PLX:how many.pro		ఎంత	ẽt̪ʌ
PLX:how.pro		ఎట్టు	eʈːu
PLX:in front of.pp		ముందు	mũd̪u
PLX:or.cnj		లేక	leːkʌ
PLX:that.pro		అది	ʌd̪i
PLX:this.pro		ఇది	id̪i
PLX:under.pp		క్రింద	krĩd̪ʌ
PLX:what.pro		ఏమి	eːmi
PLX:where.pro		ఎక్కడ	ekːʌɖʌ
PLX:where_to.pro		ఎందుకు	ẽd̪uku
PLX:who.pro		ఎవడు	eʋʌɖu
PLX:why.pro		ఏల	eːlʌ
PWN:abandon.v.02		విడుచు	ʋiɖut͡ɕu
PWN:abdomen.n.01		కడుపు	kʌɖupu
PWN:above.r.02		మీద	miːd̪ʌ
PWN:act.v.02		చేయు	t͡ɕeːju
PWN:add.v.01		చేర్చు	t͡ɕeːrt͡ɕu
PWN:address.n.03		ఉపన్యాసము	upʌn̪jaːs̪ʌmu
PWN:affect.v.05		గుండె తాకు	ɡũɖe t̪aːku
PWN:again.r.01		తిరిగి	t̪iriɡi
PWN:age.n.01		వయస్సు	ʋʌjʌs̪ːu
PWN:ahead.r.03		ముందుకు	mũd̪uku
PWN:aid.n.02		సాహాయ్యము	s̪aːhaːjːʌmu
PWN:air.n.01		గాలి	ɡaːli
PWN:alive.a.01		ప్రాణముతో నున్న	praːɳʌmut̪oː n̪un̪ːʌ
PWN:all.a.01		సకలము	s̪ʌkʌlʌmu
PWN:allege.v.01		చెప్పు	t͡ɕepːu
PWN:alone.r.02		ఒంటిగా	õʈiɡaː
PWN:already.r.01		ఇదివఱకే	id̪iʋʌɽʌkeː
PWN:always.r.01		ఎల్లప్పుడు	elːʌpːuɖu
PWN:anger.v.01		పీడించుట	piːɖĩt͡ɕuʈʌ
PWN:anger.v.02		అలుగు	ʌluɡu
PWN:animal.n.01		జంతువు	d͡ʑʌ̃t̪uʋu
PWN:animation.n.01		ప్రాణము	praːɳʌmu
