id	style	word	pronunciation	etymology
PLX:1PL EXCL.pro		เรา	rao	
PLX:1PL INCL.pro		เรา	rao	
PLX:1PL.pro		เรา	rao	
PLX:1SG.pro		กระผม	kraphǒm	
PLX:1SG.pro		กัน	kan (1)	
PLX:1SG.pro		กู	kuu	
PLX:1SG.pro		ข้า	khâa (1)	
PLX:1SG.pro		ข้าพเจ้า	khâaphacâaw	
PLX:1SG.pro		ฉัน	chǎn	
PLX:1SG.pro		ดิฉัน	dichǎn	
PLX:1SG.pro		ตู	tuu	
PLX:1SG.pro		ผม	phǒm	
PLX:1SG.pro		เรา	rao	
PLX:2PL.pro		พวกคุณ	phûakkhun	
PLX:2SG.pro		คุณ	khun	san:guNa
PLX:2SG.pro		ท่าน	thân	
PLX:2SG.pro		นาย	naay	
PLX:2SG.pro		มึง	mʉŋ	
PLX:2SG.pro		สู	sǔu	
PLX:2SG.pro		เจ้า	câw	
PLX:2SG.pro		เธอ	thəə	
PLX:3PL.pro		พวกเขา	phûakkháo	
PLX:3SG F.pro		ชิ	chii	eng:she
PLX:3SG F.pro		มัน	man	
PLX:3SG F.pro		หล่อน	lɔ̀n	
PLX:3SG F.pro		อิ	?ii	
PLX:3SG F.pro		เขา	kháo	
PLX:3SG F.pro		เธอ	thəə	
PLX:3SG INAN.pro		มัน	man	
PLX:3SG M.pro		hii		eng:he
PLX:3SG M.pro		มัน	man (1)	
PLX:3SG M.pro		อิ	?ii	
PLX:3SG M.pro		เขา	kháo	
PLX:3SG M.pro		เธอ	thəə	
PLX:3SG.pro		เขา	kháo	
PLX:above.pp		เหนือ	nʉ̌a	
PLX:after.pp		หลัง	lǎŋ	
PLX:and.cnj		และ	láe	
PLX:at.pp		ที่	thîi	
PLX:be late.v		สาย	sǎay (2)	
PLX:be late.v		เลต	lèet	eng:late
PLX:because.cnj		ด้วย	dûay	
PLX:because.cnj		เพราะ	phrɔ́	
PLX:behind.pp		หลัง	lǎŋ	
PLX:beside.pp		ข้าง	khâaŋ	
PLX:carry in hand.v		ถือ	thʉ̌ʉ	
PLX:carry on head.v		ทูน	thuun	:*duul
PLX:carry on shoulder.v		แบก	bàeaek	
PLX:carry under arm.v		หนีบ	nìip	
PLX:child-in-law.n		ลูกสะใภ้	lûuksapháy	
PLX:child-in-law.n		ลูกเขย	lûukkhə̌əy	
PLX:daughter-in-law (of man).n		ลูกสะใภ้	lûuksapháy	
PLX:daughter-in-law (of woman).n		ลูกสะใภ้	lûuksapháy	
PLX:day after tomorrow.adv		มะรืืน	marʉʉn	
PLX:day before yesterday.adv		วานซืน	waansʉʉn	
PLX:eh.ptcl		นะ		
PLX:fall silent.v		เงียบ	ŋîap	
PLX:father's brother.n		ลุง	luŋ	
PLX:father's brother.n		อา	?aa	
PLX:father's sister.n		ป้า	pâa	
PLX:father's sister.n		อา	?aa	
PLX:father-in-law (of man).n		พ่อตา	phɔ̂ɔtaa	
PLX:father-in-law (of woman).n		พ่อผัว	phɔ̂ɔphǔa	
PLX:father-in-law (of woman).n		พ่อสามี	phɔ̂ɔsǎamii	
PLX:fermented alcohol.n		น้ำจัณฑ์	náamcan	san:caNDa
PLX:fermented alcohol.n		น้ำอมฤต	náam?ammarít	
PLX:fermented alcohol.n		สุรา	suraa	san:suraa
PLX:fermented alcohol.n		เมรัย	meeray	:meraya
PLX:fermented alcohol.n		เหล้า	lâo (1)	
PLX:fish trap.n		ไซ	say	
PLX:head hair.n		ผม	phǒm	
PLX:how many pieces.pro		กี่	kìi (2)	
PLX:how much.pro		เท่าไหร่่	thâorày	
PLX:how.pro		อย่างไร	yàaŋray	
PLX:if.cnj		ถ้า	thâa (2)	san:dA
PLX:if.cnj		เผื่อ	phʉ̀a	
PLX:in front of.pp		หน้้้า	nâa	
PLX:in.pp		ใน	nay	
PLX:initiation ceremony.n		kooncùk		
PLX:inside.pp		ใน	nay	
PLX:mother's brother.n		น้า	náa	
PLX:mother's brother.n		ลุง	luŋ	
PLX:mother's sister.n		น้า	náa	
PLX:mother's sister.n		ป้า	pâa	
PLX:mother-in-law (of man).n		แม่ยาย	mâeaeyaay	
PLX:mother-in-law (of woman).n		แม่ผัว	mâeaephǔa	
PLX:mother-in-law (of woman).n		แม่สามี	mâeaesǎamii	
PLX:nothing.pro		ดาย	daay	
PLX:nothing.pro		เปล่า	plàaw	
PLX:okay.n.01		การสนับสนุน		
PLX:older sibling.n		พี่	phîi	
PLX:or.cnj		หรือ	rʉ̌ʉ	
PLX:outside.pp		นอก	nɔ̂ɔk	
PLX:parents-in-law.n		พ่อตาแม่ยาย	phɔ̂ɔtaamâeaeyaay	
PLX:parents-in-law.n		พ่อแม่สามี	phɔ̂ɔmâeaesǎamii	
PLX:sibling's child.n		หลาน	lǎan	
PLX:sibling-in-law.n		น้องสะใภ้	nɔ́ɔŋsapháy	
PLX:sibling-in-law.n		น้องเขย	nɔ́ɔŋkhə̌əy	
PLX:sibling-in-law.n		พี่สะใภ้	phîisapháy	
PLX:sibling-in-law.n		พี่เขย	phîikhə̌əy	
PLX:son-in-law (of man).n		ลูกเขย	lûukkhə̌əy	
PLX:son-in-law (of woman).n		ลูกเขย	lûukkhə̌əy	
PLX:stab to death.v		เสียบ	sìap	
PLX:stab to death.v		แทง	thaeaeŋ	
PLX:that.pro		นั่น	nán	
PLX:this.pro		นิ้	níi	
PLX:under.pp		ใต้	tâay (2)	
PLX:what.pro		อะไร	?aray	
PLX:when.pro		เมื่อใด	mʉ̂aday	
PLX:when.pro		เมื่อไร	mʉ̂aray	
PLX:where.pro		ที่ใด	thîiday	
PLX:where.pro		ที่่ไหน	thîinǎy	
PLX:which Q.pro		อันไหน	?annǎy	
PLX:who.pro		ผู้ใด	phûuday	
PLX:who.pro		ใคร	khray	
PLX:who.pro		ไผ	phǎy	
PLX:why.pro		ทำไม	thammay	
PLX:with.pp		กับ	kàp (2)	
PLX:with.pp		ด้วย	dûay	
PLX:without.pp		ปราศจาก	pràatsacàak	
PLX:without.pp		โดยไม่มี	dooymâymii	
PLX:without.pp		ไร้	ráy	
PLX:yes.ptcl		ใช่	chây	
PLX:younger sibling.n		น้อง	nɔ́ɔŋ	
PWN:a_bit.r.01		นิดหน่อย		
PWN:a_bit.r.01		เล็กน้อย		
PWN:a_bit.r.01		เล็กๆน้อยๆ		
PWN:abandon.v.01		ทิ้ง		
PWN:abandon.v.04		ล้มเลิก		
PWN:abandon.v.04		เลิก		
PWN:abate.v.02		ซา		
PWN:abate.v.02		ลดความรุนแรง		
PWN:abdomen.n.01		ท้อง		
PWN:abdomen.n.01		พระอุทร		
PWN:abdomen.n.01		พุง	phuŋ	khm:puŋ
PWN:abdomen.n.01		พุงกะทิ		
PWN:ability.n.01		ความสามารถ		
PWN:ability.n.02		ความสามารถ		
PWN:ability.n.02		สมรรถภาพ		
PWN:abnormality.n.01		ความผิดปกติ		
PWN:abnormality.n.01		ความผิดปกติของร่างกาย		
PWN:abort.v.01		ยกเลิก		
PWN:about-face.n.02		การกลับลำ		
