id	style	word	pronunciation
PLX:1PL POSS.pro		bizim	
PLX:1PL.pro		biz	biz
PLX:1SG.pro		ben	bɛn
PLX:2PL.pro		siz	siz
PLX:2SG.pro		sen	sɛn
PLX:3PL.pro		onlar	onlaɾ
PLX:3SG M.pro		o	o
PLX:and.cnj		ile	ilɛ
PLX:and.cnj		ve	vɛ
PLX:because of.pp		dolayı	dolajɯ
PLX:behind.pp		arkasında	aɾkasɯnda
PLX:beside.pp		yanında	janɯnda
PLX:can.v		bilmek	bilmɛk
PLX:die (from accident).V		ölmek	œlmɛk
PLX:everywhere.pro		her yerde	hɛɾ jɛɾdɛ
PLX:fermented alcohol.n		alkol	
PLX:from here.adv		buradan	buɾadan
PLX:from.pp		-den	
PLX:genderology.n		cinsellik bilimi	
PLX:get sick.V		hastalanmak	hastalanmak
PLX:haha.int		haha	
PLX:head hair.n		saç	
PLX:hello.int		alo	
PLX:hello.int  		alo	
PLX:how many.pro		kaç	kat͡ʃ
PLX:how many.pro		ne kadar	nɛ kadaɾ
PLX:how.pro		nasıl	nasɯl
PLX:in front of.pp		önünde	œnyndɛ
PLX:or.cnj		ya	ja
PLX:or.cnj		yahut	jahut
PLX:than.pp		göre	
PLX:thanks.int		teşekkürler	
PLX:that.pro		o	o
PLX:that.pro		şu	ʃu
PLX:this.pro		bu	bu
PLX:under.pp		altında	altɯnda
PLX:what.pro		ne	nɛ
PLX:when.pro		ne zaman	
PLX:where.pro		nerede	nɛɾɛdɛ
PLX:where_to.pro		nereye	nɛɾɛjɛ
PLX:who.pro		kim	kim
PLX:why.pro		neden	nɛdɛn
PLX:yes.ptcl		evet	
PWN:abandon.v.02		bırakmak	bɯɾakmak
PWN:abandon.v.02		terk etmek	tɛɾk ɛtmɛk
PWN:abdomen.n.01		karın	kaɾɯn
PWN:about.r.07		neredeyse	
PWN:about.r.07		takriben	
PWN:above.r.02		yukarıda	jukaɾɯda
PWN:accident.n.01		kaza	
PWN:acetylene.n.01		alkin	
PWN:act.v.02		etmek	ɛtmɛk
PWN:act.v.02		yapmak	japmak
PWN:actinium.n.01		aktinyum	
PWN:action.n.01		amel	
PWN:add.v.01		eklemek	ɛklɛmɛk
PWN:add.v.01		katmak	katmak
PWN:address.n.03		adres	
PWN:address.n.03		konuşma	konuʃma
PWN:address.n.03		söylev	sœjlɛv
PWN:adultery.n.01		zina	
PWN:affect.v.05		dokunmak	dokunmak
