id	style	word	transcription	etymology
Agriculture:harvest or harvest season.N		k’ahoh		
Agriculture:plough.V		7araro		spa:arado
Agriculture:rake.N		jotzobil		
Agriculture:shovel.N		pala		spa:pala
Agriculture:sickle or scythe.N		hos (2)		spa:hoz
Agriculture:sow seeds.V		vih		
Agriculture:threshing-floor.N		7era		spa:era
Animal:Acridomorpha.N		p’ilish		
Animal:Anatidae.N		pech’		
Animal:Annelida.N		shuit		
Animal:Anthophila.N		chanul pom		
Animal:Anthophila.N		kachimpa pom		
Animal:Anthophila.N		mermeho		spa:bermejo
Animal:Anthophila.N		mishik’ pom		
Animal:Anthophila.N		ton pom		
Animal:Anura.N		shpokok		
Animal:Araneae.N		7om		
Animal:Aves.N		mut		
Animal:Blattodea.N		mako7		
Animal:Canis lupus familiaris.N		tz’i7		
Animal:Capra hircus.N		chivo		spa:chivo
Animal:Cervidae.N		chih		
Animal:Corvus.N		hoh		
Animal:Culicidae.N		shenen		
Animal:Diptera.N		vo		
Animal:Equus asinus × caballus.N		ka7		spa:caballo
Animal:Equus asinus.N		buro		spa:burro
Animal:Equus ferus caballus.N		ka7		spa:caballo
Animal:Felis catus.N		chon		
Animal:Felis catus.N		katu7		spa:gato
Animal:Felis catus.N		manu7		
Animal:Felis catus.N		mashu7		
Animal:Felis catus.N		moshit		
Animal:Felis catus.N		shalu7		
Animal:Felis leo.N		leon		spa:leo*n
Animal:Formicidae.N		shinich		
Animal:Gallus gallus domesticus.N		7alak’		
Animal:Gallus gallus domesticus.N		kashlan		spa:castellano
Animal:Homo sapiens.N		krishchnano		spa:cristiano
Animal:Insecta.N		chon		
Animal:Lacertidae.N		7okotz		
Animal:Lacertidae.N		patish		cac:patix
Animal:Lampyridae.N		kukay		
Animal:Leporidae.N		t'ul		
Animal:Ovis aries.N		chih		
Animal:Rhopalocera.N		pepen		
Animal:Sciuridae.N		chuch		
Animal:Serpentes.N		chon		
Animal:Simiiformes.N		mash		
Animal:Sus scrofa domestica.N		chitom		
Animal:Testudines.N		7ok		
Animal:Ursidae.N		7osov		spa:oso
Animal:Vespinae.N		7ovishpo		spa:avispa
Animal:Vespinae.N		chanul 7akov		
Animal:Vulpes.N		vet		
Animal:animal.N		7animal		spa:animal
Animal:animal.N		chanulil		
Animal:animal.N		chon		
Animal:female.A		me7 _______________		
Animal:fish.N		choy		
Animal:male.A		tot _______________		
Animal:wool.N		tzotz		
Atmosphere:cloud.N		tok		
Atmosphere:fan (action).V		hik’a		
Atmosphere:fan (action).V		vel		
Atmosphere:fan (object).N		velob		
Atmosphere:fog.N		lumal tok		
Atmosphere:rain.N		vo7		
Atmosphere:rainbow.N		me7 k’inubal		
Atmosphere:rainbow.N		vaknab		
Atmosphere:sky.N		vinahel		
Atmosphere:storm.N		tzuh ton		
Atmosphere:thunder.N		chauk		
Atmosphere:thunder.N		me7 vo7		
Atmosphere:wind.N		7ik’		
Belief:Catholic priest.N		pale		spa:padre
Belief:altar.N		7altal		spa:altar
Belief:bless.V		7ak’ bentisyon		
Belief:curse.V		7ak ta maltisyon		
Belief:deity.N		riosh totil		
Belief:demon.N		pukuh		
Belief:ghost.N		7anima		spa:a*nima
Belief:ghost.N		lahebal		
Belief:heaven.N		vinahel		
Belief:hell.N		7impyerno		spa:infierno
Belief:hell.N		k’ok’		
Belief:holy.A		ch’ul ___________		
Belief:holy.A		haral		
Belief:magician.N		h7ak’-chamel		
Belief:magician.N		htuch’7ora		
Belief:magician.N		htuch’kantela		
Belief:magician.N		pukuh		
Belief:pray.V		k’opoh		
Belief:soul.N		7anima		spa:a*nima
Belief:temple.N		7eklixya		spa:eglesia
Belief:worship.V		nup kahvaltik		
Belief:worship.V		nup riosh		
Belief:worship.V		ta ta na7el		
Belief:worship.V		tik’ riosh to 7o7on		
Body:ankle.N		nuk’ 7okol		
Body:arm.N		k’obol		
Body:armpit.N		lotz’opil		
Body:back.N		patil		
Body:bald.A		bochol		
Body:bald.A		kanel		
Body:beak.N		ni7		
Body:beard.N		7isimil		
Body:belly.N		tzukut		
Body:blink.V		mutz’ilan		
Body:blister.N		vochemal		
Body:blood vessel.N		be ch’ich’elil		
Body:blood.N		ch’ch’elil		
Body:blood.N		ch’ich’		
Body:blood.N		sankre		spa:sangre
Body:body.N		takopal		
Body:boil.N		chakal		
Body:bone.N		bak		
Body:bone.N		bakelil		
Body:brain.N		chinamil		
Body:breast.N		chu7il		
Body:breath.V		7ich’ 7ik’		
Body:bruise.N		lep'		
Body:buttock.N		chakil		
Body:buttock.N		likav chakil		
Body:buttock.N		pech chakil		
Body:cheek.N		ton satil		
Body:chest.N		ti7 7o7onil		
Body:chin.N		kolomil		
Body:chin.N		kovovil		
Body:collarbone.N		7ual bakel		
Body:ear.N		chikinil		
Body:earlobe.N		k’unil chikinil		
Body:elbow.N		shuk’omil		
Body:eye.N		satil		
Body:eye.N		yashavo7		
Body:eyebrow.N		motzobil		
Body:eyelash.N		shik’ satil		
Body:face.N		satil		
Body:fart.V		tzisin		
Body:fat.N		hup’el		
Body:fat.N		sheru		:cebo
Body:feather.N		k’uk’umal		
Body:feces.V		ch’ay ba		
Body:feces.V		tza’an		
Body:finger.N		bik’tal k’obol		
