id	style	word	pronunciation
Action:can.V		быгатыны	bɨɡɑtɨnɨ
Agriculture:herd (something).V		возьманы	vozʲmɑnɨ
Agriculture:irrigate.V		киськаны	kisʲkɑnɨ
Agriculture:pick.V		ишкыны	jiʃkɨnɨ
Agriculture:shovel.N		ютырон	jutɨron
Animal:Anatidae.N		ӵӧж	t͡ʃʌʒ
Animal:Annelida.N		нумыр	numɨr
Animal:Araneae.N		чонари	t͡ɕonɑri
Animal:Aves.N		тылобурдо	tɨloburdo
Animal:Canis lupus familiaris.N		пуны	punɨ
Animal:Canis lupus.N		кион	kion
Animal:Corvus.N		куака	kuɑkɑ
Animal:Culicidae.N		нымы	nɨmɨ
Animal:Culicidae.N		чибинь	t͡ɕʲibiɲ
Animal:Diptera.N		кут	kut
Animal:Equus ferus caballus.N		вал	vɑl
Animal:Felis catus.N		коӵыш	kot͡ʃɨʃ
Animal:Formicidae.N		кузьыли	kuzʲɨlʲi
Animal:Gallus gallus domesticus.N		курег	kureɡ
Animal:Homo sapiens.N		адями	ɑdʲɑmi
Animal:Homo sapiens.N		мурт	murt
Animal:Ovis aries.N		ыж	ɨʒ
Animal:Rhopalocera.N		бубыли	bubɨlʲi
Animal:Sciuridae.N		коньы	koɲɨ
Animal:Serpentes.N		кый	kɨj
Animal:Sus scrofa domestica.N		парсь	pɑrsʲ
Animal:Ursidae.N		гондыр	ɡondɨr
Animal:Vulpes.N		ӟичы	d͡ʑʲit͡ɕɨ
Animal:animal.N		пӧйшур	pʌjʃur
Animal:fish.N		чорыг	t͡ɕorɨɡ
Animal:mouse.N		шыр	ʃɨr
Animal:wool.N		гон	ɡon
Animal:wool.N		ыжгон	ɨʒɡon
Atmosphere:cloud.N		пилем	pilʲem
Atmosphere:cold.A		салкым	sɑlkɨm
Atmosphere:cold.A		юзмыт	juzmɨt
Atmosphere:fog.N		бус	bus
Atmosphere:rain.N		зор	zor
Atmosphere:rain.V		зорыны	zorɨnɨ
Atmosphere:rainbow.N		вуюись	vujujisʲ
Atmosphere:sky.N		ин	jin
Atmosphere:thunder.N		гудыри	ɡudɨri
Atmosphere:thunder.V		гудыръяны	ɡudɨrjɑnɨ
