id	style	word	pronunciation
PLX:1PL.pro		mö	mœ
PLX:1SG.pro		minä	minæ
PLX:2PL.pro		tö	tœ
PLX:2SG.pro		sinä	sinæ
PLX:3PL.pro		hö	hœ
PLX:3SG M.pro		hän	hæn
PLX:and.cnj		da	dɑ
PLX:and.cnj		i	i
PLX:because of.adp		tagut	tɑɡʊt
PLX:behind.adp		taga	tɑɡɑ
PLX:beside.adp		rindal	rindɑl
PLX:can.v		mahtta	mɑxttɑ
PLX:can.v		voida	vɔidɑ
PLX:die (from accident).V		kolda	kɔldɑ
PLX:everywhere.pro		kaikjal	kɑikjɑl
PLX:from here.adv		sid'päi	sidʲpæi
PLX:from here.adv		täspäi	tæspæi
PLX:get sick.V		läžegata	læʒɛɡɑtɑ
PLX:how many.pro		kuverz'	kʊvɛrzʲ
PLX:how many.pro		äjak	æjɑk
PLX:how.pro		kut	kʊt
PLX:how.pro		mit'	mitʲ
PLX:in front of.adp		edes	ɛdɛs
PLX:or.cnj		vai	vɑi
PLX:that.pro		se	sɛ
PLX:this.pro		nece	nɛt͡sɛ
PLX:under.adp		al	ɑl
PLX:what.pro		mi	mi
PLX:where.pro		kus	kʊs
PLX:where_to.pro		kuna	kʊnɑ
PLX:who.pro		ken	kɛn
PLX:why.pro		mikš	mikʃ
PWN:abandon.v.02		jätta	jætːɑ
PWN:abdomen.n.01		koht	kɔxt
PWN:abdomen.n.01		vac	vɑt͡s
PWN:above.r.02		ülähän	ʏlæhæn
PWN:act.v.02		tehta	tɛxtɑ
PWN:add.v.01		ližata	liʒɑtɑ
PWN:address.n.03		pagin	pɑɡin
PWN:address.n.03		sanad	sɑnɑd
PWN:affect.v.05		likutada	likʊtɑdɑ
PWN:again.r.01		möst	mœst
PWN:age.n.01		igä	iɡæ
PWN:ahead.r.03		edehe	ɛdɛhɛ
PWN:aid.n.02		abu	ɑbʊ
PWN:air.n.01		il'm	ilʲm
PWN:alive.a.01		eläb	ɛlæb
PWN:all.a.01		kaik	kɑik
PWN:allege.v.01		sanuda	sɑnʊdɑ
PWN:alone.r.02		üksnäze	ʏksnæzɛ
PWN:already.r.01		jo	jɔ
PWN:always.r.01		kaiken	kɑikɛn
PWN:anger.v.01		rändütada	rændʏtɑdɑ
PWN:anger.v.01		verdutada	vɛrdʊtɑdɑ
PWN:anger.v.02		rändüda	rændʏdɑ
PWN:animal.n.01		živat	ʒivɑt
PWN:animation.n.01		elo	ɛlɔ
PWN:ant.n.01		murahaine	mʊrɑhɑinɛ
PWN:apparel.n.01		sobad	sɔbɑd
PWN:apple.n.01		jablok	jɑblɔk
PWN:april.n.01		sulaku	sʊlɑkʊ
PWN:apt.s.03		melekaz	mɛlɛkɑz
PWN:apt.s.03		melev	mɛlɛv
PWN:area.n.01		taho	tɑhɔ
PWN:arise.v.03		nousta	nɔʊstɑ
PWN:arm.n.01		käzi	kæzi
PWN:arrive.v.01		tulda	tʊldɑ
PWN:arrive.v.01		tulda	tʊldɑ
PWN:arrow.n.02		nol	nɔl
PWN:ascend.v.01		nousta	nɔʊstɑ
PWN:ash.n.01		tuhk	tʊxk
PWN:ask.v.02		pakita	pɑkitɑ
PWN:ask.v.05		küzuda	kʏzʊdɑ
PWN:august.n.01		eloku	ɛlɔkʊ
PWN:aunt.n.01		tädi	tædi
PWN:awaken.v.01		noustatada	nɔʊstɑtɑdɑ
PWN:back.n.01		sel'g	sɛlʲɡ
PWN:back.r.01		tagaze	tɑɡɑzɛ
PWN:back.r.02		sel'gin	sɛlʲɡin
PWN:bad.a.01		huba	hʊbɑ
PWN:bag.n.01		sumk	sʊmk
PWN:bake.v.02		paštta	pɑʃtːɑ
PWN:bare.s.01		alastoi	ɑlɑstɔi
PWN:bark.n.01		kor'	kɔrʲ
PWN:bark.v.04		nutta	nʊtːɑ
PWN:bathe.v.01		kül'ptäs	kʏlʲptæs
PWN:battle.n.01		tora	tɔrɑ
PWN:bay.n.01		laht	lɑxt
PWN:be_born.v.01		sünduda	sʏndʊdɑ
PWN:bear.n.01		kondi	kɔndi
PWN:beard.n.01		bard	bɑrd
PWN:beautiful.a.01		čoma	t͡ʃɔmɑ
PWN:become.v.01		lindä	lindæ
PWN:become.v.01		tehtas	tɛxtɑs
PWN:bed.n.01		magaduzsija	mɑɡɑdʊzsijɑ
PWN:bed.n.01		sija	sijɑ
PWN:begin.v.03		augotada	ɑʊɡɔtɑdɑ
PWN:begin.v.03		zavottä	zɑvɔtːæ
PWN:believe.v.01		uskta	ʊsktɑ
PWN:beloved.s.01		izo	izɔ
PWN:beloved.s.01		sula	sʊlɑ
PWN:belt.n.02		vö	vœ
PWN:bend.v.01		painda	pɑindɑ
PWN:benefit.n.02		liža	liʒɑ
PWN:berry.n.01		marj	mɑrj
PWN:better.v.02		paremboita	pɑrɛmbɔitɑ
PWN:between.r.02		keskes	kɛskɛs
PWN:birch.n.02		koiv	kɔiv
PWN:bird.n.01		lind	lind
PWN:bite.v.01		hambastada	hɑmbɑstɑdɑ
PWN:bite.v.01		purda	pʊrdɑ
PWN:bitter.s.06		karged	kɑrɡɛd
PWN:black.a.01		must	mʊst
PWN:blanket.n.01		sijakatuz	sijɑkɑtʊz
PWN:blast.v.07		ampta	ɑmptɑ
PWN:blind.a.01		soged	sɔɡɛd
PWN:blood.n.01		veri	vɛri
PWN:blood.n.01		čak	t͡ʃɑk
PWN:blow.v.01		puhuda	pʊhʊdɑ
PWN:blow.v.02		dölta	dœltɑ
PWN:blow.v.02		puhuda	pʊhʊdɑ
PWN:blue.s.01		sinine	sininɛ
PWN:blunt.s.02		tül'c	tʏlʲt͡s
PWN:board.n.02		laud	lɑʊd
PWN:boast.v.01		kittäs	kitːæs
PWN:boat.n.01		veneh	vɛnɛh
PWN:body.n.01		hibj	hibj
PWN:boil.v.01		kehuda	kɛhʊdɑ
PWN:boil.v.03		keitta	kɛitːɑ
PWN:bone.n.01		lu	lʊ
PWN:book.n.01		kirj	kirj
PWN:boot.n.01		sapug	sɑpʊɡ
PWN:botch.v.01		travida	trɑvidɑ
PWN:boundary_line.n.01		röun	rœʊn
PWN:bow.n.04		taug	tɑʊɡ
PWN:box.n.01		mülütim	mʏlʏtim
PWN:brain.n.01		aivod	ɑivɔd
PWN:branch.n.02		oks	ɔks
PWN:branchlet.n.01		barb	bɑrb
PWN:branchlet.n.01		oks	ɔks
PWN:brawl.v.01		torata	tɔrɑtɑ
PWN:bread.n.01		leib	lɛib
