id	style	word	pronunciation
PLX:1PL.pro		мадн	matɐ̆n
PLX:1SG.pro		би	pi
PLX:2PL.pro		та	tʰa
PLX:2SG.pro		чи	t͡ʃʰi
PLX:3PL.pro		тедн	tʰɛtn
PLX:3SG M.pro		тер	tʰɛr
PLX:and.cnj		болн	pɔɮn
PLX:because of.pp		деерәс	tɛɛræs
PLX:because of.pp		көлтә	kœɮtʰæ
PLX:behind.pp		ца	t͡sʰa
PLX:beside.pp		хаҗуд	xad͡ʒʊtɐ̆
PLX:can.v		чадх	t͡ʃʰatxɐ̆
PLX:die (from accident).V		үкх	ykɛxɛ
PLX:everywhere.pro		альд болв чигн	aɮʲt pɔɮw t͡ʃʰiɡn
PLX:from here.adv		эндәс	entæs
PLX:get sick.V		гемтх	ɡemtʰxɛ
PLX:how many.pro		кедү	kɛty
PLX:how.pro		яһад	jaħat
PLX:how.pro		яһҗ	jaħd͡ʒ
PLX:in front of.pp		урд	ʊrtɐ̆
PLX:or.cnj		эс гихлә	es ɡixɮæ
PLX:or.cnj		эс гиҗ	es ɡid͡ʒ
PLX:that.pro		тер	tʰɛr
PLX:this.pro		эн	en
PLX:under.pp		дор	tɔrɐ̆
PLX:what.pro		юн	jʊn
PLX:where.pro		хама	xama
PLX:where_to.pro		хамаран	xamaran
PLX:who.pro		кен	kɛn
PLX:why.pro		юңгад	jʊŋɡat
PWN:abandon.v.02		хайх	xaɪxɐ̆
PWN:abdomen.n.01		гесн	ɡesɛn
PWN:above.r.02		деер	teːrɛ
PWN:act.v.02		кех	kexɛ
PWN:add.v.01		немх	nemxɛ
PWN:address.n.03		келлһн	keɮɮħɛn
PWN:affect.v.05		уйрах	ʊɪrax
PWN:again.r.01		бас	pasɐ̆
PWN:age.n.01		насн	nasɐ̆n
PWN:ahead.r.03		уралан	ʊraɮan
PWN:aid.n.02		нөкд	nɛkɛt
PWN:air.n.01		аһар	aħar
PWN:alive.a.01		әмд	æmtɛ
PWN:all.a.01		цуһар	t͡sʰʊħar
PWN:allege.v.01		келх	keɮxɛ
PWN:alone.r.02		һанцарн	ħant͡sʰarn
PWN:already.r.01		одх	ɔtx
PWN:always.r.01		оньдинд	ɔɲtintɐ̆
PWN:anger.v.01		уурлулх	ʊːrɮʊːɮxɐ̆
PWN:anger.v.02		уурлх	ʊːrɮɐ̆xɐ̆
PWN:animal.n.01		мал	maɮ
PWN:animation.n.01		җирһл	d͡ʒirħɮ
PWN:ant.n.01		шорһлҗн	ʃɔrħɐ̆ɮd͡ʒɐ̆n
PWN:apparel.n.01		хувц-хунр	xʊwt͡sʰɐ̆n-xʊnɐ̆r
PWN:apparel.n.01		хувцн	xʊwt͡sʰɐ̆n
PWN:apple.n.01		альмн	aɮʲmɐ̆n
PWN:april.n.01		апрель	apʰrɛɮʲ
PWN:apt.s.03		ухата	ʊxatʰa
PWN:area.n.01		һазр	ħat͡sɐ̆r
PWN:arise.v.03		босх	pɔsx
PWN:arm.n.01		һар	ħarɐ̆
PWN:arrive.v.01		ирх	irxɛ
PWN:arrow.n.02		сумн	sʊmɐ̆n
PWN:ascend.v.01		немх	nɛmx
PWN:ash.n.01		үмсн	ymsɛn
PWN:ask.v.02		эрх	erɛxɛ
PWN:ask.v.05		сурх	sʊrxɐ̆
PWN:august.n.01		август	awɡʊstʰ
PWN:aunt.n.01		наһц эгч	naħt͡sʰ eɡt͡ʃʰ
PWN:awaken.v.01		серүлх	sɛryɮx
PWN:back.n.01		нурһн	nʊrħɐ̆n
PWN:back.r.01		хәрү	xæry
PWN:back.r.02		гедргән	ɡetɛrɡæn
PWN:bad.a.01		му	mʊ
PWN:bag.n.01		сумк	sʊmk
PWN:bake.v.02		болһх	pɔɮħx
PWN:bare.s.01		нүцкн	nyt͡sʰkɛn
PWN:bark.n.01		көрсн	kœrsn
PWN:bark.v.04		хуцх	xʊt͡sʰxɐ̆
PWN:bathe.v.01		өөмх	œːmxɛ
PWN:battle.n.01		бәрлдлһн	pærɛɮtɛɮħɛn
PWN:battle.n.01		ноолдан	nɔːɮtan
PWN:bay.n.01		теңгсин цекә	tʰɛŋɡsin t͡sʰɛkæ
PWN:bay.n.01		цекә	t͡sʰɛkæ
PWN:be_born.v.01		төрх	tʰœrx
PWN:bear.n.01		аю	ajʊ
PWN:beard.n.01		сахл	saxɮ
PWN:beard.n.01		өргнә сахл	œrɡnæ saxɮ
PWN:beautiful.a.01		сәәхн	sæːxɛn
PWN:become.v.01		болх	pɔɮxɐ̆
PWN:bed.n.01		орн	ɔrɐ̆n
PWN:bed.n.01		орндг	ɔrɐ̆ntɐ̆ɡ
PWN:begin.v.03		эклх	ekɛɮxɛ
PWN:believe.v.01		нәәлх	næːɮxɛ
PWN:believe.v.01		шүтх	ʃytʰxɛ
PWN:beloved.s.01		эңкр	eŋkɛr
PWN:belt.n.02		бүс	pysɛ
PWN:bend.v.01		матилһх	matʰiɮħɐ̆xɐ̆
PWN:benefit.n.02		олз	ɔɮt͡sɐ̆
PWN:berry.n.01		бөөлҗрһн	pœːɮd͡ʒrħn
PWN:better.v.02		сәәрүлх	sæːryɮxɛ
PWN:between.r.02		хоорнд	xɔːrɐ̆ntɐ̆
PWN:birch.n.02		хусм модн	xʊsm mɔtn
PWN:bird.n.01		шовун	ʃɔwʊn
PWN:bite.v.01		хазх	xat͡sxɐ̆
PWN:bitter.s.06		һашун	ħaʃʊn
PWN:bitter.s.06		һашута	ħaʃʊtʰa
PWN:black.a.01		хар	xarɐ̆
PWN:blanket.n.01		көнҗл	kœnd͡ʒɛɮ
PWN:blast.v.07		хах	xaxɐ̆
PWN:blind.a.01		сохр	sɔxɐ̆r
PWN:blood.n.01		цусн	t͡sʰʊsɐ̆n
PWN:blow.v.01		үләх	yɮæxɛ
PWN:blow.v.02		сальклх	saɮʲkɮx
PWN:blue.s.01		көк	kœkɛ
PWN:blunt.s.02		мука	mʊka
PWN:board.n.02		харһа	xarħa
PWN:boast.v.01		көөрх	kœːrxɛ
PWN:boat.n.01		оңһц	ɔŋħɐ̆t͡sʰɐ̆
PWN:body.n.01		махмуд	maxmʊt
PWN:boil.v.01		буслх	pʊsɮx
PWN:boil.v.03		болһх	pɔɮħɐ̆xɐ̆
PWN:boil.v.03		чанх	t͡ʃʰanɐ̆xɐ̆
PWN:bone.n.01		ясн	jasɐ̆n
PWN:book.n.01		дегтр	teɡtʰɛr
PWN:boot.n.01		һосн	ħɔsn
PWN:botch.v.01		үрәх	yræxɛ
PWN:boundary_line.n.01		меҗә	mɛd͡ʒæ
PWN:bow.n.04		саадг	saːtɡ
PWN:box.n.01		яршг	jarʃɐ̆ɡ
PWN:brain.n.01		экн	ekɛn
PWN:branch.n.02		ац	at͡sʰɐ̆
PWN:branchlet.n.01		ац	at͡sʰɐ̆
PWN:brawl.v.01		гүвдлдх	ɡʊwtɛɮtɛxɛ
PWN:bread.n.01		өдмг	œtmɛɡ
PWN:break.v.05		хамхлх	xamxɮx
PWN:breast.n.02		көкн	kœkɛn
PWN:breath.n.02		әмсхл	æmsxɛɮ
PWN:breathe.v.01		әмсхлх	æmsxɛɮxɛ
PWN:bridge.n.01		тагт	tʰaɡtʰɐ̆
PWN:bright.a.01		герлтә	ɡerɛɮtʰæ
PWN:bring.v.01		авч ирх	awt͡ʃʰ irx
PWN:brook.n.01		һооҗур	ħɔːd͡ʒʊr
PWN:broom.n.01		сәвүр	sæwyr
PWN:brother.n.01		дү көвүн	ty kœwyn
PWN:brow.n.01		маңна	maŋna
PWN:bucket.n.01		суулһ	sʊːɮħɐ̆
PWN:bull.n.01		бух	pʊx
PWN:bundle.n.02		багла	paɡɮa
PWN:bundle.n.02		боодһа	pɔːtħa
PWN:burn.v.03		шатх	ʃatʰxɐ̆
PWN:burn.v.07		шатах	ʃatʰaːxɐ̆
PWN:business.n.01		көдлмш	kœtɮmʃ
PWN:butter.n.01		тосн	tʰɔsɐ̆n
PWN:butterfly.n.01		эрвәкә	erwækæ
PWN:button.n.01		товч	tʰɔwt͡ʃʰɐ̆
PWN:buy.v.01		хулдҗ авх	xʊɮtd͡ʒ awx
PWN:calculate.v.01		тоолх	tʰɔːɮx
PWN:calendar_month.n.01		сар	sar
PWN:call.v.05		дуудх	tʊːtxɐ̆
PWN:campfire.n.01		костёр	kɔstʰɔr
PWN:cap.n.01		махла	maxɮa
PWN:cat.n.01		мис	mis
PWN:catch.v.04		бәрх	pærxɛ
PWN:catch.v.04		хавлх	xawɐ̆ɮxɐ̆
PWN:cause.n.01		учр	ʊt͡ʃʰɐ̆r
PWN:cause.n.01		шалтан	ʃaɮtʰan
PWN:cave.n.01		хадин көндә	xatin kœntæ
PWN:cavil.v.01		харах	xarax
PWN:center.n.01		дунд	tʊntɐ̆
PWN:chair.n.01		стул	stʰʊɮ
PWN:change.v.01		хүврәх	xywræx
PWN:character.n.08		үзг	yt͡sɛɡ
PWN:cheap.a.01		кимд	kimtɛ
PWN:cheek.n.01		халх	xaɮxɐ̆
PWN:cherished.s.01		эрднь	ertɛɲ
PWN:cherished.s.01		үнтә	yntʰæ
PWN:chicken.n.02		така	tʰaka
PWN:child.n.01		үрн	yrɛn
PWN:chin.n.01		өргн	œrɡn
PWN:choose.v.01		шүүх	ʃyːxɛ
PWN:chop.v.01		чавчх	t͡ʃʰawt͡ʃʰx
PWN:church.n.02		чонҗ	t͡ʃʰɔnd͡ʒɐ̆
PWN:circle.n.03		төгрг	tʰœɡrɛɡ
PWN:citizenry.n.01		улс	ʊɮs
PWN:claw.n.01		хумсн	xʊmsɐ̆n
PWN:clay.n.01		шавр	ʃawɐ̆r
PWN:clean.a.01		цевр	t͡sʰɛwr
PWN:clean.v.01		цеврлх	t͡sʰewɛrɮɛxɛ
PWN:climb.v.01		давшх	tawʃx
PWN:close.v.01		хаах	xaːɐ̆x
PWN:cloud.n.02		үүлн	yːɮɛn
PWN:coal.n.01		нүүрсн	nyːrsɛn
PWN:cock.n.04		эр така	er tʰaka
PWN:cold.a.01		киитн	kiːtʰɛn
PWN:cold.a.01		серүн	sɛryn
PWN:coldness.n.03		киитн	kiːtʰn
PWN:collar.n.01		зах	t͡saxɐ̆
PWN:colorful.a.01		алг	aɮɡ
PWN:colorful.a.01		эрәтә	erætʰæ
PWN:comb.n.01		сам	sam
PWN:comb.v.01		самлх	samɮɐ̆xɐ̆
PWN:commend.v.01		магтх	maɡtʰɐ̆xɐ̆
PWN:companion.n.01		үр	yr
PWN:company.n.03		олн	ɔɮɐ̆n
PWN:complete.v.01		дуусх	tʊːsxɐ̆
PWN:connect.v.01		боох	pɔːx
PWN:conserve.v.02		кевтнь бәәлһх	kɛwtʰɲ pæːɮħx
PWN:conserve.v.02		кевтнь үлдәх	kɛwtʰɲ yɮtæx
PWN:conserve.v.02		хадһлх	xatħɮx
PWN:construct.v.01		тосхх	tʰɔsxx
PWN:conversation.n.01		күүндвүр	kyːntwɛr
PWN:converse.v.01		күүндх	kyːntɛxɛ
PWN:convey.v.01		медүлх	metyːɮxɛ
PWN:cook.v.02		белдх	peɮtxɛ
PWN:corner.n.03		өнцг	œnt͡sʰɛɡ
PWN:corpulent.s.01		тарһн	tʰarħn
PWN:correctly.r.01		зөвтә	t͡sœwtʰæ
PWN:cough.v.01		ханях	xanjaxɐ̆
PWN:count.n.01		то	tʰɔ
PWN:count.v.01		тоолх	tʰɔːɮxɐ̆
PWN:country.n.02		орн-нутг	ɔrn-nʊtʰɡ
PWN:cover.v.01		бүркх	pyrkɛxɛ
PWN:cover.v.01		хучх	xʊt͡ʃʰxɐ̆
PWN:cow.n.01		үкр	ykɛr
PWN:cradle.n.01		дүүҗң	tyːd͡ʒŋ
PWN:cradle.n.01		өлгә	œɮɡæ
PWN:crane.n.05		тоһрун	tʰɔħrʊn
PWN:crawl.v.01		мөлкх	mœɮkɛxɛ
PWN:crisscross.n.01		кирс	kirs
PWN:crow.n.01		шаазһа	ʃaːt͡sħa
PWN:cry.n.01		дуудлһн	tʊːtɮħn
PWN:cry.v.02		уульх	ʊːɮʲxɐ̆
PWN:cuckoo.n.02		эргин хуцдг	erɡin xʊt͡sʰtɡ
PWN:cup.n.01		ааһ	aːħɐ̆
PWN:current.n.02		урсхл	ʊrsxɮ
PWN:cut.v.01		хәәчлх	xæːt͡ʃʰɛɮxɛ
PWN:damage.n.01		хорлт	xɔrɐ̆ɮtʰɐ̆
PWN:damage.v.01		эвдх	ewtɛxɛ
PWN:damp.s.01		чиигтә	t͡ʃʰiːɡtʰæ
PWN:dance.v.02		биилх	piːɮxɛ
PWN:dark.a.01		харңһу	xarɐ̆ŋħʊ
PWN:daughter.n.01		күүкн	kyːkɛn
PWN:day.n.01		өдр	œtɛr
PWN:deaf.a.01		дүлә	tyɮæ
PWN:death.n.01		үкл	ykɛɮ
PWN:death.n.01		өңгрлһн	œŋɡrɮħn
PWN:deceive.v.01		меклх	mɛkɮx
PWN:december.n.01		бар сар	par sar
PWN:decompose.v.03		илҗрх	iɮd͡ʒrx
PWN:decorate.v.01		кеерүлх	keːryːɮxɛ
PWN:decorate.v.01		чимх	t͡ʃʰimxɛ
PWN:decrease.v.01		хасгдх	xasɐ̆ɡtɐ̆xɐ̆
PWN:defend.v.03		харсх	xarsɐ̆xɐ̆
PWN:deft.s.01		чадмг	t͡ʃʰatmɐ̆ɡ
PWN:deity.n.01		бурхн	pʊrxɐ̆n
PWN:depart.v.03		көдлх	kœtɛɮxɛ
PWN:depart.v.03		көндрх	kœntɛrxɛ
PWN:descend.v.01		татгдх	tʰatʰɐ̆ɡtɐ̆xɐ̆
PWN:desire.n.01		җилвтлһн	d͡ʒiɮwtʰɮħn
PWN:desire.v.01		дурлх	tʊrɮɐ̆xɐ̆
PWN:destroy.v.02		эвдх	ewtɛxɛ
PWN:detect.v.01		темдглх	tʰɛmtɛɡɛɮxɛ
PWN:die.v.01		үкх	ykɛxɛ
PWN:die.v.01		өңгрх	œŋɡɛrxɛ
PWN:different.a.01		йилһәтә	ɪiɮħætʰæ
PWN:different.a.01		әдл биш	ætɮ piʃ
PWN:dig.v.01		малтх	maɮtʰɐ̆xɐ̆
PWN:digest.v.03		даах	taːxɐ̆
PWN:dirt.n.02		кир	kir
PWN:dirty.a.01		киртә	kirtʰæ
PWN:disappear.v.01		уга болх	ʊɡa pɔɮx
PWN:discontinue.v.01		уурх	ʊːrxɐ̆
PWN:disease.n.01		өвчн	œwt͡ʃʰn
PWN:dish.n.01		сав	sawɐ̆
PWN:dish.n.01		сав-сарх	saw-sarx
PWN:dissolve.v.09		хәәлх	xæːɮx
PWN:distance.n.01		зә	t͡sæ
PWN:distance.n.03		һазр	ħat͡sɐ̆r
PWN:dive.v.03		булхх	pʊɮxx
PWN:divide.v.01		хувах	xʊwaxɐ̆
PWN:doctor.n.01		эмч	emt͡ʃʰ
PWN:dog.n.01		ноха	nɔxa
PWN:doll.n.01		наадһа	naːtħa
PWN:down.r.01		дор	tɔr
PWN:down.r.01		доракшан	tɔrakʃan
PWN:drag.v.01		чирх	t͡ʃʰirx
PWN:dream.n.01		зүүдн	t͡syːtɛn
PWN:dress.v.01		хувцлх	xʊwt͡sʰɐ̆ɮxɐ̆
PWN:drink.v.01		уух	ʊːxɐ̆
PWN:drive.v.01		йовх	ɪɔwxɐ̆
PWN:drive.v.15		туух	tʰʊːx
PWN:drop.n.01		дусал	tʊsaɮ
PWN:drop.v.01		алдх	aɮtxɐ̆
PWN:drove.n.02		зел	t͡sɛɮ
PWN:dry.a.01		хагсу	xaɡsʊ
PWN:dry.v.01		эврх	ewrx
PWN:duck.n.01		нуһсн	nʊħsɐ̆n
PWN:dust.n.01		тоосн	tʰɔːsɐ̆n
PWN:dye.v.01		будх	pʊtx
PWN:eagle.n.01		һәрд	ħærtɛ
PWN:ear.n.01		чикн	t͡ʃʰikɛn
PWN:earlier.r.01		урд	ʊrt
PWN:east.n.01		зүн	t͡syn
PWN:east.n.01		зүн үзг	t͡syn yt͡sɡ
PWN:eat.v.01		идх	itxɛ
PWN:edge.n.06		ирмәг	irmæɡ
PWN:egg.n.02		өндгн	œntɡɛn
PWN:eight.s.01		нәәмн	næːmɛn
PWN:eighty.s.01		найн	naɪn
PWN:elapse.v.01		болх	pɔɮx
PWN:elbow.n.01		тоха	tʰɔxa
PWN:eleven.s.01		арвн негн	arwn nɛɡn
PWN:elk.n.01		хандһа	xantħa
PWN:emerge.v.01		һарх	ħarxɐ̆
PWN:employment.n.02		көдлмш	kœtɛɮmɛʃ
PWN:empty.a.01		сул	sʊɮɐ̆
PWN:empty.a.01		хоосн	xɔːsɐ̆n
PWN:end.n.03		чилгч	t͡ʃʰiɮɛɡt͡ʃʰɛ
PWN:end.n.09		үзүр	yt͡syr
PWN:end.v.01		төгсх	tʰœɡsɛxɛ
PWN:enter.v.01		орх	ɔrx
PWN:entirely.r.02		һанцхн	ħant͡sʰɐ̆xɐ̆n
PWN:erstwhile.s.01		хуучн	xʊːt͡ʃʰɐ̆n
PWN:escape.v.01		зулх	t͡sʊɮx
PWN:escape.v.01		орһх	ɔrħx
PWN:evening.n.01		асхн	asxɐ̆n
PWN:evil.a.01		уурта	ʊːrtʰa
PWN:exchange.v.01		хүврх	xywrx
PWN:exclaim.v.01		хәәкрх	xæːkɛrxɛ
PWN:exit.v.01		йовх	ɪɔwx
PWN:exit.v.01		мөрлх	mœrɮx
PWN:exit.v.01		одх	ɔtx
PWN:exit.v.01		һарх	ħarx
PWN:expensive.a.01		үнтә	yntʰæ
PWN:extraneous.s.03		күүнә	kyːnæ
PWN:eye.n.01		нүдн	nytɛn
