id	style	word	pronunciation
Action:can.V		пирӑць	pʲirət͡sʲ
Agriculture:herd (something).V		есь	jeːsʲ
Agriculture:herd (something).V		пэрць	pært͡sʲ
Agriculture:irrigate.V		хӑмда(сь)	xəmdɑsʲ
Agriculture:pick.V		ныдпӑсь	nɨdpəsʲ
Agriculture:shovel.N		сива	sʲiwɑ
Animal:Anatidae.N		нябы	ɲɑbɨ
Animal:Annelida.N		хӑлы	xəlɨ
Animal:Araneae.N		лярцо	ʎɑrt͡soː
Animal:Aves.N		тиртя сармик	tʲirtʲɑ sɑrmʲik
Animal:Canis lupus familiaris.N		вэ̇ʼ(н)	weːʔ
Animal:Canis lupus familiaris.N		вэнеко	wæɲeːkoː
Animal:Canis lupus.N		сармик	sɑrmʲik
Animal:Corvus.N		вӑрӈэ	wərŋæ
Animal:Corvus.N		вӑрӈэс	wərŋæs
Animal:Culicidae.N		неняӈг	ɲeːɲɑŋɡ
Animal:Diptera.N		тохондабцо	toːxoːndɑbt͡soː
Animal:Equus ferus caballus.N		юно	junoː
Animal:Felis catus.N		хоска	xoːskɑ
Animal:Formicidae.N		худумга	xudumɡɑ
Animal:Gallus gallus domesticus.N		хураця	xurɑt͡sʲɑ
Animal:Homo sapiens.N		ненэ́ць(н)	ɲeːnæt͡sʲ
Animal:Homo sapiens.N		хибя	xibʲɑ
Animal:Ovis aries.N		ас	ɑs
Animal:Ovis aries.N		ӈавця	ŋɑwt͡sʲɑ
Animal:Rhopalocera.N		ламбӑрё	lɑmbərʲoː
Animal:Sciuridae.N		тӑряв	tərʲɑw
Animal:Serpentes.N		ямп апэ̄й	jɑmp ɑpæːj
Animal:Sus scrofa domestica.N		парӑсь’(н)	pɑrəsʲʔ
Animal:Ursidae.N		вӑрк	wərk
Animal:Vulpes.N		тёня	tʲoːɲɑ
Animal:animal.N		сармик	sɑrmʲik
Animal:fish.N		халя	xɑʎɑ
Animal:mouse.N		пӣся	pʲīsʲɑ
Animal:wool.N		тӑрˮ	tərʔ
Atmosphere:cloud.N		тир	tʲir
Atmosphere:cold.A		хӑнзо	xənzoː
Atmosphere:fog.N		синё	sʲiɲoː
Atmosphere:rain.N		сарё	sɑrʲoː
Atmosphere:rain.V		няибӑ(сь)	ɲɑjibəsʲ
Atmosphere:rainbow.N		нувʼ пан	nuwʔ pɑn
Atmosphere:rainbow.N		нувʼ сёярˮ(д)	nuwʔ sʲoːjɑrʔ
Atmosphere:sky.N		нумʼ	numʔ
Atmosphere:thunder.N		мунота	munoːtɑ
Atmosphere:thunder.V		хэӈомбӑ(сь)	xæŋoːmbəsʲ
Atmosphere:thunder.V		я̆лнӑ(сь)	jəlnəsʲ
Atmosphere:weather.N		нумʼ	numʔ
Atmosphere:wind.N		мерця	mʲeːrt͡sʲɑ
Belief:deity.N		нумʼ	numʔ
Belief:idol.N		мирбя	mʲirbʲɑ
Belief:spirit.N		и	ji
Body:arm.N		ӈуда	ŋudɑ
Body:back.N		маха	mɑxɑ
Body:beard.N		муноцьʼ(н)	munoːt͡sʲʔ
Body:belly.N		тив	tʲiw
Body:blood.N		вэ̇я	weːjɑ
Body:blood.N		хэ̇мʼ	xeːmʔ
Body:blow.V		пупӑ(сь)	pupəsʲ
Body:body.N		ӈая	ŋɑjɑ
Body:bone.N		лы	lɨ
Body:brain.N		немэй	ɲeːmæj
Body:breast.N		ӈамя	ŋɑmʲɑ
Body:breath.N		индˮ(д)	jindʔ
Body:breath.V		индадмʼ нэ̇калпӑ(сь)	jindɑdmʔ neːkɑlpəsʲ
Body:cheek.N		паду	pɑdu
Body:cheek.N		пайды	pɑjdɨ
Body:chest.N		лэмбара	læmbɑrɑ
Body:chin.N		няӈуʼ мал	ɲɑŋuʔ mɑl
Body:ear.N		ха	xɑ
Body:elbow.N		сӑлик	səʎik
Body:eye.N		сэв	sæw
Body:face.N		сяˮ(д)	sʲɑʔ
Body:fat.N		юрˮ	jurʔ
Body:feather.N		тӑрˮ	tərʔ
Body:finger.N		ӈудаʼ тарка	ŋudɑʔ tɑrkɑ
Body:fingernail.N		хӑда	xədɑ
Body:foot.N		ӈэ	ŋæ
Body:footprint.N		ӈуˮ(д)	ŋuʔ
Body:forehead.N		пэ̇я	peːjɑ
Body:fur.N		хобӑ	xoːbə
Body:hair.N		ӈэбт	ŋæbt
Body:hand.N		ӈуда	ŋudɑ
Body:hand.N		ӈудаʼ лембя	ŋudɑʔ ʎeːmbʲɑ
Body:head.N		ӈэва	ŋæwɑ
Body:heart.N		сей	sʲeːj
Body:heel.N		еняд	jeːɲɑd
Body:horn.N		нямд	ɲɑmd
Body:jaw.N		няӈу	ɲɑŋu
Body:knee.N		пулы	pulɨ
Body:leg.N		ӈэ	ŋæ
Body:lip.N		няʼ вар	ɲɑʔ wɑr
Body:lip.N		пибтяʼ(н)	pʲibtʲɑʔ
Body:lip.N		ӈухуд	ŋuxud
Body:liver.N		мыд	mɨd
Body:moustache.N		пыяʼ ӈылы муноцьʼ	pɨjɑʔ ŋɨlɨ munoːt͡sʲʔ
Body:mouth.N		няʼ(н)	ɲɑʔ
Body:nail.N		хӑда	xədɑ
Body:nape.N		павэ	pɑwæ
Body:navel.N		сю’(н)	sʲuʔ
Body:neck.N		ик	jik
Body:nose.N		пыя	pɨjɑ
Body:obese.A		ӈайта	ŋɑjtɑ
Body:palm.N		пеʼ(н)	pʲeːʔ
Body:shoulder.N		мӑрць	mərt͡sʲ
Body:skin.N		ӈая	ŋɑjɑ
Body:stomach.N		нянко	ɲɑnkoː
Body:tail.N		муртыˮ(с)	murtɨʔ
Body:tear.N		хӑя̆л	xəjəl
Body:tendon.N		тэ̇(н)	teː
Body:throat.N		сё	sʲoː
Body:throat.N		хорака	xoːrɑkɑ
Body:toe.N		ӈэʼ тарка	ŋæʔ tɑrkɑ
Body:tongue.N		нямю	ɲɑmʲu
Body:tooth.N		тибя	tʲibʲɑ
Body:upper leg.N		ейʼ(н)	jeːjʔ
Body:vein.N		вэ̇ямбаӈг	weːjɑmbɑŋɡ
Body:wing.N		то	toː
Body:wound.N		мерё	mʲeːrʲoː
Building:board.N		лата	lɑtɑ
Building:build.V		мимбӑ(сь)	mʲimbəsʲ
Building:build.V		сертабӑ(сь)	sʲeːrtɑbəsʲ
Building:door.N		нё	ɲoː
Building:floor.N		лата	lɑtɑ
Building:gate.N		нёныˮ	ɲoːnɨʔ
Building:house.N		харӑд	xɑrəd
Building:post.N		ӈу	ŋu
Building:roof.N		харӑдʼ махалэй	xɑrədʔ mɑxɑlæj
Building:window.N		сидерˮ	sʲidʲeːrʔ
Cleaning:broom.N		лата’ то	lɑtɑʔ toː
Cleaning:clean (sth).V		вӑрцялмде(сь)	wərt͡sʲɑlmdʲeːsʲ
Cleaning:clean.A		вӑрця̆да	wərt͡sʲədɑ
Cleaning:dirt.N		нёхолˮ	ɲoːxoːlʔ
Cleaning:dirty.A		вӑрцавэй	wərt͡sɑwæj
Cleaning:sweep.V		наˮволць	nɑʔwoːlt͡sʲ
Cleaning:wash (oneself).V		матӑ(сь)	mɑtəsʲ
Cleaning:wash.V		хӑлта(сь)	xəltɑsʲ
Cleaning:wipe.V		тэць	tæt͡sʲ
Clothing:belt.N		ни	ɲi
Clothing:boot.N		хуты	xutɨ
Clothing:button.N		сисьʼ(н)	sʲisʲʔ
Clothing:cap.N		сӑва	səwɑ
Clothing:cloth.N		тохоˮ(с)	toːxoːʔ
Clothing:clothes.N		ембдярˮ	jeːmbdʲɑrʔ
Clothing:collar.N		икадˮ(д)	jikɑdʔ
Clothing:dress up.V		ембӑць	jeːmbət͡sʲ
Clothing:dye.V		ӈотабӑ(сь)	ŋoːtɑbəsʲ
Clothing:knit.V		сярбӑ(сь)	sʲɑrbəsʲ
Clothing:leather.N		тобъёва	toːbjoːwɑ
Clothing:naked.A		паркася̆да	pɑrkɑsʲədɑ
Clothing:needle.N		нӣбя	ɲībʲɑ
Clothing:put on.V		серӑ(сь)	sʲeːrəsʲ
Clothing:scarf or turban.N		плат	plɑt
Clothing:sew.V		сэдӑ(сь)	sædəsʲ
Clothing:shirt.N		имбытˮ(д)	jimbɨtʔ
Clothing:shoe.N		ботинка	boːtʲinkɑ
Clothing:sleeve.N		тю	tʲu
Clothing:thread.N		тэ̇мбой	teːmboːj
Clothing:towel.N		тэцяʼ(н)	tæt͡sʲɑʔ
Clothing:trousers.N		пиˮмя	pʲiʔmʲɑ
Clothing:undress.V		ня̄ць	ɲɑːt͡sʲ
Cognition:familiar.A		теневана	tʲeːɲeːwɑnɑ
Cognition:true.A		ненэй	ɲeːnæj
Cognition:truth.N		ненэся	ɲeːnæsʲɑ
Cognition:wake up (tr).V		сиде(сь)	sʲidʲeːsʲ
Cognition:wake up.V		сидё(сь)	sʲidʲoːsʲ
Combat:brawl.V		пёдӑ(сь)	pʲoːdəsʲ
Combat:fight.N		тароˮма	tɑroːʔmɑ
Combat:strike (sb).V		ладӑ(сь)	lɑdəsʲ
Combat:strike (sb).V		мӑрнимда(сь)	mərɲimdɑsʲ
Combat:violence.N		ныхы	nɨxɨ
Combat:win.V		вӑдумзь	wədumzʲ
