id	style	word	pronunciation
PLX:if.cnj		要是	
PLX:ramen.n		拉麵	
PWN:acetylene.n.01		炔烴	
PWN:address.n.03		地址	
PWN:agronomist.n.01		農學家	
PWN:alkene.n.01		烯烴	
PWN:allergy.n.01		過敏	
PWN:american_football.n.01		美式足球	
PWN:amine.n.01		胺	
PWN:anion.n.01		陰離子	
PWN:anode.n.01		陽極	
PWN:bandage.n.01		繃帶	
PWN:be.v.01		係	
PWN:be.v.01		是	
PWN:be.v.03		在	
PWN:big_sister.n.01		zeze	
PWN:big_sister.n.01		姐姐	
PWN:black.a.01		黑	
PWN:bow.n.04		弓	
PWN:bread.n.01		包	
PWN:brick.n.01		磚	
PWN:broccoli.n.01		西蘭花	
PWN:butter.n.01		牛油	
PWN:cabbage.n.01		椰菜	
PWN:camel.n.01		駱駝	
PWN:cat.n.01		貓	
PWN:cathode.n.01		陰極	
PWN:cation.n.01		陽離子	
PWN:cauliflower.n.01		椰菜花	
PWN:chain.n.01		鏈條	
PWN:chicken.n.02		鷄	
PWN:china.n.01		中国	
PWN:color.n.01		色	
PWN:complex.a.01		複雜	
PWN:corn.n.01		粟米	
PWN:cosmology.n.02		宇宙學	
PWN:crisis.n.01		危機	
PWN:curtain.n.01		窗簾	
PWN:daughter.n.01		囡	
PWN:daughter.n.01		女	
PWN:discipline.n.01		學	
PWN:eat.v.01		食	
PWN:eat.v.01		飲	
PWN:ethyl.n.01		乙基	
PWN:ethyl_alcohol.n.01		乙醇	
PWN:flag.n.01		旗幟	
PWN:flax.n.02		亞麻	
PWN:flow.n.01		流	
PWN:function.n.01		函數	
PWN:ginger.n.01		薑	
PWN:good.a.01		好	
PWN:gospel.n.01		福音书	
PWN:green.s.01		綠	
PWN:grey.s.01		灰色	
PWN:guarantee.n.01		保证	
PWN:handle.n.01		把手	
PWN:hiccup.n.01		打思肊	
PWN:hint.n.01		暗示	
PWN:holography.n.01		ホログラフィー	
PWN:horse.n.01		馬	
PWN:hour.n.01		鐘頭	
PWN:jersey.n.03		T恤	
PWN:jew.n.01		猶太人	
PWN:jujutsu.n.01		柔術	
PWN:kettle.n.01		壺	
PWN:know.v.01		知	
PWN:lacquer.n.02		漆
PWN:lip.n.01		嘴脣	
PWN:lissome.s.01		柔	
PWN:little_sister.n.01		mui6mui6	
PWN:little_sister.n.01		妹妹	
PWN:luck.n.02		運	
PWN:lumen.n.01		luumen
PWN:machine.n.01		機	
PWN:magnet.n.01		攝石	
PWN:mint.n.02		薄荷	
PWN:mythology.n.02		神話學	
PWN:nature.n.01		性質	
PWN:near.a.01		近	
PWN:negative.s.08		陰	
PWN:nerve.n.01		神經	
PWN:noodle.n.01		麵	
PWN:noodle.n.01		麵條	
PWN:order.v.01		風琴	
PWN:parent.n.01		父母	
PWN:parent.n.01		親	
PWN:pepper.n.01		椒	
PWN:physics.n.01		物理學	
PWN:pineapple.n.01		菠蘿	
PWN:piquant.s.01		辣	
PWN:pizza.n.01		薄餅	
PWN:planet.n.01		行星	
PWN:pole.n.01		極	
PWN:politician.n.01		政治家	
PWN:politics.n.02		政治学
PWN:populism.n.01		平民主義	
PWN:positive.s.10		陽	
PWN:powder.n.01		粉	
PWN:pump.n.01		泵	
PWN:ravioli.n.01		餃子	
PWN:representative.n.01		代表	
PWN:shine.v.02		loistaa	
PWN:shine.v.02		loiste	
PWN:shirt.n.01		恤衫	
PWN:show.v.01		騷	
PWN:sign_language.n.01		手語	
PWN:sister.n.01		zi2 mui6	
PWN:sister.n.01		姊妹	
PWN:skull.n.01		腦殼	
PWN:smoke.n.01		煙	
PWN:sofa.n.01		梳化	
PWN:solar_energy.n.01		太陽能	
PWN:solar_system.n.01		太陽系	
PWN:sound.n.01		聲	
PWN:synchronous.a.01		同时的
PWN:tea.n.01		茶	
PWN:theory.n.01		理論	
PWN:timetable.n.01		時刻表
PWN:water.n.06		水	
PWN:whale.n.02		鯨魚	
PWN:white.a.01		白	
PWN:wine.n.01		葡萄酒	
PWN:wood.n.01		木	
PWN:yellow.s.01		黃	
