id	style	word	pronunciation
Agriculture:pick.V		jeldə-	jeldə
Animal:Anatidae.N		ōžī-nodo	oːʒiːnodo
Animal:Annelida.N		keliďə	kelid͡ʒə
Animal:Annelida.N		köďe	kœd͡ʒe
Animal:Araneae.N		ataqī	ɑtɑqiː
Animal:Aves.N		nodo	nodo
Animal:Canis lupus familiaris.N		toukə	toukə
Animal:Canis lupus.N		ködēl	kœdeːl
Animal:Corvus.N		parnā	pɑrnɑː
Animal:Culicidae.N		kučē	kut͡ʃeː
Animal:Culicidae.N		nalaġəj	nɑlɑχəj
Animal:Diptera.N		nillə	nillə
Animal:Equus ferus caballus.N		jaqad-āčə	jɑqɑdɑːt͡ʃə
Animal:Formicidae.N		etergən	eterɡən
Animal:Homo sapiens.N		jomi-mojbə	jomimojbə
Animal:Rhopalocera.N		ašapəllī	ɑʃɑpəlliː
Animal:Rhopalocera.N		ašapəllīčān	ɑʃɑpəlliːt͡ʃɑːn
Animal:Rhopalocera.N		dōġul	doːχul
Animal:Rhopalocera.N		lōġumā	loːχumɑː
Animal:Sciuridae.N		jodoďubə	jodod͡ʒubə
Animal:Ursidae.N		mēmē	meːmeː
Animal:Ursidae.N		mēmēčān	meːmeːt͡ʃɑːn
Animal:Vulpes.N		šaqalə	ʃɑqɑlə
Animal:animal.N		enďōn	end͡ʒoːn
Animal:fish.N		anil	ɑnil
Animal:mouse.N		šöjľbul	ʃœjʎbul
Atmosphere:cold.A		čeďəďī	t͡ʃed͡ʒəd͡ʒiː
Atmosphere:fog.N		šariľ	ʃɑriʎ
Atmosphere:rain.N		tibo	tibo
Atmosphere:rain.V		tibo-	tibo
Atmosphere:rainbow.N		kužūd-oŋorā	kuʒuːdoŋorɑː
Atmosphere:rainbow.N		kužūn-šöriľə	kuʒuːnʃœriʎə
Atmosphere:sky.N		kužū	kuʒuː
Atmosphere:thunder.N		jedul	jedul
Atmosphere:thunder.V		pungəgə-	punɡəɡə
Atmosphere:wind.N		iľejə	iʎejə
Belief:deity.N		qojl	qojl
Belief:spirit.N		pöďel	pœd͡ʒel
Body:arm.N		nugen	nuɡen
Body:back.N		ugur	uɡur
Body:beard.N		aŋan-pugelbe	ɑŋɑnpuɡelbe
Body:belly.N		iril	iril
Body:blood.N		lepul	lepul
Body:blow.V		puj-	puj
Body:body.N		šure	ʃure
Body:bone.N		amun	ɑmun
Body:brain.N		jōn-qodo	joːnqodo
Body:breast.N		ibišī	ibiʃiː
Body:breath.N		jūčə	juːt͡ʃə
Body:cheek.N		pējə	peːjə
Body:chest.N		melut	melut
Body:chin.N		ńumďə	ɲumd͡ʒə
Body:ear.N		unemə	unemə
Body:elbow.N		īčəjd-amun	iːt͡ʃəjdɑmun
Body:eye.N		aŋďə	ɑŋd͡ʒə
Body:face.N		ńāčə	ɲɑːt͡ʃə
Body:fat.N		poŋičə	poŋit͡ʃə
Body:feather.N		tibil	tibil
Body:finger.N		pēdičə	peːdit͡ʃə
Body:foot.N		nojl	nojl
Body:footprint.N		čugö	t͡ʃuɡœ
Body:forehead.N		jōn-kičil	joːnkit͡ʃil
Body:fur.N		pugelbē	puɡelbeː
Body:hair.N		majlə	mɑjlə
Body:hair.N		pugelbē	puɡelbeː
Body:head.N		jō	joː
Body:heart.N		šubeďə	ʃubed͡ʒə
Body:heel.N		čaġitagiľ	t͡ʃɑχitɑɡiʎ
Body:horn.N		unmut	unmut
Body:jaw.N		jumďə	jumd͡ʒə
Body:knee.N		poġožil	poχoʒil
Body:knee.N		poġožā	poχoʒɑː
Body:leg.N		nojl	nojl
Body:liver.N		kudeďə	kuded͡ʒə
Body:moustache.N		aŋan-pugelbe	ɑŋɑnpuɡelbe
Body:mouth.N		aŋa	ɑŋɑ
Body:nail.N		uďiľ	ud͡ʒiʎ
Body:nape.N		šind-amun	ʃindɑmun
Body:navel.N		ńutnijə	ɲutnijə
Body:neck.N		jomil	jomil
Body:nose.N		joġul	joχul
Body:obese.A		iŋľō-	iŋʎoː
Body:palm.N		qańbə	qɑɲbə
Body:shoulder.N		jöulugēl	jœuluɡeːl
Body:skin.N		qār	qɑːr
Body:tail.N		laqil	lɑqil
Body:tendon.N		iŋďī	iŋd͡ʒiː
Body:throat.N		tunmul	tunmul
Body:toe.N		šašqul	ʃɑʃqul
Body:tongue.N		onor	onor
Body:tooth.N		todī	todiː
Body:upper leg.N		čaġil	t͡ʃɑχil
Body:vein.N		lepun-čugö	lepunt͡ʃuɡœ
Body:wing.N		pērī	peːriː
Body:wing.N		ūjə	uːjə
Body:wound.N		joġor	joχor
Building:board.N		kenbuko-cāl	kenbukocɑːl
Building:build.V		ā-	ɑː
Building:door.N		šešpə	ʃeʃpə
Building:house.N		numö	numœ
Building:post.N		pōjə	poːjə
Building:window.N		pońqə-söjnubəd-aŋiľ	poɲqəsœjnubədɑŋiʎ
Building:window.N		pońqə-šeščə	poɲqəʃeʃt͡ʃə
Building:window.N		šobod-aŋiľ	ʃobodɑŋiʎ
Cleaning:broom.N		kerpi	kerpi
Cleaning:broom.N		kerpijə	kerpijə
Cleaning:broom.N		numön-kerpi	numœnkerpi
Cleaning:broom.N		numön-kerpijə	numœnkerpijə
Cleaning:clean (sth).V		čiččī-	t͡ʃitt͡ʃiː
Cleaning:clean.A		qoďibə-	qod͡ʒibə
Cleaning:dirt.N		kudul	kudul
Cleaning:dirty.A		kuńńə-	kuɲɲə
Cleaning:sweep.V		meččī-	mett͡ʃiː
Cleaning:wash (oneself).V		ajlən-	ɑjlən
Cleaning:wash.V		ajlə-	ɑjlə
Clothing:belt.N		aŋdil-amdī	ɑŋdilɑmdiː
Clothing:belt.N		jȫ	jœː
Clothing:boot.N		mure	mure
Clothing:clothes.N		teril	teril
